bop date,eop date,day count,bop CMF price,eop CMF price,bop VTEC price,eop VTEC price,eop VTEC / eop CMF,bop VTEC / CMF moving avg,eop VTEC / CMF moving avg,eop CMF unit price,eop VTEC / eop VTEC,bop VTEC / VTEC moving avg,eop VTEC / VTEC moving avg,eop VTEC unit price,CMF unit price pct diff,VTEC unit price pct diff,unit price pct diff,go long,exit long,go short,exit short,current_position,new_position,month end liquidation,long entry,short entry,long to short flip,short to long flip,CMF shares per unit,eop CMF shares,bop CMF shares,eop CMF shares traded,eop CMF shares bought,eop CMF shares sold,VTEC shares per unit,eop VTEC shares,bop VTEC shares,eop VTEC shares traded,eop VTEC shares bought,eop VTEC shares sold,CMF cop,CMF pct cop,CMF daily position pnl,CMF daily commission,CMF investment amount,short CMF investment amount,long CMF investment amount,daily CMF borrow cost,VTEC cop,VTEC pct cop,VTEC daily position pnl,VTEC daily commission,VTEC investment amount,short VTEC investment amount,long VTEC investment amount,daily VTEC borrow cost,daily position pnl,daily total commissions,short investment amount,daily borrow cost,long daily position pnl,short daily position pnl,daily net profit,cumulative net profit,drawdown,gross investment amount,net investment amount
2026-01-02,2026-01-05,3,,57.56,,100.41,1.7444405837387074,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,2026-01-06,1,57.56,57.62,100.41,100.48,1.7438389448108298,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.05999999999999517,0.0010418476372152459,,,,,,,0.07000000000000739,0.0006968988285436159,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,2026-01-07,1,57.62,57.72,100.48,100.68,1.7442827442827444,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.10000000000000142,0.0017340042492876516,,,,,,,0.20000000000000284,0.001988467547226698,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,2026-01-08,1,57.72,57.69,100.68,100.67,1.7450164673253599,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,-0.030000000000001137,-0.0005198856368720542,,,,,,,-0.010000000000005116,-9.932952578319232e-05,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,2026-01-09,1,57.69,57.78,100.67,100.7,1.7428175839390794,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.09000000000000341,0.0015588467692910996,,,,,,,0.030000000000001137,0.00029795898318468874,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,2026-01-12,3,57.78,57.78,100.7,100.8,1.7445482866043613,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.0,0.0,,,,,,,0.09999999999999432,0.000992555912751643,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,2026-01-13,1,57.78,57.79,100.8,100.82,1.7445924900501817,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.00999999999999801,0.00017305529159733748,,,,,,,0.01999999999999602,0.0001983930172165418,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,2026-01-14,1,57.79,57.83,100.82,100.92,1.7451149922185718,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.03999999999999915,0.00069192184044017,,,,,,,0.10000000000000853,0.0009913751183723393,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,2026-01-15,1,57.83,57.87,100.92,100.91,1.7437359599101434,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.03999999999999915,0.0006914434156204826,,,,,,,-0.010000000000005116,-9.909329641966718e-05,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,2026-01-16,1,57.87,57.85,100.91,100.9,1.7441659464131374,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,-0.01999999999999602,-0.00034566194606175545,,,,,,,-0.009999999999990905,-9.910311687403651e-05,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,2026-01-20,4,57.85,57.6,100.9,100.61,1.746701388888889,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,-0.25,-0.0043308859378400795,,,,,,,-0.29000000000000625,-0.002878271055603995,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,2026-01-21,1,57.6,57.76,100.61,100.7,1.743421052631579,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.1599999999999966,0.0027739268827252244,,,,,,,0.09000000000000341,0.0008941434205573417,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,2026-01-22,1,57.76,57.74,100.7,100.64,1.7429857984066504,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,-0.01999999999999602,-0.0003463203497817232,,,,,,,-0.060000000000002274,-0.000596006772386245,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
