date,FSTA,VDC,XLP,FSTA scalar,VDC scalar,XLP scalar,FSTA unit price div,FSTA unit price no div,VDC unit price div,VDC unit price no div,XLP unit price div,XLP unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
6/25/2026,52.97,227.23,83.94,4.329231261,1,2.325458364,227.4011799,227.4586799,227.23,227.23,229.0383751,229.1497751,229.0383751,227.23,0.79%,XLP unit price div,VDC unit price div,229.1497751,227.23,0.84%,XLP unit price no div,VDC unit price no div
6/26/2026,53.49,229.65,84.71,4.329231261,1,2.325458364,229.6523801,229.7098801,229.65,229.65,230.828978,230.940378,230.828978,229.65,0.51%,XLP unit price div,VDC unit price div,230.940378,229.65,0.56%,XLP unit price no div,VDC unit price no div
6/29/2026,53.29,228.79,84.37,4.329231261,1,2.325458364,228.7865339,228.8440339,228.79,228.79,230.0383222,230.1497222,230.0383222,228.7865339,0.55%,XLP unit price div,FSTA unit price div,230.1497222,228.79,0.59%,XLP unit price no div,VDC unit price no div
6/30/2026,52.54,225.49,83.07,4.329231261,1,2.325458364,225.5396104,225.5971104,225.49,225.49,227.0152263,227.1266263,227.0152263,225.49,0.67%,XLP unit price div,VDC unit price div,227.1266263,225.49,0.72%,XLP unit price no div,VDC unit price no div
7/1/2026,52.58,225.95,83.3,4.329231261,1,2.325458364,225.7127797,225.7702797,225.95,225.95,227.5500817,227.6614817,227.5500817,225.7127797,0.81%,XLP unit price div,FSTA unit price div,227.6614817,225.7702797,0.83%,XLP unit price no div,FSTA unit price no div
7/2/2026,53.7,230.45,84.99,4.329231261,1,2.325458364,230.5615187,230.6190187,230.45,230.45,231.4801064,231.5915064,231.4801064,230.45,0.45%,XLP unit price div,VDC unit price div,231.5915064,230.45,0.49%,XLP unit price no div,VDC unit price no div
7/6/2026,53.18,228.2,84.1,4.329231261,1,2.325458364,228.3103184,228.3678184,228.2,228.2,229.4104484,229.5218484,229.4104484,228.2,0.53%,XLP unit price div,VDC unit price div,229.5218484,228.2,0.58%,XLP unit price no div,VDC unit price no div
7/7/2026,53.59,230.1,84.86,4.329231261,1,2.325458364,230.0853033,230.1428033,230.1,230.1,231.1777968,231.2891968,231.1777968,230.0853033,0.47%,XLP unit price div,FSTA unit price div,231.2891968,230.1,0.52%,XLP unit price no div,VDC unit price no div
7/8/2026,53.3,228.81,84.39,4.329231261,1,2.325458364,228.8298262,228.8873262,228.81,228.81,230.0848313,230.1962313,230.0848313,228.81,0.56%,XLP unit price div,VDC unit price div,230.1962313,228.81,0.60%,XLP unit price no div,VDC unit price no div
7/9/2026,52.57,225.6,83.2,4.329231261,1,2.325458364,225.6694874,225.7269874,225.6,225.6,227.3175359,227.4289359,227.3175359,225.6,0.76%,XLP unit price div,VDC unit price div,227.4289359,225.6,0.81%,XLP unit price no div,VDC unit price no div
7/10/2026,53.1,228.14,84.12,4.329231261,1,2.325458364,227.9639799,228.0214799,228.14,228.14,229.4569576,229.5683576,229.4569576,227.9639799,0.65%,XLP unit price div,FSTA unit price div,229.5683576,228.0214799,0.68%,XLP unit price no div,FSTA unit price no div
7/13/2026,53.4,229.27,84.59,4.329231261,1,2.325458364,229.2627493,229.3202493,229.27,229.27,230.549923,230.661323,230.549923,229.2627493,0.56%,XLP unit price div,FSTA unit price div,230.661323,229.27,0.61%,XLP unit price no div,VDC unit price no div
7/14/2026,52.74,226.29,83.42,4.329231261,1,2.325458364,226.4054567,226.4629567,226.29,226.29,227.8291367,227.9405367,227.8291367,226.29,0.68%,XLP unit price div,VDC unit price div,227.9405367,226.29,0.73%,XLP unit price no div,VDC unit price no div
7/15/2026,52.68,226.34,83.47,4.329231261,1,2.325458364,226.1457028,226.2032028,226.34,226.34,227.9454097,228.0568097,227.9454097,226.1457028,0.79%,XLP unit price div,FSTA unit price div,228.0568097,226.2032028,0.82%,XLP unit price no div,FSTA unit price no div
