date,FENY,IYE,VDE,XLE,FENY scalar,IYE scalar,VDE scalar,XLE scalar,FENY unit price div,FENY unit price no div,IYE unit price div,IYE unit price no div,VDE unit price div,VDE unit price no div,XLE unit price div,XLE unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
6/25/2026,30.02,57.5,152.54,54.09,5.097790053,2.661110548,1,2.738800444,152.6225574,152.6610574,153.7158565,153.5063565,152.54,152.54,153.683716,153.705716,153.7158565,152.54,0.77%,IYE unit price div,VDE unit price div,153.705716,152.54,0.76%,XLE unit price no div,VDE unit price no div
6/26/2026,29.91,57.22,152.07,53.84,5.097790053,2.661110548,1,2.738800444,152.0618005,152.1003005,152.9707456,152.7612456,152.07,152.07,152.9990159,153.0210159,152.9990159,152.0618005,0.61%,XLE unit price div,FENY unit price div,153.0210159,152.07,0.62%,XLE unit price no div,VDE unit price no div
6/29/2026,29.76,56.97,151.28,53.58,5.097790053,2.661110548,1,2.738800444,151.297132,151.335632,152.3054679,152.0959679,151.28,151.28,152.2869278,152.3089278,152.3054679,151.28,0.68%,IYE unit price div,VDE unit price div,152.3089278,151.28,0.68%,XLE unit price no div,VDE unit price no div
6/30/2026,29.56,56.59,150.13,53.11,5.097790053,2.661110548,1,2.738800444,150.277574,150.316074,151.2942459,151.0847459,150.13,150.13,150.9996916,151.0216916,151.2942459,150.13,0.77%,IYE unit price div,VDE unit price div,151.0847459,150.13,0.63%,IYE unit price no div,VDE unit price no div
7/1/2026,29.38,56.29,149.33,52.81,5.097790053,2.661110548,1,2.738800444,149.3599718,149.3984718,150.4959127,150.2864127,149.33,149.33,150.1780515,150.2000515,150.4959127,149.33,0.78%,IYE unit price div,VDE unit price div,150.2864127,149.33,0.64%,IYE unit price no div,VDE unit price no div
7/2/2026,29.62,56.75,150.44,53.22,5.097790053,2.661110548,1,2.738800444,150.5834414,150.6219414,151.7200236,151.5105236,150.44,150.44,151.3009596,151.3229596,151.7200236,150.44,0.85%,IYE unit price div,VDE unit price div,151.5105236,150.44,0.71%,IYE unit price no div,VDE unit price no div
7/6/2026,29.54,56.67,150.15,53.13,5.097790053,2.661110548,1,2.738800444,150.1756182,150.2141182,151.5071348,151.2976348,150.15,150.15,151.0544676,151.0764676,151.5071348,150.15,0.90%,IYE unit price div,VDE unit price div,151.2976348,150.15,0.76%,IYE unit price no div,VDE unit price no div
7/7/2026,30.37,58.21,154.33,54.64,5.097790053,2.661110548,1,2.738800444,154.4067839,154.4452839,155.605245,155.395745,154.33,154.33,155.1900563,155.2120563,155.605245,154.33,0.82%,IYE unit price div,VDE unit price div,155.395745,154.33,0.69%,IYE unit price no div,VDE unit price no div
7/8/2026,30.88,59.12,156.94,55.6,5.097790053,2.661110548,1,2.738800444,157.0066568,157.0451568,158.0268556,157.8173556,156.94,156.94,157.8193047,157.8413047,158.0268556,156.94,0.69%,IYE unit price div,VDE unit price div,157.8413047,156.94,0.57%,XLE unit price no div,VDE unit price no div
7/9/2026,30.45,58.32,154.81,54.82,5.097790053,2.661110548,1,2.738800444,154.8146071,154.8531071,155.8979672,155.6884672,154.81,154.81,155.6830404,155.7050404,155.8979672,154.81,0.70%,IYE unit price div,VDE unit price div,155.7050404,154.81,0.58%,XLE unit price no div,VDE unit price no div
7/10/2026,30.6,58.6,155.5,55.08,5.097790053,2.661110548,1,2.738800444,155.5792756,155.6177756,156.6430781,156.4335781,155.5,155.5,156.3951285,156.4171285,156.6430781,155.5,0.73%,IYE unit price div,VDE unit price div,156.4335781,155.5,0.60%,IYE unit price no div,VDE unit price no div
