,bop date,eop date,day count,bop FDIS price,eop FDIS price,bop XLY price,eop XLY price,bop VCR price,eop VCR price,eop VCR / eop FDIS,eop VCR / FDIS moving avg,bop VCR / FDIS moving avg,eop FDIS unit price,eop VCR / eop XLY,eop VCR / XLY moving avg,bop VCR / XLY moving avg,eop XLY unit price,eop VCR / eop VCR,eop VCR / VCR moving avg,bop VCR / VCR moving avg,eop VCR unit price,FDIS unit price pct diff,XLY unit price pct diff,VCR unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,FDIS shares per unit,eop FDIS shares,bop FDIS shares,eop FDIS shares traded,eop FDIS shares bought,eop FDIS shares sold,XLY shares per unit,eop XLY shares,bop XLY shares,eop XLY shares traded,eop XLY shares bought,eop XLY shares sold,VCR shares per unit,eop VCR shares,bop VCR shares,eop VCR shares traded,eop VCR shares bought,eop VCR shares sold,FDIS daily commission,FDIS cop,FDIS pct cop,FDIS daily position pnl,FDIS investment amount,short FDIS investment amount,long FDIS investment amount,daily FDIS borrow cost,XLY daily commission,XLY cop,XLY pct cop,XLY daily position pnl,XLY investment amount,short XLY investment amount,long XLY investment amount,daily XLY borrow cost,VCR daily commission,VCR cop,VCR pct cop,VCR daily position pnl,VCR investment amount,short VCR investment amount,long VCR investment amount,daily VCR borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,76.47,,86.785,,294.83,3.855498888452988,,,,3.3972460678688714,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,76.47,75.96,86.785,86.175,294.83,292.73,3.853738809899948,,,,3.396924862199014,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.5100000000000051,-0.006691621112048693,,,,,,,-0.6099999999999994,-0.00705368326991586,,,,,,,-2.099999999999966,-0.007148236578451315,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,75.96,76.13,86.175,86.31,292.73,293.38,3.8536713516353607,,,,3.3991426254199975,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.1700000000000017,0.0022355193740360955,,,,,,,0.13500000000000512,0.0015653538286372396,,,,,,,0.6499999999999773,0.0022180145927476274,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,76.13,77.42,86.31,87.78,293.38,298.6,3.856884525962284,,,,3.4016860332649808,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,1.2900000000000063,0.01680273983138101,,,,,,,1.4699999999999989,0.016888218028521796,,,,,,,5.220000000000027,0.017636188045473317,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,77.42,77.2,87.78,87.455,298.6,297.51,3.8537564766839374,,,,3.401863815676634,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.21999999999999886,-0.002845688118771513,,,,,,,-0.32500000000000284,-0.0037093089010614526,,,,,,,-1.0900000000000318,-0.0036570472389466655,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,77.2,77.82,87.455,88.155,297.51,300.13,3.856720637368286,,,,3.40457149339232,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.6199999999999903,0.007999010525677013,,,,,,,0.7000000000000028,0.007972253373696954,,,,,,,2.6200000000000045,0.008767876261616757,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,77.82,77.76,88.155,88.04,300.13,299.59,3.852752057613168,,,,3.402885052248977,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.05999999999998806,-0.0007713074042237588,,,,,,,-0.11499999999999488,-0.001305372074462452,,,,,,,-0.5400000000000205,-0.0018008408788643185,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,77.76,76.93,88.04,86.98,299.59,296.38,3.852593266606005,,,,3.407449988503104,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.8299999999999983,-0.01073124268134032,,,,,,,-1.0600000000000023,-0.012113049488768552,,,,,,,-3.2099999999999795,-0.010772458486863376,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,76.93,76.78,86.98,86.88,296.38,295.83,3.852956499088304,,,,3.405041436464088,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.15000000000000568,-0.0019517278981916915,,,,,,,-0.10000000000000853,-0.001150350983867116,,,,,,,-0.5500000000000114,-0.0018574497496849705,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,76.78,76.1,86.88,86.12,295.83,293.36,3.8549277266754274,,,,3.4064096609382255,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.6800000000000068,-0.008895924705011632,,,,,,,-0.7599999999999909,-0.008786183689462976,,,,,,,-2.4699999999999704,-0.008384441249276777,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
