,bop date,eop date,day count,bop FIDU price,eop FIDU price,bop IYJ price,eop IYJ price,bop XLI price,eop XLI price,bop VIS price,eop VIS price,eop VIS / eop FIDU,eop VIS / FIDU moving avg,bop VIS / FIDU moving avg,eop FIDU unit price,eop VIS / eop IYJ,eop VIS / IYJ moving avg,bop VIS / IYJ moving avg,eop IYJ unit price,eop VIS / eop XLI,eop VIS / XLI moving avg,bop VIS / XLI moving avg,eop XLI unit price,eop VIS / eop VIS,eop VIS / VIS moving avg,bop VIS / VIS moving avg,eop VIS unit price,FIDU unit price pct diff,IYJ unit price pct diff,XLI unit price pct diff,VIS unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,FIDU shares per unit,eop FIDU shares,bop FIDU shares,eop FIDU shares traded,eop FIDU shares bought,eop FIDU shares sold,IYJ shares per unit,eop IYJ shares,bop IYJ shares,eop IYJ shares traded,eop IYJ shares bought,eop IYJ shares sold,XLI shares per unit,eop XLI shares,bop XLI shares,eop XLI shares traded,eop XLI shares bought,eop XLI shares sold,VIS shares per unit,eop VIS shares,bop VIS shares,eop VIS shares traded,eop VIS shares bought,eop VIS shares sold,FIDU daily commission,FIDU cop,FIDU pct cop,FIDU daily position pnl,FIDU investment amount,short FIDU investment amount,long FIDU investment amount,daily FIDU borrow cost,IYJ daily commission,IYJ cop,IYJ pct cop,IYJ daily position pnl,IYJ investment amount,short IYJ investment amount,long IYJ investment amount,daily IYJ borrow cost,XLI daily commission,XLI cop,XLI pct cop,XLI daily position pnl,XLI investment amount,short XLI investment amount,long XLI investment amount,daily XLI borrow cost,VIS daily commission,VIS cop,VIS pct cop,VIS daily position pnl,VIS investment amount,short VIS investment amount,long VIS investment amount,daily VIS borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,59.57,,111.53,,111.16,,214.01,3.592580157797549,,,,1.9188559132072087,,,,1.925242893127024,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,59.57,59.56,111.53,111.66,111.16,111.3,214.01,214.49,3.6012424445936873,,,,1.9209206519792228,,,,1.9271338724168914,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00999999999999801,-0.00016788382478784584,,,,,,,0.12999999999999545,0.0011649268757687747,,,,,,,0.14000000000000057,0.0012586534071961062,,,,,,,0.4800000000000182,0.002240374332653814,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,59.56,59.61,111.66,111.93,111.3,111.43,214.49,214.5,3.598389531957725,,,,1.9163763066202089,,,,1.92497532082922,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.04999999999999716,0.000839137416026835,,,,,,,0.27000000000001023,0.0024151360189619444,,,,,,,0.13000000000000966,0.0011673327774635522,,,,,,,0.009999999999990905,4.662113336813381e-05,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,59.61,60.0,111.93,112.81,111.43,112.16,214.5,216.05,3.6008333333333336,,,,1.9151670951156814,,,,1.92626604850214,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.39000000000000057,0.006521216990265552,,,,,,,0.8799999999999955,0.007831311715652805,,,,,,,0.7299999999999898,0.006529832227317216,,,,,,,1.5500000000000114,0.0072001240098705675,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,60.0,59.81,112.81,112.44,112.16,111.81,216.05,215.29,3.5995652900852697,,,,1.9147100675916044,,,,1.925498613719703,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18999999999999773,-0.003171691165635019,,,,,,,-0.37000000000000455,-0.0032852415784978585,,,,,,,-0.3499999999999943,-0.003125421127003209,,,,,,,-0.7600000000000193,-0.0035239059047047524,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,59.81,60.1,112.44,112.83,111.81,112.38,215.29,216.25,3.598169717138103,,,,1.9166001949836038,,,,1.924274781989678,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.28999999999999915,0.004836970484696133,,,,,,,0.39000000000000057,0.00346251511202351,,,,,,,0.5699999999999932,0.005084983524775254,,,,,,,0.960000000000008,0.0044491893387512155,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,60.1,60.01,112.83,112.62,112.38,112.12,216.25,215.82,3.596400599900017,,,,1.916355887053809,,,,1.924901890831252,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09000000000000341,-0.0014986265397404588,,,,,,,-0.20999999999999375,-0.0018629413238821575,,,,,,,-0.2599999999999909,-0.002316259387464557,,,,,,,-0.4300000000000068,-0.0019904188764011442,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,60.01,60.03,112.62,112.76,112.12,112.11,215.82,215.78,3.594536065300683,,,,1.9136218517204682,,,,1.9247167960039246,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.020000000000003126,0.0003332222623302721,,,,,,,0.14000000000000057,0.001242346419439421,,,,,,,-0.010000000000005116,-8.919413108538441e-05,,,,,,,-0.03999999999999204,-0.00018535681239348762,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,60.03,59.44,112.76,111.85,112.11,110.98,215.78,213.73,3.595726783310902,,,,1.9108627626285204,,,,1.9258424941430887,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5900000000000034,-0.009877036854248086,,,,,,,-0.9100000000000108,-0.008102978309773322,,,,,,,-1.1299999999999955,-0.010130527267746952,,,,,,,-2.0500000000000114,-0.009545833935474793,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,59.44,59.07,111.85,111.23,110.98,110.23,213.73,212.18,3.592009480277637,,,,1.9075788905870719,,,,1.924884332758777,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36999999999999744,-0.006244219090359785,,,,,,,-0.6199999999999903,-0.005558558332200609,,,,,,,-0.75,-0.00678091292253105,,,,,,,-1.549999999999983,-0.007278565156593731,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
