date,IYF,VFH,XLF,IYF scalar,VFH scalar,XLF scalar,IYF unit price div,IYF unit price no div,VFH unit price div,VFH unit price no div,XLF unit price div,XLF unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
6/25/2026,127.62,131.01,53.45,1.024704366,1,2.601187593,131.0935711,130.6314711,131.01,131.01,131.5006768,131.1354768,131.5006768,131.01,0.37%,XLF unit price div,VFH unit price div,131.1354768,130.6314711,0.39%,XLF unit price no div,IYF unit price no div
6/26/2026,127.85,131.46,53.57,1.024704366,1,2.601187593,131.3292531,130.8671531,131.46,131.46,131.8128194,131.4476194,131.8128194,131.3292531,0.37%,XLF unit price div,IYF unit price div,131.46,130.8671531,0.45%,VFH unit price no div,IYF unit price no div
6/29/2026,127.72,131.75,53.72,1.024704366,1,2.601187593,131.1960416,130.7339416,131.75,131.75,132.2029975,131.8377975,132.2029975,131.1960416,0.76%,XLF unit price div,IYF unit price div,131.8377975,130.7339416,0.84%,XLF unit price no div,IYF unit price no div
6/30/2026,127.51,131.6,53.61,1.024704366,1,2.601187593,130.9808537,130.5187537,131.6,131.6,131.9168669,131.5516669,131.9168669,130.9808537,0.71%,XLF unit price div,IYF unit price div,131.6,130.5187537,0.83%,VFH unit price no div,IYF unit price no div
7/1/2026,130.23,134.35,54.78,1.024704366,1,2.601187593,133.7680495,133.3059495,134.35,134.35,134.9602563,134.5950563,134.9602563,133.7680495,0.89%,XLF unit price div,IYF unit price div,134.5950563,133.3059495,0.96%,XLF unit price no div,IYF unit price no div
7/2/2026,131.89,136.18,55.62,1.024704366,1,2.601187593,135.4690588,135.0069588,136.18,136.18,137.1452539,136.7800539,137.1452539,135.4690588,1.23%,XLF unit price div,IYF unit price div,136.7800539,135.0069588,1.30%,XLF unit price no div,IYF unit price no div
7/6/2026,133.62,137.48,56.14,1.024704366,1,2.601187593,137.2417973,136.7796973,137.48,137.48,138.4978715,138.1326715,138.4978715,137.2417973,0.91%,XLF unit price div,IYF unit price div,138.1326715,136.7796973,0.98%,XLF unit price no div,IYF unit price no div
7/7/2026,133.6,137.15,56.05,1.024704366,1,2.601187593,137.2213032,136.7592032,137.15,137.15,138.2637646,137.8985646,138.2637646,137.15,0.81%,XLF unit price div,VFH unit price div,137.8985646,136.7592032,0.83%,XLF unit price no div,IYF unit price no div
7/8/2026,131.23,134.5,54.97,1.024704366,1,2.601187593,134.7927539,134.3306539,134.5,134.5,135.454482,135.089282,135.454482,134.5,0.71%,XLF unit price div,VFH unit price div,135.089282,134.3306539,0.56%,XLF unit price no div,IYF unit price no div
7/9/2026,132.5,135.99,55.54,1.024704366,1,2.601187593,136.0941284,135.6320284,135.99,135.99,136.9371589,136.5719589,136.9371589,135.99,0.69%,XLF unit price div,VFH unit price div,136.5719589,135.6320284,0.69%,XLF unit price no div,IYF unit price no div
7/10/2026,132.95,136.45,55.71,1.024704366,1,2.601187593,136.5552454,136.0931454,136.45,136.45,137.3793608,137.0141608,137.3793608,136.45,0.68%,XLF unit price div,VFH unit price div,137.0141608,136.0931454,0.67%,XLF unit price no div,IYF unit price no div
7/13/2026,133.3,137.24,56.07,1.024704366,1,2.601187593,136.9138919,136.4517919,137.24,137.24,138.3157883,137.9505883,138.3157883,136.9138919,1.02%,XLF unit price div,IYF unit price div,137.9505883,136.4517919,1.09%,XLF unit price no div,IYF unit price no div
7/14/2026,133.64,137.61,56.18,1.024704366,1,2.601187593,137.2622914,136.8001914,137.61,137.61,138.601919,138.236719,138.601919,137.2622914,0.97%,XLF unit price div,IYF unit price div,138.236719,136.8001914,1.04%,XLF unit price no div,IYF unit price no div
7/15/2026,134.5,138.45,56.56,1.024704366,1,2.601187593,138.1435372,137.6814372,138.45,138.45,139.5903703,139.2251703,139.5903703,138.1435372,1.04%,XLF unit price div,IYF unit price div,139.2251703,137.6814372,1.11%,XLF unit price no div,IYF unit price no div
7/16/2026,134.56,139.19,56.75,1.024704366,1,2.601187593,138.2050194,137.7429194,139.19,139.19,140.0845959,139.7193959,140.0845959,138.2050194,1.35%,XLF unit price div,IYF unit price div,139.7193959,137.7429194,1.42%,XLF unit price no div,IYF unit price no div
7/17/2026,133.63,137.94,56.26,1.024704366,1,2.601187593,137.2520444,136.7899444,137.94,137.94,138.810014,138.444814,138.810014,137.2520444,1.13%,XLF unit price div,IYF unit price div,138.444814,136.7899444,1.20%,XLF unit price no div,IYF unit price no div
7/20/2026,132.92,137.35,56.04,1.024704366,1,2.601187593,136.5245043,136.0624043,137.35,137.35,138.2377527,137.8725527,138.2377527,136.5245043,1.25%,XLF unit price div,IYF unit price div,137.8725527,136.0624043,1.32%,XLF unit price no div,IYF unit price no div
7/21/2026,133.25,137.44,56.11,1.024704366,1,2.601187593,136.8626567,136.4005567,137.44,137.44,138.4198358,138.0546358,138.4198358,136.8626567,1.13%,XLF unit price div,IYF unit price div,138.0546358,136.4005567,1.21%,XLF unit price no div,IYF unit price no div
7/22/2026,133.28,137.16,56.05,1.024704366,1,2.601187593,136.8933978,136.4312978,137.16,137.16,138.2637646,137.8985646,138.2637646,136.8933978,1.00%,XLF unit price div,IYF unit price div,137.8985646,136.4312978,1.07%,XLF unit price no div,IYF unit price no div
