date,FHLC,IYH,VHT,XLV,FHLC scalar,IYH scalar,VHT scalar,XLV scalar,FHLC unit price div,FHLC unit price no div,IYH unit price div,IYH unit price no div,VHT unit price div,VHT unit price no div,XLV unit price div,XLV unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
6/25/2026,75.69,65.66,293.03,155.63,3.824631587,4.248448464,1,1.749900198,292.7007648,292.7198648,290.5590261,290.2664261,293.03,293.03,289.3785677,289.5400677,293.03,289.3785677,1.25%,VHT unit price div,XLV unit price div,293.03,289.5400677,1.20%,VHT unit price no div,XLV unit price no div
6/26/2026,77.87,67.64,301.43,160.34,3.824631587,4.248448464,1,1.749900198,301.0384617,301.0575617,298.9709541,298.6783541,301.43,301.43,297.6205977,297.7820977,301.43,297.6205977,1.27%,VHT unit price div,XLV unit price div,301.43,297.7820977,1.22%,VHT unit price no div,XLV unit price no div
6/29/2026,78.12,67.93,302.43,160.74,3.824631587,4.248448464,1,1.749900198,301.9946196,302.0137196,300.2030042,299.9104042,302.43,302.43,298.3205578,298.4820578,302.43,298.3205578,1.37%,VHT unit price div,XLV unit price div,302.43,298.4820578,1.31%,VHT unit price no div,XLV unit price no div
6/30/2026,77.25,67.01,299.01,158.66,3.824631587,4.248448464,1,1.749900198,298.6671901,298.6862901,296.2944316,296.0018316,299.01,299.01,294.6807653,294.8422653,299.01,294.6807653,1.46%,VHT unit price div,XLV unit price div,299.01,294.8422653,1.40%,VHT unit price no div,XLV unit price no div
7/1/2026,77.7,67.44,300.84,159.54,3.824631587,4.248448464,1,1.749900198,300.3882743,300.4073743,298.1212644,297.8286644,300.84,300.84,296.2206775,296.3821775,300.84,296.2206775,1.55%,VHT unit price div,XLV unit price div,300.84,296.3821775,1.49%,VHT unit price no div,XLV unit price no div
7/2/2026,79.67,69.21,308.41,163.74,3.824631587,4.248448464,1,1.749900198,307.9227986,307.9418986,305.6410182,305.3484182,308.41,308.41,303.5702584,303.7317584,308.41,303.5702584,1.58%,VHT unit price div,XLV unit price div,308.41,303.7317584,1.53%,VHT unit price no div,XLV unit price no div
7/6/2026,79.03,68.57,305.8,161.96,3.824631587,4.248448464,1,1.749900198,305.4750343,305.4941343,302.9220112,302.6294112,305.8,305.8,300.455436,300.616936,305.8,300.455436,1.76%,VHT unit price div,XLV unit price div,305.8,300.616936,1.71%,VHT unit price no div,XLV unit price no div
7/7/2026,80.15,69.57,310.29,164.44,3.824631587,4.248448464,1,1.749900198,309.7586217,309.7777217,307.1704596,306.8778596,310.29,310.29,304.7951885,304.9566885,310.29,304.7951885,1.79%,VHT unit price div,XLV unit price div,310.29,304.9566885,1.73%,VHT unit price no div,XLV unit price no div
7/8/2026,79.17,68.56,306.41,162.3,3.824631587,4.248448464,1,1.749900198,306.0104828,306.0295828,302.8795267,302.5869267,306.41,306.41,301.0504021,301.2119021,306.41,301.0504021,1.76%,VHT unit price div,XLV unit price div,306.41,301.2119021,1.71%,VHT unit price no div,XLV unit price no div
7/9/2026,79.21,68.62,306.54,162.17,3.824631587,4.248448464,1,1.749900198,306.163468,306.182568,303.1344336,302.8418336,306.54,306.54,300.822915,300.984415,306.54,300.822915,1.88%,VHT unit price div,XLV unit price div,306.54,300.984415,1.83%,VHT unit price no div,XLV unit price no div
