date,FIDU,XLI,FIDU scalar,XLI scalar,FIDU unit price div,FIDU unit price no div,XLI unit price div,XLI unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
6/25/2026,99,184.12,1.596885434,1,181.707158,181.603158,184.12,184.12,184.12,181.707158,1.32%,XLI unit price div,FIDU unit price div,184.12,181.603158,1.38%,XLI unit price no div,FIDU unit price no div
6/26/2026,97.19,181.2,1.596885434,1,178.8167954,178.7127954,181.2,181.2,181.2,178.8167954,1.32%,XLI unit price div,FIDU unit price div,181.2,178.7127954,1.38%,XLI unit price no div,FIDU unit price no div
6/29/2026,98.2,182.76,1.596885434,1,180.4296496,180.3256496,182.76,182.76,182.76,180.4296496,1.28%,XLI unit price div,FIDU unit price div,182.76,180.3256496,1.34%,XLI unit price no div,FIDU unit price no div
6/30/2026,99.61,185.23,1.596885434,1,182.6812581,182.5772581,185.23,185.23,185.23,182.6812581,1.39%,XLI unit price div,FIDU unit price div,185.23,182.5772581,1.44%,XLI unit price no div,FIDU unit price no div
7/1/2026,98.26,183.36,1.596885434,1,180.5254628,180.4214628,183.36,183.36,183.36,180.5254628,1.56%,XLI unit price div,FIDU unit price div,183.36,180.4214628,1.62%,XLI unit price no div,FIDU unit price no div
7/2/2026,98.25,183.91,1.596885434,1,180.5094939,180.4054939,183.91,183.91,183.91,180.5094939,1.87%,XLI unit price div,FIDU unit price div,183.91,180.4054939,1.92%,XLI unit price no div,FIDU unit price no div
7/6/2026,99.03,185.56,1.596885434,1,181.7550646,181.6510646,185.56,185.56,185.56,181.7550646,2.07%,XLI unit price div,FIDU unit price div,185.56,181.6510646,2.13%,XLI unit price no div,FIDU unit price no div
7/7/2026,97.09,182.38,1.596885434,1,178.6571068,178.5531068,182.38,182.38,182.38,178.6571068,2.06%,XLI unit price div,FIDU unit price div,182.38,178.5531068,2.12%,XLI unit price no div,FIDU unit price no div
7/8/2026,96.07,180.42,1.596885434,1,177.0282837,176.9242837,180.42,180.42,180.42,177.0282837,1.90%,XLI unit price div,FIDU unit price div,180.42,176.9242837,1.96%,XLI unit price no div,FIDU unit price no div
7/9/2026,96.49,181.11,1.596885434,1,177.6989756,177.5949756,181.11,181.11,181.11,177.6989756,1.90%,XLI unit price div,FIDU unit price div,181.11,177.5949756,1.96%,XLI unit price no div,FIDU unit price no div
7/10/2026,96.83,181.92,1.596885434,1,178.2419166,178.1379166,181.92,181.92,181.92,178.2419166,2.04%,XLI unit price div,FIDU unit price div,181.92,178.1379166,2.10%,XLI unit price no div,FIDU unit price no div
7/13/2026,95.85,180.37,1.596885434,1,176.6769689,176.5729689,180.37,180.37,180.37,176.6769689,2.07%,XLI unit price div,FIDU unit price div,180.37,176.5729689,2.13%,XLI unit price no div,FIDU unit price no div
7/14/2026,96.11,180.45,1.596885434,1,177.0921591,176.9881591,180.45,180.45,180.45,177.0921591,1.88%,XLI unit price div,FIDU unit price div,180.45,176.9881591,1.94%,XLI unit price no div,FIDU unit price no div
7/15/2026,96,180.06,1.596885434,1,176.9165017,176.8125017,180.06,180.06,180.06,176.9165017,1.76%,XLI unit price div,FIDU unit price div,180.06,176.8125017,1.82%,XLI unit price no div,FIDU unit price no div
7/16/2026,95.87,180.15,1.596885434,1,176.7089066,176.6049066,180.15,180.15,180.15,176.7089066,1.93%,XLI unit price div,FIDU unit price div,180.15,176.6049066,1.99%,XLI unit price no div,FIDU unit price no div
7/17/2026,95.47,179.41,1.596885434,1,176.0701524,175.9661524,179.41,179.41,179.41,176.0701524,1.88%,XLI unit price div,FIDU unit price div,179.41,175.9661524,1.94%,XLI unit price no div,FIDU unit price no div
7/20/2026,94.55,178.12,1.596885434,1,174.6010178,174.4970178,178.12,178.12,178.12,174.6010178,2.00%,XLI unit price div,FIDU unit price div,178.12,174.4970178,2.05%,XLI unit price no div,FIDU unit price no div
7/21/2026,95.26,178.66,1.596885434,1,175.7348065,175.6308065,178.66,178.66,178.66,175.7348065,1.65%,XLI unit price div,FIDU unit price div,178.66,175.6308065,1.71%,XLI unit price no div,FIDU unit price no div
7/22/2026,95.38,178.85,1.596885434,1,175.9264327,175.8224327,178.85,178.85,178.85,175.9264327,1.65%,XLI unit price div,FIDU unit price div,178.85,175.8224327,1.71%,XLI unit price no div,FIDU unit price no div
7/23/2026,96.77,181.94,1.596885434,1,178.1461035,178.0421035,181.94,181.94,181.94,178.1461035,2.11%,XLI unit price div,FIDU unit price div,181.94,178.0421035,2.17%,XLI unit price no div,FIDU unit price no div
7/24/2026,96.84,182.66,1.596885434,1,178.2578855,178.1538855,182.66,182.66,182.66,178.2578855,2.44%,XLI unit price div,FIDU unit price div,182.66,178.1538855,2.50%,XLI unit price no div,FIDU unit price no div
7/27/2026,97.08,183.2,1.596885434,1,178.641138,178.537138,183.2,183.2,183.2,178.641138,2.52%,XLI unit price div,FIDU unit price div,183.2,178.537138,2.58%,XLI unit price no div,FIDU unit price no div
7/28/2026,96.59,182.49,1.596885434,1,177.8586641,177.7546641,182.49,182.49,182.49,177.8586641,2.57%,XLI unit price div,FIDU unit price div,182.49,177.7546641,2.63%,XLI unit price no div,FIDU unit price no div
7/29/2026,93.32,176.66,1.596885434,1,172.6368487,172.5328487,176.66,176.66,176.66,172.6368487,2.30%,XLI unit price div,FIDU unit price div,176.66,172.5328487,2.36%,XLI unit price no div,FIDU unit price no div
7/30/2026,94.44,178.39,1.596885434,1,174.4253604,174.3213604,178.39,178.39,178.39,174.4253604,2.25%,XLI unit price div,FIDU unit price div,178.39,174.3213604,2.31%,XLI unit price no div,FIDU unit price no div
7/31/2026,95.22,179.84,1.596885434,1,175.670931,175.566931,179.84,179.84,179.84,175.670931,2.35%,XLI unit price div,FIDU unit price div,179.84,175.566931,2.40%,XLI unit price no div,FIDU unit price no div
8/3/2026,97.14,183.16,1.596885434,1,178.7369511,178.6329511,183.16,183.16,183.16,178.7369511,2.44%,XLI unit price div,FIDU unit price div,183.16,178.6329511,2.50%,XLI unit price no div,FIDU unit price no div
8/4/2026,98.98,186.4,1.596885434,1,181.6752203,181.5712203,186.4,186.4,186.4,181.6752203,2.57%,XLI unit price div,FIDU unit price div,186.4,181.5712203,2.62%,XLI unit price no div,FIDU unit price no div
8/5/2026,98.89,186.35,1.596885434,1,181.5315006,181.4275006,186.35,186.35,186.35,181.5315006,2.62%,XLI unit price div,FIDU unit price div,186.35,181.4275006,2.68%,XLI unit price no div,FIDU unit price no div
8/6/2026,98.17,184.76,1.596885434,1,180.3817431,180.2777431,184.76,184.76,184.76,180.3817431,2.40%,XLI unit price div,FIDU unit price div,184.76,180.2777431,2.46%,XLI unit price no div,FIDU unit price no div
8/7/2026,98.61,185.18,1.596885434,1,181.0843727,180.9803727,185.18,185.18,185.18,181.0843727,2.24%,XLI unit price div,FIDU unit price div,185.18,180.9803727,2.29%,XLI unit price no div,FIDU unit price no div
8/10/2026,98.05,184.6,1.596885434,1,180.1901168,180.0861168,184.6,184.6,184.6,180.1901168,2.42%,XLI unit price div,FIDU unit price div,184.6,180.0861168,2.48%,XLI unit price no div,FIDU unit price no div
8/11/2026,98.67,185.7,1.596885434,1,181.1801858,181.0761858,185.7,185.7,185.7,181.1801858,2.46%,XLI unit price div,FIDU unit price div,185.7,181.0761858,2.52%,XLI unit price no div,FIDU unit price no div
8/12/2026,98.88,185.88,1.596885434,1,181.5155317,181.4115317,185.88,185.88,185.88,181.5155317,2.38%,XLI unit price div,FIDU unit price div,185.88,181.4115317,2.43%,XLI unit price no div,FIDU unit price no div
8/13/2026,98.83,185.79,1.596885434,1,181.4356875,181.3316875,185.79,185.79,185.79,181.4356875,2.37%,XLI unit price div,FIDU unit price div,185.79,181.3316875,2.43%,XLI unit price no div,FIDU unit price no div
8/14/2026,99.3,186.51,1.596885434,1,182.1862236,182.0822236,186.51,186.51,186.51,182.1862236,2.35%,XLI unit price div,FIDU unit price div,186.51,182.0822236,2.40%,XLI unit price no div,FIDU unit price no div
8/17/2026,99.19,186.32,1.596885434,1,182.0105662,181.9065662,186.32,186.32,186.32,182.0105662,2.34%,XLI unit price div,FIDU unit price div,186.32,181.9065662,2.40%,XLI unit price no div,FIDU unit price no div
8/18/2026,97.47,183.57,1.596885434,1,179.2639233,179.1599233,183.57,183.57,183.57,179.2639233,2.37%,XLI unit price div,FIDU unit price div,183.57,179.1599233,2.43%,XLI unit price no div,FIDU unit price no div
8/19/2026,96.63,181.95,1.596885434,1,177.9225395,177.8185395,181.95,181.95,181.95,177.9225395,2.24%,XLI unit price div,FIDU unit price div,181.95,177.8185395,2.30%,XLI unit price no div,FIDU unit price no div
8/20/2026,95.38,179.77,1.596885434,1,175.9264327,175.8224327,179.77,179.77,179.77,175.9264327,2.16%,XLI unit price div,FIDU unit price div,179.77,175.8224327,2.22%,XLI unit price no div,FIDU unit price no div
8/21/2026,95.63,180.25,1.596885434,1,176.3256541,176.2216541,180.25,180.25,180.25,176.3256541,2.20%,XLI unit price div,FIDU unit price div,180.25,176.2216541,2.26%,XLI unit price no div,FIDU unit price no div
8/24/2026,94.84,179,1.596885434,1,175.0641146,174.9601146,179,179,179,175.0641146,2.22%,XLI unit price div,FIDU unit price div,179,174.9601146,2.28%,XLI unit price no div,FIDU unit price no div
8/25/2026,94.51,178.4,1.596885434,1,174.5371424,174.4331424,178.4,178.4,178.4,174.5371424,2.19%,XLI unit price div,FIDU unit price div,178.4,174.4331424,2.25%,XLI unit price no div,FIDU unit price no div
