date, KBE , KBWB ,KBE log rtn,KBWB log rtn, KBE div , KBE div cumsum , KBWB div , KBWB div cumsum , KBE div adjustment , KBWB div adjustment , KBE* , KBWB* , KBWB/KBE , KBWB/KBE avg , KBWB/KBE 10 dma , KBWB/KBE 20 dma , KBE x avg , KBE x 10 dma , KBE x 20 dma ,log diff KBE x avg / KBWB,log diff KBE x 10 dma / KBWB,log diff KBE x 20 dma / KBWB, KBWB*/KBE* , KBWB*/KBE* avg , KBWB*/KBE* 10 dma , KBWB*/KBE* 20 dma , KBE* x avg , KBE* x 10 dma , KBE* x 20 dma ,log diff KBE* x avg / KBWB*,log diff KBE* x 10 dma / KBWB*,log diff KBE* x 20 dma / KBWB*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71%,,,,,,,,,,,,6.78%,,,10.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2026, $61.1700 , $85.7600 ,,, $-   , $-   , $-   , $-   , $-   , $-   , $61.1700 , $85.7600 , 1.4020 , 1.3664 ,,,,,,,,, 1.4020 , 1.3664 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2026, $62.4100 , $87.8500 ,2.0069%,2.4078%, $-   , $-   , $-   , $-   , $-   , $-   , $62.4100 , $87.8500 , 1.4076 , 1.3664 ,,, $85.2758 ,,,-2.9740%,,, 1.4076 , 1.3664 ,,, $85.2758 ,,,-2.9740%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2.22 ,0.00%,-0.50%,-1.00%,-1.50%,-2.00%,-2.50%,-3.00%,-3.50%,enter,,,,,
1/6/2026, $62.9500 , $88.6300 ,0.8615%,0.8840%, $-   , $-   , $-   , $-   , $-   , $-   , $62.9500 , $88.6300 , 1.4079 , 1.3664 ,,, $86.0136 ,,,-2.9965%,,, 1.4079 , 1.3664 ,,, $86.0136 ,,,-2.9965%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%, 0.50 , 0.75 , 0.95 , 1.49 , 1.94 , 1.46 , 2.22 , 2.36 ,,row,ba20,,,
1/7/2026, $62.4400 , $87.2600 ,-0.8135%,-1.5578%, $-   , $-   , $-   , $-   , $-   , $-   , $62.4400 , $87.2600 , 1.3975 , 1.3664 ,,, $85.3168 ,,,-2.2521%,,, 1.3975 , 1.3664 ,,, $85.3168 ,,,-2.2521%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.50%, 0.50 , 0.89 , 0.83 , 1.36 , 1.77 , 1.46 , 2.22 , 2.36 ,,col,ba21,,,
1/8/2026, $63.5500 , $87.9400 ,1.7621%,0.7763%, $-   , $-   , $-   , $-   , $-   , $-   , $63.5500 , $87.9400 , 1.3838 , 1.3664 ,,, $86.8334 ,,,-1.2663%,,, 1.3838 , 1.3664 ,,, $86.8334 ,,,-1.2663%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.00%, 0.50 , 0.89 , 1.06 , 1.91 , 1.74 , 1.46 , 2.22 , 2.36 ,,,,,,
1/9/2026, $63.2500 , $87.6100 ,-0.4732%,-0.3760%, $-   , $-   , $-   , $-   , $-   , $-   , $63.2500 , $87.6100 , 1.3851 , 1.3664 ,,, $86.4235 ,,,-1.3635%,,, 1.3851 , 1.3664 ,,, $86.4235 ,,,-1.3635%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.50%, 0.50 , 0.89 , 1.06 , 1.20 , 0.85 , 0.92 , 1.78 , 1.99 ,,,,,,
1/12/2026, $62.4500 , $86.8000 ,-1.2729%,-0.9289%, $-   , $-   , $-   , $-   , $-   , $-   , $62.4500 , $86.8000 , 1.3899 , 1.3664 ,,, $85.3304 ,,,-1.7075%,,, 1.3899 , 1.3664 ,,, $85.3304 ,,,-1.7075%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.00%, 0.50 , 0.89 , 1.06 , 1.20 , 0.35 , 0.92 , 1.78 , 1.99 ,,,,,,
1/13/2026, $61.8600 , $85.6600 ,-0.9492%,-1.3221%, $-   , $-   , $-   , $-   , $-   , $-   , $61.8600 , $85.6600 , 1.3847 , 1.3664 ,,, $84.5243 ,,,-1.3347%,,, 1.3847 , 1.3664 ,,, $84.5243 ,,,-1.3347%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03%,,,,,,,,,,,,0.05%,,,0.07%,,,,,,,,,,,,,-2.50%, 0.50 , 0.89 , 1.06 , 1.20 , 0.35 , 0.60 , 1.47 , 1.59 ,,,,,,
1/14/2026, $62.4500 , $85.1200 ,0.9492%,-0.6324%, $-   , $-   , $-   , $-   , $-   , $-   , $62.4500 , $85.1200 , 1.3630 , 1.3664 ,,, $85.3304 ,,,0.2469%,,, 1.3630 , 1.3664 ,,, $85.3304 ,,,0.2469%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18%,,,,,,,,,,,,0.25%,,,0.30%,,,,,,,,,,,,,-3.00%, 0.50 , 0.89 , 1.06 , 1.20 , 0.35 , 0.60 , 1.28 , 1.31 ,,,,,,
1/15/2026, $63.5600 , $86.4900 ,1.7618%,1.5967%, $-   , $-   , $-   , $-   , $-   , $-   , $63.5600 , $86.4900 , 1.3608 , 1.3664 , 1.3882 ,, $86.8471 ,,,0.4120%,,, 1.3608 , 1.3664 , 1.3882 ,, $86.8471 ,,,0.4120%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.222063746,,,,,,,,,,,,2.97225596,,,3.758461092,,,,,,,,,,,,,-3.50%, 0.50 , 0.89 , 1.06 , 1.20 , 0.35 , 0.60 , 1.28 , 1.31 ,,,,,,
