bop date,eop date,day count,bop PFFD price,eop PFFD price,bop PFF price,eop PFF price,eop PFF / eop PFFD,bop PFF / PFFD moving avg,eop PFF / PFFD moving avg,eop PFFD unit price,eop PFF / eop PFF,bop PFF / PFF moving avg,eop PFF / PFF moving avg,eop PFF unit price,PFFD unit price pct diff,PFF unit price pct diff,unit price pct diff,go long,exit long,go short,exit short,current_position,new_position,month end liquidation,long entry,short entry,long to short flip,short to long flip,PFFD shares per unit,eop PFFD shares,bop PFFD shares,eop PFFD shares traded,eop PFFD shares bought,eop PFFD shares sold,PFF shares per unit,eop PFF shares,bop PFF shares,eop PFF shares traded,eop PFF shares bought,eop PFF shares sold,PFFD cop,PFFD pct cop,PFFD daily position pnl,PFFD daily commission,PFFD investment amount,short PFFD investment amount,long PFFD investment amount,daily PFFD borrow cost,PFF cop,PFF pct cop,PFF daily position pnl,PFF daily commission,PFF investment amount,short PFF investment amount,long PFF investment amount,daily PFF borrow cost,daily position pnl,daily total commissions,short investment amount,daily borrow cost,long daily position pnl,short daily position pnl,daily net profit,cumulative net profit,drawdown,gross investment amount,net investment amount
2026-01-02,2026-01-05,3,,19.19,,31.33,1.632621156852527,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,2026-01-06,1,19.19,19.26,31.33,31.45,1.6329179646936656,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.07000000000000028,0.003641096350370946,,,,,,,0.120000000000001,0.003822878182349154,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,2026-01-07,1,19.26,19.26,31.45,31.41,1.630841121495327,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.0,0.0,,,,,,,-0.03999999999999915,-0.0012726695958943336,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,2026-01-08,1,19.26,19.29,31.41,31.38,1.6267496111975117,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.029999999999997584,0.001556420547658158,,,,,,,-0.030000000000001137,-0.0009555662456686796,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,2026-01-09,1,19.29,19.34,31.38,31.57,1.6323681489141675,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.05000000000000071,0.002588663107510564,,,,,,,0.19000000000000128,0.006036555265013698,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,2026-01-12,3,19.34,19.35,31.57,31.62,1.6341085271317828,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.010000000000001563,0.0005169294506425463,,,,,,,0.05000000000000071,0.0015825292114256609,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,2026-01-13,1,19.35,19.45,31.62,31.64,1.6267352185089976,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.09999999999999787,0.005154650588664422,,,,,,,0.019999999999999574,0.0006323111181272563,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,2026-01-14,1,19.45,19.49,31.64,31.74,1.6285274499743458,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.03999999999999915,0.0020544434550140308,,,,,,,0.09999999999999787,0.003155572198809847,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,2026-01-15,1,19.49,19.52,31.74,31.82,1.6301229508196722,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,0.030000000000001137,0.0015380674654770434,,,,,,,0.08000000000000185,0.0025173078113778927,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,2026-01-16,1,19.52,19.47,31.82,31.78,1.6322547508988188,,,,1.0,,,,,,,False,False,False,False,0,0,False,False,False,False,False,,,,,,,,,,,,,-0.05000000000000071,-0.0025647616008381336,,,,,,,-0.03999999999999915,-0.0012578618010708929,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
