,bop date,eop date,day count, bop RSP price , eop RSP price , bop SPY price , eop SPY price , eop SPY / eop RSP , bop SPY / RSP moving avg , eop SPY / RSP moving avg ,current position,new position, bop RSP shares , eop RSP shares , eop RSP shares bought , eop RSP shares sold , eop RSP shares traded , bop SPY shares , eop SPY shares , eop SPY shares bought , eop SPY shares sold , eop SPY shares traded ,  RSP daily commission  ,  SPY daily commission  ,  daily total commissions  ,  RSP cop  , RSP pct cop ,  RSP daily position pnl  ,  SPY cop  , SPY pct cop ,  SPY daily position pnl  ,  daily position pnl  ,  short RSP investment amount  ,  long RSP investment amount  ,  RSP investment amount  ,  daily RSP borrow cost  ,  short SPY investment amount  ,  long SPY investment amount  ,  SPY investment amount  ,  daily SPY borrow cost  ,  net investment amount  ,  gross investment amount  ,  short investment amount  ,  daily borrow cost  ,  daily net profit  ,  cumulative net profit  ,  drawdown  
0,1/2/2024,1/3/2024,1,,$155.52 ,,$468.79 ,3.01,,,,,,,,,,,,,,,,,  $-    ,,,,,,,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
1,1/3/2024,1/4/2024,1,$155.52 ,$155.26 ,$468.79 ,$467.28 ,3.01,,,,,,,,,,,,,,,,,  $-    , $(0.26), $(0.00),, $(1.51), $(0.00),,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
2,1/4/2024,1/5/2024,1,$155.26 ,$155.71 ,$467.28 ,$467.92 ,3.01,,,,,,,,,,,,,,,,,  $-    , $0.45 , $0.00 ,, $0.64 , $0.00 ,,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
3,1/5/2024,1/8/2024,3,$155.71 ,$157.38 ,$467.92 ,$474.60 ,3.02,,,,,,,,,,,,,,,,,  $-    , $1.67 , $0.01 ,, $6.68 , $0.01 ,,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
4,1/8/2024,1/9/2024,1,$157.38 ,$156.58 ,$474.60 ,$473.88 ,3.03,,,,,,,,,,,,,,,,,  $-    , $(0.80), $(0.01),, $(0.72), $(0.00),,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
5,1/9/2024,1/10/2024,1,$156.58 ,$156.85 ,$473.88 ,$476.56 ,3.04,,,,,,,,,,,,,,,,,  $-    , $0.27 , $0.00 ,, $2.68 , $0.01 ,,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
6,1/10/2024,1/11/2024,1,$156.85 ,$156.40 ,$476.56 ,$476.35 ,3.05,,,,,,,,,,,,,,,,,  $-    , $(0.45), $(0.00),, $(0.21), $(0.00),,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
7,1/11/2024,1/12/2024,1,$156.40 ,$156.05 ,$476.35 ,$476.68 ,3.05,,,,,,,,,,,,,,,,,  $-    , $(0.35), $(0.00),, $0.33 , $0.00 ,,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
8,1/12/2024,1/16/2024,4,$156.05 ,$155.06 ,$476.68 ,$474.93 ,3.06,,,,,,,,,,,,,,,,,  $-    , $(0.99), $(0.01),, $(1.75), $(0.00),,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
9,1/16/2024,1/17/2024,1,$155.06 ,$153.84 ,$474.93 ,$472.29 ,3.07,,3.03,,,,,,,,,,,,,,,  $-    , $(1.22), $(0.01),, $(2.64), $(0.01),,  $-    ,,,,,,,,,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    
10,1/17/2024,1/18/2024,1,$153.84 ,$154.63 ,$472.29 ,$476.49 ,3.08,3.03,3.04,,1, -   ,646.71,646.71, -   ,646.71, -   ,-209.87, -   ,209.87,-209.87, $(3.23), $(1.05), $(4.28), $0.79 , $0.01 ,  $-    , $4.20 , $0.01 ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    ,  $-    , $(4.28), $(4.28), $(4.28)
11,1/18/2024,1/19/2024,1,$154.63 ,$155.82 ,$476.49 ,$482.43 ,3.1,3.04,3.05,1,1,646.71,641.77, -   ,4.94,-4.94,-209.87,-207.28,2.58, -   ,2.58, $(0.02), $(0.01), $(0.04), $1.19 , $0.01 , $769.58 , $5.94 , $0.01 ," $(1,246.62)", $(477.04),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78), $-   ," $200,000.00 "," $(100,000.00)", $(2.78), $(479.85), $(484.14), $(484.14)
12,1/19/2024,1/22/2024,3,$155.82 ,$156.64 ,$482.43 ,$483.45 ,3.09,3.05,3.06,1,1,641.77,638.41, -   ,3.36,-3.36,-207.28,-206.85,0.44, -   ,0.44, $(0.02), $-   , $(0.02), $0.82 , $0.01 , $526.25 , $1.02 , $0.00 , $(211.43), $314.82 ,  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(8.33),  $-    ," $200,000.00 "," $(100,000.00)", $(8.33), $306.47 , $(177.67), $(177.67)
13,1/22/2024,1/23/2024,1,$156.64 ,$156.72 ,$483.45 ,$484.86 ,3.09,3.06,3.07,1,1,638.41,638.08, -   ,0.33,-0.33,-206.85,-206.25,0.6, -   ,0.6, $-   , $-   , $-   , $0.08 , $0.00 , $51.07 , $1.41 , $0.00 , $(291.65), $(240.58),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(243.36), $(421.03), $(421.03)
14,1/23/2024,1/24/2024,1,$156.72 ,$155.91 ,$484.86 ,$485.39 ,3.11,3.07,3.07,1,1,638.08,641.4,3.32, -   ,3.32,-206.25,-206.02,0.23, -   ,0.23, $(0.02), $-   , $(0.02), $(0.81), $(0.01), $(516.85), $0.53 , $0.00 , $(109.31), $(626.16),  $-    ," $100,000.00 "," $100,000.00 ",  $-    ," $(100,000.00)",  $-    ," $(100,000.00)", $(2.78),  $-    ," $200,000.00 "," $(100,000.00)", $(2.78), $(628.95)," $(1,049.98)"," $(1,049.98)"
