,bop date,eop date,day count,bop RSP price,eop RSP price,bop SPY price,eop SPY price,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,1/2/2025,1/3/2025,1,,$176.32 ,,$591.95 ,3.357248185,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,0,0,0,0,0,0,0
1,1/3/2025,1/6/2025,3,$176.32 ,$176.20 ,$591.95 ,$595.36 ,3.378887628,,,,,,,,,,,,,,,,,0,($0.12),-0.07%,,$3.41 ,0.57%,,0,,,,,,,,,0,0,0,0,0,0,0
2,1/6/2025,1/7/2025,1,$176.20 ,$175.61 ,$595.36 ,$588.63 ,3.351916178,,,,,,,,,,,,,,,,,0,($0.59),-0.34%,,($6.73),-1.14%,,0,,,,,,,,,0,0,0,0,0,0,0
3,1/7/2025,1/8/2025,1,$175.61 ,$175.82 ,$588.63 ,$589.49 ,3.352804004,,,,,,,,,,,,,,,,,0,$0.21 ,0.12%,,$0.86 ,0.15%,,0,,,,,,,,,0,0,0,0,0,0,0
4,1/8/2025,1/10/2025,2,$175.82 ,$173.25 ,$589.49 ,$580.49 ,3.350591631,,,,,,,,,,,,,,,,,0,($2.57),-1.47%,,($9.00),-1.54%,,0,,,,,,,,,0,0,0,0,0,0,0
5,1/10/2025,1/13/2025,3,$173.25 ,$174.67 ,$580.49 ,$581.39 ,3.328505181,,,,,,,,,,,,,,,,,0,$1.42 ,0.82%,,$0.90 ,0.15%,,0,,,,,,,,,0,0,0,0,0,0,0
6,1/13/2025,1/14/2025,1,$174.67 ,$176.08 ,$581.39 ,$582.19 ,3.306394821,,,,,,,,,,,,,,,,,0,$1.41 ,0.80%,,$0.80 ,0.14%,,0,,,,,,,,,0,0,0,0,0,0,0
7,1/14/2025,1/15/2025,1,$176.08 ,$177.77 ,$582.19 ,$592.78 ,3.334533386,,,,,,,,,,,,,,,,,0,$1.69 ,0.96%,,$10.59 ,1.80%,,0,,,,,,,,,0,0,0,0,0,0,0
8,1/15/2025,1/16/2025,1,$177.77 ,$179.17 ,$592.78 ,$591.64 ,3.302115309,,,,,,,,,,,,,,,,,0,$1.40 ,0.78%,,($1.14),-0.19%,,0,,,,,,,,,0,0,0,0,0,0,0
9,1/16/2025,1/17/2025,1,$179.17 ,$180.04 ,$591.64 ,$597.58 ,3.3191513,,3.338214762,,,,,,,,,,,,,,,0,$0.87 ,0.48%,,$5.94 ,1.00%,,0,,,,,,,,,0,0,0,0,0,0,0
10,1/17/2025,1/21/2025,4,$180.04 ,$182.13 ,$597.58 ,$603.05 ,3.31109647,3.338214762,3.333599591,,-1,0,-549.0583649,0,549.0583649,-549.0583649,0,165.8237294,165.8237294,0,165.8237294,($2.75),($0.83),($3.57),$2.09 ,1.15%,0,$5.47 ,0.91%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,($3.57),($3.57),($3.57)
