,bop date,eop date,day count,bop RSP price,eop RSP price,,,bop SPY price,eop SPY price,,,,,,,eop SPY / eop RSP,bop SPY / RSP moving avg,eop SPY / RSP moving avg,current position,new position,bop RSP shares,eop RSP shares,eop RSP shares bought,eop RSP shares sold,eop RSP shares traded,bop SPY shares,eop SPY shares,eop SPY shares bought,eop SPY shares sold,eop SPY shares traded,RSP daily commission,SPY daily commission,daily total commissions,RSP cop,RSP pct cop,RSP daily position pnl,SPY cop,SPY pct cop,SPY daily position pnl,daily position pnl,short RSP investment amount,long RSP investment amount,RSP investment amount,daily RSP borrow cost,short SPY investment amount,long SPY investment amount,SPY investment amount,daily SPY borrow cost,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,1/2/2024,1/3/2024,1,,155.52,,,,468.79,,,,,,,3.014338992,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,0,0,0,0,0,0,0
1,1/3/2024,1/4/2024,1,155.52,155.26,0.998328189,-0.17%,468.79,467.28,0.996778942,-0.32%,-0.16%,-0.16%,-0.16%,-0.16%,3.009661213,,,,,,,,,,,,,,,,,0,-0.26,-0.00167321,,-1.51,-0.003226257,,0,,,,,,,,,0,0,0,0,0,0,0
2,1/4/2024,1/5/2024,1,155.26,155.71,1.001221708,0.29%,467.28,467.92,0.998144158,0.14%,-0.15%,-0.31%,-0.15%,-0.31%,3.005073534,,,,,,,,,,,,,,,,,0,0.45,0.002894172,,0.64,0.001368691,,0,,,,,,,,,0,0,0,0,0,0,0
3,1/5/2024,1/8/2024,3,155.71,157.38,1.011959877,1.07%,467.92,474.6,1.012393609,1.42%,0.35%,0.04%,0.35%,0.04%,3.015630957,,,,,,,,,,,,,,,,,0,1.67,0.01066796,,6.68,0.014175003,,0,,,,,,,,,0,0,0,0,0,0,0
4,1/8/2024,1/9/2024,1,157.38,156.58,1.006815844,-0.51%,474.6,473.88,1.01085774,-0.15%,0.36%,0.40%,0.36%,0.40%,3.026440158,,,,,,,,,,,,,,,,,0,-0.8,-0.005096202,,-0.72,-0.001518219,,0,,,,,,,,,0,0,0,0,0,0,0
5,1/9/2024,1/10/2024,1,156.58,156.85,1.008551955,0.17%,473.88,476.56,1.016574586,0.56%,0.39%,0.79%,0.39%,0.79%,3.038316863,,,,,,,,,,,,,,,,,0,0.27,0.001722873,,2.68,0.005639508,,0,,,,,,,,,0,0,0,0,0,0,0
6,1/10/2024,1/11/2024,1,156.85,156.4,1.005658436,-0.29%,476.56,476.35,1.016126624,-0.04%,0.24%,1.04%,0.24%,1.04%,3.045716113,,,,,,,,,,,,,,,,,0,-0.45,-0.002873107,,-0.21,-0.000440755,,0,,,,,,,,,0,0,0,0,0,0,0
7,1/11/2024,1/12/2024,1,156.4,156.05,1.003407922,-0.22%,476.35,476.68,1.016830564,0.07%,0.29%,1.33%,0.29%,1.33%,3.054661967,,,,,,,,,,,,,,,,,0,-0.35,-0.002240359,,0.33,0.000692528,,0,,,,,,,,,0,0,0,0,0,0,0
8,1/12/2024,1/16/2024,4,156.05,155.06,0.997042181,-0.64%,476.68,474.93,1.013097549,-0.37%,0.27%,1.60%,0.27%,1.60%,3.062878886,,,,,,,,,,,,,,,,,0,-0.99,-0.00636433,,-1.75,-0.003677981,,0,,,,,,,,,0,0,0,0,0,0,0
9,1/16/2024,1/17/2024,1,155.06,153.84,0.989197531,-0.79%,474.93,472.29,1.00746603,-0.56%,0.23%,1.83%,0.23%,1.83%,3.0700078,,,,,,,,,,,,,,,,,0,-1.22,-0.007899038,,-2.64,-0.005574221,,0,,,,,,,,,0,0,0,0,0,0,0
