date,FREL,IYR,VNQ,XLRE,FREL scalar,IYR scalar,VNQ scalar,XLRE scalar,FREL unit price div,FREL unit price no div,IYR unit price div,IYR unit price no div,VNQ unit price div,VNQ unit price no div,XLRE unit price div,XLRE unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
6/25/2026,29.53,103.1,97.19,44.59,3.360999676,1,1.02824349,2.210400334,103.3163204,103.7239204,103.1,103.1,103.2640848,103.6335848,102.8785509,103.2109509,103.3163204,102.8785509,0.42%,FREL unit price div,XLRE unit price div,103.7239204,103.1,0.60%,FREL unit price no div,IYR unit price no div
6/26/2026,29.97,104.64,98.67,45.24,3.360999676,1,1.02824349,2.210400334,104.7951603,105.2027603,104.64,104.64,104.7858852,105.1553852,104.3153111,104.6477111,104.7951603,104.3153111,0.46%,FREL unit price div,XLRE unit price div,105.2027603,104.64,0.54%,FREL unit price no div,IYR unit price no div
6/29/2026,29.83,104.09,98.15,44.92,3.360999676,1,1.02824349,2.210400334,104.3246203,104.7322203,104.09,104.09,104.2511986,104.6206986,103.607983,103.940383,104.3246203,103.607983,0.69%,FREL unit price div,XLRE unit price div,104.7322203,103.940383,0.76%,FREL unit price no div,XLRE unit price no div
6/30/2026,29.3,102.25,96.43,44.03,3.360999676,1,1.02824349,2.210400334,102.5432905,102.9508905,102.25,102.25,102.4826198,102.8521198,101.6407267,101.9731267,102.5432905,101.6407267,0.88%,FREL unit price div,XLRE unit price div,102.9508905,101.9731267,0.95%,FREL unit price no div,XLRE unit price no div
7/1/2026,29.44,102.71,96.82,44.18,3.360999676,1,1.02824349,2.210400334,103.0138305,103.4214305,102.71,102.71,102.8836347,103.2531347,101.9722868,102.3046868,103.0138305,101.9722868,1.02%,FREL unit price div,XLRE unit price div,103.4214305,102.3046868,1.09%,FREL unit price no div,XLRE unit price no div
7/2/2026,29.79,104.01,98.02,44.68,3.360999676,1,1.02824349,2.210400334,104.1901803,104.5977803,104.01,104.01,104.1175269,104.4870269,103.0774869,103.4098869,104.1901803,103.0774869,1.07%,FREL unit price div,XLRE unit price div,104.5977803,103.4098869,1.14%,FREL unit price no div,XLRE unit price no div
7/6/2026,29.59,103.23,97.24,44.29,3.360999676,1,1.02824349,2.210400334,103.5179804,103.9255804,103.23,103.23,103.315497,103.684997,102.2154308,102.5478308,103.5179804,102.2154308,1.27%,FREL unit price div,XLRE unit price div,103.9255804,102.5478308,1.33%,FREL unit price no div,XLRE unit price no div
7/7/2026,29.93,104.51,98.4,44.89,3.360999676,1,1.02824349,2.210400334,104.6607203,105.0683203,104.51,104.51,104.5082594,104.8777594,103.541671,103.874071,104.6607203,103.541671,1.07%,FREL unit price div,XLRE unit price div,105.0683203,103.874071,1.14%,FREL unit price no div,XLRE unit price no div
7/8/2026,29.41,102.79,96.8,44.15,3.360999676,1,1.02824349,2.210400334,102.9130005,103.3206005,102.79,102.79,102.8630699,103.2325699,101.9059748,102.2383748,102.9130005,101.9059748,0.98%,FREL unit price div,XLRE unit price div,103.3206005,102.2383748,1.05%,FREL unit price no div,XLRE unit price no div
7/9/2026,29.49,103,97.09,44.23,3.360999676,1,1.02824349,2.210400334,103.1818804,103.5894804,103,103,103.1612605,103.5307605,102.0828068,102.4152068,103.1818804,102.0828068,1.07%,FREL unit price div,XLRE unit price div,103.5894804,102.4152068,1.14%,FREL unit price no div,XLRE unit price no div
