,bop date,eop date,day count,bop SCHZ price,eop SCHZ price,bop SPAB price,eop SPAB price,bop BND price,eop BND price,bop AGG price,eop AGG price,eop AGG / eop SCHZ,eop AGG / SCHZ moving avg,bop AGG / SCHZ moving avg,eop SCHZ unit price,eop AGG / eop SPAB,eop AGG / SPAB moving avg,bop AGG / SPAB moving avg,eop SPAB unit price,eop AGG / eop BND,eop AGG / BND moving avg,bop AGG / BND moving avg,eop BND unit price,eop AGG / eop AGG,eop AGG / AGG moving avg,bop AGG / AGG moving avg,eop AGG unit price,SCHZ unit price pct diff,SPAB unit price pct diff,BND unit price pct diff,AGG unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,SCHZ shares per unit,eop SCHZ shares,bop SCHZ shares,eop SCHZ shares traded,eop SCHZ shares bought,eop SCHZ shares sold,SPAB shares per unit,eop SPAB shares,bop SPAB shares,eop SPAB shares traded,eop SPAB shares bought,eop SPAB shares sold,BND shares per unit,eop BND shares,bop BND shares,eop BND shares traded,eop BND shares bought,eop BND shares sold,AGG shares per unit,eop AGG shares,bop AGG shares,eop AGG shares traded,eop AGG shares bought,eop AGG shares sold,SCHZ daily commission,SCHZ cop,SCHZ pct cop,SCHZ daily position pnl,SCHZ investment amount,short SCHZ investment amount,long SCHZ investment amount,daily SCHZ borrow cost,SPAB daily commission,SPAB cop,SPAB pct cop,SPAB daily position pnl,SPAB investment amount,short SPAB investment amount,long SPAB investment amount,daily SPAB borrow cost,BND daily commission,BND cop,BND pct cop,BND daily position pnl,BND investment amount,short BND investment amount,long BND investment amount,daily BND borrow cost,AGG daily commission,AGG cop,AGG pct cop,AGG daily position pnl,AGG investment amount,short AGG investment amount,long AGG investment amount,daily AGG borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,23.235,,25.55,,73.3,,98.83,4.253496879707338,,,,3.868101761252446,,,,1.3482946793997272,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,23.235,23.13,25.55,25.44,73.3,72.97,98.83,98.43,4.2555123216601825,,,,3.869103773584906,,,,1.3489105111689736,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10500000000000043,-0.004529286293593798,,,,,,,-0.10999999999999943,-0.0043145781777920115,,,,,,,-0.3299999999999983,-0.004512211115077036,,,,,,,-0.3999999999999915,-0.004055566746972444,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,23.13,23.065,25.44,25.37,72.97,72.75,98.43,98.2,4.257533058747019,,,,3.8707134410721324,,,,1.3498281786941582,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06499999999999773,-0.002814159233563845,,,,,,,-0.07000000000000028,-0.0027553648607309025,,,,,,,-0.21999999999999886,-0.003019491725926844,,,,,,,-0.23000000000000398,-0.0023394202806997686,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,23.065,23.16,25.37,25.46,72.75,73.07,98.2,98.57,4.256044905008635,,,,3.8715632364493318,,,,1.3489804297249213,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.09499999999999886,0.0041103356950106746,,,,,,,0.08999999999999986,0.0035412195180700586,,,,,,,0.3199999999999932,0.0043889797515244515,,,,,,,0.36999999999999034,0.0037607403169273215,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,23.16,23.15,25.46,25.48,73.07,73.06,98.57,98.55,4.2570194384449245,,,,3.867739403453689,,,,1.3488913222009307,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010000000000001563,-0.00043187217255148897,,,,,,,0.019999999999999574,0.0007852375747021617,,,,,,,-0.009999999999990905,-0.00013686443598987018,,,,,,,-0.01999999999999602,-0.0002029220786183906,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,23.15,23.115,25.48,25.44,73.06,72.93,98.55,98.36,4.255245511572572,,,,3.8663522012578615,,,,1.3486905251611132,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03500000000000014,-0.0015130230920542696,,,,,,,-0.03999999999999915,-0.0015710922320412123,,,,,,,-0.12999999999999545,-0.0017809443709946974,,,,,,,-0.18999999999999773,-0.0019298162507373155,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,23.115,23.22,25.44,25.56,72.93,73.31,98.36,98.92,4.260120585701982,,,,3.8701095461658843,,,,1.3493384258627745,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.10500000000000043,0.004532218829556784,,,,,,,0.11999999999999744,0.004705891037412493,,,,,,,0.37999999999999545,0.005196948239353471,,,,,,,0.5600000000000023,0.005677225305223757,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,23.22,23.29,25.56,25.6,73.31,73.45,98.92,99.1,4.255045083726921,,,,3.8710937499999996,,,,1.349217154526889,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.07000000000000028,0.003010107626504243,,,,,,,0.0400000000000027,0.0015637219761827589,,,,,,,0.14000000000000057,0.0019078773843911705,,,,,,,0.1799999999999926,0.0018179986827268283,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,23.29,23.125,25.6,25.43,73.45,72.94,99.1,98.36,4.253405405405405,,,,3.867872591427448,,,,1.348505621058404,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16499999999999915,-0.007109800497760685,,,,,,,-0.1700000000000017,-0.00666277205148859,,,,,,,-0.5100000000000051,-0.006967717239352171,,,,,,,-0.7399999999999949,-0.00749522398795047,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,23.125,23.05,25.43,25.36,72.94,72.77,98.36,98.09,4.255531453362256,,,,3.867902208201893,,,,1.3479455819705923,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07499999999999929,-0.0032485139558313327,,,,,,,-0.07000000000000028,-0.0027564498650030985,,,,,,,-0.1700000000000017,-0.0023334030215391315,,,,,,,-0.269999999999996,-0.0027487927717675126,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
