,bop date,eop date,day count,bop SPLB price,eop SPLB price,bop IGLB price,eop IGLB price,bop VCLT price,eop VCLT price,eop VCLT / eop SPLB,eop VCLT / SPLB moving avg,bop VCLT / SPLB moving avg,eop SPLB unit price,eop VCLT / eop IGLB,eop VCLT / IGLB moving avg,bop VCLT / IGLB moving avg,eop IGLB unit price,eop VCLT / eop VCLT,eop VCLT / VCLT moving avg,bop VCLT / VCLT moving avg,eop VCLT unit price,SPLB unit price pct diff,IGLB unit price pct diff,VCLT unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,SPLB shares per unit,eop SPLB shares,bop SPLB shares,eop SPLB shares traded,eop SPLB shares bought,eop SPLB shares sold,IGLB shares per unit,eop IGLB shares,bop IGLB shares,eop IGLB shares traded,eop IGLB shares bought,eop IGLB shares sold,VCLT shares per unit,eop VCLT shares,bop VCLT shares,eop VCLT shares traded,eop VCLT shares bought,eop VCLT shares sold,SPLB daily commission,SPLB cop,SPLB pct cop,SPLB daily position pnl,SPLB investment amount,short SPLB investment amount,long SPLB investment amount,daily SPLB borrow cost,IGLB daily commission,IGLB cop,IGLB pct cop,IGLB daily position pnl,IGLB investment amount,short IGLB investment amount,long IGLB investment amount,daily IGLB borrow cost,VCLT daily commission,VCLT cop,VCLT pct cop,VCLT daily position pnl,VCLT investment amount,short VCLT investment amount,long VCLT investment amount,daily VCLT borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,23.54,,52.1,,79.18,3.363636363636364,,,,1.5197696737044146,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,23.54,23.33,52.1,51.66,79.18,78.55,3.3669095585083584,,,,1.5205187766163377,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.21000000000000085,-0.008961015798792044,,,,,,,-0.44000000000000483,-0.008481161091626948,,,,,,,-0.6300000000000097,-0.007988376976354555,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,23.33,23.19,51.66,51.36,78.55,78.1,3.367830961621388,,,,1.520638629283489,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.13999999999999702,-0.006018934765898209,,,,,,,-0.29999999999999716,-0.005824128285988651,,,,,,,-0.45000000000000284,-0.005745307855989891,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,23.19,23.47,51.36,51.95,78.1,79.05,3.368129527055816,,,,1.5216554379210778,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.2799999999999976,0.012001858595491653,,,,,,,0.5900000000000034,0.0114220581635307,,,,,,,0.9500000000000028,0.012090506809840846,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,23.47,23.5,51.95,52.0,79.05,79.14,3.3676595744680853,,,,1.521923076923077,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.030000000000001137,0.0012774112871811244,,,,,,,0.04999999999999716,0.0009620010361908411,,,,,,,0.09000000000000341,0.0011378723017972819,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,23.5,23.45,52.0,51.92,79.14,78.99,3.3684434968017056,,,,1.5213790446841293,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.05000000000000071,-0.002129926257824965,,,,,,,-0.0799999999999983,-0.0015396461855927501,,,,,,,-0.15000000000000568,-0.001897173780950602,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,23.45,23.61,51.92,52.29,78.99,79.59,3.3710292249047016,,,,1.5220883534136547,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.16000000000000014,0.006799856205133218,,,,,,,0.36999999999999744,0.00710107580420458,,,,,,,0.6000000000000085,0.007567194641430312,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,23.61,23.66,52.29,52.37,79.59,79.77,3.371513102282333,,,,1.5232003055184267,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.05000000000000071,0.002115507452819232,,,,,,,0.0799999999999983,0.0015287600913571212,,,,,,,0.1799999999999926,0.00225903710528016,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,23.66,23.32,52.37,51.65,79.77,78.49,3.3657804459691247,,,,1.519651500484027,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.33999999999999986,-0.014474497067949116,,,,,,,-0.7199999999999989,-0.0138437127257487,,,,,,,-1.2800000000000011,-0.016176265784315826,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,23.32,23.28,51.65,51.59,78.49,78.49,3.371563573883161,,,,1.5214188796278347,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.03999999999999915,-0.0017167386190544741,,,,,,,-0.05999999999999517,-0.0011623403090889192,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
