,bop date,eop date,day count,bop SPTL price,eop SPTL price,bop SCHQ price,eop SCHQ price,bop VGLT price,eop VGLT price,eop VGLT / eop SPTL,eop VGLT / SPTL moving avg,bop VGLT / SPTL moving avg,eop SPTL unit price,eop VGLT / eop SCHQ,eop VGLT / SCHQ moving avg,bop VGLT / SCHQ moving avg,eop SCHQ unit price,eop VGLT / eop VGLT,eop VGLT / VGLT moving avg,bop VGLT / VGLT moving avg,eop VGLT unit price,SPTL unit price pct diff,SCHQ unit price pct diff,VGLT unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,SPTL shares per unit,eop SPTL shares,bop SPTL shares,eop SPTL shares traded,eop SPTL shares bought,eop SPTL shares sold,SCHQ shares per unit,eop SCHQ shares,bop SCHQ shares,eop SCHQ shares traded,eop SCHQ shares bought,eop SCHQ shares sold,VGLT shares per unit,eop VGLT shares,bop VGLT shares,eop VGLT shares traded,eop VGLT shares bought,eop VGLT shares sold,SPTL daily commission,SPTL cop,SPTL pct cop,SPTL daily position pnl,SPTL investment amount,short SPTL investment amount,long SPTL investment amount,daily SPTL borrow cost,SCHQ daily commission,SCHQ cop,SCHQ pct cop,SCHQ daily position pnl,SCHQ investment amount,short SCHQ investment amount,long SCHQ investment amount,daily SCHQ borrow cost,VGLT daily commission,VGLT cop,VGLT pct cop,VGLT daily position pnl,VGLT investment amount,short VGLT investment amount,long VGLT investment amount,daily VGLT borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2026-01-02,2026-01-05,3,,26.53,,31.78,,55.93,2.108179419525066,,,,1.7599118942731278,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-01-05,2026-01-06,1,26.53,26.5,31.78,31.74,55.93,55.84,2.107169811320755,,,,1.7592942659105233,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.030000000000001137,-0.0011314351574717603,,,,,,,-0.0400000000000027,-0.0012594460103069487,,,,,,,-0.0899999999999963,-0.0016104503793795371,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-01-06,2026-01-07,1,26.5,26.62,31.74,31.9,55.84,56.14,2.1089406461307285,,,,1.7598746081504704,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.120000000000001,0.004518079974789136,,,,,,,0.16000000000000014,0.005028294692535847,,,,,,,0.29999999999999716,0.0053581124796192505,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-01-07,2026-01-08,1,26.62,26.51,31.9,31.75,56.14,55.86,2.1071293851376836,,,,1.7593700787401574,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.10999999999999943,-0.004140792666031388,,,,,,,-0.14999999999999858,-0.004713284452098202,,,,,,,-0.28000000000000114,-0.0050000104167057515,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-01-08,2026-01-09,1,26.51,26.64,31.75,31.93,55.86,56.17,2.1084834834834836,,,,1.759160663952396,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.129999999999999,0.004891825371254158,,,,,,,0.17999999999999972,0.0056532813879900555,,,,,,,0.3100000000000023,0.005534246027310684,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-01-09,2026-01-12,3,26.64,26.58,31.93,31.84,56.17,56.03,2.1079759217456737,,,,1.7597361809045227,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.060000000000002274,-0.0022547923870892047,,,,,,,-0.08999999999999986,-0.0028226457505083247,,,,,,,-0.14000000000000057,-0.002495544967148244,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-01-12,2026-01-13,1,26.58,26.62,31.84,31.88,56.03,56.11,2.1078136739293765,,,,1.7600376411543288,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.0400000000000027,0.001503759681866502,,,,,,,0.03999999999999915,0.0012554929458320028,,,,,,,0.0799999999999983,0.0014267881856874433,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-01-13,2026-01-14,1,26.62,26.77,31.88,32.07,56.11,56.43,2.1079566679118416,,,,1.7595884003741815,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.14999999999999858,0.005619044565295538,,,,,,,0.19000000000000128,0.0059421597830493205,,,,,,,0.3200000000000003,0.005686882218168171,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-01-14,2026-01-15,1,26.77,26.77,32.07,32.05,56.43,56.4,2.1068360104594697,,,,1.7597503900156006,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,-0.020000000000003126,-0.0006238303383845491,,,,,,,-0.030000000000001137,-0.0005317734770355123,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-01-15,2026-01-16,1,26.77,26.6,32.05,31.86,56.4,56.07,2.107894736842105,,,,1.7598870056497176,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.16999999999999815,-0.006370641744607667,,,,,,,-0.18999999999999773,-0.0059458788847764924,,,,,,,-0.3299999999999983,-0.005868248368431994,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-01-16,2026-01-20,4,26.6,26.3,31.86,31.49,56.07,55.42,2.1072243346007604,,,,1.759923785328676,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,-0.3000000000000007,-0.011342276603934495,,,,,,,-0.370000000000001,-0.011681269368969198,,,,,,,-0.6499999999999986,-0.011660370700748815,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2026-01-20,2026-01-21,1,26.3,26.48,31.49,31.7,55.42,55.8,2.107250755287009,,,,1.7602523659305993,,,,1.0,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,0.17999999999999972,0.006820791885088498,,,,,,,0.21000000000000085,0.006646645770301633,,,,,,,0.37999999999999545,0.006833329952432885,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
