date,VGT,XLK,IYW,FTEC,,,,,,,,,,,,,,,FTEC scalar,IYW scalar,VGT scalar,XLK scalar,FTEC unit price div,FTEC unit price no div,IYW unit price div,IYW unit price no div,VGT unit price div,VGT unit price no div,XLK unit price div,XLK unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no
6/25/2026,115.47,184.57,243.99,275.85,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,275.85,275.85,277.5775339,277.3688339,275.7275165,275.7702165,281.2798417,281.3109417,281.2798417,275.7275165,1.99%,XLK unit price div,VGT unit price div,281.3109417,275.7702165,1.99%,XLK unit price no div,VGT unit price no div
6/26/2026,113.86,181.11,239.66,272.48,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,272.48,272.48,272.7313211,272.5226211,271.8683336,271.9110336,276.4211513,276.4522513,276.4211513,271.8683336,1.66%,XLK unit price div,VGT unit price div,276.4522513,271.9110336,1.66%,XLK unit price no div,VGT unit price no div
6/29/2026,116.5,185.41,246.21,278.34,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,278.34,278.34,280.0621973,279.8534973,278.1964348,278.2391348,282.4594081,282.4905081,282.4594081,278.1964348,1.52%,XLK unit price div,VGT unit price div,282.4905081,278.2391348,1.52%,XLK unit price no div,VGT unit price no div
6/30/2026,119.52,190.52,252.23,285.58,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,285.58,285.58,286.799888,286.591188,285.435399,285.478099,289.635104,289.666204,289.635104,285.435399,1.46%,XLK unit price div,VGT unit price div,289.666204,285.478099,1.46%,XLK unit price no div,VGT unit price no div
7/1/2026,117.22,185.62,248.75,279.98,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,279.98,279.98,282.9050103,282.6963103,279.9222806,279.9649806,282.7542998,282.7853998,282.9050103,279.9222806,1.06%,IYW unit price div,VGT unit price div,282.7853998,279.9649806,1.00%,XLK unit price no div,VGT unit price no div
7/2/2026,114.64,180.59,243.48,273.89,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,273.89,273.89,277.0067329,276.7980329,273.7379999,273.7806999,275.6909435,275.7220435,277.0067329,273.7379999,1.19%,IYW unit price div,VGT unit price div,276.7980329,273.7806999,1.10%,IYW unit price no div,VGT unit price no div
7/6/2026,116.37,183.57,247.39,278.01,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,278.01,278.01,281.3828742,281.1741742,277.8848238,277.9275238,279.8755959,279.9066959,281.3828742,277.8848238,1.25%,IYW unit price div,VGT unit price div,281.1741742,277.9275238,1.16%,IYW unit price no div,VGT unit price no div
7/7/2026,114.06,179.18,243.28,272.34,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,272.34,272.34,276.7828893,276.5741893,272.3477352,272.3904352,273.710957,273.742057,276.7828893,272.34,1.62%,IYW unit price div,FTEC unit price div,276.5741893,272.34,1.54%,IYW unit price no div,FTEC unit price no div
7/8/2026,115.47,181.4,245.1,275.81,,,,,,,,,,,,,,,1,1.11921773,2.397008024,1.40424577,275.81,275.81,278.8198656,278.6111656,275.7275165,275.7702165,276.8283826,276.8594826,278.8198656,275.7275165,1.12%,IYW unit price div,VGT unit price div,278.6111656,275.7702165,1.02%,IYW unit price no div,VGT unit price no div
7/9/2026,117.71,185.35,249.28,281.24,2.368450014,1.189948167,1.103080385,1,,2.371191859,1.388966442,1.164589868,1,,,,,,1,1.11921773,2.397008024,1.40424577,281.24,281.24,283.4981957,283.2894957,281.0968145,281.1395145,282.3751534,282.4062534,283.4981957,281.0968145,0.85%,IYW unit price div,VGT unit price div,283.2894957,281.1395145,0.76%,IYW unit price no div,VGT unit price no div
