date,FUTY,IDU,VPU,XLU,FUTY scalar,IDU scalar,VPU scalar,XLU scalar,FUTY unit price div,FUTY unit price no div,IDU unit price div,IDU unit price no div,VPU unit price div,VPU unit price no div,XLU unit price div,XLU unit price no div,max_unit_price,min_unit_price,pct_diff,max_sym,min_sym,max_unit_price_no,min_unit_price_no,pct_diff_no,max_sym_no,min_sym_no,,,0.187%,0.178%
6/25/2026,59.1,115.94,198.16,45.85,3.345559265,1.645446445,1,4.075728111,198.0565525,198.0972525,198.3875609,198.1257609,198.16,198.16,198.3458339,198.2041339,198.3875609,198.0565525,0.167%,IDU unit price div,FUTY unit price div,198.2041339,198.0972525,0.054%,XLU unit price no div,FUTY unit price no div,,,,
6/26/2026,59.51,116.82,199.66,46.2,3.345559265,1.645446445,1,4.075728111,199.4282318,199.4689318,199.8355537,199.5737537,199.66,199.66,199.7723387,199.6306387,199.8355537,199.4282318,0.204%,IDU unit price div,FUTY unit price div,199.66,199.4689318,0.096%,VPU unit price no div,FUTY unit price no div,,,,
6/29/2026,59.27,116.25,198.78,46.02,3.345559265,1.645446445,1,4.075728111,198.6252976,198.6659976,198.8976493,198.6358493,198.78,198.78,199.0387077,198.8970077,199.0387077,198.6252976,0.208%,XLU unit price div,FUTY unit price div,198.8970077,198.6358493,0.131%,XLU unit price no div,IDU unit price no div,,,,
6/30/2026,58.42,114.61,195.73,45.34,3.345559265,1.645446445,1,4.075728111,195.7815722,195.8222722,196.1991171,195.9373171,195.73,195.73,196.2672126,196.1255126,196.2672126,195.73,0.274%,XLU unit price div,VPU unit price div,196.1255126,195.73,0.202%,XLU unit price no div,VPU unit price no div,,,,
7/1/2026,57.73,113.31,193.38,44.77,3.345559265,1.645446445,1,4.075728111,193.4731364,193.5138364,194.0600367,193.7982367,193.38,193.38,193.9440475,193.8023475,194.0600367,193.38,0.351%,IDU unit price div,VPU unit price div,193.8023475,193.38,0.218%,XLU unit price no div,VPU unit price no div,,,,
7/2/2026,58.98,115.75,197.54,45.76,3.345559265,1.645446445,1,4.075728111,197.6550854,197.6957854,198.074926,197.813126,197.54,197.54,197.9790184,197.8373184,198.074926,197.54,0.270%,IDU unit price div,VPU unit price div,197.8373184,197.54,0.150%,XLU unit price no div,VPU unit price no div,,,,
7/6/2026,58.35,114.75,195.62,45.3,3.345559265,1.645446445,1,4.075728111,195.5473831,195.5880831,196.4294796,196.1676796,195.62,195.62,196.1041834,195.9624834,196.4294796,195.5473831,0.450%,IDU unit price div,FUTY unit price div,196.1676796,195.5880831,0.296%,IDU unit price no div,FUTY unit price no div,,,,
7/7/2026,58.87,115.97,197.25,45.7,3.345559265,1.645446445,1,4.075728111,197.2870739,197.3277739,198.4369242,198.1751242,197.25,197.25,197.7344747,197.5927747,198.4369242,197.25,0.600%,IDU unit price div,VPU unit price div,198.1751242,197.25,0.468%,IDU unit price no div,VPU unit price no div,,,,
7/8/2026,58.43,115.08,195.85,45.36,3.345559265,1.645446445,1,4.075728111,195.8150278,195.8557278,196.9724769,196.7106769,195.85,195.85,196.3487271,196.2070271,196.9724769,195.8150278,0.589%,IDU unit price div,FUTY unit price div,196.7106769,195.85,0.438%,IDU unit price no div,VPU unit price no div,,,,
7/9/2026,58.18,114.53,194.97,45.13,3.345559265,1.645446445,1,4.075728111,194.978638,195.019338,196.0674814,195.8056814,194.97,194.97,195.4113096,195.2696096,196.0674814,194.97,0.561%,IDU unit price div,VPU unit price div,195.8056814,194.97,0.428%,IDU unit price no div,VPU unit price no div,,,,
7/10/2026,58.53,115.19,196.17,45.41,3.345559265,1.645446445,1,4.075728111,196.1495838,196.1902838,197.153476,196.891676,196.17,196.17,196.5525135,196.4108135,197.153476,196.1495838,0.510%,IDU unit price div,FUTY unit price div,196.891676,196.17,0.367%,IDU unit price no div,VPU unit price no div,,,,
7/13/2026,58.92,116.05,197.48,45.72,3.345559265,1.645446445,1,4.075728111,197.4543519,197.4950519,198.56856,198.30676,197.48,197.48,197.8159892,197.6742892,198.56856,197.4543519,0.563%,IDU unit price div,FUTY unit price div,198.30676,197.48,0.418%,IDU unit price no div,VPU unit price no div,,,,
7/14/2026,58.92,115.94,197.39,45.69,3.345559265,1.645446445,1,4.075728111,197.4543519,197.4950519,198.3875609,198.1257609,197.39,197.39,197.6937174,197.5520174,198.3875609,197.39,0.504%,IDU unit price div,VPU unit price div,198.1257609,197.39,0.372%,IDU unit price no div,VPU unit price no div,,,,
7/15/2026,58.38,114.87,195.62,45.22,3.345559265,1.645446445,1,4.075728111,195.6477499,195.6884499,196.6269332,196.3651332,195.62,195.62,195.7781252,195.6364252,196.6269332,195.62,0.513%,IDU unit price div,VPU unit price div,196.3651332,195.62,0.380%,IDU unit price no div,VPU unit price no div,,,,
7/16/2026,58.66,115.67,196.49,45.47,3.345559265,1.645446445,1,4.075728111,196.5845065,196.6252065,197.9432903,197.6814903,196.49,196.49,196.7970572,196.6553572,197.9432903,196.49,0.737%,IDU unit price div,VPU unit price div,197.6814903,196.49,0.605%,IDU unit price no div,VPU unit price no div,,,,
7/17/2026,58.28,114.84,195.22,45.17,3.345559265,1.645446445,1,4.075728111,195.313194,195.353894,196.5775698,196.3157698,195.22,195.22,195.5743388,195.4326388,196.5775698,195.22,0.693%,IDU unit price div,VPU unit price div,196.3157698,195.22,0.560%,IDU unit price no div,VPU unit price no div,,,,
7/20/2026,57.94,114.24,194.21,44.94,3.345559265,1.645446445,1,4.075728111,194.1757038,194.2164038,195.5903019,195.3285019,194.21,194.21,194.6369213,194.4952213,195.5903019,194.1757038,0.726%,IDU unit price div,FUTY unit price div,195.3285019,194.21,0.574%,IDU unit price no div,VPU unit price no div,,,,
7/21/2026,57.95,114.01,194.22,44.92,3.345559265,1.645446445,1,4.075728111,194.2091594,194.2498594,195.2118492,194.9500492,194.22,194.22,194.5554067,194.4137067,195.2118492,194.2091594,0.515%,IDU unit price div,FUTY unit price div,194.9500492,194.22,0.375%,IDU unit price no div,VPU unit price no div,,,,
7/22/2026,59.23,116.44,198.41,45.93,3.345559265,1.645446445,1,4.075728111,198.4914753,198.5321753,199.2102841,198.9484841,198.41,198.41,198.6718921,198.5301921,199.2102841,198.41,0.403%,IDU unit price div,VPU unit price div,198.9484841,198.41,0.271%,IDU unit price no div,VPU unit price no div,,,,
7/23/2026,59.5,117.03,199.43,46.19,3.345559265,1.645446445,1,4.075728111,199.3947763,199.4354763,200.1810975,199.9192975,199.43,199.43,199.7315814,199.5898814,200.1810975,199.3947763,0.394%,IDU unit price div,FUTY unit price div,199.9192975,199.43,0.245%,IDU unit price no div,VPU unit price no div,,,,
7/24/2026,59.52,117.16,199.46,46.29,3.345559265,1.645446445,1,4.075728111,199.4616874,199.5023874,200.3950055,200.1332055,199.46,199.46,200.1391543,199.9974543,200.3950055,199.46,0.468%,IDU unit price div,VPU unit price div,200.1332055,199.46,0.337%,IDU unit price no div,VPU unit price no div,,,,
