date,XBI,IBB,XBI log rtn,IBB log rtn,XBI div,XBI div cumsum,IBB div,IBB div cumsum,XBI div adjustment,IBB div adjustment,XBI*,IBB*,IBB/XBI,IBB/XBI avg,IBB/XBI 10 dma,IBB/XBI 20 dma,XBI x avg,XBI x 10 dma,XBI x 20 dma,log diff XBI x avg / IBB,log diff XBI x 10 dma / IBB,log diff XBI x 20 dma / IBB,IBB*/XBI*,IBB*/XBI* avg,IBB*/XBI* 10 dma,IBB*/XBI* 20 dma,XBI* x avg,XBI* x 10 dma,XBI* x 20 dma,log diff XBI* x avg / IBB*,log diff XBI* x 10 dma / IBB*,log diff XBI* x 20 dma / IBB*
2026-01-02,121.52,169.0,,,0.0,0.0,0.0,0.0,0.0,0.0,121.52,169.0,1.390717577353522,1.3022492118915743,,,,,,,,,1.390717577353522,1.3022759807794742,,,,,,,,
2026-01-05,120.15,167.34,-0.011337896105039462,-0.009871044055620901,0.0,0.0,0.0,0.0,0.0,0.0,120.15,167.34,1.3927590511860175,1.3022492118915743,,,156.46524280877264,,,-0.06719377623180069,,,1.3927590511860175,1.3022759807794742,,,156.46845909065382,,,-0.0671732205558746,,
2026-01-06,122.09,171.24,0.01601751549828608,0.023038410409292782,0.0,0.0,0.0,0.0,0.0,0.0,122.09,171.24,1.402571873208289,1.3022492118915743,,,158.9916062798423,,,-0.07421467114280728,,,1.402571873208289,1.3022759807794742,,,158.994874493366,,,-0.07419411546688115,,
2026-01-07,126.43,176.74,0.03493031764304224,0.03161364481311304,0.0,0.0,0.0,0.0,0.0,0.0,126.43,176.74,1.397927707031559,1.3022492118915743,,,164.64336785945176,,,-0.07089799831287787,,,1.397927707031559,1.3022759807794742,,,164.64675224994892,,,-0.07087744263695205,,
2026-01-08,123.71,172.26,-0.0217486784490662,-0.025674762728830857,0.0,0.0,0.0,0.0,0.0,0.0,123.71,172.26,1.3924500848759196,1.3022492118915743,,,161.10125000310666,,,-0.06697191403311326,,,1.3924500848759196,1.3022759807794742,,,161.10456158222874,,,-0.06695135835718725,,
2026-01-09,124.5,172.39,0.006365599030022063,0.0007543885458596506,0.0,0.0,0.0,0.0,0.0,0.0,124.5,172.39,1.3846586345381524,1.3022492118915743,,,162.130026880501,,,-0.06136070354895082,,,1.3846586345381524,1.3022759807794742,,,162.13335960704453,,,-0.06134014787302487,,
2026-01-12,123.93,171.4,-0.004588825827979342,-0.005759345743207708,0.0,0.0,0.0,0.0,0.0,0.0,123.93,171.4,1.383038812232712,1.3022492118915743,,,161.3877448297228,,,-0.06019018363372249,,,1.383038812232712,1.3022759807794742,,,161.39106229800024,,,-0.06016962795779645,,
2026-01-13,123.85,171.32,-0.0006457341414143545,-0.0004668534165093022,0.0,0.0,0.0,0.0,0.0,0.0,123.85,171.32,1.3832862333467906,1.3022492118915743,,,161.28356489277147,,,-0.06036906435862757,,,1.3832862333467906,1.3022759807794742,,,161.28688021953786,,,-0.0603485086827016,,
2026-01-14,126.82,172.83,0.023697602336517035,0.00877529966523126,0.0,0.0,0.0,0.0,0.0,0.0,126.82,172.83,1.3627976659832837,1.3022492118915743,,,165.15124505208945,,,-0.0454467616873419,,,1.3627976659832837,1.3022759807794742,,,165.1546398824529,,,-0.04542620601141598,,
2026-01-15,124.35,170.56,-0.01966858802247191,-0.013221311434921786,0.0,0.0,0.0,0.0,0.0,0.0,124.35,170.56,1.3716123843988741,1.3022492118915743,1.386182002415512,,161.93468949871726,,,-0.051894038274891946,,,1.3716123843988741,1.3022759807794742,1.386182002415512,,161.9380182099276,,,-0.05187348259896599,,
2026-01-16,124.18,169.96,-0.0013680443126668738,-0.003524025730868861,0.0,0.0,0.0,0.0,0.0,0.0,124.18,169.96,1.3686583990980834,1.3022492118915743,1.383976084589968,,161.7133071326957,172.1360810599583,,-0.049738056856690076,0.012722217710910717,,1.3686583990980834,1.3022759807794742,1.383976084589968,,161.71663129319512,172.1360810599583,,-0.04971750118076397,0.012722217710910717,
