date,XLK,IYW,IYW/XLK,IYW/XLK avg,IYW/XLK 10 dma,IYW/XLK 20 dma,XLK avg,XLK 10 dma,XLK 20 dma,avg diff,10 dma diff,20 dma diff,XLK div,IYW div,XLK*,IYW*,IYW*/XLK*,IYW*/XLK* avg,IYW*/XLK* 10 dma,IYW*/XLK* 20 dma,XLK* avg,XLK* 10 dma,XLK* 20 dma,avg diff*,10 dma diff*,20 dma diff*
2026-01-02,144.3,199.89,1.385239085239085,1.357129959145118,,,,,,,,,0.0,0.0,144.3,199.89,1.385239085239085,1.3571528448290298,,,,,,,,
2026-01-05,144.62,200.4,1.3857004563684139,1.357129959145118,,,196.26813469156698,,,0.020833610745691122,,,0.0,0.0,144.62,200.4,1.3857004563684139,1.3571528448290298,,,196.2714444191743,,,0.02081674759209581,,
2026-01-06,146.65,202.33,1.3796795090351177,1.357129959145118,,,199.02310850863157,,,0.01647908664943045,,,0.0,0.0,146.65,202.33,1.3796795090351177,1.3571528448290298,,,199.02646469417724,,,0.016462223495834902,,
2026-01-07,146.53,202.65,1.3829932437043608,1.357129959145118,,,198.86025291353414,,,0.018878021706171092,,,0.0,0.0,146.53,202.65,1.3829932437043608,1.3571528448290298,,,198.86360635279775,,,0.01886115855257571,,
2026-01-08,144.24,199.78,1.3850526899611757,1.357129959145118,,,195.75242530709184,,,0.020366036490729017,,,0.0,0.0,144.24,199.78,1.3850526899611757,1.3571528448290298,,,195.75572633813925,,,0.02034917333713378,,
2026-01-09,146.15,201.75,1.3804310639753676,1.357129959145118,,,198.344543529059,,,0.017023669874590384,,,0.0,0.0,146.15,201.75,1.3804310639753676,1.3571528448290298,,,198.3478882717627,,,0.017006806720995124,,
2026-01-12,146.79,202.42,1.3789767695347095,1.357129959145118,,,199.21310670291186,,,0.015969607073400508,,,0.0,0.0,146.79,202.42,1.3789767695347095,1.3571528448290298,,,199.21646609245326,,,0.01595274391980519,,
2026-01-13,146.48,201.9,1.3783451665756419,1.357129959145118,,,198.7923964155769,,,0.01551147923432375,,,0.0,0.0,146.48,201.9,1.3783451665756419,1.3571528448290298,,,198.79574871055627,,,0.015494616080728446,,
2026-01-14,144.7,199.26,1.37705597788528,1.357129959145118,,,196.37670508829856,,,0.014575725261059313,,,0.0,0.0,144.7,199.26,1.37705597788528,1.3571528448290298,,,196.3800166467606,,,0.014558862107463879,,
2026-01-15,145.46,199.9,1.3742609652138045,1.357129959145118,1.3807734927492956,,197.40812385724888,,,0.01254396106174683,,,0.0,0.0,145.46,199.9,1.3742609652138045,1.3571528448290298,1.3807734927492956,,197.4114528088307,,,0.012527097908151652,,
2026-01-16,145.62,199.89,1.372682323856613,1.357129959145118,1.3795178166110484,,197.6252646507121,201.06823601415243,,0.011394580557777529,-0.005877117862796086,,0.0,0.0,145.62,199.89,1.372682323856613,1.3571528448290298,1.3795178166110484,,197.62859726400333,201.06823601415243,,0.011377717404182162,-0.005877117862796086,
2026-01-20,141.84,194.71,1.3727439368302312,1.357129959145118,1.3782221646572304,,192.49531340514355,195.67080710811112,,0.011439464643364577,-0.004922419497385961,,0.0,0.0,141.84,194.71,1.3727439368302312,1.3571528448290298,1.3782221646572304,,192.4985595105496,195.67080710811112,,0.011422601489769073,-0.004922419497385961,
2026-01-21,143.81,197.17,1.371045128989639,1.357129959145118,1.3773587266526826,,195.16885942465942,198.2021294993563,,0.010201171161675241,-0.005221065254525019,,0.0,0.0,143.81,197.17,1.371045128989639,1.3571528448290298,1.3773587266526826,,195.17215061486277,198.2021294993563,,0.01018430800808002,-0.005221065254525019,
2026-01-22,144.88,198.93,1.3730673660960797,1.357129959145118,1.3763661388918542,,196.6209884809447,199.55173231744064,,0.011675044755515243,-0.003120508527898772,,0.0,0.0,144.88,198.93,1.3730673660960797,1.3571528448290298,1.3763661388918542,,196.62430415882983,199.55173231744064,,0.011658181601920007,-0.003120508527898772,
2026-01-23,145.09,199.72,1.3765249155696464,1.357129959145118,1.3755133614527013,,196.90598577236517,199.69696309181913,,0.014190000386602064,0.00011535267820412356,,0.0,0.0,145.09,199.72,1.3765249155696464,1.3571528448290298,1.3755133614527013,,196.90930625624392,199.69696309181913,,0.014173137233006769,0.00011535267820412356,
2026-01-26,146.08,201.24,1.3776013143483024,1.357129959145118,1.3752303864899948,,198.24954443191885,200.93499184101063,,0.014971663058246727,0.0015167935533231952,,0.0,0.0,146.08,201.24,1.3776013143483024,1.3571528448290298,1.3752303864899948,,198.25288757262467,200.93499184101063,,0.014954799904651267,0.0015167935533231952,
