,bop date,eop date, bop XLU price , eop XLU price , XLU cop ,XLU pct cop, bop FUTY price , eop FUTY price , FUTY cop ,FUTY pct cop, bop IDU price , eop IDU price , IDU cop ,IDU pct cop, bop VPU price , eop VPU price , VPU cop ,VPU pct cop, XLU scalar , FUTY scalar ,,, IDU scalar , VPU scalar , eop XLU unit price , eop FUTY unit price , eop IDU unit price , eop VPU unit price , max_price , min_price , pct_diff ,,
1146,,3/25/2026,,$45.25 ,,,,$58.34 ,,,,$114.49 ,,,,$195.48 ,,,4.3274,3.352,1.7105,1,1.7105,1,$195.81 ,$195.56 ,$195.84 ,$195.48 ,$195.84 ,$195.48 ,0.18%,,
1147,3/25/2026,3/26/2026,$45.25 ,$45.33 ,$0.08 ,0.18%,$58.34 ,$58.47 ,$0.13 ,0.22%,$114.49 ,$114.81 ,$0.32 ,0.28%,$195.48 ,$195.92 ,$0.44 ,0.22%,4.3274,3.352,1.7105,1.000013393,1.710522908,1,$196.16 ,$195.99 ,$196.39 ,$195.92 ,$196.39 ,$195.92 ,0.24%,,$7.50 
1148,3/26/2026,3/27/2026,$45.33 ,$45.59 ,$0.26 ,0.57%,$58.47 ,$58.74 ,$0.27 ,0.46%,$114.81 ,$115.34 ,$0.53 ,0.46%,$195.92 ,$196.88 ,$0.96 ,0.49%,4.3274,3.352,1.7105,1.000026786,1.710545817,1,$197.29 ,$196.90 ,$197.29 ,$196.88 ,$197.29 ,$196.88 ,0.21%,,0.133928571
1149,3/27/2026,3/30/2026,$45.59 ,$45.92 ,$0.33 ,0.72%,$58.74 ,$59.13 ,$0.39 ,0.66%,$115.34 ,$116.21 ,$0.87 ,0.75%,$196.88 ,$198.11 ,$1.23 ,0.62%,4.3274,3.352,1.7105,1.000040179,1.710568726,1,$198.71 ,$198.20 ,$198.79 ,$198.11 ,$198.79 ,$198.11 ,0.34%,,
1150,3/30/2026,3/31/2026,$45.92 ,$45.89 ,($0.03),-0.07%,$59.13 ,$59.07 ,($0.06),-0.10%,$116.21 ,$116.11 ,($0.10),-0.09%,$198.11 ,$198.14 ,$0.03 ,0.02%,4.3274,3.352,1.7105,1.000053573,1.710591636,1,$198.58 ,$198.00 ,$198.62 ,$198.14 ,$198.62 ,$198.00 ,0.31%,,
1151,3/31/2026,4/1/2026,$45.89 ,$46.11 ,$0.22 ,0.48%,$59.07 ,$59.36 ,$0.29 ,0.49%,$116.11 ,$116.61 ,$0.50 ,0.43%,$198.14 ,$198.97 ,$0.83 ,0.42%,4.3274,3.352,1.7105,1.000066966,1.710614545,1,$199.54 ,$198.97 ,$199.47 ,$198.97 ,$199.54 ,$198.97 ,0.29%,,0.075%
1152,4/1/2026,4/2/2026,$46.11 ,$46.34 ,$0.23 ,0.50%,$59.36 ,$59.75 ,$0.39 ,0.65%,$116.61 ,$117.48 ,$0.87 ,0.74%,$198.97 ,$200.14 ,$1.17 ,0.59%,4.3274,3.352,1.7105,1.00008036,1.710637455,1,$200.53 ,$200.28 ,$200.97 ,$200.14 ,$200.97 ,$200.14 ,0.41%,,1.33929E-05
1153,4/2/2026,4/6/2026,$46.34 ,$46.17 ,($0.17),-0.37%,$59.75 ,$59.48 ,($0.27),-0.45%,$117.48 ,$116.92 ,($0.56),-0.48%,$200.14 ,$199.40 ,($0.74),-0.37%,4.3274,3.352,1.7105,1.000093754,1.710660366,1,$199.80 ,$199.38 ,$200.01 ,$199.40 ,$200.01 ,$199.38 ,0.32%,,
1154,4/6/2026,4/7/2026,$46.17 ,$46.27 ,$0.10 ,0.22%,$59.48 ,$59.67 ,$0.19 ,0.32%,$116.92 ,$117.27 ,$0.35 ,0.30%,$199.40 ,$199.98 ,$0.58 ,0.29%,4.3274,3.352,1.7105,1.000107148,1.710683276,1,$200.23 ,$200.01 ,$200.61 ,$199.98 ,$200.61 ,$199.98 ,0.32%,,
1155,4/7/2026,4/8/2026,$46.27 ,$46.78 ,$0.51 ,1.10%,$59.67 ,$60.30 ,$0.63 ,1.05%,$117.27 ,$118.26 ,$0.99 ,0.84%,$199.98 ,$202.09 ,$2.11 ,1.05%,4.3274,3.352,1.7105,1.000120542,1.710706187,1,$202.44 ,$202.13 ,$202.31 ,$202.09 ,$202.44 ,$202.09 ,0.17%,,
1156,4/8/2026,4/9/2026,$46.78 ,$47.15 ,$0.37 ,0.79%,$60.30 ,$60.76 ,$0.46 ,0.76%,$118.26 ,$119.13 ,$0.87 ,0.73%,$202.09 ,$203.63 ,$1.54 ,0.76%,4.3274,3.352,1.7105,1.000133937,1.710729099,1,$204.04 ,$203.67 ,$203.80 ,$203.63 ,$204.04 ,$203.63 ,0.20%,,
1157,4/9/2026,4/10/2026,$47.15 ,$46.96 ,($0.19),-0.40%,$60.76 ,$60.52 ,($0.24),-0.40%,$119.13 ,$118.54 ,($0.59),-0.50%,$203.63 ,$202.89 ,($0.74),-0.36%,4.3274,3.352,1.7105,1.000147331,1.71075201,1,$203.21 ,$202.86 ,$202.79 ,$202.89 ,$203.21 ,$202.79 ,0.21%,,
1158,4/10/2026,4/13/2026,$46.96 ,$46.39 ,($0.57),-1.22%,$60.52 ,$59.76 ,($0.76),-1.26%,$118.54 ,$117.26 ,($1.28),-1.09%,$202.89 ,$200.25 ,($2.64),-1.31%,4.3274,3.352,1.7105,1.000160726,1.710774922,1,$200.75 ,$200.32 ,$200.61 ,$200.25 ,$200.75 ,$200.25 ,0.25%,,
1159,4/13/2026,4/14/2026,$46.39 ,$46.47 ,$0.08 ,0.17%,$59.76 ,$59.96 ,$0.20 ,0.33%,$117.26 ,$117.41 ,$0.15 ,0.13%,$200.25 ,$200.91 ,$0.66 ,0.33%,4.3274,3.352,1.7105,1.000174121,1.710797834,1,$201.09 ,$200.99 ,$200.86 ,$200.91 ,$201.09 ,$200.86 ,0.11%,,
1160,4/14/2026,4/15/2026,$46.47 ,$46.02 ,($0.45),-0.97%,$59.96 ,$59.46 ,($0.50),-0.84%,$117.41 ,$116.31 ,($1.10),-0.94%,$200.91 ,$199.25 ,($1.66),-0.83%,4.3274,3.352,1.7105,1.000187516,1.710820747,1,$199.15 ,$199.31 ,$198.99 ,$199.25 ,$199.31 ,$198.99 ,0.16%,,
1161,4/15/2026,4/16/2026,$46.02 ,$46.35 ,$0.33 ,0.71%,$59.46 ,$59.85 ,$0.39 ,0.65%,$116.31 ,$117.00 ,$0.69 ,0.59%,$199.25 ,$200.51 ,$1.26 ,0.63%,4.3274,3.352,1.7105,1.000200912,1.710843659,1,$200.57 ,$200.62 ,$200.17 ,$200.51 ,$200.62 ,$200.17 ,0.23%,,
1162,4/16/2026,4/17/2026,$46.35 ,$46.16 ,($0.19),-0.41%,$59.85 ,$59.59 ,($0.26),-0.44%,$117.00 ,$116.57 ,($0.43),-0.37%,$200.51 ,$199.70 ,($0.81),-0.40%,4.3274,3.352,1.7105,1.000214307,1.710866573,1,$199.75 ,$199.75 ,$199.44 ,$199.70 ,$199.75 ,$199.44 ,0.16%,,
1163,4/17/2026,4/20/2026,$46.16 ,$45.75 ,($0.41),-0.89%,$59.59 ,$59.11 ,($0.48),-0.81%,$116.57 ,$115.62 ,($0.95),-0.82%,$199.70 ,$198.05 ,($1.65),-0.83%,4.3274,3.352,1.7105,1.000227703,1.710889486,1,$197.98 ,$198.14 ,$197.81 ,$198.05 ,$198.14 ,$197.81 ,0.17%,,
1164,4/20/2026,4/21/2026,$45.75 ,$44.95 ,($0.80),-1.76%,$59.11 ,$58.04 ,($1.07),-1.83%,$115.62 ,$113.57 ,($2.05),-1.79%,$198.05 ,$194.44 ,($3.61),-1.84%,4.3274,3.352,1.7105,1.000241099,1.7109124,1,$194.52 ,$194.55 ,$194.31 ,$194.44 ,$194.55 ,$194.31 ,0.12%,,
