,bop date,eop date,day count,bop XLU price,eop XLU price,bop FUTY price,eop FUTY price,bop IDU price,eop IDU price,bop VPU price,eop VPU price,eop VPU / eop XLU,eop VPU / XLU moving avg,bop VPU / XLU moving avg,eop XLU unit price,eop VPU / eop FUTY,eop VPU / FUTY moving avg,bop VPU / FUTY moving avg,eop FUTY unit price,eop VPU / eop IDU,eop VPU / IDU moving avg,bop VPU / IDU moving avg,eop IDU unit price,eop VPU / eop VPU,eop VPU / VPU moving avg,bop VPU / VPU moving avg,eop VPU unit price,XLU unit price pct diff,FUTY unit price pct diff,IDU unit price pct diff,VPU unit price pct diff,min symbol,max symbol,min unit price pct diff,max unit price pct diff,unit price pct diff,month end liquidation,go group,exit group,current long symbol,current short symbol,new long symbol,new short symbol,current_position,new_position,XLU shares per unit,eop XLU shares,bop XLU shares,eop XLU shares traded,eop XLU shares bought,eop XLU shares sold,FUTY shares per unit,eop FUTY shares,bop FUTY shares,eop FUTY shares traded,eop FUTY shares bought,eop FUTY shares sold,IDU shares per unit,eop IDU shares,bop IDU shares,eop IDU shares traded,eop IDU shares bought,eop IDU shares sold,VPU shares per unit,eop VPU shares,bop VPU shares,eop VPU shares traded,eop VPU shares bought,eop VPU shares sold,XLU daily commission,XLU cop,XLU pct cop,XLU daily position pnl,XLU investment amount,short XLU investment amount,long XLU investment amount,daily XLU borrow cost,FUTY daily commission,FUTY cop,FUTY pct cop,FUTY daily position pnl,FUTY investment amount,short FUTY investment amount,long FUTY investment amount,daily FUTY borrow cost,IDU daily commission,IDU cop,IDU pct cop,IDU daily position pnl,IDU investment amount,short IDU investment amount,long IDU investment amount,daily IDU borrow cost,VPU daily commission,VPU cop,VPU pct cop,VPU daily position pnl,VPU investment amount,short VPU investment amount,long VPU investment amount,daily VPU borrow cost,daily total commissions,daily position pnl,net investment amount,gross investment amount,short investment amount,daily borrow cost,daily net profit,cumulative net profit,drawdown
0,2024-01-02,2024-01-03,1,,32.245,,41.54,,81.01,,139.41,4.323461001705691,,,,3.3560423688011554,,,,1.7208986544871,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-01-03,2024-01-04,1,32.245,32.145,41.54,41.4,81.01,80.76,139.41,138.8,4.31793435993156,,,,3.352657004830918,,,,1.718672610203071,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09999999999999432,-0.003106074868690538,,,,,,,-0.14000000000000057,-0.003375937616697565,,,,,,,-0.25,-0.003090810397763132,,,,,,,-0.6099999999999852,-0.004385183692292391,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-01-04,2024-01-05,1,32.145,32.265,41.4,41.5,80.76,81.03,138.8,139.23,4.315202231520223,,,,3.3549397590361445,,,,1.7182524990744168,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.11999999999999744,0.00372613379415303,,,,,,,0.10000000000000142,0.002412546405383926,,,,,,,0.269999999999996,0.0033376630279971383,,,,,,,0.4299999999999784,0.0030931938484897586,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-01-05,2024-01-08,3,32.265,32.5,41.5,41.83,81.03,81.55,139.23,140.33,4.317846153846154,,,,3.3547693043270383,,,,1.7207847946045374,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.23499999999999943,0.00725703794788875,,,,,,,0.3299999999999983,0.007920358217454312,,,,,,,0.519999999999996,0.006396872594388855,,,,,,,1.1000000000000227,0.007869549841850404,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-01-08,2024-01-09,1,32.5,32.235,41.83,41.49,81.55,80.99,140.33,139.25,4.319838684659532,,,,3.3562304169679438,,,,1.7193480676626745,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26500000000000057,-0.008187270573108352,,,,,,,-0.3399999999999963,-0.008161351109330398,,,,,,,-0.5600000000000023,-0.006890638806124416,,,,,,,-1.0800000000000125,-0.0077259129556510675,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-01-09,2024-01-10,1,32.235,32.23,41.49,41.46,80.99,80.97,139.25,139.13,4.316785603475023,,,,3.3557645923781956,,,,1.7182907249598616,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005000000000002558,-0.00015512293523707008,,,,,,,-0.030000000000001137,-0.000723327337143028,,,,,,,-0.01999999999999602,-0.00024697456287548923,,,,,,,-0.12000000000000455,-0.0008621309536079985,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-01-10,2024-01-11,1,32.23,31.48,41.46,40.52,80.97,79.34,139.13,135.9,4.31702668360864,,,,3.353899308983218,,,,1.7128812704814722,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7499999999999964,-0.02354527227814385,,,,,,,-0.9399999999999977,-0.02293342762715089,,,,,,,-1.6299999999999955,-0.020336300611838803,,,,,,,-3.2299999999999898,-0.023489426696687257,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-01-11,2024-01-12,1,31.48,31.66,40.52,40.75,79.34,79.83,135.9,136.65,4.316171825647505,,,,3.3533742331288345,,,,1.711762495302518,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.17999999999999972,0.005701630903663674,,,,,,,0.22999999999999687,0.005660160306388944,,,,,,,0.4899999999999949,0.006156958571523433,,,,,,,0.75,0.005503591216978909,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-01-12,2024-01-16,4,31.66,31.315,40.75,40.26,79.83,78.96,136.65,135.03,4.311991058598116,,,,3.353949329359166,,,,1.7101063829787235,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34499999999999886,-0.010956838475489828,,,,,,,-0.490000000000002,-0.012097419475226355,,,,,,,-0.8700000000000045,-0.010957978532481379,,,,,,,-1.6200000000000045,-0.01192593640112601,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-01-16,2024-01-17,1,31.315,30.86,40.26,39.69,78.96,77.93,135.03,133.1,4.313026571613739,,,,3.3534895439657344,,,,1.7079430257923776,,,,1.0,,,,,,,,,,,,,False,False,False,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45500000000000185,-0.014636369042361506,,,,,,,-0.5700000000000003,-0.014259153416671423,,,,,,,-1.029999999999987,-0.013130407269756452,,,,,,,-1.9300000000000068,-0.014396250571885106,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
