,bop date,eop date,bop XLU price,eop XLU price,XLU cop,XLU pct cop,bop FUTY price,eop FUTY price,FUTY cop,FUTY pct cop,bop VPU price,eop VPU price,VPU cop,VPU pct cop,VPU / XLU,XLU scalar,eop XLU unit price,VPU / FUTY,FUTY scalar,eop FUTY unit price,VPU / VPU,VPU scalar,eop VPU unit price,max_price,min_price,pct_diff
1146,,2026-03-25,,45.25,,,,58.34,,,,195.48,,,4.319999999999999,4.3274,195.81485,3.3507027768255053,3.352,195.55568,1.0,1.0,195.48,195.81485,195.48,0.0017114975151733634
1147,2026-03-25,2026-03-26,45.25,45.33,0.0799999999999983,0.0017663948068227,58.34,58.47,0.1299999999999954,0.0022258377480037,195.48,195.92,0.4399999999999977,0.0022483402419581,4.322082506066622,4.3274,196.16104199999998,3.3507781768428253,3.352,195.99143999999998,1.0,1.0,195.92,196.16104199999998,195.92,0.001229552080037837
1148,2026-03-26,2026-03-27,45.33,45.59,0.2600000000000051,0.0057193292725923,58.47,58.74,0.2700000000000031,0.0046071235828948,195.92,196.88,0.960000000000008,0.0048879934388881,4.318490897126562,4.3274,197.286166,3.3517194416070817,3.352,196.89648,1.0,1.0,196.88,197.286166,196.88,0.0020608879137419367
1149,2026-03-27,2026-03-30,45.59,45.92,0.3299999999999983,0.0072123577859608,58.74,59.13,0.3900000000000005,0.0066174840622645,196.88,198.11,1.2300000000000182,0.0062280259034349,4.314242160278746,4.3274,198.714208,3.350414341281921,3.352,198.20376,1.0,1.0,198.11,198.714208,198.11,0.0030452197962679583
1150,2026-03-30,2026-03-31,45.92,45.89,-0.0300000000000011,-0.0006535236045688,59.13,59.07,-0.0600000000000022,-0.0010152285135946,198.11,198.14,0.0299999999999727,0.0001514195586487,4.3177162780562215,4.3274,198.584386,3.354325376671745,3.352,198.00263999999999,1.0,1.0,198.14,198.584386,198.00263999999999,0.0029337642389538413
1151,2026-03-31,2026-04-01,45.89,46.11,0.2199999999999988,0.004782617811872,59.07,59.36,0.2899999999999991,0.0048974175399811,198.14,198.97,0.8300000000000125,0.0041802080462725,4.315116026892214,4.3274,199.536414,3.351920485175202,3.352,198.97472,1.0,1.0,198.97,199.536414,198.97,0.002842686398649852
1152,2026-04-01,2026-04-02,46.11,46.34,0.2300000000000039,0.0049756727856159,59.36,59.75,0.3900000000000005,0.006548591952495,198.97,200.14,1.1699999999999875,0.0058630620711533,4.318946914113076,4.3274,200.53171600000002,3.349623430962343,3.352,200.28199999999998,1.0,1.0,200.14,200.53171600000002,200.14,0.001955297113112384
1153,2026-04-02,2026-04-06,46.34,46.17,-0.1700000000000017,-0.0036752824853326,59.75,59.48,-0.2700000000000031,-0.0045290692196657,200.14,199.4,-0.7399999999999807,-0.0037042641345719,4.318821745722331,4.3274,199.79605800000002,3.352387357094822,3.352,199.37695999999997,1.0,1.0,199.4,199.79605800000002,199.37695999999997,0.0020998320782990377
1154,2026-04-06,2026-04-07,46.17,46.27,0.1000000000000014,0.0021635664000107,59.48,59.67,0.1900000000000048,0.0031892599420363,199.4,199.98,0.5799999999999841,0.0029045040199651,4.322022909012318,4.3274,200.228798,3.351432880844645,3.352,200.01384,1.0,1.0,199.98,200.228798,199.98,0.00124334114239718
1155,2026-04-07,2026-04-08,46.27,46.78,0.509999999999998,0.0109619582371246,59.67,60.3,0.6299999999999955,0.0105027221991492,199.98,202.09,2.1100000000000136,0.0104957811824537,4.320008550662676,4.3274,202.43577200000001,3.351409618573798,3.352,202.1256,1.0,1.0,202.09,202.43577200000001,202.09,0.0017095181970682306
1156,2026-04-08,2026-04-09,46.78,47.15,0.3699999999999974,0.0078782479234335,60.3,60.76,0.4600000000000008,0.0075995739944322,202.09,203.63,1.539999999999992,0.0075914788322665,4.318769883351007,4.3274,204.03690999999998,3.351382488479263,3.352,203.66752,1.0,1.0,203.63,204.03690999999998,203.63,0.001996287288235046
1157,2026-04-09,2026-04-10,47.15,46.96,-0.1899999999999977,-0.0040378335596254,60.76,60.52,-0.2399999999999948,-0.0039577888074168,203.63,202.89,-0.7400000000000091,-0.0036406613074653,4.320485519591141,4.3274,203.214704,3.3524454725710506,3.352,202.86304,1.0,1.0,202.89,203.214704,202.86304,0.001732003751041459
