date,KBE,KBWB
2021-09-20,49.11,62.97
2021-09-21,48.94,62.88
2021-09-22,49.73,64.12
2021-09-23,51.42,66.38
2021-09-24,51.84,66.89
2021-09-27,53.65,68.77
2021-09-28,53.17,67.96
2021-09-29,53.62,68.22
2021-09-30,52.91,67.1
2021-10-01,54.13,68.61
2021-10-04,54.25,68.5
2021-10-05,54.54,69.53
2021-10-06,54.43,69.4
2021-10-07,54.85,69.68
2021-10-08,55.11,70.18
2021-10-11,54.61,69.44
2021-10-12,54.61,69.18
2021-10-13,54.45,68.62
2021-10-14,55.18,69.57
2021-10-15,55.29,70.51
2021-10-18,55.46,70.86
2021-10-19,55.6,71.47
2021-10-20,56.86,72.87
2021-10-21,56.55,72.34
2021-10-22,56.97,73.39
2021-10-25,57.07,73.17
2021-10-26,56.64,72.81
2021-10-27,54.79,70.92
2021-10-28,55.57,71.8
2021-10-29,55.34,71.42
2021-11-01,56.97,72.21
2021-11-02,56.76,72.07
2021-11-03,57.89,73.07
2021-11-04,57.03,71.7
2021-11-05,57.56,71.71
2021-11-08,57.6,72.09
2021-11-09,57.3,71.69
2021-11-10,57.3,71.86
2021-11-11,57.66,72.3
2021-11-12,57.44,72.17
2021-11-15,57.6,72.43
2021-11-16,57.56,72.28
2021-11-17,56.99,71.43
2021-11-18,56.75,71.15
2021-11-19,56.35,70.23
2021-11-22,57.06,71.48
2021-11-23,57.89,72.61
2021-11-24,57.72,72.5
2021-11-26,55.06,69.51
2021-11-29,55.08,69.6
2021-11-30,53.67,67.43
2021-12-01,53.01,66.65
2021-12-02,54.83,69.09
2021-12-03,53.47,67.24
2021-12-06,54.82,68.61
2021-12-07,55.03,69.63
2021-12-08,54.93,69.03
2021-12-09,54.46,68.95
2021-12-10,54.58,68.79
2021-12-13,53.29,67.22
2021-12-14,53.7,67.93
2021-12-15,53.99,68.08
2021-12-16,54.17,68.79
2021-12-17,52.91,66.85
2021-12-20,51.57,64.94
2021-12-21,53.17,66.68
2021-12-22,53.61,66.93
2021-12-23,54.07,67.3
2021-12-27,54.76,68.15
2021-12-28,54.78,68.1
2021-12-29,54.84,68.09
2021-12-30,54.58,67.92
2021-12-31,54.56,67.84
2022-01-03,55.64,69.62
2022-01-04,57.14,71.98
2022-01-05,56.71,71.3
2022-01-06,58.64,73.55
2022-01-07,59.28,74.72
2022-01-10,59.28,74.54
2022-01-11,59.63,75.19
2022-01-12,59.79,75.58
2022-01-13,60.04,75.75
2022-01-14,60.41,75.54
2022-01-18,59.22,73.74
2022-01-19,57.57,71.44
2022-01-20,56.24,70.23
2022-01-21,55.12,67.94
2022-01-24,55.7,68.61
2022-01-25,55.82,68.99
2022-01-26,55.45,69.15
2022-01-27,54.28,68.32
2022-01-28,54.58,69.07
2022-01-31,55.03,69.32
2022-02-01,55.87,70.99
2022-02-02,55.73,71.24
2022-02-03,55.38,70.54
2022-02-04,56.37,72.02
2022-02-07,56.7,72.45
2022-02-08,58.15,73.94
2022-02-09,57.76,74.06
2022-02-10,57.65,73.79
2022-02-11,57.29,72.75
