date,FENY,IYE,VDE,XLE
2021-08-30,13.32,26.46,68.37,24.365
2021-08-31,13.24,26.25,68.01,24.2
2021-09-01,13.09,25.89,67.16,23.845
2021-09-02,13.41,26.56,68.91,24.45
2021-09-03,13.37,26.43,68.6,24.31
2021-09-07,13.28,26.25,68.2,24.165
2021-09-08,13.12,25.94,67.36,23.855
2021-09-09,13.16,25.97,67.48,23.905
2021-09-10,13.15,25.98,67.41,23.895
2021-09-13,13.54,26.74,69.49,24.58
2021-09-14,13.33,26.32,68.33,24.225
2021-09-15,13.85,27.31,71.08,25.13
2021-09-16,13.7,27.02,70.29,24.845
2021-09-17,13.4,26.81,69.64,24.66
2021-09-20,13.0,25.97,67.54,23.62
2021-09-21,13.06,26.06,67.73,23.675
2021-09-22,13.44,26.88,69.79,24.405
2021-09-23,13.93,27.74,72.23,25.26
2021-09-24,14.02,27.64,72.82,25.45
2021-09-27,14.56,28.59,75.62,26.355
2021-09-28,14.6,28.66,75.75,26.445
2021-09-29,14.6,28.61,74.82,26.445
2021-09-30,14.41,28.26,73.9,26.045
2021-10-01,14.86,29.13,76.18,26.92
2021-10-04,15.14,29.55,77.59,27.36
2021-10-05,15.22,29.69,77.97,27.52
2021-10-06,15.0,29.44,76.95,27.23
2021-10-07,15.16,29.68,77.77,27.44
2021-10-08,15.59,30.54,79.96,28.285
2021-10-11,15.54,30.48,79.67,28.18
2021-10-12,15.54,30.56,79.73,28.205
2021-10-13,15.53,30.61,79.69,28.18
2021-10-14,15.73,30.96,80.68,28.525
2021-10-15,15.8,31.1,81.06,28.665
2021-10-18,15.84,31.18,81.27,28.685
2021-10-19,15.99,31.54,82.1,29.01
2021-10-20,16.13,31.72,82.79,29.245
2021-10-21,15.82,31.19,81.24,28.705
2021-10-22,15.98,31.45,82.04,28.975
2021-10-25,16.25,31.93,83.35,29.4
2021-10-26,16.32,32.05,83.72,29.57
2021-10-27,15.85,31.36,81.26,28.72
2021-10-28,15.95,31.63,81.74,28.925
2021-10-29,15.82,31.48,81.22,28.735
2021-11-01,16.12,32.06,82.62,29.23
2021-11-02,15.96,31.73,81.88,28.955
2021-11-03,15.82,31.45,81.19,28.715
2021-11-04,15.83,31.51,81.18,28.755
2021-11-05,16.09,31.92,82.49,29.13
2021-11-08,16.25,32.26,83.3,29.395
2021-11-09,16.29,32.36,83.57,29.515
2021-11-10,15.82,31.46,81.15,28.735
2021-11-11,15.9,31.69,81.5,28.845
2021-11-12,15.84,31.63,81.26,28.775
2021-11-15,15.94,31.8,81.83,29.015
2021-11-16,15.97,31.87,81.92,29.06
2021-11-17,15.69,31.41,80.53,28.615
2021-11-18,15.61,31.24,80.17,28.445
2021-11-19,15.0,30.22,77.0,27.335
2021-11-22,15.25,30.65,78.23,27.82
2021-11-23,15.71,31.48,80.67,28.675
2021-11-24,15.89,31.81,81.53,28.955
2021-11-26,15.22,30.53,78.0,27.79
2021-11-29,15.32,30.75,78.55,27.95
2021-11-30,14.9,29.95,76.55,27.295
2021-12-01,14.71,29.59,75.45,27.005
2021-12-02,15.14,30.38,77.62,27.79
2021-12-03,15.02,30.04,77.02,27.57
2021-12-06,15.28,30.47,78.34,27.98
2021-12-07,15.65,31.24,80.25,28.635
2021-12-08,15.67,31.22,80.38,28.63
2021-12-09,15.51,30.89,79.55,28.41
2021-12-10,15.65,31.06,80.22,28.62
2021-12-13,15.19,29.99,77.87,27.825
2021-12-14,15.1,29.8,77.42,27.71
2021-12-15,15.06,29.68,77.2,27.575
2021-12-16,15.12,29.8,76.55,27.75
2021-12-17,14.69,29.22,75.14,27.185
2021-12-20,14.49,28.79,74.1,26.505
2021-12-21,14.94,29.69,76.44,27.26
2021-12-22,15.03,29.83,76.89,27.435
2021-12-23,15.04,29.86,76.93,27.45
2021-12-27,15.4,30.49,78.74,28.05
2021-12-28,15.37,30.44,78.56,28.03
2021-12-29,15.26,30.24,78.08,27.85
2021-12-30,15.14,30.06,77.38,27.68
2021-12-31,15.18,30.1,77.61,27.75
2022-01-03,15.67,31.0,80.1,28.61
2022-01-04,16.21,31.96,82.9,29.6
2022-01-05,16.14,31.79,82.53,29.595
2022-01-06,16.53,32.46,84.48,30.255
2022-01-07,16.72,32.84,85.52,30.67
2022-01-10,16.67,32.73,85.24,30.575
2022-01-11,17.26,33.83,88.22,31.615
2022-01-12,17.32,33.93,88.55,31.675
2022-01-13,17.19,33.69,87.83,31.515
2022-01-14,17.61,34.45,90.05,32.255
2022-01-18,17.62,34.49,90.15,32.385
2022-01-19,17.48,34.2,89.39,32.15
2022-01-20,17.26,33.83,88.29,31.855
2022-01-21,16.89,33.15,86.41,31.225
2022-01-24,17.0,33.33,87.06,31.435
2022-01-25,17.65,34.57,90.29,32.655
2022-01-26,17.62,34.49,90.06,32.6
2022-01-27,17.78,34.82,90.98,32.955
2022-01-28,17.74,34.76,90.79,32.815
2022-01-31,17.82,35.01,91.18,32.96
2022-02-01,18.46,36.24,94.53,34.135
2022-02-02,18.55,36.36,94.84,34.245
2022-02-03,18.34,35.92,93.75,33.92
2022-02-04,18.63,36.46,95.18,34.45
2022-02-07,18.81,36.91,96.21,34.89
2022-02-08,18.4,36.17,94.18,34.14
2022-02-09,18.58,36.56,95.03,34.425
2022-02-10,18.45,36.3,94.5,34.21
2022-02-11,19.01,37.3,97.22,35.205
2022-02-14,18.59,36.45,95.11,34.375
