date,ANGL,BNDX,BWX,CMF,CWB,EMB,FALN,IAGG,ICVT,IGOV,PFF,PFFD,VTEC,VWOB
2021-09-23,33.33,57.28,29.14,62.4,87.93,111.4,30.34,55.31,102.74,52.16,39.24,26.0,,79.19
2021-09-24,33.28,57.14,29.0,62.4,87.82,110.94,30.32,55.22,102.72,51.92,39.08,25.88,,78.73
2021-09-27,33.24,57.11,28.98,62.37,87.53,110.61,30.29,55.22,102.57,51.82,38.95,25.82,,78.59
2021-09-28,33.02,56.99,28.81,62.17,85.75,109.98,30.11,55.06,100.41,51.49,38.55,25.58,,78.16
2021-09-29,33.1,57.03,28.6,62.14,85.34,110.08,30.16,55.14,99.67,51.17,38.95,25.8,,78.24
2021-09-30,33.05,56.96,28.73,62.08,85.35,110.06,30.11,55.02,99.74,51.35,38.81,25.76,,78.3
2021-10-01,32.98,57.02,28.8,62.04,85.78,109.69,30.04,55.18,100.58,51.5,38.64,25.75,,77.97
2021-10-04,32.89,56.95,28.79,62.0,84.53,109.16,29.99,55.08,99.04,51.55,38.37,25.54,,77.59
2021-10-05,32.84,56.77,28.67,62.01,85.18,109.23,29.96,54.93,99.63,51.33,38.36,25.37,,77.73
2021-10-06,32.83,56.85,28.65,62.0,85.43,109.0,29.94,54.94,99.73,51.21,38.48,25.48,,77.55
2021-10-07,32.82,56.75,28.62,61.96,86.09,109.12,29.92,54.92,101.01,51.19,38.49,25.47,,77.64
2021-10-08,32.67,56.66,28.53,61.94,85.68,108.85,29.76,54.82,100.3,51.12,38.49,25.47,,77.37
2021-10-11,32.56,56.59,28.33,61.85,85.2,108.55,29.68,54.69,99.83,50.86,38.45,25.38,,77.16
2021-10-12,32.72,56.57,28.41,61.98,85.81,108.9,29.78,54.79,100.55,50.85,38.59,25.57,,77.29
2021-10-13,32.82,56.78,28.61,61.95,86.42,109.59,29.86,54.87,101.42,51.17,38.81,25.7,,77.89
2021-10-14,32.97,56.96,28.71,62.0,87.21,110.06,29.98,55.03,102.06,51.44,39.09,25.88,,78.13
2021-10-15,32.92,56.84,28.59,61.96,87.33,109.93,29.95,54.9,102.22,51.29,38.96,25.79,,78.04
2021-10-18,32.92,56.69,28.57,61.98,87.54,109.57,29.95,54.87,102.44,51.16,39.0,25.77,,77.86
2021-10-19,32.93,56.64,28.59,61.93,87.9,109.49,29.96,54.73,102.88,51.2,38.97,25.75,,77.83
2021-10-20,32.91,56.63,28.65,61.96,88.15,109.55,29.95,54.74,102.97,51.31,39.17,25.9,,77.84
2021-10-21,32.95,56.54,28.51,61.82,88.54,109.08,29.98,54.71,103.38,51.1,39.14,25.89,,77.53
