date,FIDU,IYJ,VIS,XLI
2021-08-30,55.32,114.94,199.9,104.8
2021-08-31,55.12,114.57,199.21,104.51
2021-09-01,54.97,114.26,198.87,104.11
2021-09-02,55.54,114.98,200.92,105.23
2021-09-03,55.23,114.67,199.57,104.59
2021-09-07,54.38,113.06,196.6,102.78
2021-09-08,54.38,113.0,196.53,102.92
2021-09-09,54.09,112.47,195.7,102.42
2021-09-10,53.84,111.94,194.56,101.96
2021-09-13,53.98,111.86,195.21,102.23
2021-09-14,53.29,110.78,192.73,101.0
2021-09-15,53.83,111.75,194.84,102.11
2021-09-16,53.5,111.2,193.7,101.41
2021-09-17,52.86,109.93,191.91,100.33
2021-09-20,52.21,108.57,189.63,98.86
2021-09-21,52.03,107.97,188.74,98.34
2021-09-22,52.5,109.19,190.73,99.12
2021-09-23,53.33,111.16,193.69,100.64
2021-09-24,53.39,110.99,194.06,100.85
2021-09-27,53.56,110.9,194.74,100.95
2021-09-28,52.85,108.95,192.17,99.78
2021-09-29,52.89,108.94,191.52,99.89
2021-09-30,51.89,107.16,187.89,97.84
2021-10-01,52.65,108.98,190.79,99.18
2021-10-04,52.28,107.53,189.71,98.64
2021-10-05,52.81,108.66,191.52,99.74
2021-10-06,53.02,109.19,192.19,100.18
2021-10-07,53.55,110.18,193.95,100.96
2021-10-08,53.49,109.8,193.75,100.95
2021-10-11,53.08,108.54,192.13,100.14
2021-10-12,53.0,108.39,191.85,99.81
2021-10-13,53.14,108.48,192.35,100.02
2021-10-14,54.1,110.67,195.79,101.91
2021-10-15,54.55,112.05,197.38,102.89
2021-10-18,54.69,112.38,197.77,102.96
2021-10-19,54.98,113.18,198.68,103.57
2021-10-20,55.26,113.2,199.96,104.22
2021-10-21,55.44,113.02,200.54,104.43
2021-10-22,55.58,113.38,200.84,104.8
2021-10-25,55.83,113.86,201.79,105.04
2021-10-26,55.48,113.18,200.32,104.39
2021-10-27,54.68,110.65,197.64,103.17
2021-10-28,55.51,111.41,200.47,104.46
2021-10-29,55.53,111.24,200.65,104.49
2021-11-01,55.92,111.65,202.06,104.78
2021-11-02,56.12,111.61,202.9,105.13
2021-11-03,56.13,111.64,202.83,104.9
2021-11-04,56.37,112.04,203.68,105.32
2021-11-05,56.96,113.23,205.95,106.39
2021-11-08,57.22,113.87,206.93,106.83
2021-11-09,57.31,113.23,207.22,107.1
2021-11-10,56.95,112.97,205.88,106.5
2021-11-11,56.86,112.5,205.49,106.06
2021-11-12,57.33,113.65,207.08,106.9
2021-11-15,57.31,113.79,207.2,107.1
2021-11-16,57.46,114.29,207.5,107.12
2021-11-17,57.17,112.97,206.36,106.48
2021-11-18,56.99,112.25,205.63,106.26
2021-11-19,56.77,111.47,204.89,105.73
2021-11-22,56.86,110.7,205.25,106.02
2021-11-23,56.94,110.95,205.45,106.2
2021-11-24,56.87,111.33,205.32,106.08
2021-11-26,55.31,108.47,199.16,103.21
2021-11-29,55.42,108.71,199.76,103.39
2021-11-30,53.77,106.09,194.37,100.77
2021-12-01,53.1,104.49,191.31,99.37
2021-12-02,54.63,107.64,197.09,102.32
2021-12-03,54.43,107.1,196.3,102.2
2021-12-06,55.34,108.98,199.71,103.93
2021-12-07,55.94,110.71,201.98,104.99
2021-12-08,56.15,111.32,202.46,105.25
2021-12-09,55.79,110.89,201.29,104.92
2021-12-10,55.89,111.36,201.79,105.35
2021-12-13,55.31,110.09,199.69,104.26
2021-12-14,54.77,109.05,197.65,103.27
2021-12-15,55.3,110.2,199.51,104.17
2021-12-16,55.15,110.54,198.25,104.22
2021-12-17,54.23,108.99,195.55,102.44
2021-12-20,53.24,106.81,192.26,100.42
2021-12-21,54.47,109.47,196.6,102.42
2021-12-22,54.71,110.33,197.54,102.71
2021-12-23,55.35,111.22,199.84,103.92
2021-12-27,55.96,112.33,201.98,105.02
2021-12-28,56.09,112.63,202.51,105.55
2021-12-29,56.2,112.87,202.94,105.74
2021-12-30,56.0,112.62,202.15,105.36
2021-12-31,56.2,112.74,202.96,105.81
2022-01-03,55.88,112.7,201.71,104.94
2022-01-04,56.85,114.07,205.34,107.05
2022-01-05,56.08,112.77,202.6,106.03
2022-01-06,56.23,112.81,203.02,106.52
2022-01-07,55.97,112.24,202.28,106.49
2022-01-10,55.41,110.98,200.25,105.29
2022-01-11,55.79,112.05,201.74,105.92
2022-01-12,55.89,112.16,202.07,106.26
2022-01-13,55.91,111.8,202.18,106.49
2022-01-14,55.59,111.08,201.03,105.85
2022-01-18,54.8,109.56,198.42,104.63
2022-01-19,54.12,108.39,195.69,103.46
2022-01-20,53.44,107.34,193.13,102.14
2022-01-21,52.82,105.5,191.04,101.2
2022-01-24,53.28,105.75,192.23,101.78
2022-01-25,52.51,104.62,190.0,100.78
2022-01-26,51.99,103.84,188.17,99.9
2022-01-27,51.4,103.23,185.72,99.01
2022-01-28,51.84,105.75,187.43,99.7
2022-01-31,52.59,107.36,190.23,100.74
2022-02-01,53.35,108.93,192.98,102.13
2022-02-02,53.6,108.44,193.78,102.84
2022-02-03,52.63,106.26,190.35,101.2
2022-02-04,52.18,105.58,188.67,100.11
2022-02-07,52.19,105.2,188.89,100.19
2022-02-08,52.86,106.01,191.28,101.19
2022-02-09,53.64,107.89,194.32,102.58
2022-02-10,52.72,105.85,190.87,100.9
2022-02-11,51.83,104.27,187.61,99.36
2022-02-14,51.74,104.07,187.24,98.99
2022-02-15,52.59,105.51,190.59,100.48
2022-02-16,52.88,105.84,191.58,101.01
2022-02-17,51.9,103.58,188.02,99.16
2022-02-18,51.48,102.7,186.35,98.34
2022-02-22,50.87,101.71,184.15,97.39
2022-02-23,49.86,99.66,180.53,95.6
2022-02-24,50.66,101.0,183.46,96.82
2022-02-25,51.93,103.55,187.79,99.13
2022-02-28,52.36,103.66,189.3,99.89
2022-03-01,51.49,101.19,186.35,98.4
2022-03-02,52.67,103.0,190.36,100.5
2022-03-03,52.62,102.47,189.99,100.61
