date,FNEY,IYE,VDE,XLE
2021-08-30,,26.46,68.37,24.365
2021-08-31,,26.25,68.01,24.2
2021-09-01,,25.89,67.16,23.845
2021-09-02,,26.56,68.91,24.45
2021-09-03,,26.43,68.6,24.31
2021-09-07,,26.25,68.2,24.165
2021-09-08,,25.94,67.36,23.855
2021-09-09,,25.97,67.48,23.905
2021-09-10,,25.98,67.41,23.895
2021-09-13,,26.74,69.49,24.58
2021-09-14,,26.32,68.33,24.225
2021-09-15,,27.31,71.08,25.13
2021-09-16,,27.02,70.29,24.845
2021-09-17,,26.81,69.64,24.66
2021-09-20,,25.97,67.54,23.62
2021-09-21,,26.06,67.73,23.675
2021-09-22,,26.88,69.79,24.405
2021-09-23,,27.74,72.23,25.26
2021-09-24,,27.64,72.82,25.45
2021-09-27,,28.59,75.62,26.355
2021-09-28,,28.66,75.75,26.445
2021-09-29,,28.61,74.82,26.445
2021-09-30,,28.26,73.9,26.045
2021-10-01,,29.13,76.18,26.92
2021-10-04,,29.55,77.59,27.36
2021-10-05,,29.69,77.97,27.52
2021-10-06,,29.44,76.95,27.23
2021-10-07,,29.68,77.77,27.44
2021-10-08,,30.54,79.96,28.285
2021-10-11,,30.48,79.67,28.18
2021-10-12,,30.56,79.73,28.205
2021-10-13,,30.61,79.69,28.18
2021-10-14,,30.96,80.68,28.525
2021-10-15,,31.1,81.06,28.665
2021-10-18,,31.18,81.27,28.685
2021-10-19,,31.54,82.1,29.01
2021-10-20,,31.72,82.79,29.245
2021-10-21,,31.19,81.24,28.705
2021-10-22,,31.45,82.04,28.975
2021-10-25,,31.93,83.35,29.4
2021-10-26,,32.05,83.72,29.57
2021-10-27,,31.36,81.26,28.72
2021-10-28,,31.63,81.74,28.925
2021-10-29,,31.48,81.22,28.735
2021-11-01,,32.06,82.62,29.23
2021-11-02,,31.73,81.88,28.955
2021-11-03,,31.45,81.19,28.715
2021-11-04,,31.51,81.18,28.755
2021-11-05,,31.92,82.49,29.13
2021-11-08,,32.26,83.3,29.395
2021-11-09,,32.36,83.57,29.515
2021-11-10,,31.46,81.15,28.735
2021-11-11,,31.69,81.5,28.845
2021-11-12,,31.63,81.26,28.775
2021-11-15,,31.8,81.83,29.015
2021-11-16,,31.87,81.92,29.06
2021-11-17,,31.41,80.53,28.615
2021-11-18,,31.24,80.17,28.445
2021-11-19,,30.22,77.0,27.335
2021-11-22,,30.65,78.23,27.82
2021-11-23,,31.48,80.67,28.675
2021-11-24,,31.81,81.53,28.955
2021-11-26,,30.53,78.0,27.79
2021-11-29,,30.75,78.55,27.95
2021-11-30,,29.95,76.55,27.295
2021-12-01,,29.59,75.45,27.005
2021-12-02,,30.38,77.62,27.79
2021-12-03,,30.04,77.02,27.57
2021-12-06,,30.47,78.34,27.98
2021-12-07,,31.24,80.25,28.635
2021-12-08,,31.22,80.38,28.63
2021-12-09,,30.89,79.55,28.41
2021-12-10,,31.06,80.22,28.62
2021-12-13,,29.99,77.87,27.825
2021-12-14,,29.8,77.42,27.71
2021-12-15,,29.68,77.2,27.575
2021-12-16,,29.8,76.55,27.75
2021-12-17,,29.22,75.14,27.185
2021-12-20,,28.79,74.1,26.505
2021-12-21,,29.69,76.44,27.26
2021-12-22,,29.83,76.89,27.435
2021-12-23,,29.86,76.93,27.45
2021-12-27,,30.49,78.74,28.05
2021-12-28,,30.44,78.56,28.03
2021-12-29,,30.24,78.08,27.85
2021-12-30,,30.06,77.38,27.68
2021-12-31,,30.1,77.61,27.75
2022-01-03,,31.0,80.1,28.61
2022-01-04,,31.96,82.9,29.6
2022-01-05,,31.79,82.53,29.595
2022-01-06,,32.46,84.48,30.255
2022-01-07,,32.84,85.52,30.67
2022-01-10,,32.73,85.24,30.575
2022-01-11,,33.83,88.22,31.615
2022-01-12,,33.93,88.55,31.675
2022-01-13,,33.69,87.83,31.515
2022-01-14,,34.45,90.05,32.255
2022-01-18,,34.49,90.15,32.385
2022-01-19,,34.2,89.39,32.15
2022-01-20,,33.83,88.29,31.855
2022-01-21,,33.15,86.41,31.225
2022-01-24,,33.33,87.06,31.435
2022-01-25,,34.57,90.29,32.655
2022-01-26,,34.49,90.06,32.6
2022-01-27,,34.82,90.98,32.955
2022-01-28,,34.76,90.79,32.815
2022-01-31,,35.01,91.18,32.96
2022-02-01,,36.24,94.53,34.135
2022-02-02,,36.36,94.84,34.245
2022-02-03,,35.92,93.75,33.92
2022-02-04,,36.46,95.18,34.45
2022-02-07,,36.91,96.21,34.89
2022-02-08,,36.17,94.18,34.14
2022-02-09,,36.56,95.03,34.425
2022-02-10,,36.3,94.5,34.21
2022-02-11,,37.3,97.22,35.205
2022-02-14,,36.45,95.11,34.375
2022-02-15,,36.11,94.06,34.015
2022-02-16,,36.39,94.69,34.29
2022-02-17,,36.31,94.5,34.235
2022-02-18,,36.0,93.86,34.025
2022-02-22,,35.41,92.24,33.475
2022-02-23,,35.69,93.34,33.82
2022-02-24,,35.62,93.01,33.555
2022-02-25,,36.58,95.38,34.44
2022-02-28,,37.59,98.02,35.29
2022-03-01,,37.95,98.95,35.645
2022-03-02,,38.74,101.35,36.46
2022-03-03,,38.75,101.53,36.56
2022-03-04,,39.86,104.73,37.615
2022-03-07,,40.43,106.38,38.17
2022-03-08,,41.03,107.46,38.77
2022-03-09,,39.86,104.56,37.585
2022-03-10,,41.03,107.62,38.735
2022-03-11,,40.64,106.63,38.425
2022-03-14,,39.38,103.24,37.275
2022-03-15,,38.09,99.76,35.91
2022-03-16,,38.04,99.48,35.745
2022-03-17,,39.34,103.03,36.975
2022-03-18,,39.36,103.01,36.94
2022-03-21,,40.87,106.99,38.065
2022-03-22,,40.66,106.3,37.785
2022-03-23,,41.36,108.15,38.435
2022-03-24,,41.15,107.71,38.53
2022-03-25,,42.12,110.55,39.375
2022-03-28,,41.08,107.77,38.4
2022-03-29,,40.97,107.4,38.3
2022-03-30,,41.42,108.52,38.745
2022-03-31,,40.92,107.04,38.22
2022-04-01,,41.28,108.37,38.53
2022-04-04,,41.41,108.37,38.58
2022-04-05,,40.74,106.58,37.975
2022-04-06,,40.84,107.12,38.2
2022-04-07,,41.34,108.49,38.7
2022-04-08,,42.38,111.4,39.765
2022-04-11,,41.09,108.1,38.57
2022-04-12,,41.72,109.92,39.21
2022-04-13,,42.34,111.66,39.795
2022-04-14,,42.47,112.12,39.925
2022-04-18,,43.11,113.9,40.51
2022-04-19,,42.8,112.78,40.18
2022-04-20,,42.87,113.33,40.335
2022-04-21,,41.44,109.57,39.055
2022-04-22,,40.43,106.73,38.1
2022-04-25,,39.12,103.27,36.84
2022-04-26,,39.12,103.28,36.89
2022-04-27,,39.74,104.82,37.43
2022-04-28,,40.94,108.08,38.565
2022-04-29,,39.93,105.25,37.575
2022-05-02,,40.47,106.45,38.175
2022-05-03,,41.67,109.71,39.245
2022-05-04,,43.46,114.24,40.875
2022-05-05,,42.73,112.36,40.26
2022-05-06,,43.81,115.19,41.46
2022-05-09,,40.14,105.39,38.03
2022-05-10,,40.45,106.17,38.375
2022-05-11,,40.85,107.45,38.89
2022-05-12,,41.01,107.79,39.055
2022-05-13,,42.47,111.45,40.39
2022-05-16,,43.49,114.28,41.455
2022-05-17,,44.06,115.92,41.935
2022-05-18,,42.93,112.89,40.86
2022-05-19,,42.79,112.54,40.71
2022-05-20,,42.99,113.04,40.885
2022-05-23,,44.12,116.26,41.965
2022-05-24,,44.23,116.63,42.125
2022-05-25,,45.19,119.26,42.995
2022-05-26,,45.74,120.84,43.47
2022-05-27,,46.69,123.21,44.265
2022-05-31,,45.93,121.24,43.6
2022-06-01,,46.75,123.55,44.31
2022-06-02,,46.74,123.29,44.17
2022-06-03,,47.33,124.86,44.755
2022-06-06,,47.33,124.94,44.705
2022-06-07,,48.83,128.99,46.04
2022-06-08,,48.78,128.85,46.14
2022-06-09,,47.31,125.92,45.12
2022-06-10,,46.5,123.86,44.355
2022-06-13,,43.99,117.15,42.04
2022-06-14,,44.06,117.06,42.12
2022-06-15,,43.22,114.86,41.19
2022-06-16,,40.73,108.4,38.87
2022-06-17,,38.66,102.35,36.745
2022-06-21,,40.63,107.53,38.22
2022-06-22,,39.02,102.75,36.69
2022-06-23,,37.64,97.94,35.33
2022-06-24,,38.21,99.6,35.795
2022-06-27,,39.32,102.66,36.845
2022-06-28,,40.31,105.39,37.84
2022-06-29,,38.92,101.81,36.525
2022-06-30,,38.12,99.47,35.755
