date,FREL,IYR,VNQ,XLRE
2021-08-30,32.24,108.28,108.07,47.4
2021-08-31,32.43,108.79,108.58,47.68
2021-09-01,32.92,110.75,110.32,48.5
2021-09-02,33.09,111.24,110.9,48.73
2021-09-03,33.1,111.27,110.92,48.73
2021-09-07,32.72,110.03,109.67,48.19
2021-09-08,32.89,110.64,110.22,48.48
2021-09-09,32.22,108.49,107.98,47.45
2021-09-10,31.75,107.05,106.4,46.85
2021-09-13,32.01,107.48,107.12,47.11
2021-09-14,31.89,107.21,106.93,47.01
2021-09-15,32.02,107.61,107.27,47.19
2021-09-16,32.05,107.81,107.36,47.28
2021-09-17,31.54,106.79,106.4,46.85
2021-09-20,31.37,106.23,105.75,46.27
2021-09-21,31.38,106.23,105.8,46.28
2021-09-22,31.69,107.27,106.83,46.67
2021-09-23,31.63,106.9,106.62,46.44
2021-09-24,31.28,105.39,104.83,45.91
2021-09-27,30.88,103.96,103.42,45.15
2021-09-28,30.71,103.22,102.72,44.88
2021-09-29,30.94,104.01,103.49,45.17
2021-09-30,30.4,102.39,101.78,44.45
2021-10-01,30.84,103.83,103.22,44.93
2021-10-04,30.87,103.62,103.24,44.98
2021-10-05,30.63,103.03,102.53,44.63
2021-10-06,30.92,104.05,103.51,45.06
2021-10-07,31.01,104.24,103.79,45.11
2021-10-08,30.74,103.33,102.81,44.62
2021-10-11,30.81,103.61,103.07,44.68
2021-10-12,31.21,105.02,104.42,45.28
2021-10-13,31.43,105.76,105.18,45.54
2021-10-14,31.8,107.19,106.46,46.18
2021-10-15,31.82,107.17,106.38,46.2
2021-10-18,31.87,107.42,106.65,46.28
2021-10-19,31.87,107.66,106.7,46.49
2021-10-20,32.35,109.26,108.38,47.2
2021-10-21,32.41,109.43,108.53,47.35
2021-10-22,32.55,110.02,109.04,47.69
2021-10-25,32.62,110.37,109.39,47.83
2021-10-26,32.74,110.7,109.69,48.05
2021-10-27,32.48,109.69,108.76,47.7
2021-10-28,32.91,110.96,110.28,48.4
2021-10-29,32.55,109.84,109.04,47.82
2021-11-01,32.7,110.04,109.58,47.93
2021-11-02,32.84,110.47,110.1,48.38
2021-11-03,32.97,110.69,110.47,48.66
2021-11-04,32.64,109.72,109.42,48.11
2021-11-05,32.84,110.24,109.98,48.22
2021-11-08,32.79,110.02,109.89,48.21
2021-11-09,32.86,110.26,110.08,48.39
2021-11-10,32.68,109.76,109.57,48.15
2021-11-11,32.75,109.99,109.75,48.17
2021-11-12,32.74,110.04,109.67,48.19
2021-11-15,32.94,110.69,110.44,48.46
2021-11-16,32.74,110.04,109.71,48.16
2021-11-17,32.85,110.43,110.05,48.48
2021-11-18,32.81,110.38,110.07,48.47
