date,FSTA,IYK,VDC,XLP
2021-08-30,43.72,62.2,187.2,72.1
2021-08-31,43.81,62.1867,187.61,72.26
2021-09-01,44.03,62.4467,188.45,72.64
2021-09-02,44.21,62.3933,189.21,72.92
2021-09-03,44.13,62.2733,188.96,72.83
2021-09-07,43.67,62.0167,186.95,71.99
2021-09-08,44.0,62.1167,188.38,72.61
2021-09-09,43.67,62.06,187.09,72.19
2021-09-10,43.52,61.79,186.25,71.88
2021-09-13,43.63,61.9833,186.61,72.06
2021-09-14,43.35,61.7067,185.48,71.73
2021-09-15,43.54,62.0067,186.44,71.99
2021-09-16,43.41,61.9333,185.98,71.75
2021-09-17,42.99,61.74,185.21,71.36
2021-09-20,42.51,61.2067,183.09,70.21
2021-09-21,42.48,61.0233,182.85,70.13
2021-09-22,42.61,61.17,183.53,70.33
2021-09-23,42.78,61.4767,184.14,70.59
2021-09-24,42.81,61.1433,184.42,70.62
2021-09-27,42.69,61.0233,183.77,70.3
2021-09-28,42.23,60.43,181.65,69.47
2021-09-29,42.59,61.0967,182.44,70.1
2021-09-30,41.85,59.8633,179.22,68.84
2021-10-01,41.98,60.0933,179.69,69.02
2021-10-04,41.84,59.9533,179.09,68.8
2021-10-05,42.05,60.19,180.06,69.15
2021-10-06,42.41,60.6767,181.63,69.82
2021-10-07,42.59,60.9467,182.4,70.13
2021-10-08,42.53,60.8633,182.12,70.05
2021-10-11,42.5,60.8767,181.84,70.03
2021-10-12,42.53,60.8967,181.99,70.06
2021-10-13,42.6,61.07,182.31,70.19
2021-10-14,43.05,61.77,184.29,70.98
2021-10-15,42.91,61.5833,183.81,70.81
2021-10-18,42.73,61.0667,183.08,70.39
2021-10-19,42.78,60.9833,183.24,70.42
2021-10-20,43.0,61.52,184.3,70.83
2021-10-21,43.0,61.2467,184.1,70.74
2021-10-22,43.31,61.6,185.46,71.29
2021-10-25,43.34,61.3433,185.67,71.24
2021-10-26,43.4,61.6867,185.86,71.49
2021-10-27,43.14,61.2733,184.62,71.07
2021-10-28,43.37,61.6333,185.73,71.32
2021-10-29,43.34,61.58,185.68,71.25
2021-11-01,43.49,61.66,186.17,71.36
2021-11-02,43.71,61.9933,187.26,71.84
2021-11-03,44.17,62.8733,189.13,72.51
2021-11-04,44.2,62.7533,189.53,72.58
2021-11-05,44.53,63.1467,190.6,73.0
2021-11-08,44.14,62.6033,189.17,72.42
2021-11-09,44.27,62.72,189.52,72.67
2021-11-10,44.34,63.0233,189.98,72.89
2021-11-11,44.32,62.9867,189.92,72.84
2021-11-12,44.38,62.9933,189.91,72.84
2021-11-15,44.57,63.2833,190.92,73.19
2021-11-16,44.34,62.9233,189.9,72.73
2021-11-17,44.24,62.7633,189.45,72.57
2021-11-18,44.08,62.55,188.78,72.31
2021-11-19,43.91,62.1367,187.9,72.05
2021-11-22,44.28,62.5667,189.7,72.62
2021-11-23,44.55,63.0467,190.77,73.1
2021-11-24,44.38,62.64,190.17,72.88
2021-11-26,43.78,61.8033,187.26,71.96
2021-11-29,43.9,61.9733,187.98,72.14
2021-11-30,42.75,60.2767,183.02,70.29
2021-12-01,42.47,60.1933,181.82,69.95
2021-12-02,42.92,61.02,184.03,70.69
2021-12-03,43.39,61.7967,185.83,71.57
2021-12-06,44.12,62.8967,189.04,72.83
2021-12-07,44.29,62.9433,189.65,72.99
2021-12-08,44.18,62.9367,189.07,72.76
2021-12-09,44.14,63.1133,189.14,72.96
2021-12-10,44.92,63.91,192.22,74.19
2021-12-13,45.38,64.2633,194.38,75.16
2021-12-14,45.34,64.26,194.34,75.21
2021-12-15,45.87,64.88,196.42,75.97
2021-12-16,46.09,65.6033,195.98,76.51
2021-12-17,45.21,64.7567,193.37,75.2
2021-12-20,45.15,64.68,193.33,74.71
2021-12-21,45.2,64.6867,193.54,74.61
2021-12-22,45.48,65.03,194.53,75.08
2021-12-23,45.58,65.2,195.05,75.25
2021-12-27,46.02,65.7933,197.03,76.05
2021-12-28,46.29,66.1667,198.12,76.48
2021-12-29,46.48,66.4833,198.7,76.83
2021-12-30,46.37,66.37,198.6,76.59
2021-12-31,46.67,66.7267,199.88,77.11
2022-01-03,46.7,66.7533,199.93,77.1
2022-01-04,46.93,67.3133,200.92,77.62
2022-01-05,46.86,67.44,200.57,77.55
2022-01-06,46.77,67.2333,200.08,77.34
2022-01-07,46.88,67.6933,200.59,77.42
2022-01-10,46.49,67.51,199.08,76.81
2022-01-11,46.48,67.4767,199.12,76.72
2022-01-12,46.45,67.47,198.91,76.75
2022-01-13,46.59,67.7433,199.46,76.89
2022-01-14,46.67,68.2267,199.76,77.03
2022-01-18,45.97,67.2867,196.99,75.92
2022-01-19,46.16,67.58,197.55,76.4
2022-01-20,45.79,67.3567,196.03,75.9
2022-01-21,45.74,67.32,195.82,75.96
2022-01-24,45.71,67.0667,195.83,75.71
2022-01-25,45.14,66.5167,193.2,74.87
2022-01-26,44.75,65.9633,191.91,74.3
2022-01-27,44.94,66.5067,192.42,74.8
2022-01-28,45.49,67.2467,194.77,75.68
2022-01-31,45.73,67.27,195.75,75.97
2022-02-01,45.72,67.1233,195.7,75.9
2022-02-02,46.2,67.8333,197.64,76.81
2022-02-03,46.14,67.8767,197.45,76.83
2022-02-04,45.59,67.0833,194.97,75.89
2022-02-07,45.69,67.3033,195.52,76.03
2022-02-08,45.93,67.6733,196.57,76.32
