date,FSTA,VDC,XLP
2021-08-30,43.72,187.2,72.1
2021-08-31,43.81,187.61,72.26
2021-09-01,44.03,188.45,72.64
2021-09-02,44.21,189.21,72.92
2021-09-03,44.13,188.96,72.83
2021-09-07,43.67,186.95,71.99
2021-09-08,44.0,188.38,72.61
2021-09-09,43.67,187.09,72.19
2021-09-10,43.52,186.25,71.88
2021-09-13,43.63,186.61,72.06
2021-09-14,43.35,185.48,71.73
2021-09-15,43.54,186.44,71.99
2021-09-16,43.41,185.98,71.75
2021-09-17,42.99,185.21,71.36
2021-09-20,42.51,183.09,70.21
2021-09-21,42.48,182.85,70.13
2021-09-22,42.61,183.53,70.33
2021-09-23,42.78,184.14,70.59
2021-09-24,42.81,184.42,70.62
2021-09-27,42.69,183.77,70.3
2021-09-28,42.23,181.65,69.47
2021-09-29,42.59,182.44,70.1
2021-09-30,41.85,179.22,68.84
2021-10-01,41.98,179.69,69.02
2021-10-04,41.84,179.09,68.8
2021-10-05,42.05,180.06,69.15
2021-10-06,42.41,181.63,69.82
2021-10-07,42.59,182.4,70.13
2021-10-08,42.53,182.12,70.05
2021-10-11,42.5,181.84,70.03
2021-10-12,42.53,181.99,70.06
2021-10-13,42.6,182.31,70.19
2021-10-14,43.05,184.29,70.98
2021-10-15,42.91,183.81,70.81
2021-10-18,42.73,183.08,70.39
2021-10-19,42.78,183.24,70.42
2021-10-20,43.0,184.3,70.83
2021-10-21,43.0,184.1,70.74
2021-10-22,43.31,185.46,71.29
2021-10-25,43.34,185.67,71.24
2021-10-26,43.4,185.86,71.49
2021-10-27,43.14,184.62,71.07
2021-10-28,43.37,185.73,71.32
2021-10-29,43.34,185.68,71.25
2021-11-01,43.49,186.17,71.36
2021-11-02,43.71,187.26,71.84
2021-11-03,44.17,189.13,72.51
2021-11-04,44.2,189.53,72.58
2021-11-05,44.53,190.6,73.0
2021-11-08,44.14,189.17,72.42
2021-11-09,44.27,189.52,72.67
2021-11-10,44.34,189.98,72.89
2021-11-11,44.32,189.92,72.84
2021-11-12,44.38,189.91,72.84
2021-11-15,44.57,190.92,73.19
2021-11-16,44.34,189.9,72.73
2021-11-17,44.24,189.45,72.57
2021-11-18,44.08,188.78,72.31
2021-11-19,43.91,187.9,72.05
2021-11-22,44.28,189.7,72.62
2021-11-23,44.55,190.77,73.1
2021-11-24,44.38,190.17,72.88
2021-11-26,43.78,187.26,71.96
2021-11-29,43.9,187.98,72.14
2021-11-30,42.75,183.02,70.29
2021-12-01,42.47,181.82,69.95
2021-12-02,42.92,184.03,70.69
2021-12-03,43.39,185.83,71.57
2021-12-06,44.12,189.04,72.83
2021-12-07,44.29,189.65,72.99
2021-12-08,44.18,189.07,72.76
2021-12-09,44.14,189.14,72.96
2021-12-10,44.92,192.22,74.19
2021-12-13,45.38,194.38,75.16
2021-12-14,45.34,194.34,75.21
2021-12-15,45.87,196.42,75.97
2021-12-16,46.09,195.98,76.51
