date,HEI,HEI A
2021-09-20,127.56,114.29
2021-09-21,126.35,113.06
2021-09-22,128.82,116.48
2021-09-23,132.61,120.5
2021-09-24,134.7,120.32
2021-09-27,136.48,122.68
2021-09-28,133.91,122.0
2021-09-29,133.9,122.29
2021-09-30,131.87,118.43
2021-10-01,135.5,121.7
2021-10-04,134.27,120.35
2021-10-05,134.9,121.99
2021-10-06,134.69,121.76
2021-10-07,135.43,121.51
2021-10-08,134.78,118.5
2021-10-11,134.94,119.24
2021-10-12,134.72,120.37
2021-10-13,134.43,119.23
2021-10-14,138.76,123.07
2021-10-15,140.02,123.29
2021-10-18,141.33,124.32
2021-10-19,140.29,121.95
2021-10-20,138.42,120.29
2021-10-21,140.39,122.99
2021-10-22,140.54,123.34
2021-10-25,139.99,124.59
2021-10-26,140.92,125.24
2021-10-27,140.76,126.45
2021-10-28,140.68,126.99
2021-10-29,139.39,125.68
2021-11-01,137.8,124.43
2021-11-02,138.49,124.83
2021-11-03,139.15,126.02
2021-11-04,139.62,126.93
2021-11-05,145.41,133.3
2021-11-08,147.37,134.82
2021-11-09,149.8,139.01
2021-11-10,148.58,138.27
2021-11-11,146.19,136.23
2021-11-12,145.65,135.44
2021-11-15,146.6,136.26
2021-11-16,145.12,133.28
2021-11-17,146.23,135.78
2021-11-18,146.66,136.06
2021-11-19,145.46,135.95
2021-11-22,144.99,135.48
2021-11-23,144.99,134.17
2021-11-24,146.0,134.66
2021-11-26,137.8,126.88
2021-11-29,140.18,127.0
2021-11-30,138.52,124.2
2021-12-01,133.37,121.47
2021-12-02,138.85,127.52
2021-12-03,139.47,126.96
2021-12-06,142.25,128.71
2021-12-07,141.62,127.73
2021-12-08,145.33,132.41
2021-12-09,144.17,129.55
2021-12-10,144.68,129.1
2021-12-13,142.42,127.56
2021-12-14,139.1,124.36
2021-12-15,141.05,124.96
2021-12-16,136.14,120.36
2021-12-17,135.87,121.39
2021-12-20,135.61,120.97
2021-12-21,141.17,126.73
2021-12-22,140.69,126.38
2021-12-23,142.28,128.64
2021-12-27,143.65,128.95
2021-12-28,144.52,128.84
2021-12-29,144.65,129.06
2021-12-30,144.4,129.14
2021-12-31,144.22,128.52
2022-01-03,143.43,128.77
2022-01-04,147.45,131.54
2022-01-05,145.99,128.94
2022-01-06,146.45,129.9
2022-01-07,149.63,132.06
2022-01-10,148.29,129.31
2022-01-11,148.83,128.74
2022-01-12,148.85,128.54
2022-01-13,149.1,129.18
2022-01-14,152.37,129.96
2022-01-18,148.0,125.31
2022-01-19,146.85,124.45
2022-01-20,147.5,124.32
2022-01-21,145.75,122.57
2022-01-24,145.13,120.95
2022-01-25,140.97,117.14
2022-01-26,139.38,113.97
2022-01-27,135.21,110.43
2022-01-28,135.26,109.99
2022-01-31,136.39,109.7
2022-02-01,137.01,109.99
2022-02-02,138.57,113.44
2022-02-03,135.21,110.86
2022-02-04,135.96,113.47
2022-02-07,138.11,114.37
2022-02-08,137.26,114.46
2022-02-09,139.29,115.95
2022-02-10,138.36,115.42
2022-02-11,138.95,114.37
2022-02-14,139.08,114.44
2022-02-15,143.62,118.39
2022-02-16,143.97,118.6
2022-02-17,143.75,118.54
2022-02-18,141.98,117.41
2022-02-22,141.07,116.0
2022-02-23,137.66,113.69
2022-02-24,141.19,115.84
2022-02-25,144.03,119.56
2022-02-28,147.51,122.92
2022-03-01,146.95,122.81
2022-03-02,151.14,125.93
2022-03-03,147.51,123.4
2022-03-04,148.56,123.13
2022-03-07,148.5,122.32
2022-03-08,141.64,117.73
2022-03-09,145.7,121.81
2022-03-10,146.97,122.8
2022-03-11,145.75,120.59
2022-03-14,143.18,118.72
2022-03-15,146.38,120.68
2022-03-16,144.85,118.87
2022-03-17,148.28,120.92
2022-03-18,149.07,121.97
2022-03-21,151.51,123.38
2022-03-22,153.8,125.67
2022-03-23,151.6,123.53
2022-03-24,155.09,127.13
2022-03-25,154.56,126.42
2022-03-28,151.71,124.22
2022-03-29,154.99,127.43
2022-03-30,154.96,127.1
2022-03-31,153.54,126.83
2022-04-01,156.35,128.63
2022-04-04,157.21,129.32
2022-04-05,155.39,128.68
2022-04-06,152.98,127.48
2022-04-07,154.18,127.75
2022-04-08,150.12,124.59
2022-04-11,149.4,124.0
2022-04-12,148.73,122.84
2022-04-13,149.45,123.73
2022-04-14,147.79,122.41
2022-04-18,148.34,123.22
2022-04-19,150.21,124.6
2022-04-20,152.82,126.77
2022-04-21,150.78,123.17
2022-04-22,147.6,120.72
2022-04-25,145.84,119.36
2022-04-26,142.07,116.21
