date,FHLC,IYH,VHT,XLV
2021-08-30,67.6,58.658,262.47,135.39
2021-08-31,67.62,58.574,262.49,135.21
2021-09-01,67.75,58.61,263.04,135.25
2021-09-02,68.47,59.268,265.84,136.7
2021-09-03,68.46,59.244,265.84,136.85
2021-09-07,68.07,58.89,264.3,136.05
2021-09-08,67.93,58.828,263.78,135.99
2021-09-09,67.34,58.204,261.32,134.42
2021-09-10,66.74,57.664,258.98,133.19
2021-09-13,66.22,57.318,257.04,132.37
2021-09-14,66.09,57.3,256.58,132.35
2021-09-15,66.59,57.468,258.42,133.21
2021-09-16,66.5,57.538,257.91,132.87
2021-09-17,66.5,57.612,258.79,133.0
2021-09-20,65.68,57.004,255.61,131.15
2021-09-21,65.89,57.192,256.19,131.35
2021-09-22,65.93,57.208,256.8,131.57
2021-09-23,66.51,57.704,258.85,132.52
2021-09-24,66.15,57.274,257.37,131.98
2021-09-27,65.35,56.408,254.29,130.1
2021-09-28,64.06,55.346,249.22,127.87
2021-09-29,64.43,55.74,249.71,128.88
2021-09-30,63.81,55.184,247.16,127.3
2021-10-01,63.88,55.178,247.69,127.33
2021-10-04,62.83,54.378,243.83,125.39
2021-10-05,63.15,54.71,244.94,126.14
2021-10-06,63.09,54.62,244.57,125.91
2021-10-07,63.82,55.354,247.53,127.58
2021-10-08,63.49,55.026,246.13,126.94
2021-10-11,63.04,54.618,244.41,125.95
2021-10-12,62.83,54.364,243.71,125.34
2021-10-13,62.92,54.456,243.96,125.54
2021-10-14,63.81,55.28,247.5,127.34
2021-10-15,64.07,55.458,248.44,127.97
2021-10-18,63.55,55.086,246.5,127.1
2021-10-19,64.39,55.808,249.68,128.77
2021-10-20,65.2,56.534,252.77,130.61
2021-10-21,65.55,56.834,254.17,131.14
2021-10-22,65.69,56.996,254.69,131.67
2021-10-25,65.76,57.038,254.95,131.83
2021-10-26,66.05,57.302,256.18,132.48
2021-10-27,65.42,56.81,253.75,131.43
2021-10-28,66.08,57.288,256.4,132.53
2021-10-29,66.6,57.818,258.45,133.82
2021-11-01,66.8,57.82,258.91,133.66
2021-11-02,67.16,58.164,260.48,134.5
2021-11-03,67.74,58.502,262.42,135.29
2021-11-04,67.28,58.138,260.86,134.36
2021-11-05,66.66,57.5,258.49,132.86
2021-11-08,66.96,57.818,259.72,133.65
2021-11-09,66.64,57.574,258.37,133.16
2021-11-10,66.52,57.586,258.13,133.54
2021-11-11,66.4,57.466,257.59,133.15
2021-11-12,66.65,57.74,258.54,133.81
2021-11-15,66.22,57.374,256.89,132.98
2021-11-16,66.52,57.636,258.0,133.54
2021-11-17,66.5,57.712,257.96,133.73
2021-11-18,66.38,57.618,257.35,133.78
