date,FCOM,IYZ,VOX,XLC
2021-08-30,56.64,34.6,149.35,85.3
2021-08-31,56.85,34.5,149.89,85.62
2021-09-01,57.12,34.43,150.66,86.05
2021-09-02,56.95,34.78,150.16,85.47
2021-09-03,56.89,34.67,149.99,85.47
2021-09-07,57.08,34.4,150.51,85.67
2021-09-08,56.69,34.38,149.61,85.23
2021-09-09,56.5,34.2,149.12,84.81
2021-09-10,56.16,33.83,148.08,84.26
2021-09-13,56.31,34.06,148.55,84.47
2021-09-14,55.66,33.75,146.92,83.74
2021-09-15,56.07,33.84,147.84,84.15
2021-09-16,56.02,33.83,147.78,84.07
2021-09-17,55.41,33.65,146.59,83.14
2021-09-20,54.3,33.21,143.44,81.33
2021-09-21,54.19,33.04,143.23,80.99
2021-09-22,54.35,33.19,143.73,80.95
2021-09-23,54.87,33.42,145.0,81.78
2021-09-24,55.21,33.05,146.02,82.45
2021-09-27,55.15,33.0,145.83,82.44
2021-09-28,53.71,32.46,141.85,80.43
2021-09-29,53.47,32.7,141.14,80.36
2021-09-30,53.41,32.45,140.77,80.11
2021-10-01,54.31,32.86,143.23,81.46
2021-10-04,53.14,32.63,140.34,79.7
2021-10-05,53.92,32.68,142.17,80.89
2021-10-06,54.05,32.59,142.62,81.03
2021-10-07,54.44,33.0,143.71,81.38
2021-10-08,54.06,32.41,142.6,80.98
2021-10-11,53.31,31.9,140.66,79.76
2021-10-12,52.97,31.67,139.72,79.02
2021-10-13,53.25,31.79,140.55,79.39
2021-10-14,54.09,32.34,142.73,80.51
2021-10-15,53.96,32.15,142.5,80.32
2021-10-18,54.22,32.08,143.25,80.94
2021-10-19,54.7,32.37,144.39,81.72
2021-10-20,54.83,32.81,144.8,81.88
2021-10-21,54.95,32.62,145.06,82.12
2021-10-22,53.62,32.35,141.52,80.38
2021-10-25,53.75,32.15,141.95,80.73
2021-10-26,53.38,32.2,140.9,80.01
2021-10-27,53.18,31.98,140.43,79.79
2021-10-28,53.53,32.03,141.37,80.05
2021-10-29,53.65,31.8,141.78,80.3
2021-11-01,53.85,32.14,142.17,80.43
2021-11-02,53.84,32.75,142.29,80.44
2021-11-03,54.24,33.16,143.19,80.73
2021-11-04,54.2,32.69,143.1,81.05
2021-11-05,54.77,33.09,144.57,81.7
2021-11-08,54.7,32.71,144.44,81.34
2021-11-09,54.52,32.77,143.96,81.14
2021-11-10,53.9,32.77,142.24,80.22
2021-11-11,53.7,32.62,141.74,80.06
2021-11-12,54.39,32.69,143.43,81.23
2021-11-15,54.55,32.7,144.02,81.46
2021-11-16,54.28,32.58,143.15,80.85
2021-11-17,53.98,32.55,142.51,80.54
2021-11-18,53.49,31.91,141.19,79.96
2021-11-19,53.16,31.51,140.21,79.69
2021-11-22,52.56,31.63,138.7,78.72
2021-11-23,52.35,31.83,138.15,78.51
2021-11-24,52.44,31.9,138.31,78.62
2021-11-26,51.57,31.48,135.97,77.18
2021-11-29,51.81,31.54,136.69,77.84
2021-11-30,50.28,30.72,132.72,75.37
2021-12-01,49.0,30.27,129.36,73.63
2021-12-02,49.95,31.15,131.82,74.87
2021-12-03,49.73,31.23,131.32,74.7
2021-12-06,50.56,31.32,133.49,75.93
2021-12-07,51.12,31.45,134.9,76.71
2021-12-08,51.65,31.33,136.33,77.27
2021-12-09,51.04,31.28,134.65,76.66
2021-12-10,50.91,31.63,134.47,76.7
2021-12-13,50.52,31.34,133.3,76.3
2021-12-14,50.29,31.35,132.74,76.1
2021-12-15,50.74,31.63,133.95,76.9
2021-12-16,50.57,31.9,132.94,76.79
2021-12-17,50.44,32.31,133.08,76.48
2021-12-20,49.95,32.07,131.88,75.79
2021-12-21,51.0,32.4,134.61,77.23
2021-12-22,51.24,32.51,135.14,77.42
2021-12-23,51.73,32.83,136.48,78.11
2021-12-27,52.07,33.11,137.47,78.87
2021-12-28,51.97,33.15,137.23,78.83
2021-12-29,51.75,33.11,136.5,78.44
2021-12-30,52.0,33.13,137.19,78.77
2021-12-31,51.36,32.91,135.56,77.68
2022-01-03,51.76,33.15,136.51,78.22
2022-01-04,51.5,32.95,135.87,78.05
2022-01-05,50.04,32.56,132.12,76.09
2022-01-06,50.24,32.56,132.55,76.43
2022-01-07,50.27,32.53,132.6,76.44
2022-01-10,50.14,32.55,132.4,75.96
2022-01-11,50.75,32.84,133.99,76.91
2022-01-12,50.81,32.7,134.15,77.01
2022-01-13,50.23,32.49,132.54,76.21
2022-01-14,50.37,32.4,132.95,76.56
2022-01-18,49.43,31.79,130.53,75.63
2022-01-19,49.27,31.54,130.11,75.5
2022-01-20,48.76,31.22,128.64,74.75
2022-01-21,47.04,30.68,124.12,72.22
2022-01-24,47.36,30.86,124.96,72.75
2022-01-25,46.38,30.46,122.48,71.26
2022-01-26,45.68,29.81,120.55,70.22
2022-01-27,45.66,29.66,120.53,70.3
2022-01-28,46.96,30.51,123.97,72.31
2022-01-31,48.24,30.93,127.3,73.95
2022-02-01,48.75,30.96,128.75,74.59
2022-02-02,49.48,31.03,130.62,76.08
2022-02-03,46.43,30.69,122.61,70.99
2022-02-04,46.91,30.55,123.76,71.17
2022-02-07,46.18,30.5,121.83,69.93
2022-02-08,46.26,30.65,121.98,69.9
2022-02-09,47.53,31.23,125.41,71.87
2022-02-10,46.92,30.55,123.8,70.84
2022-02-11,46.0,30.04,121.35,69.31
2022-02-14,45.95,29.84,121.26,69.32
2022-02-15,46.73,30.54,123.3,70.29
2022-02-16,46.47,30.53,122.57,69.8
2022-02-17,45.2,30.09,119.19,67.94
2022-02-18,44.67,30.08,117.84,67.41
2022-02-22,44.15,29.81,116.54,66.72
2022-02-23,43.39,29.08,114.5,65.6
2022-02-24,44.66,29.49,117.78,67.44
2022-02-25,45.44,30.3,119.94,68.53
2022-02-28,45.39,30.09,119.86,68.45
2022-03-01,44.8,29.68,118.2,67.59
2022-03-02,45.15,30.08,119.06,68.17
2022-03-03,44.63,30.1,117.67,67.46
2022-03-04,43.84,29.84,115.65,66.49
2022-03-07,42.29,29.35,111.46,64.28
2022-03-08,42.29,29.1,111.45,64.12
2022-03-09,43.57,29.51,114.98,66.04
2022-03-10,43.23,29.25,114.12,65.55
2022-03-11,42.37,29.0,111.79,64.37
2022-03-14,41.75,28.69,110.23,63.62
