date,RSP,SPY
2016-08-26,83.85,217.29
2016-08-29,84.32,218.36
2016-08-30,84.19,218.0
2016-08-31,83.81,217.38
2016-09-01,83.79,217.39
2016-09-02,84.21,218.37
2016-09-06,84.35,219.03
2016-09-07,84.59,219.01
2016-09-08,84.45,218.51
2016-09-09,82.17,213.28
2016-09-12,83.33,216.34
2016-09-13,81.93,213.23
2016-09-14,81.81,213.15
2016-09-15,82.63,215.28
2016-09-16,81.97,213.37
2016-09-19,82.16,213.41
2016-09-20,81.96,213.42
2016-09-21,83.07,215.82
2016-09-22,83.72,217.18
2016-09-23,83.3,215.99
2016-09-26,82.66,214.24
2016-09-27,83.03,215.57
2016-09-28,83.61,216.64
2016-09-29,82.91,214.68
2016-09-30,83.59,216.3
2016-10-03,83.24,215.78
2016-10-04,82.73,214.68
2016-10-05,83.22,215.63
2016-10-06,83.26,215.78
2016-10-07,82.81,215.04
2016-10-10,83.18,216.16
2016-10-11,81.94,213.43
2016-10-12,82.05,213.71
2016-10-13,81.75,213.01
2016-10-14,81.69,213.12
2016-10-17,81.41,212.38
2016-10-18,81.97,213.71
2016-10-19,82.37,214.28
2016-10-20,82.21,213.88
2016-10-21,82.16,213.98
2016-10-24,82.42,214.89
2016-10-25,81.95,214.17
2016-10-26,81.91,213.74
2016-10-27,81.43,213.17
2016-10-28,81.42,212.54
2016-10-31,81.55,212.55
2016-11-01,80.88,211.01
2016-11-02,80.3,209.74
2016-11-03,80.04,208.78
2016-11-04,80.05,208.55
2016-11-07,81.78,213.15
2016-11-08,82.09,214.11
2016-11-09,83.06,216.38
2016-11-10,83.67,216.92
2016-11-11,83.67,216.42
2016-11-14,84.37,216.59
2016-11-15,84.99,218.28
2016-11-16,84.62,217.87
2016-11-17,85.07,218.99
2016-11-18,84.87,218.5
2016-11-21,85.54,220.15
2016-11-22,85.8,220.58
2016-11-23,86.01,220.7
2016-11-25,86.32,221.52
2016-11-28,85.74,220.48
2016-11-29,85.8,220.91
2016-11-30,85.82,220.38
2016-12-01,85.56,219.57
2016-12-02,85.58,219.68
2016-12-05,86.22,221.0
2016-12-06,86.66,221.7
2016-12-07,87.9,224.6
2016-12-08,88.26,225.15
2016-12-09,88.51,226.51
2016-12-12,88.05,226.25
2016-12-13,88.42,227.76
2016-12-14,87.5,225.88
2016-12-15,87.81,226.81
2016-12-16,87.42,225.04
2016-12-19,87.55,225.53
2016-12-20,87.84,226.4
2016-12-21,87.64,225.77
2016-12-22,87.29,225.38
2016-12-23,87.47,225.71
2016-12-27,87.76,226.27
2016-12-28,86.86,224.4
2016-12-29,86.89,224.35
2016-12-30,86.64,223.53
2017-01-03,87.33,225.24
2017-01-04,88.18,226.58
2017-01-05,87.94,226.4
2017-01-06,88.18,227.21
2017-01-09,87.7,226.46
2017-01-10,87.78,226.46
2017-01-11,88.01,227.1
2017-01-12,87.87,226.53
2017-01-13,88.05,227.05
2017-01-17,87.82,226.25
2017-01-18,88.08,226.75
2017-01-19,87.64,225.91
2017-01-20,87.97,226.74
2017-01-23,87.71,226.15
2017-01-24,88.58,227.6
2017-01-25,89.25,229.57
2017-01-26,89.01,229.33
2017-01-27,88.74,228.97
2017-01-30,88.24,227.55
2017-01-31,88.38,227.53
2017-02-01,88.16,227.62
2017-02-02,88.35,227.77
2017-02-03,88.96,229.34
2017-02-06,88.72,228.93
2017-02-07,88.63,228.94
2017-02-08,88.82,229.24
2017-02-09,89.37,230.6
2017-02-10,89.87,231.51
2017-02-13,90.27,232.77
2017-02-14,90.51,233.7
2017-02-15,90.95,234.92
2017-02-16,90.72,234.72
2017-02-17,90.9,235.09
2017-02-21,91.54,236.49
2017-02-22,91.32,236.28
2017-02-23,91.16,236.44
2017-02-24,91.41,236.74
2017-02-27,91.62,237.11
2017-02-28,91.15,236.47
2017-03-01,92.27,239.78
2017-03-02,91.67,238.27
2017-03-03,91.66,238.42
2017-03-06,91.25,237.71
2017-03-07,90.84,237.0
2017-03-08,90.63,236.56
2017-03-09,90.55,236.86
2017-03-10,90.91,237.69
2017-03-13,91.09,237.81
2017-03-14,90.66,236.9
2017-03-15,91.65,238.95
2017-03-16,91.44,238.48
2017-03-17,91.06,237.03
2017-03-20,90.8,236.77
2017-03-21,89.61,233.73
2017-03-22,89.77,234.28
2017-03-23,89.81,234.03
2017-03-24,89.81,233.86
2017-03-27,89.65,233.62
2017-03-28,90.39,235.32
2017-03-29,90.7,235.54
2017-03-30,90.88,236.29
2017-03-31,90.82,235.74
2017-04-03,90.46,235.33
2017-04-04,90.35,235.48
2017-04-05,90.1,234.78
2017-04-06,90.58,235.44
2017-04-07,90.5,235.2
2017-04-10,90.71,235.34
2017-04-11,90.74,235.06
2017-04-12,90.18,234.03
2017-04-13,89.55,232.51
2017-04-17,90.28,234.57
2017-04-18,90.02,233.87
2017-04-19,90.05,233.44
2017-04-20,90.79,235.34
2017-04-21,90.5,234.59
2017-04-24,91.39,237.17
