date,RSP,SPY
8/30/2006,43.43,130.74
8/31/2006,43.48,130.74
9/1/2006,43.68,131.44
9/5/2006,43.75,131.58
9/6/2006,43.24,130.46
9/7/2006,43.04,130.01
9/8/2006,43.32,130.2
9/11/2006,43.34,130.3
9/12/2006,43.97,131.72
9/13/2006,44.2,132.16
9/14/2006,44.08,132.26
9/15/2006,44.13,131.9
9/18/2006,44.11,132.06
9/19/2006,44.02,131.88
9/20/2006,44.25,132.44
9/21/2006,43.93,131.83
9/22/2006,43.77,131.52
9/25/2006,44.23,132.45
9/26/2006,44.54,133.47
9/27/2006,44.49,133.68
9/28/2006,44.59,133.7
9/29/2006,44.42,133.65
10/2/2006,44.34,133.1
10/3/2006,44.33,133.35
10/4/2006,44.85,134.95
10/5/2006,45.09,135.18
10/6/2006,44.95,134.88
10/9/2006,45.03,135.01
10/10/2006,45.18,135.11
10/11/2006,45.08,135.12
10/12/2006,45.54,136.33
10/13/2006,45.64,136.58
10/16/2006,45.9,136.75
10/17/2006,45.66,136.5
10/18/2006,45.64,136.43
10/19/2006,45.61,136.8
10/20/2006,45.51,136.83
10/23/2006,45.84,137.3
10/24/2006,45.92,137.77
10/25/2006,46.06,138.37
10/26/2006,46.34,138.75
10/27/2006,45.97,137.81
10/30/2006,46.1,137.86
10/31/2006,46.02,137.89
11/1/2006,45.67,136.9
11/2/2006,45.68,136.75
11/3/2006,45.57,136.44
11/6/2006,46.04,138
11/7/2006,46.18,138.42
11/8/2006,46.34,138.94
11/9/2006,46.14,138.15
11/10/2006,46.3,138.3
11/13/2006,46.46,138.62
11/14/2006,46.79,139.61
11/15/2006,46.98,139.9
11/16/2006,47.1,140.22
11/17/2006,47.05,140.44
11/20/2006,47.04,140.4
11/21/2006,47.17,140.67
11/22/2006,47.4,140.83
11/24/2006,47.25,140.39
11/27/2006,46.55,138.44
11/28/2006,46.63,139.11
11/29/2006,47.1,140.36
11/30/2006,47.24,140.47
12/1/2006,47.05,140.35
12/4/2006,47.6,141.31
12/5/2006,47.81,141.9
12/6/2006,47.8,141.66
12/7/2006,47.59,141.15
12/8/2006,47.63,141.42
12/11/2006,47.65,141.8
12/12/2006,47.58,141.6
12/13/2006,47.61,141.86
12/14/2006,48.01,143.13
12/15/2006,47.8,142.34
12/18/2006,47.53,141.95
12/19/2006,47.59,142.22
12/20/2006,47.62,142.24
12/21/2006,47.37,141.68
12/22/2006,47.18,140.68
12/26/2006,47.36,141.6
12/27/2006,47.73,142.45
12/28/2006,47.61,142.17
12/29/2006,47.4,141.6
1/3/2007,47.32,141.39
1/4/2007,47.39,141.7
1/5/2007,47.07,140.47
1/8/2007,47.17,141.31
1/9/2007,47.23,141.02
1/10/2007,47.37,141.61
1/11/2007,47.74,142.23
1/12/2007,47.91,143.27
1/16/2007,47.95,142.83
1/17/2007,47.92,142.9
1/18/2007,47.69,142.41
1/19/2007,47.97,142.95
1/22/2007,47.7,142.39
1/23/2007,47.97,142.93
1/24/2007,48.33,143.99
1/25/2007,47.83,142.31
1/26/2007,47.87,142.22
1/29/2007,47.88,142.02
1/30/2007,48.18,142.77
1/31/2007,48.48,143.79
2/1/2007,48.83,144.53
2/2/2007,48.96,144.78
2/5/2007,48.96,144.82
2/6/2007,49.06,144.97
2/7/2007,49.21,145.11
2/8/2007,49.25,144.97
2/9/2007,48.91,143.9
2/12/2007,48.69,143.5
2/13/2007,49.12,144.65
2/14/2007,49.55,145.6
2/15/2007,49.73,145.55
2/16/2007,49.65,145.73
2/20/2007,49.87,145.99
2/21/2007,49.93,145.95
2/22/2007,49.9,145.8
2/23/2007,49.85,145.35
2/26/2007,49.76,145.2
2/27/2007,48.16,139.63
2/28/2007,48.26,140.8
3/1/2007,47.96,140.61
3/2/2007,47.44,138.94
3/5/2007,46.89,137.91
3/6/2007,47.59,139.84
3/7/2007,47.58,139.47
3/8/2007,47.93,140.73
3/9/2007,48.11,140.61
3/12/2007,48.23,140.91
3/13/2007,47.27,138.11
3/14/2007,47.52,139.51
3/15/2007,47.81,139.25
3/16/2007,47.55,138.21
3/19/2007,48,140.23
3/20/2007,48.3,140.9
3/21/2007,49.09,143.07
3/22/2007,49.05,143.17
3/23/2007,49.15,143.45
3/26/2007,49.16,143.23
3/27/2007,48.86,142.42
3/28/2007,48.45,141.83
3/29/2007,48.57,142.19
3/30/2007,48.55,142
4/2/2007,48.78,142.28
4/3/2007,49.25,143.74
4/4/2007,49.24,143.78
4/5/2007,49.41,144.31
4/9/2007,49.49,144.42
4/10/2007,49.55,144.6
4/11/2007,49.24,143.95
4/12/2007,49.58,144.72
4/13/2007,49.7,145.24
4/16/2007,50.19,146.65
4/17/2007,50.29,146.82
4/18/2007,50.38,147.1
4/19/2007,50.31,147.29
4/20/2007,50.69,148.59
4/23/2007,50.74,148.19
4/24/2007,50.77,148.27
4/25/2007,51.28,149.56
4/26/2007,51.33,149.48
4/27/2007,51.22,149.65
4/30/2007,50.66,148.31
5/1/2007,50.8,148.74
5/2/2007,51.2,149.57
5/3/2007,51.4,150.28
5/4/2007,51.44,150.94
5/7/2007,51.53,150.93
5/8/2007,51.5,150.65
5/9/2007,51.78,151.12
5/10/2007,51.01,149.56
5/11/2007,51.38,150.91
5/14/2007,51.33,150.37
5/15/2007,51.27,150.45
5/16/2007,51.54,151.43
5/17/2007,51.61,151.37
5/18/2007,51.88,152.58
5/21/2007,51.99,152.63
5/22/2007,51.96,152.42
5/23/2007,51.9,152.41
5/24/2007,51.32,151.17
5/25/2007,51.56,151.8
5/29/2007,51.73,152.14
5/30/2007,52.15,153.51
5/31/2007,52.3,153.44
6/1/2007,52.54,153.88
6/4/2007,52.71,154.08
6/5/2007,52.4,153.5
6/6/2007,51.9,152.05
6/7/2007,50.87,149.22
6/8/2007,51.51,151.1
6/11/2007,51.52,151.33
6/12/2007,51.04,149.35
6/13/2007,51.79,151.88
6/14/2007,51.96,152.79
6/15/2007,52.18,152.97
6/18/2007,52.09,152.67
6/19/2007,52.16,153.07
6/20/2007,51.52,151.2
6/21/2007,51.79,151.85
6/22/2007,51.33,150.7
6/25/2007,50.99,150
6/26/2007,50.81,148.35
6/27/2007,51.27,150.47
6/28/2007,51.32,150.39
6/29/2007,51.18,150.32
7/3/2007,51.84,152.24
7/5/2007,51.98,152.34
7/6/2007,52.21,152.92
7/9/2007,52.18,153.06
7/10/2007,51.46,150.9
7/11/2007,51.6,152.24
7/12/2007,52.47,154.44
7/13/2007,52.63,154.91
7/16/2007,52.47,154.85
7/17/2007,52.44,153.93
7/18/2007,52.37,154.6
7/19/2007,52.64,154.8
7/20/2007,51.91,153.47
7/23/2007,51.99,153.87
7/24/2007,50.99,151.29
7/25/2007,51.05,151.99
7/26/2007,49.77,148.08
7/27/2007,48.92,145.3
7/30/2007,49.45,147.3
7/31/2007,48.89,145
8/1/2007,49.08,146.73
8/2/2007,49.45,147.58
8/3/2007,47.78,143.6
8/6/2007,48.85,146.3
8/7/2007,49.12,147.85
8/8/2007,49.75,149.93
8/9/2007,48.51,144.59
8/10/2007,48.51,145.05
8/13/2007,48.64,144.93
8/14/2007,47.57,142.9
8/15/2007,46.69,140.88
8/16/2007,47.06,142.43
8/17/2007,47.95,144.8
8/20/2007,48.05,144.51
8/21/2007,48.18,144.9
8/22/2007,48.82,147.77
8/23/2007,48.7,146.32
8/24/2007,49.24,148.39
