date,UA,UAC
2021-09-24,18.68,
2021-09-27,18.58,
2021-09-28,18.37,
2021-09-29,18.1,
2021-09-30,17.52,
2021-10-01,18.06,
2021-10-04,18.0,
2021-10-05,18.27,
2021-10-06,17.91,
2021-10-07,18.28,
2021-10-08,17.75,
2021-10-11,17.46,
2021-10-12,17.73,
2021-10-13,17.75,
2021-10-14,17.88,
2021-10-15,17.79,
2021-10-18,17.94,
2021-10-19,17.85,
2021-10-20,17.71,
2021-10-21,18.1,
2021-10-22,17.92,
2021-10-25,18.28,
2021-10-26,18.56,
2021-10-27,18.64,
2021-10-28,18.87,
2021-10-29,18.88,
2021-11-01,19.03,
2021-11-02,21.68,
2021-11-03,22.5,
2021-11-04,22.11,
2021-11-05,21.34,
2021-11-08,21.12,
2021-11-09,21.13,
2021-11-10,21.12,
2021-11-11,21.14,
2021-11-12,21.29,
2021-11-15,21.87,
2021-11-16,22.44,
2021-11-17,22.22,
2021-11-18,22.6,
2021-11-19,22.63,
2021-11-22,21.5,
2021-11-23,21.2,
2021-11-24,21.35,
2021-11-26,20.63,
2021-11-29,20.94,
2021-11-30,20.07,
2021-12-01,19.54,
2021-12-02,19.96,
2021-12-03,19.98,
2021-12-06,20.37,
2021-12-07,20.76,
2021-12-08,20.66,
2021-12-09,20.32,
2021-12-10,20.06,
2021-12-13,19.25,
2021-12-14,19.01,
2021-12-15,19.05,
2021-12-16,18.19,
2021-12-17,17.71,
2021-12-20,17.06,
2021-12-21,17.46,
2021-12-22,17.36,
2021-12-23,17.55,
2021-12-27,17.72,
2021-12-28,17.77,
2021-12-29,17.94,
2021-12-30,17.99,
2021-12-31,18.04,
2022-01-03,18.07,
2022-01-04,18.21,
2022-01-05,17.48,
2022-01-06,17.66,
2022-01-07,16.98,
2022-01-10,16.68,
2022-01-11,16.66,
2022-01-12,16.7,
2022-01-13,16.51,
2022-01-14,16.18,
2022-01-18,16.15,
2022-01-19,16.27,
2022-01-20,15.98,
2022-01-21,16.09,
2022-01-24,16.5,
2022-01-25,15.92,
2022-01-26,15.5,
2022-01-27,15.49,
2022-01-28,15.57,
2022-01-31,15.99,
2022-02-01,16.19,
2022-02-02,16.56,
2022-02-03,16.16,
2022-02-04,16.43,
2022-02-07,16.58,
2022-02-08,16.94,
2022-02-09,17.46,
2022-02-10,17.33,
2022-02-11,15.36,
2022-02-14,15.11,
2022-02-15,15.54,
2022-02-16,15.13,
2022-02-17,14.47,
2022-02-18,14.46,
2022-02-22,14.24,
2022-02-23,13.85,
2022-02-24,14.86,
2022-02-25,15.57,
2022-02-28,15.63,
2022-03-01,15.28,
2022-03-02,15.36,
2022-03-03,14.8,
2022-03-04,14.09,
2022-03-07,12.75,
2022-03-08,13.05,
2022-03-09,13.76,
2022-03-10,13.83,
2022-03-11,14.0,
2022-03-14,14.12,
2022-03-15,14.44,
2022-03-16,15.19,
2022-03-17,15.42,
2022-03-18,15.61,
