date,VOX,XLC
2021-08-30,149.35,85.3
2021-08-31,149.89,85.62
2021-09-01,150.66,86.05
2021-09-02,150.16,85.47
2021-09-03,149.99,85.47
2021-09-07,150.51,85.67
2021-09-08,149.61,85.23
2021-09-09,149.12,84.81
2021-09-10,148.08,84.26
2021-09-13,148.55,84.47
2021-09-14,146.92,83.74
2021-09-15,147.84,84.15
2021-09-16,147.78,84.07
2021-09-17,146.59,83.14
2021-09-20,143.44,81.33
2021-09-21,143.23,80.99
2021-09-22,143.73,80.95
2021-09-23,145.0,81.78
2021-09-24,146.02,82.45
2021-09-27,145.83,82.44
2021-09-28,141.85,80.43
2021-09-29,141.14,80.36
2021-09-30,140.77,80.11
2021-10-01,143.23,81.46
2021-10-04,140.34,79.7
2021-10-05,142.17,80.89
2021-10-06,142.62,81.03
2021-10-07,143.71,81.38
2021-10-08,142.6,80.98
2021-10-11,140.66,79.76
2021-10-12,139.72,79.02
2021-10-13,140.55,79.39
2021-10-14,142.73,80.51
2021-10-15,142.5,80.32
2021-10-18,143.25,80.94
2021-10-19,144.39,81.72
2021-10-20,144.8,81.88
2021-10-21,145.06,82.12
2021-10-22,141.52,80.38
2021-10-25,141.95,80.73
2021-10-26,140.9,80.01
2021-10-27,140.43,79.79
2021-10-28,141.37,80.05
2021-10-29,141.78,80.3
2021-11-01,142.17,80.43
2021-11-02,142.29,80.44
2021-11-03,143.19,80.73
2021-11-04,143.1,81.05
2021-11-05,144.57,81.7
2021-11-08,144.44,81.34
2021-11-09,143.96,81.14
2021-11-10,142.24,80.22
2021-11-11,141.74,80.06
2021-11-12,143.43,81.23
2021-11-15,144.02,81.46
2021-11-16,143.15,80.85
2021-11-17,142.51,80.54
2021-11-18,141.19,79.96
2021-11-19,140.21,79.69
2021-11-22,138.7,78.72
2021-11-23,138.15,78.51
2021-11-24,138.31,78.62
2021-11-26,135.97,77.18
2021-11-29,136.69,77.84
2021-11-30,132.72,75.37
2021-12-01,129.36,73.63
2021-12-02,131.82,74.87
2021-12-03,131.32,74.7
2021-12-06,133.49,75.93
2021-12-07,134.9,76.71
2021-12-08,136.33,77.27
2021-12-09,134.65,76.66
2021-12-10,134.47,76.7
2021-12-13,133.3,76.3
2021-12-14,132.74,76.1
2021-12-15,133.95,76.9
2021-12-16,132.94,76.79
2021-12-17,133.08,76.48
2021-12-20,131.88,75.79
2021-12-21,134.61,77.23
2021-12-22,135.14,77.42
2021-12-23,136.48,78.11
2021-12-27,137.47,78.87
2021-12-28,137.23,78.83
2021-12-29,136.5,78.44
2021-12-30,137.19,78.77
2021-12-31,135.56,77.68
2022-01-03,136.51,78.22
2022-01-04,135.87,78.05
2022-01-05,132.12,76.09
2022-01-06,132.55,76.43
2022-01-07,132.6,76.44
2022-01-10,132.4,75.96
2022-01-11,133.99,76.91
2022-01-12,134.15,77.01
2022-01-13,132.54,76.21
2022-01-14,132.95,76.56
2022-01-18,130.53,75.63
2022-01-19,130.11,75.5
2022-01-20,128.64,74.75
2022-01-21,124.12,72.22
2022-01-24,124.96,72.75
2022-01-25,122.48,71.26
2022-01-26,120.55,70.22
2022-01-27,120.53,70.3
2022-01-28,123.97,72.31
2022-01-31,127.3,73.95
2022-02-01,128.75,74.59
2022-02-02,130.62,76.08
2022-02-03,122.61,70.99
2022-02-04,123.76,71.17
2022-02-07,121.83,69.93
2022-02-08,121.98,69.9
2022-02-09,125.41,71.87
2022-02-10,123.8,70.84
2022-02-11,121.35,69.31
2022-02-14,121.26,69.32
2022-02-15,123.3,70.29
2022-02-16,122.57,69.8
2022-02-17,119.19,67.94
2022-02-18,117.84,67.41
2022-02-22,116.54,66.72
2022-02-23,114.5,65.6
2022-02-24,117.78,67.44
2022-02-25,119.94,68.53
2022-02-28,119.86,68.45
2022-03-01,118.2,67.59
2022-03-02,119.06,68.17
2022-03-03,117.67,67.46
2022-03-04,115.65,66.49
2022-03-07,111.46,64.28
2022-03-08,111.45,64.12
2022-03-09,114.98,66.04
2022-03-10,114.12,65.55
2022-03-11,111.79,64.37
2022-03-14,110.23,63.62
2022-03-15,112.57,64.84
2022-03-16,116.04,66.63
2022-03-17,117.32,67.35
2022-03-18,118.97,68.23
2022-03-21,117.86,67.42
2022-03-22,120.07,68.68
2022-03-23,118.67,67.74
2022-03-24,120.26,68.85
2022-03-25,120.56,69.18
2022-03-28,121.19,69.4
2022-03-29,123.25,70.61
2022-03-30,122.2,70.11
2022-03-31,120.05,68.78
2022-04-01,120.94,69.29
2022-04-04,123.66,71.2
2022-04-05,121.73,70.29
2022-04-06,119.49,68.98
2022-04-07,118.42,68.38
2022-04-08,117.97,68.08
2022-04-11,116.63,67.2
2022-04-12,115.77,66.65
2022-04-13,117.5,67.63
2022-04-14,115.52,66.48
2022-04-18,114.88,66.26
2022-04-19,117.36,67.58
2022-04-20,112.57,64.65
2022-04-21,109.69,62.81
2022-04-22,106.8,61.32
2022-04-25,107.96,62.16
2022-04-26,104.51,60.12
