date,VDE,XLE
2021-08-30,68.37,24.365
2021-08-31,68.01,24.2
2021-09-01,67.16,23.845
2021-09-02,68.91,24.45
2021-09-03,68.6,24.31
2021-09-07,68.2,24.165
2021-09-08,67.36,23.855
2021-09-09,67.48,23.905
2021-09-10,67.41,23.895
2021-09-13,69.49,24.58
2021-09-14,68.33,24.225
2021-09-15,71.08,25.13
2021-09-16,70.29,24.845
2021-09-17,69.64,24.66
2021-09-20,67.54,23.62
2021-09-21,67.73,23.675
2021-09-22,69.79,24.405
2021-09-23,72.23,25.26
2021-09-24,72.82,25.45
2021-09-27,75.62,26.355
2021-09-28,75.75,26.445
2021-09-29,74.82,26.445
2021-09-30,73.9,26.045
2021-10-01,76.18,26.92
2021-10-04,77.59,27.36
2021-10-05,77.97,27.52
2021-10-06,76.95,27.23
2021-10-07,77.77,27.44
2021-10-08,79.96,28.285
2021-10-11,79.67,28.18
2021-10-12,79.73,28.205
2021-10-13,79.69,28.18
2021-10-14,80.68,28.525
2021-10-15,81.06,28.665
2021-10-18,81.27,28.685
2021-10-19,82.1,29.01
2021-10-20,82.79,29.245
2021-10-21,81.24,28.705
2021-10-22,82.04,28.975
2021-10-25,83.35,29.4
2021-10-26,83.72,29.57
2021-10-27,81.26,28.72
2021-10-28,81.74,28.925
2021-10-29,81.22,28.735
2021-11-01,82.62,29.23
2021-11-02,81.88,28.955
2021-11-03,81.19,28.715
2021-11-04,81.18,28.755
2021-11-05,82.49,29.13
2021-11-08,83.3,29.395
2021-11-09,83.57,29.515
2021-11-10,81.15,28.735
2021-11-11,81.5,28.845
2021-11-12,81.26,28.775
2021-11-15,81.83,29.015
2021-11-16,81.92,29.06
2021-11-17,80.53,28.615
2021-11-18,80.17,28.445
2021-11-19,77.0,27.335
2021-11-22,78.23,27.82
2021-11-23,80.67,28.675
2021-11-24,81.53,28.955
2021-11-26,78.0,27.79
2021-11-29,78.55,27.95
2021-11-30,76.55,27.295
2021-12-01,75.45,27.005
2021-12-02,77.62,27.79
2021-12-03,77.02,27.57
2021-12-06,78.34,27.98
2021-12-07,80.25,28.635
2021-12-08,80.38,28.63
2021-12-09,79.55,28.41
2021-12-10,80.22,28.62
2021-12-13,77.87,27.825
2021-12-14,77.42,27.71
2021-12-15,77.2,27.575
2021-12-16,76.55,27.75
2021-12-17,75.14,27.185
2021-12-20,74.1,26.505
2021-12-21,76.44,27.26
2021-12-22,76.89,27.435
2021-12-23,76.93,27.45
2021-12-27,78.74,28.05
2021-12-28,78.56,28.03
2021-12-29,78.08,27.85
2021-12-30,77.38,27.68
2021-12-31,77.61,27.75
2022-01-03,80.1,28.61
2022-01-04,82.9,29.6
2022-01-05,82.53,29.595
2022-01-06,84.48,30.255
2022-01-07,85.52,30.67
2022-01-10,85.24,30.575
2022-01-11,88.22,31.615
2022-01-12,88.55,31.675
2022-01-13,87.83,31.515
2022-01-14,90.05,32.255
2022-01-18,90.15,32.385
2022-01-19,89.39,32.15
2022-01-20,88.29,31.855
2022-01-21,86.41,31.225
2022-01-24,87.06,31.435
2022-01-25,90.29,32.655
2022-01-26,90.06,32.6
2022-01-27,90.98,32.955
2022-01-28,90.79,32.815
2022-01-31,91.18,32.96
2022-02-01,94.53,34.135
2022-02-02,94.84,34.245
2022-02-03,93.75,33.92
2022-02-04,95.18,34.45
2022-02-07,96.21,34.89
2022-02-08,94.18,34.14
2022-02-09,95.03,34.425
2022-02-10,94.5,34.21
2022-02-11,97.22,35.205
2022-02-14,95.11,34.375
2022-02-15,94.06,34.015
2022-02-16,94.69,34.29
2022-02-17,94.5,34.235
2022-02-18,93.86,34.025
2022-02-22,92.24,33.475
2022-02-23,93.34,33.82
2022-02-24,93.01,33.555
2022-02-25,95.38,34.44
2022-02-28,98.02,35.29
2022-03-01,98.95,35.645
2022-03-02,101.35,36.46
2022-03-03,101.53,36.56
2022-03-04,104.73,37.615
2022-03-07,106.38,38.17
2022-03-08,107.46,38.77
2022-03-09,104.56,37.585
2022-03-10,107.62,38.735
2022-03-11,106.63,38.425
2022-03-14,103.24,37.275
2022-03-15,99.76,35.91
2022-03-16,99.48,35.745
2022-03-17,103.03,36.975
2022-03-18,103.01,36.94
2022-03-21,106.99,38.065
2022-03-22,106.3,37.785
2022-03-23,108.15,38.435
2022-03-24,107.71,38.53
2022-03-25,110.55,39.375
2022-03-28,107.77,38.4
2022-03-29,107.4,38.3
2022-03-30,108.52,38.745
2022-03-31,107.04,38.22
2022-04-01,108.37,38.53
2022-04-04,108.37,38.58
2022-04-05,106.58,37.975
2022-04-06,107.12,38.2
2022-04-07,108.49,38.7
2022-04-08,111.4,39.765
2022-04-11,108.1,38.57
2022-04-12,109.92,39.21
2022-04-13,111.66,39.795
2022-04-14,112.12,39.925
2022-04-18,113.9,40.51
2022-04-19,112.78,40.18
2022-04-20,113.33,40.335
2022-04-21,109.57,39.055
2022-04-22,106.73,38.1
2022-04-25,103.27,36.84
2022-04-26,103.28,36.89
2022-04-27,104.82,37.43
2022-04-28,108.08,38.565
2022-04-29,105.25,37.575
2022-05-02,106.45,38.175
2022-05-03,109.71,39.245
2022-05-04,114.24,40.875
2022-05-05,112.36,40.26
2022-05-06,115.19,41.46
2022-05-09,105.39,38.03
2022-05-10,106.17,38.375
2022-05-11,107.45,38.89
2022-05-12,107.79,39.055
2022-05-13,111.45,40.39
2022-05-16,114.28,41.455
2022-05-17,115.92,41.935
2022-05-18,112.89,40.86
2022-05-19,112.54,40.71
2022-05-20,113.04,40.885
2022-05-23,116.26,41.965
2022-05-24,116.63,42.125
2022-05-25,119.26,42.995
2022-05-26,120.84,43.47
2022-05-27,123.21,44.265
2022-05-31,121.24,43.6
2022-06-01,123.55,44.31
2022-06-02,123.29,44.17
2022-06-03,124.86,44.755
2022-06-06,124.94,44.705
2022-06-07,128.99,46.04
2022-06-08,128.85,46.14
2022-06-09,125.92,45.12
2022-06-10,123.86,44.355
2022-06-13,117.15,42.04
2022-06-14,117.06,42.12
2022-06-15,114.86,41.19
2022-06-16,108.4,38.87
2022-06-17,102.35,36.745
2022-06-21,107.53,38.22
2022-06-22,102.75,36.69
2022-06-23,97.94,35.33
2022-06-24,99.6,35.795
