date,FNCL,IYF,VFH,XLF
2021-08-30,54.84,84.73,94.72,38.45
2021-08-31,54.88,84.73,94.8,38.4
2021-09-01,54.62,84.75,94.34,38.18
2021-09-02,54.73,84.84,94.63,38.31
2021-09-03,54.5,84.51,94.17,38.07
2021-09-07,54.1,84.01,93.57,37.84
2021-09-08,53.96,84.04,93.21,37.75
2021-09-09,54.04,83.81,93.45,37.86
2021-09-10,53.68,83.06,92.7,37.58
2021-09-13,54.23,83.8,93.72,38.01
2021-09-14,53.47,82.9,92.4,37.5
2021-09-15,54.04,83.54,93.36,37.86
2021-09-16,53.94,83.46,93.2,37.75
2021-09-17,53.46,82.98,92.84,37.58
2021-09-20,52.2,80.97,90.61,36.55
2021-09-21,52.16,80.92,90.5,36.5
2021-09-22,52.9,82.06,91.88,37.11
2021-09-23,54.21,84.0,94.09,38.02
2021-09-24,54.51,84.03,94.65,38.22
2021-09-27,55.25,85.07,96.02,38.74
2021-09-28,54.42,83.65,94.43,38.1
2021-09-29,54.46,83.82,94.04,38.13
2021-09-30,53.69,82.55,92.65,37.53
2021-10-01,54.49,83.73,94.11,38.15
2021-10-04,54.18,83.02,93.52,37.82
2021-10-05,55.05,84.56,95.1,38.56
2021-10-06,55.13,84.72,95.23,38.6
2021-10-07,55.56,85.34,95.86,38.83
2021-10-08,55.8,85.81,96.4,39.02
2021-10-11,55.31,85.0,95.4,38.63
2021-10-12,55.22,84.87,95.28,38.51
2021-10-13,54.97,84.61,94.89,38.29
2021-10-14,55.86,86.07,96.42,38.93
2021-10-15,56.6,87.2,97.6,39.51
2021-10-18,56.57,87.21,97.65,39.52
2021-10-19,57.11,88.14,98.57,39.91
2021-10-20,57.69,88.84,99.52,40.23
2021-10-21,57.53,88.75,99.25,40.06
2021-10-22,58.25,89.81,100.47,40.62
2021-10-25,58.25,89.83,100.47,40.57
2021-10-26,58.26,89.93,100.48,40.6
2021-10-27,57.15,88.38,98.63,39.93
2021-10-28,57.87,89.62,99.88,40.42
2021-10-29,57.71,89.22,99.65,40.26
2021-11-01,58.0,89.5,100.1,40.28
2021-11-02,58.07,89.78,100.29,40.38
2021-11-03,58.47,90.24,100.95,40.53
2021-11-04,57.76,88.99,99.68,40.0
2021-11-05,57.87,89.03,99.92,40.02
2021-11-08,58.12,89.38,100.36,40.24
2021-11-09,57.84,89.02,99.88,40.02
2021-11-10,57.7,88.61,99.58,39.95
2021-11-11,57.92,88.97,99.98,40.06
2021-11-12,57.96,89.18,100.08,40.15
2021-11-15,57.96,89.14,100.12,40.15
2021-11-16,57.93,89.15,100.01,40.11
2021-11-17,57.29,88.2,98.95,39.65
2021-11-18,57.05,87.86,98.54,39.45
2021-11-19,56.46,86.93,97.44,39.02
2021-11-22,57.13,88.05,98.73,39.57
2021-11-23,57.98,89.3,100.09,40.19
2021-11-24,57.88,89.17,99.92,40.1
2021-11-26,55.95,86.36,96.51,38.77
2021-11-29,56.07,86.7,96.75,38.89
2021-11-30,54.69,84.48,94.32,37.96
2021-12-01,54.05,83.61,93.24,37.54
2021-12-02,55.6,86.01,96.06,38.66
2021-12-03,54.7,84.6,94.44,38.03
2021-12-06,55.49,85.69,95.83,38.61
2021-12-07,56.41,87.24,97.45,39.3
2021-12-08,56.24,86.83,97.1,39.09
2021-12-09,55.96,86.5,96.64,39.01
2021-12-10,55.98,86.54,96.66,39.05
2021-12-13,55.27,85.21,95.38,38.63
2021-12-14,55.48,85.6,95.9,38.86
2021-12-15,55.75,86.07,96.26,38.97
2021-12-16,56.19,86.79,96.48,39.46
2021-12-17,54.82,85.0,94.59,38.59
2021-12-20,53.73,83.34,92.72,37.66
2021-12-21,54.89,85.08,94.77,38.44
2021-12-22,55.29,85.69,95.42,38.62
2021-12-23,55.7,86.29,96.1,38.82
2021-12-27,56.23,87.21,97.07,39.22
2021-12-28,56.2,87.12,97.04,39.24
2021-12-29,56.14,87.07,96.92,39.19
2021-12-30,56.02,86.79,96.67,39.12
2021-12-31,55.92,86.69,96.57,39.05
2022-01-03,56.55,87.57,97.67,39.53
2022-01-04,57.86,89.6,99.9,40.57
2022-01-05,57.1,88.38,98.48,40.1
2022-01-06,57.96,89.79,100.1,40.69
2022-01-07,58.58,90.64,101.06,41.17
2022-01-10,58.36,90.37,100.77,41.03
2022-01-11,58.9,91.28,101.74,41.39
2022-01-12,58.97,91.32,101.75,41.42
2022-01-13,58.68,90.89,101.35,41.26
2022-01-14,58.22,90.16,100.46,40.83
2022-01-18,56.89,88.23,98.22,39.92
2022-01-19,55.9,86.69,96.46,39.25
2022-01-20,55.46,86.13,95.68,39.0
2022-01-21,54.38,84.38,93.85,38.2
2022-01-24,54.57,84.66,94.19,38.31
2022-01-25,54.75,84.58,94.49,38.47
2022-01-26,54.7,84.82,94.45,38.57
2022-01-27,54.26,84.18,93.63,38.22
2022-01-28,54.91,85.41,94.87,38.72
2022-01-31,55.65,86.36,96.02,39.06
2022-02-01,56.41,87.57,97.32,39.6
2022-02-02,56.64,88.14,97.78,39.87
2022-02-03,56.03,87.03,96.65,39.43
2022-02-04,56.93,88.47,98.23,40.1
2022-02-07,57.06,88.68,98.6,40.22
2022-02-08,57.88,89.71,99.87,40.78
2022-02-09,58.19,90.3,100.39,41.04
