date,VFH,XLF
2021-08-30,94.72,38.45
2021-08-31,94.8,38.4
2021-09-01,94.34,38.18
2021-09-02,94.63,38.31
2021-09-03,94.17,38.07
2021-09-07,93.57,37.84
2021-09-08,93.21,37.75
2021-09-09,93.45,37.86
2021-09-10,92.7,37.58
2021-09-13,93.72,38.01
2021-09-14,92.4,37.5
2021-09-15,93.36,37.86
2021-09-16,93.2,37.75
2021-09-17,92.84,37.58
2021-09-20,90.61,36.55
2021-09-21,90.5,36.5
2021-09-22,91.88,37.11
2021-09-23,94.09,38.02
2021-09-24,94.65,38.22
2021-09-27,96.02,38.74
2021-09-28,94.43,38.1
2021-09-29,94.04,38.13
2021-09-30,92.65,37.53
2021-10-01,94.11,38.15
2021-10-04,93.52,37.82
2021-10-05,95.1,38.56
2021-10-06,95.23,38.6
2021-10-07,95.86,38.83
2021-10-08,96.4,39.02
2021-10-11,95.4,38.63
2021-10-12,95.28,38.51
2021-10-13,94.89,38.29
2021-10-14,96.42,38.93
2021-10-15,97.6,39.51
2021-10-18,97.65,39.52
2021-10-19,98.57,39.91
2021-10-20,99.52,40.23
2021-10-21,99.25,40.06
2021-10-22,100.47,40.62
2021-10-25,100.47,40.57
2021-10-26,100.48,40.6
2021-10-27,98.63,39.93
2021-10-28,99.88,40.42
2021-10-29,99.65,40.26
2021-11-01,100.1,40.28
2021-11-02,100.29,40.38
2021-11-03,100.95,40.53
2021-11-04,99.68,40.0
2021-11-05,99.92,40.02
2021-11-08,100.36,40.24
2021-11-09,99.88,40.02
2021-11-10,99.58,39.95
2021-11-11,99.98,40.06
2021-11-12,100.08,40.15
2021-11-15,100.12,40.15
2021-11-16,100.01,40.11
2021-11-17,98.95,39.65
2021-11-18,98.54,39.45
2021-11-19,97.44,39.02
2021-11-22,98.73,39.57
2021-11-23,100.09,40.19
2021-11-24,99.92,40.1
2021-11-26,96.51,38.77
2021-11-29,96.75,38.89
2021-11-30,94.32,37.96
2021-12-01,93.24,37.54
2021-12-02,96.06,38.66
2021-12-03,94.44,38.03
2021-12-06,95.83,38.61
2021-12-07,97.45,39.3
2021-12-08,97.1,39.09
2021-12-09,96.64,39.01
2021-12-10,96.66,39.05
2021-12-13,95.38,38.63
2021-12-14,95.9,38.86
2021-12-15,96.26,38.97
2021-12-16,96.48,39.46
2021-12-17,94.59,38.59
2021-12-20,92.72,37.66
2021-12-21,94.77,38.44
2021-12-22,95.42,38.62
2021-12-23,96.1,38.82
2021-12-27,97.07,39.22
2021-12-28,97.04,39.24
2021-12-29,96.92,39.19
2021-12-30,96.67,39.12
2021-12-31,96.57,39.05
2022-01-03,97.67,39.53
2022-01-04,99.9,40.57
2022-01-05,98.48,40.1
2022-01-06,100.1,40.69
2022-01-07,101.06,41.17
2022-01-10,100.77,41.03
2022-01-11,101.74,41.39
2022-01-12,101.75,41.42
2022-01-13,101.35,41.26
2022-01-14,100.46,40.83
2022-01-18,98.22,39.92
2022-01-19,96.46,39.25
2022-01-20,95.68,39.0
2022-01-21,93.85,38.2
2022-01-24,94.19,38.31
2022-01-25,94.49,38.47
2022-01-26,94.45,38.57
2022-01-27,93.63,38.22
2022-01-28,94.87,38.72
2022-01-31,96.02,39.06
2022-02-01,97.32,39.6
2022-02-02,97.78,39.87
2022-02-03,96.65,39.43
2022-02-04,98.23,40.1
2022-02-07,98.6,40.22
2022-02-08,99.87,40.78
2022-02-09,100.39,41.04
2022-02-10,99.59,40.68
2022-02-11,98.06,40.11
2022-02-14,97.01,39.66
2022-02-15,98.62,40.2
2022-02-16,98.7,40.23
2022-02-17,96.17,39.23
2022-02-18,96.1,39.22
2022-02-22,95.51,39.02
2022-02-23,93.83,38.34
2022-02-24,92.91,37.88
2022-02-25,95.93,39.1
2022-02-28,94.75,38.52
2022-03-01,91.15,37.1
2022-03-02,93.61,38.06
2022-03-03,93.18,37.94
2022-03-04,91.18,37.23
2022-03-07,87.58,35.87
2022-03-08,87.26,35.66
2022-03-09,90.47,36.97
2022-03-10,89.83,36.66
2022-03-11,89.22,36.4
2022-03-14,90.0,36.86
2022-03-15,91.11,37.38
2022-03-16,93.83,38.43
2022-03-17,94.76,38.91
2022-03-18,95.18,39.0
2022-03-21,94.92,38.81
2022-03-22,96.54,39.44
2022-03-23,94.63,38.71
2022-03-24,94.96,39.02
2022-03-25,96.09,39.52
2022-03-28,95.8,39.41
2022-03-29,96.44,39.5
2022-03-30,95.48,39.22
2022-03-31,93.39,38.32
2022-04-01,93.29,38.22
2022-04-04,92.99,38.05
2022-04-05,92.12,37.81
2022-04-06,91.34,37.55
2022-04-07,90.99,37.51
2022-04-08,91.7,37.89
2022-04-11,91.27,37.72
2022-04-12,90.39,37.31
2022-04-13,90.67,37.31
2022-04-14,89.64,36.89
2022-04-18,90.11,37.11
2022-04-19,91.51,37.62
2022-04-20,92.24,37.88
2022-04-21,90.68,37.28
2022-04-22,88.03,36.17
2022-04-25,88.19,36.23
2022-04-26,85.87,35.32
2022-04-27,85.72,35.29
2022-04-28,86.99,35.74
2022-04-29,83.93,34.51
2022-05-02,84.3,34.52
2022-05-03,85.38,34.97
2022-05-04,87.98,36.04
2022-05-05,85.44,34.99
2022-05-06,84.7,34.74
2022-05-09,82.64,33.91
2022-05-10,81.91,33.61
2022-05-11,81.0,33.3
2022-05-12,80.6,33.05
2022-05-13,81.93,33.53
2022-05-16,81.36,33.25
2022-05-17,83.64,34.14
2022-05-18,81.39,33.2
2022-05-19,80.8,32.98
2022-05-20,80.74,32.92
2022-05-23,83.12,33.99
2022-05-24,82.86,33.92
2022-05-25,83.64,34.19
2022-05-26,85.66,34.98
2022-05-27,87.21,35.57
2022-05-31,86.88,35.47
2022-06-01,85.46,34.9
2022-06-02,86.84,35.38
2022-06-03,85.61,34.87
2022-06-06,85.91,34.97
2022-06-07,86.57,35.24
2022-06-08,85.06,34.62
2022-06-09,82.91,33.75
2022-06-10,79.93,32.53
2022-06-13,77.31,31.56
2022-06-14,76.82,31.29
2022-06-15,77.64,31.64
2022-06-16,75.42,30.84
2022-06-17,75.85,30.93
2022-06-21,77.32,31.38
2022-06-22,77.21,31.31
2022-06-23,76.58,31.19
2022-06-24,79.41,32.34
2022-06-27,79.17,32.23
2022-06-28,78.42,31.91
2022-06-29,77.79,31.73
2022-06-30,77.19,31.45
2022-07-01,78.24,31.88
2022-07-05,78.15,31.77
2022-07-06,77.8,31.69
2022-07-07,78.98,32.15
2022-07-08,78.75,32.08
2022-07-11,78.03,31.82
2022-07-12,77.61,31.62
2022-07-13,76.78,31.34
2022-07-14,75.35,30.74
2022-07-15,77.87,31.78
2022-07-18,77.59,31.66
2022-07-19,79.99,32.61
2022-07-20,80.5,32.73
2022-07-21,80.95,32.94
2022-07-22,80.36,32.75
2022-07-25,80.91,32.96
2022-07-26,79.86,32.5
2022-07-27,81.13,33.0
2022-07-28,81.79,33.24
2022-07-29,82.94,33.71
2022-08-01,82.38,33.43
2022-08-02,81.4,33.06
2022-08-03,82.65,33.56
2022-08-04,82.38,33.45
2022-08-05,83.0,33.69
2022-08-08,82.97,33.67
2022-08-09,83.34,33.84
2022-08-10,85.33,34.6
2022-08-11,86.25,35.01
2022-08-12,87.6,35.56
2022-08-15,87.68,35.55
2022-08-16,88.21,35.81
2022-08-17,87.72,35.63
2022-08-18,87.85,35.67
2022-08-19,86.09,34.96
2022-08-22,84.21,34.19
2022-08-23,83.93,34.05
2022-08-24,84.26,34.23
2022-08-25,85.58,34.76
2022-08-26,83.01,33.72
2022-08-29,82.32,33.48
2022-08-30,81.93,33.3
2022-08-31,81.33,33.05
2022-09-01,81.46,33.15
2022-09-02,80.84,32.89
2022-09-06,80.59,32.81
2022-09-07,82.2,33.46
2022-09-08,83.54,34.05
2022-09-09,84.4,34.36
2022-09-12,85.16,34.64
2022-09-13,81.99,33.35
2022-09-14,81.93,33.25
2022-09-15,82.18,33.36
2022-09-16,81.39,33.06
2022-09-19,82.33,33.26
2022-09-20,81.17,32.77
2022-09-21,79.59,32.09
2022-09-22,78.11,31.55
2022-09-23,76.77,31.05
2022-09-26,75.49,30.56
2022-09-27,75.16,30.43
2022-09-28,76.17,31.03
2022-09-29,75.14,30.64
2022-09-30,74.44,30.36
2022-10-03,76.41,31.18
2022-10-04,79.53,32.34
2022-10-05,78.9,32.09
2022-10-06,77.9,31.64
2022-10-07,75.97,30.89
2022-10-10,75.69,30.75
2022-10-11,74.84,30.36
2022-10-12,74.7,30.29
2022-10-13,77.63,31.54
2022-10-14,76.39,31.01
2022-10-17,78.23,31.79
2022-10-18,79.43,32.3
2022-10-19,78.15,31.77
2022-10-20,76.75,31.26
2022-10-21,78.8,32.19
2022-10-24,79.84,32.62
2022-10-25,80.94,33.01
2022-10-26,81.15,33.09
2022-10-27,81.83,33.36
2022-10-28,83.94,34.19
2022-10-31,83.48,33.98
2022-11-01,83.83,34.07
2022-11-02,82.68,33.64
2022-11-03,81.78,33.3
2022-11-04,83.44,33.91
2022-11-07,84.24,34.25
2022-11-08,84.54,34.45
2022-11-09,83.07,33.87
2022-11-10,87.41,35.58
2022-11-11,87.96,35.87
2022-11-14,86.49,35.36
2022-11-15,86.72,35.44
2022-11-16,86.13,35.27
2022-11-17,85.58,35.08
2022-11-18,86.18,35.37
2022-11-21,86.45,35.48
2022-11-22,87.36,35.84
2022-11-23,87.66,35.99
2022-11-25,88.05,36.11
2022-11-28,86.45,35.49
2022-11-29,87.05,35.7
2022-11-30,88.6,36.31
2022-12-01,87.96,36.1
2022-12-02,87.64,35.93
2022-12-05,85.21,35.04
2022-12-06,84.49,34.73
2022-12-07,84.14,34.59
2022-12-08,84.25,34.62
2022-12-09,83.95,34.53
2022-12-12,85.01,34.99
2022-12-13,85.19,35.08
2022-12-14,84.07,34.64
2022-12-15,81.83,33.96
2022-12-16,81.08,33.7
2022-12-19,80.86,33.4
2022-12-20,81.21,33.54
2022-12-21,82.59,34.06
2022-12-22,81.78,33.76
2022-12-23,82.33,33.95
2022-12-27,82.24,33.94
2022-12-28,81.72,33.82
2022-12-29,83.02,34.29
2022-12-30,82.73,34.2
2023-01-03,82.99,34.32
2023-01-04,84.24,34.87
2023-01-05,83.53,34.61
2023-01-06,85.55,35.38
2023-01-09,85.24,35.25
2023-01-10,85.9,35.45
2023-01-11,86.64,35.78
2023-01-12,87.08,35.85
2023-01-13,87.65,36.12
2023-01-17,87.12,35.88
2023-01-18,85.49,35.21
2023-01-19,84.51,34.8
2023-01-20,85.98,35.35
2023-01-23,87.05,35.76
2023-01-24,86.96,35.78
2023-01-25,87.55,36.06
2023-01-26,88.13,36.25
2023-01-27,88.32,36.25
2023-01-30,87.85,36.07
2023-01-31,89.21,36.56
2023-02-01,89.49,36.56
2023-02-02,89.81,36.66
2023-02-03,89.81,36.59
2023-02-06,89.52,36.58
2023-02-07,90.64,37.0
2023-02-08,90.11,36.78
2023-02-09,88.86,36.37
2023-02-10,89.12,36.49
2023-02-13,90.19,36.91
2023-02-14,89.68,36.71
2023-02-15,89.96,36.75
2023-02-16,89.05,36.38
2023-02-17,89.12,36.39
2023-02-21,87.23,35.64
2023-02-22,87.09,35.6
2023-02-23,87.28,35.63
2023-02-24,87.26,35.66
2023-02-27,87.18,35.65
2023-02-28,87.36,35.72
2023-03-01,87.02,35.6
2023-03-02,86.51,35.43
2023-03-03,87.85,35.99
2023-03-06,87.68,36.02
2023-03-07,85.6,35.09
2023-03-08,85.25,34.96
2023-03-09,81.68,33.54
2023-03-10,79.66,32.93
2023-03-13,76.29,31.63
2023-03-14,78.09,32.27
2023-03-15,76.07,31.41
2023-03-16,77.59,32.01
2023-03-17,74.99,30.98
2023-03-20,75.95,31.17
2023-03-21,78.26,31.96
2023-03-22,76.0,31.22
2023-03-23,75.21,31.01
2023-03-24,74.95,30.99
2023-03-27,76.13,31.42
2023-03-28,76.17,31.41
2023-03-29,77.29,31.87
2023-03-30,77.01,31.8
2023-03-31,77.89,32.15
2023-04-03,77.75,32.21
2023-04-04,76.8,31.91
2023-04-05,76.71,31.87
2023-04-06,77.05,31.99
2023-04-10,77.36,32.06
2023-04-11,78.04,32.34
2023-04-12,77.86,32.27
2023-04-13,78.32,32.56
2023-04-14,78.98,32.88
2023-04-17,80.12,33.26
2023-04-18,80.35,33.36
2023-04-19,80.93,33.44
2023-04-20,80.42,33.34
2023-04-21,79.94,33.22
2023-04-24,79.75,33.14
2023-04-25,78.14,32.57
2023-04-26,77.35,32.26
2023-04-27,78.66,32.78
2023-04-28,79.58,33.17
2023-05-01,79.28,33.08
2023-05-02,77.18,32.33
2023-05-03,76.17,31.96
2023-05-04,74.65,31.55
2023-05-05,76.7,32.33
2023-05-08,76.68,32.38
2023-05-09,76.52,32.26
2023-05-10,76.28,32.08
2023-05-11,75.96,32.03
2023-05-12,75.73,31.9
2023-05-15,76.49,32.16
2023-05-16,75.69,31.86
2023-05-17,77.62,32.5
