date,VIS,XLI
2021-08-30,199.9,104.8
2021-08-31,199.21,104.51
2021-09-01,198.87,104.11
2021-09-02,200.92,105.23
2021-09-03,199.57,104.59
2021-09-07,196.6,102.78
2021-09-08,196.53,102.92
2021-09-09,195.7,102.42
2021-09-10,194.56,101.96
2021-09-13,195.21,102.23
2021-09-14,192.73,101.0
2021-09-15,194.84,102.11
2021-09-16,193.7,101.41
2021-09-17,191.91,100.33
2021-09-20,189.63,98.86
2021-09-21,188.74,98.34
2021-09-22,190.73,99.12
2021-09-23,193.69,100.64
2021-09-24,194.06,100.85
2021-09-27,194.74,100.95
2021-09-28,192.17,99.78
2021-09-29,191.52,99.89
2021-09-30,187.89,97.84
2021-10-01,190.79,99.18
2021-10-04,189.71,98.64
2021-10-05,191.52,99.74
2021-10-06,192.19,100.18
2021-10-07,193.95,100.96
2021-10-08,193.75,100.95
2021-10-11,192.13,100.14
2021-10-12,191.85,99.81
2021-10-13,192.35,100.02
2021-10-14,195.79,101.91
2021-10-15,197.38,102.89
2021-10-18,197.77,102.96
2021-10-19,198.68,103.57
2021-10-20,199.96,104.22
2021-10-21,200.54,104.43
2021-10-22,200.84,104.8
2021-10-25,201.79,105.04
2021-10-26,200.32,104.39
2021-10-27,197.64,103.17
2021-10-28,200.47,104.46
2021-10-29,200.65,104.49
2021-11-01,202.06,104.78
2021-11-02,202.9,105.13
2021-11-03,202.83,104.9
2021-11-04,203.68,105.32
2021-11-05,205.95,106.39
2021-11-08,206.93,106.83
2021-11-09,207.22,107.1
2021-11-10,205.88,106.5
2021-11-11,205.49,106.06
2021-11-12,207.08,106.9
2021-11-15,207.2,107.1
2021-11-16,207.5,107.12
2021-11-17,206.36,106.48
2021-11-18,205.63,106.26
2021-11-19,204.89,105.73
2021-11-22,205.25,106.02
2021-11-23,205.45,106.2
2021-11-24,205.32,106.08
2021-11-26,199.16,103.21
2021-11-29,199.76,103.39
2021-11-30,194.37,100.77
2021-12-01,191.31,99.37
2021-12-02,197.09,102.32
2021-12-03,196.3,102.2
2021-12-06,199.71,103.93
2021-12-07,201.98,104.99
2021-12-08,202.46,105.25
2021-12-09,201.29,104.92
2021-12-10,201.79,105.35
2021-12-13,199.69,104.26
2021-12-14,197.65,103.27
2021-12-15,199.51,104.17
2021-12-16,198.25,104.22
2021-12-17,195.55,102.44
2021-12-20,192.26,100.42
2021-12-21,196.6,102.42
2021-12-22,197.54,102.71
2021-12-23,199.84,103.92
2021-12-27,201.98,105.02
2021-12-28,202.51,105.55
2021-12-29,202.94,105.74
2021-12-30,202.15,105.36
2021-12-31,202.96,105.81
2022-01-03,201.71,104.94
2022-01-04,205.34,107.05
2022-01-05,202.6,106.03
2022-01-06,203.02,106.52
2022-01-07,202.28,106.49
2022-01-10,200.25,105.29
2022-01-11,201.74,105.92
2022-01-12,202.07,106.26
2022-01-13,202.18,106.49
2022-01-14,201.03,105.85
2022-01-18,198.42,104.63
2022-01-19,195.69,103.46
2022-01-20,193.13,102.14
2022-01-21,191.04,101.2
2022-01-24,192.23,101.78
2022-01-25,190.0,100.78
2022-01-26,188.17,99.9
2022-01-27,185.72,99.01
2022-01-28,187.43,99.7
2022-01-31,190.23,100.74
2022-02-01,192.98,102.13
2022-02-02,193.78,102.84
2022-02-03,190.35,101.2
2022-02-04,188.67,100.11
2022-02-07,188.89,100.19
2022-02-08,191.28,101.19
2022-02-09,194.32,102.58
2022-02-10,190.87,100.9
2022-02-11,187.61,99.36
2022-02-14,187.24,98.99
2022-02-15,190.59,100.48
2022-02-16,191.58,101.01
2022-02-17,188.02,99.16
2022-02-18,186.35,98.34
2022-02-22,184.15,97.39
2022-02-23,180.53,95.6
2022-02-24,183.46,96.82
2022-02-25,187.79,99.13
2022-02-28,189.3,99.89
2022-03-01,186.35,98.4
2022-03-02,190.36,100.5
2022-03-03,189.99,100.61
2022-03-04,189.08,100.39
2022-03-07,183.69,97.7
2022-03-08,183.16,97.1
2022-03-09,187.02,98.86
2022-03-10,186.89,98.73
2022-03-11,185.51,97.94
2022-03-14,185.55,98.27
2022-03-15,188.46,99.83
2022-03-16,191.71,101.15
2022-03-17,194.41,102.45
2022-03-18,195.29,102.84
