date,VGT,XLK
2021-08-30,53.6625,79.85
2021-08-31,53.335,79.43
2021-09-01,53.37,79.45
2021-09-02,53.4113,79.365
2021-09-03,53.6688,79.68
2021-09-07,53.6125,79.7
2021-09-08,53.3013,79.395
2021-09-09,53.1275,79.095
2021-09-10,52.5963,78.315
2021-09-13,52.6,78.34
2021-09-14,52.5338,78.24
2021-09-15,52.9825,78.925
2021-09-16,53.0713,78.97
2021-09-17,52.3588,77.74
2021-09-20,51.355,76.19
2021-09-21,51.3813,76.22
2021-09-22,52.1413,77.265
2021-09-23,52.815,78.3
2021-09-24,52.82,78.355
2021-09-27,52.3025,77.595
2021-09-28,50.6675,75.295
2021-09-29,50.4413,75.2
2021-09-30,50.1613,74.66
2021-10-01,50.8575,75.785
2021-10-04,49.6238,74.03
2021-10-05,50.34,75.085
2021-10-06,50.6875,75.575
2021-10-07,51.2325,76.265
2021-10-08,50.9913,75.98
2021-10-11,50.7063,75.56
2021-10-12,50.5863,75.17
2021-10-13,51.0112,75.63
2021-10-14,52.1163,77.335
2021-10-15,52.4825,77.955
2021-10-18,52.9725,78.615
2021-10-19,53.46,79.395
2021-10-20,53.3563,79.175
2021-10-21,53.5863,79.48
2021-10-22,53.3588,79.205
2021-10-25,53.6088,79.465
2021-10-26,53.68,79.69
2021-10-27,53.4775,79.62
2021-10-28,54.0238,80.42
2021-10-29,54.27,80.765
2021-11-01,54.335,80.645
2021-11-02,54.7063,81.355
2021-11-03,55.0363,81.83
2021-11-04,55.8225,83.11
2021-11-05,56.0112,83.54
2021-11-08,56.4125,83.99
2021-11-09,56.2625,83.645
2021-11-10,55.2113,82.265
2021-11-11,55.51,82.65
2021-11-12,56.175,83.655
2021-11-15,56.1,83.57
2021-11-16,56.685,84.45
2021-11-17,56.4463,84.195
2021-11-18,56.8525,85.035
2021-11-19,57.1838,85.655
2021-11-22,56.33,84.7
2021-11-23,56.0725,84.505
2021-11-24,56.5388,85.12
2021-11-26,55.265,82.995
2021-11-29,56.5188,85.07
2021-11-30,55.9613,84.36
2021-12-01,54.94,83.205
2021-12-02,55.5313,83.97
2021-12-03,54.5,82.565
2021-12-06,54.9637,83.35
2021-12-07,56.9513,86.26
2021-12-08,57.3313,86.655
2021-12-09,56.5875,85.72
2021-12-10,57.505,87.44
2021-12-13,56.6613,86.14
2021-12-14,55.7338,84.725
2021-12-15,57.2088,86.97
2021-12-16,55.45,84.505
2021-12-17,55.2575,83.94
2021-12-20,54.6088,82.785
2021-12-21,56.0813,84.88
2021-12-22,56.7513,85.99
2021-12-23,57.0613,86.47
2021-12-27,58.2625,88.325
2021-12-28,57.855,87.865
2021-12-29,57.86,87.94
2021-12-30,57.5575,87.36
2021-12-31,57.2713,86.935
2022-01-03,57.75,87.76
2022-01-04,57.02,86.83
2022-01-05,55.1275,84.16
2022-01-06,54.9188,83.735
2022-01-07,54.3575,82.965
2022-01-10,54.415,82.98
2022-01-11,55.1338,83.975
2022-01-12,55.3138,84.37
2022-01-13,53.75,82.185
2022-01-14,54.1838,82.88
2022-01-18,52.8013,80.89
2022-01-19,52.065,79.76
2022-01-20,51.4175,78.73
2022-01-21,50.3038,77.165
2022-01-24,50.6288,77.565
2022-01-25,49.385,75.77
2022-01-26,49.5563,76.215
2022-01-27,49.1362,75.69
2022-01-28,51.23,79.0
2022-01-31,52.7825,80.985
2022-02-01,53.0013,81.195
2022-02-02,53.2762,81.855
2022-02-03,51.6163,79.48
2022-02-04,52.01,79.8
2022-02-07,51.755,79.27
2022-02-08,52.4225,80.25
2022-02-09,53.71,82.03
2022-02-10,52.3988,79.885
2022-02-11,50.745,77.445
2022-02-14,50.7363,77.42
2022-02-15,52.1975,79.455
2022-02-16,52.105,79.375
2022-02-17,50.3913,77.0
2022-02-18,49.7612,76.22
2022-02-22,49.2725,75.515
2022-02-23,48.0262,73.625
2022-02-24,49.7612,76.14
2022-02-25,50.4775,77.175
2022-02-28,50.4888,77.035
2022-03-01,49.5175,75.495
2022-03-02,50.5488,77.13
2022-03-03,49.7625,76.21
2022-03-04,48.77,74.875
2022-03-07,46.9413,72.135
2022-03-08,46.71,71.785
2022-03-09,48.7013,74.625
2022-03-10,47.86,73.32
2022-03-11,46.865,72.03
2022-03-14,45.8513,70.695
2022-03-15,47.3925,73.07
2022-03-16,49.1275,75.445
2022-03-17,49.6613,75.98
2022-03-18,50.7988,77.535
2022-03-21,50.67,77.245
2022-03-22,51.4813,78.355
2022-03-23,50.6975,77.15
2022-03-24,51.9363,79.155
2022-03-25,51.815,79.11
2022-03-28,52.455,80.05
2022-03-29,53.615,81.75
2022-03-30,52.8025,80.66
2022-03-31,52.06,79.465
2022-04-01,51.9075,79.23
2022-04-04,52.9288,80.735
2022-04-05,51.6775,79.035
2022-04-06,50.29,77.165
2022-04-07,50.4463,77.285
2022-04-08,49.7063,76.205
2022-04-11,48.5288,74.285
2022-04-12,48.3963,73.955
2022-04-13,49.24,75.145
2022-04-14,48.0225,73.32
2022-04-18,48.0788,73.56
2022-04-19,49.0475,74.94
2022-04-20,48.845,74.87
2022-04-21,47.905,73.6
2022-04-22,46.5813,71.54
2022-04-25,47.3413,72.615
2022-04-26,45.5388,69.91
2022-04-27,46.0288,70.945
2022-04-28,47.8913,73.785
2022-04-29,45.9,70.71
2022-05-02,46.6588,71.785
2022-05-03,46.6888,71.91
2022-05-04,48.3075,74.435
2022-05-05,45.8413,70.855
2022-05-06,45.3438,70.285
2022-05-09,43.3913,67.565
2022-05-10,44.0213,68.595
2022-05-11,42.5138,66.43
2022-05-12,42.2013,65.745
2022-05-13,43.7975,67.93
2022-05-16,43.275,67.33
2022-05-17,44.5,69.28
2022-05-18,42.4487,66.11
2022-05-19,42.1525,65.385
2022-05-20,42.2213,65.53
2022-05-23,43.115,67.035
2022-05-24,42.2813,66.04
2022-05-25,42.8875,66.81
2022-05-26,43.975,68.415
2022-05-27,45.5075,70.73
2022-05-31,45.1375,70.225
2022-06-01,44.9637,70.015
2022-06-02,46.2,71.71
2022-06-03,45.0262,69.995
2022-06-06,45.0525,70.0
2022-06-07,45.6512,70.835
2022-06-08,45.16,70.035
2022-06-09,43.89,68.165
2022-06-10,42.1675,65.545
2022-06-13,40.1838,62.64
2022-06-14,40.4075,63.035
2022-06-15,41.3013,64.365
2022-06-16,39.4963,61.745
2022-06-17,39.9763,62.31
2022-06-21,40.9863,63.73
2022-06-22,40.845,63.46
2022-06-23,41.475,64.41
2022-06-24,43.0038,66.725
2022-06-27,42.6925,66.275
2022-06-28,41.3725,64.29
2022-06-29,41.405,64.42
2022-06-30,40.8188,63.56
2022-07-01,40.9413,63.705
2022-07-05,41.5675,64.505
2022-07-06,41.8563,65.06
2022-07-07,42.7875,66.405
2022-07-08,42.8175,66.435
2022-07-11,42.1325,65.52
2022-07-12,41.555,64.625
2022-07-13,41.4588,64.455
2022-07-14,41.7375,65.045
2022-07-15,42.5038,66.19
2022-07-18,42.12,65.55
2022-07-19,43.3875,67.55
2022-07-20,44.1987,68.605
2022-07-21,44.8413,69.57
2022-07-22,44.1413,68.61
2022-07-25,43.8575,68.175
2022-07-26,43.0313,67.07
2022-07-27,44.8925,69.955
2022-07-28,45.5325,71.02
2022-07-29,46.275,72.11
2022-08-01,46.1925,71.955
2022-08-02,45.9538,71.445
2022-08-03,47.2863,73.345
2022-08-04,47.4363,73.68
2022-08-05,47.3625,73.51
2022-08-08,47.0338,72.885
2022-08-09,46.4563,72.155
2022-08-10,47.8738,74.125
2022-08-11,47.5963,73.835
2022-08-12,48.585,75.305
2022-08-15,48.8788,75.78
2022-08-16,48.7088,75.575
2022-08-17,48.2988,75.035
2022-08-18,48.5513,75.425
2022-08-19,47.6163,74.055
2022-08-22,46.31,71.99
2022-08-23,46.2013,71.8
2022-08-24,46.2762,71.845
2022-08-25,47.1163,73.06
2022-08-26,45.1213,69.94
2022-08-29,44.5388,69.015
2022-08-30,44.09,68.295
2022-08-31,43.66,67.63
2022-09-01,43.2775,67.3
2022-09-02,42.7688,66.425
2022-09-06,42.4588,65.985
2022-09-07,43.135,67.04
2022-09-08,43.395,67.27
2022-09-09,44.3325,68.6
2022-09-12,45.035,69.7
2022-09-13,42.6763,66.0
2022-09-14,42.8613,66.24
2022-09-15,41.9075,64.715
2022-09-16,41.5938,64.355
2022-09-19,41.92,64.72
2022-09-20,41.66,64.34
2022-09-21,41.0288,63.335
2022-09-22,40.4888,62.69
2022-09-23,39.915,61.87
2022-09-26,39.655,61.44
2022-09-27,39.7975,61.52
2022-09-28,40.1625,62.17
2022-09-29,39.1313,60.55
2022-09-30,38.4213,59.39
2022-10-03,39.5875,61.23
2022-10-04,40.9738,63.285
2022-10-05,41.1037,63.495
2022-10-06,40.7925,62.975
2022-10-07,39.095,60.385
2022-10-10,38.3888,59.37
2022-10-11,37.7638,58.46
2022-10-12,37.6288,58.28
2022-10-13,38.7063,60.09
2022-10-14,37.605,58.4
2022-10-17,38.7938,60.18
2022-10-18,39.1925,60.69
2022-10-19,39.0,60.515
2022-10-20,39.0213,60.55
2022-10-21,40.0488,62.17
2022-10-24,40.5213,63.03
2022-10-25,41.4088,64.235
2022-10-26,40.5763,62.805
2022-10-27,40.1563,62.09
2022-10-28,41.7725,64.79
2022-10-31,41.275,63.935
2022-11-01,40.9563,63.4
2022-11-02,39.4413,61.21
2022-11-03,38.3188,59.41
2022-11-04,38.8163,60.495
2022-11-07,39.3913,61.505
2022-11-08,39.7575,62.095
2022-11-09,38.6987,60.48
2022-11-10,41.9775,65.45
2022-11-11,42.8338,66.57
2022-11-14,42.425,66.0
2022-11-15,43.0375,66.8
2022-11-16,42.3038,65.885
2022-11-17,42.28,65.97
2022-11-18,42.3275,66.045
2022-11-21,41.8237,65.335
2022-11-22,42.5725,66.6
2022-11-23,43.0275,67.19
2022-11-25,42.7575,66.8
2022-11-28,41.8537,65.37
2022-11-29,41.4663,64.73
2022-11-30,43.4925,67.98
2022-12-01,43.6463,68.075
2022-12-02,43.4012,67.68
2022-12-05,42.575,66.555
2022-12-06,41.65,65.13
2022-12-07,41.46,64.8
2022-12-08,42.1825,65.86
2022-12-09,41.9263,65.455
2022-12-12,42.8463,66.885
2022-12-13,43.3575,67.675
2022-12-14,43.0338,67.105
2022-12-15,41.2988,64.595
2022-12-16,40.7588,63.74
2022-12-19,40.1713,62.71
2022-12-20,40.26,62.805
2022-12-21,40.8975,63.845
2022-12-22,39.8838,62.235
2022-12-23,39.8988,62.3
2022-12-27,39.5088,61.71
2022-12-28,38.8875,60.715
2022-12-29,39.9475,62.305
2022-12-30,39.9263,62.22
2023-01-03,39.5438,61.63
2023-01-04,39.715,61.79
2023-01-05,38.8925,60.59
2023-01-06,40.005,62.365
2023-01-09,40.5063,63.09
2023-01-10,40.7688,63.48
2023-01-11,41.4563,64.58
2023-01-12,41.78,65.06
2023-01-13,41.9563,65.245
2023-01-17,42.1662,65.54
2023-01-18,41.635,64.695
2023-01-19,41.1238,63.94
2023-01-20,42.275,65.67
2023-01-23,43.2788,67.165
2023-01-24,43.2063,67.135
2023-01-25,43.115,66.995
2023-01-26,43.8013,68.065
2023-01-27,44.0025,68.35
2023-01-30,43.1425,67.045
2023-01-31,43.7975,67.98
2023-02-01,44.8725,69.58
2023-02-02,46.21,71.48
2023-02-03,45.72,70.885
2023-02-06,45.12,70.02
2023-02-07,46.2013,71.77
2023-02-08,45.6163,70.905
2023-02-09,45.4238,70.515
2023-02-10,45.135,70.19
2023-02-13,45.9025,71.405
2023-02-14,46.1463,71.71
2023-02-15,46.4713,72.045
2023-02-16,45.6238,70.795
2023-02-17,45.065,69.91
2023-02-21,43.975,68.25
2023-02-22,43.965,68.15
2023-02-23,44.6413,69.28
2023-02-24,43.865,68.045
2023-02-27,44.0613,68.41
2023-02-28,44.015,68.26
2023-03-01,43.675,67.76
2023-03-02,44.1938,68.595
2023-03-03,45.1213,70.07
2023-03-06,45.285,70.405
2023-03-07,44.7275,69.53
2023-03-08,45.0813,70.105
2023-03-09,44.3713,69.1
2023-03-10,43.4938,67.885
2023-03-13,43.6963,68.255
2023-03-14,44.6825,69.83
2023-03-15,44.6662,69.87
2023-03-16,45.8862,71.83
2023-03-17,45.7612,71.73
2023-03-20,45.9012,71.765
2023-03-21,46.4188,72.345
2023-03-22,45.855,71.625
2023-03-23,46.5025,72.79
2023-03-24,46.49,72.98
2023-03-27,46.1987,72.415
2023-03-28,46.0,72.075
2023-03-29,46.94,73.585
2023-03-30,47.4138,74.44
2023-03-31,48.1838,75.505
2023-04-03,48.12,75.385
2023-04-04,47.815,74.97
2023-04-05,47.24,74.115
2023-04-06,47.485,74.535
2023-04-10,47.4575,74.495
2023-04-11,47.105,73.795
2023-04-12,46.8225,73.375
2023-04-13,47.7287,74.74
2023-04-14,47.5463,74.325
2023-04-17,47.7188,74.595
2023-04-18,47.8537,74.825
2023-04-19,47.7538,74.61
2023-04-20,47.4113,74.12
2023-04-21,47.2713,73.88
2023-04-24,47.0663,73.555
2023-04-25,46.05,71.985
2023-04-26,46.6625,73.055
2023-04-27,47.5463,74.605
2023-04-28,48.045,75.415
2023-05-01,48.095,75.46
2023-05-02,47.5563,74.755
2023-05-03,47.22,74.125
2023-05-04,47.0288,73.77
2023-05-05,48.2725,75.62
2023-05-08,48.3237,75.58
2023-05-09,47.9725,75.0
2023-05-10,48.495,75.915
2023-05-11,48.29,75.575
2023-05-12,48.1938,75.475
2023-05-15,48.6,76.1
2023-05-16,48.5675,76.18
2023-05-17,49.2788,77.195
2023-05-18,50.2463,78.775
2023-05-19,50.155,78.74
2023-05-22,50.2838,78.89
2023-05-23,49.5175,77.725
2023-05-24,49.2113,77.155
2023-05-25,50.9637,80.115
2023-05-26,52.3163,82.39
2023-05-30,52.59,82.83
2023-05-31,52.11,82.14
2023-06-01,52.6475,82.975
2023-06-02,53.0125,83.45
2023-06-05,52.7287,82.97
2023-06-06,52.8163,82.95
2023-06-07,52.03,81.71
2023-06-08,52.5538,82.595
2023-06-09,52.7725,83.005
2023-06-12,53.8738,84.81
2023-06-13,54.2612,85.325
2023-06-14,54.71,86.205
2023-06-15,55.4238,87.315
2023-06-16,54.945,86.595
2023-06-20,54.625,85.83
2023-06-21,53.7875,84.56
2023-06-22,54.23,85.25
2023-06-23,53.6,84.325
2023-06-26,53.165,83.72
2023-06-27,54.24,85.37
2023-06-28,54.38,85.42
2023-06-29,54.4125,85.57
2023-06-30,55.27,86.93
2023-07-03,55.1763,86.745
2023-07-05,54.8338,86.21
2023-07-06,54.6213,85.98
2023-07-07,54.435,85.605
2023-07-10,54.6538,85.83
2023-07-11,54.86,86.015
2023-07-12,55.4338,86.99
2023-07-13,56.26,88.125
2023-07-14,56.0588,87.995
2023-07-17,56.805,89.12
2023-07-18,57.4475,90.13
2023-07-19,57.2963,89.905
2023-07-20,56.0838,88.11
2023-07-21,55.9875,88.065
2023-07-24,56.0513,88.22
2023-07-25,56.6888,89.23
2023-07-26,56.0363,88.03
2023-07-27,55.7788,87.775
2023-07-28,56.5713,88.97
2023-07-31,56.8513,89.175
2023-08-01,56.8813,89.325
2023-08-02,55.3675,87.115
2023-08-03,55.1488,86.76
2023-08-04,54.4288,85.58
2023-08-07,54.52,85.82
2023-08-08,54.0125,85.16
2023-08-09,53.3113,84.06
2023-08-10,53.3063,84.07
2023-08-11,52.9563,83.45
2023-08-14,53.7375,84.78
2023-08-15,53.2063,83.945
2023-08-16,52.7025,83.145
2023-08-17,52.1263,82.355
2023-08-18,52.2275,82.48
2023-08-21,53.1263,84.055
2023-08-22,53.1463,83.96
2023-08-23,54.1113,85.475
2023-08-24,52.855,83.505
2023-08-25,53.3862,84.355
2023-08-28,53.7963,85.045
2023-08-29,54.88,86.75
2023-08-30,55.3325,87.405
2023-08-31,55.61,87.83
2023-09-01,55.8338,88.1
2023-09-05,55.9288,88.415
2023-09-06,55.2888,87.48
2023-09-07,54.4613,86.215
2023-09-08,54.5313,86.395
2023-09-11,54.79,86.845
2023-09-12,53.83,85.27
2023-09-13,53.9025,85.485
2023-09-14,54.28,86.105
2023-09-15,53.2925,84.45
2023-09-18,53.5088,84.675
2023-09-19,53.4138,84.63
2023-09-20,52.6275,83.3
2023-09-21,51.755,82.03
2023-09-22,51.8988,82.205
2023-09-25,52.105,82.47
2023-09-26,51.175,80.985
2023-09-27,51.3325,81.11
2023-09-28,51.6588,81.685
2023-09-29,51.8625,81.965
2023-10-02,52.34,82.845
2023-10-03,51.345,81.44
2023-10-04,51.9375,82.455
2023-10-05,51.9825,82.565
2023-10-06,53.025,84.11
2023-10-09,53.2688,84.545
2023-10-10,53.445,84.675
2023-10-11,53.8688,85.46
2023-10-12,53.7413,85.54
2023-10-13,52.88,84.315
2023-10-16,53.4875,85.125
2023-10-17,53.2588,84.73
2023-10-18,52.5288,83.86
2023-10-19,52.155,83.38
2023-10-20,51.235,81.97
2023-10-23,51.2438,82.065
2023-10-24,51.6987,82.63
2023-10-25,50.845,81.655
2023-10-26,49.945,80.095
2023-10-27,50.1525,80.56
2023-10-30,50.5938,81.425
2023-10-31,50.975,82.005
2023-11-01,51.8113,83.59
2023-11-02,52.735,85.005
2023-11-03,53.485,85.88
2023-11-06,53.7275,86.445
2023-11-07,54.3788,87.39
2023-11-08,54.605,87.885
2023-11-09,54.2775,87.475
2023-11-10,55.7113,89.76
2023-11-13,55.4325,89.235
2023-11-14,56.7738,91.02
2023-11-15,56.8475,91.135
2023-11-16,56.9738,91.59
2023-11-17,56.9988,91.4
2023-11-20,57.8025,92.725
2023-11-21,57.3225,91.975
2023-11-22,57.5325,92.385
2023-11-24,57.47,92.205
2023-11-27,57.44,92.2
2023-11-28,57.5463,92.375
2023-11-29,57.77,92.445
2023-11-30,57.7538,92.58
2023-12-01,58.0813,92.79
2023-12-04,57.49,91.66
2023-12-05,57.8013,92.21
2023-12-06,57.2988,91.43
2023-12-07,57.9175,92.54
2023-12-08,58.435,93.33
2023-12-11,58.8375,94.145
2023-12-12,59.1888,94.77
2023-12-13,59.8725,95.605
2023-12-14,59.9888,95.37
2023-12-15,60.2775,95.85
2023-12-18,60.4162,95.925
2023-12-19,60.625,96.29
2023-12-20,59.6525,94.835
2023-12-21,60.3925,95.9
2023-12-22,60.4513,96.025
2023-12-26,60.75,96.425
2023-12-27,60.8088,96.42
2023-12-28,60.8488,96.535
2023-12-29,60.5,96.24
2024-01-02,58.9113,93.72
2024-01-03,58.1225,92.765
2024-01-04,57.7725,92.085
2024-01-05,57.7863,92.06
2024-01-08,59.2575,94.37
2024-01-09,59.3625,94.52
2024-01-10,59.8663,95.325
2024-01-11,60.0763,95.81
2024-01-12,60.21,96.12
2024-01-16,60.2988,96.36
2024-01-17,59.9688,95.885
2024-01-18,61.135,97.83
2024-01-19,62.4625,100.085
2024-01-22,62.87,100.525
2024-01-23,63.1313,100.93
2024-01-24,63.4338,101.625
2024-01-25,63.585,102.05
2024-01-26,62.925,100.875
2024-01-29,63.66,101.8
2024-01-30,63.0475,100.96
2024-01-31,61.7388,98.84
2024-02-01,62.535,100.085
2024-02-02,63.145,101.12
2024-02-05,63.175,101.35
2024-02-06,63.0675,100.885
2024-02-07,63.8825,102.22
