date,VDC,XLP
2021-08-30,187.2,72.1
2021-08-31,187.61,72.26
2021-09-01,188.45,72.64
2021-09-02,189.21,72.92
2021-09-03,188.96,72.83
2021-09-07,186.95,71.99
2021-09-08,188.38,72.61
2021-09-09,187.09,72.19
2021-09-10,186.25,71.88
2021-09-13,186.61,72.06
2021-09-14,185.48,71.73
2021-09-15,186.44,71.99
2021-09-16,185.98,71.75
2021-09-17,185.21,71.36
2021-09-20,183.09,70.21
2021-09-21,182.85,70.13
2021-09-22,183.53,70.33
2021-09-23,184.14,70.59
2021-09-24,184.42,70.62
2021-09-27,183.77,70.3
2021-09-28,181.65,69.47
2021-09-29,182.44,70.1
2021-09-30,179.22,68.84
2021-10-01,179.69,69.02
2021-10-04,179.09,68.8
2021-10-05,180.06,69.15
2021-10-06,181.63,69.82
2021-10-07,182.4,70.13
2021-10-08,182.12,70.05
2021-10-11,181.84,70.03
2021-10-12,181.99,70.06
2021-10-13,182.31,70.19
2021-10-14,184.29,70.98
2021-10-15,183.81,70.81
2021-10-18,183.08,70.39
2021-10-19,183.24,70.42
2021-10-20,184.3,70.83
2021-10-21,184.1,70.74
2021-10-22,185.46,71.29
2021-10-25,185.67,71.24
2021-10-26,185.86,71.49
2021-10-27,184.62,71.07
2021-10-28,185.73,71.32
2021-10-29,185.68,71.25
2021-11-01,186.17,71.36
2021-11-02,187.26,71.84
2021-11-03,189.13,72.51
2021-11-04,189.53,72.58
2021-11-05,190.6,73.0
2021-11-08,189.17,72.42
2021-11-09,189.52,72.67
2021-11-10,189.98,72.89
2021-11-11,189.92,72.84
2021-11-12,189.91,72.84
2021-11-15,190.92,73.19
2021-11-16,189.9,72.73
2021-11-17,189.45,72.57
2021-11-18,188.78,72.31
2021-11-19,187.9,72.05
2021-11-22,189.7,72.62
2021-11-23,190.77,73.1
2021-11-24,190.17,72.88
2021-11-26,187.26,71.96
2021-11-29,187.98,72.14
2021-11-30,183.02,70.29
2021-12-01,181.82,69.95
2021-12-02,184.03,70.69
2021-12-03,185.83,71.57
2021-12-06,189.04,72.83
2021-12-07,189.65,72.99
2021-12-08,189.07,72.76
2021-12-09,189.14,72.96
2021-12-10,192.22,74.19
2021-12-13,194.38,75.16
2021-12-14,194.34,75.21
2021-12-15,196.42,75.97
2021-12-16,195.98,76.51
2021-12-17,193.37,75.2
2021-12-20,193.33,74.71
2021-12-21,193.54,74.61
2021-12-22,194.53,75.08
2021-12-23,195.05,75.25
2021-12-27,197.03,76.05
2021-12-28,198.12,76.48
2021-12-29,198.7,76.83
2021-12-30,198.6,76.59
2021-12-31,199.88,77.11
2022-01-03,199.93,77.1
2022-01-04,200.92,77.62
2022-01-05,200.57,77.55
2022-01-06,200.08,77.34
2022-01-07,200.59,77.42
2022-01-10,199.08,76.81
2022-01-11,199.12,76.72
2022-01-12,198.91,76.75
