date,VNQ,XLRE
2021-08-30,108.07,47.4
2021-08-31,108.58,47.68
2021-09-01,110.32,48.5
2021-09-02,110.9,48.73
2021-09-03,110.92,48.73
2021-09-07,109.67,48.19
2021-09-08,110.22,48.48
2021-09-09,107.98,47.45
2021-09-10,106.4,46.85
2021-09-13,107.12,47.11
2021-09-14,106.93,47.01
2021-09-15,107.27,47.19
2021-09-16,107.36,47.28
2021-09-17,106.4,46.85
2021-09-20,105.75,46.27
2021-09-21,105.8,46.28
2021-09-22,106.83,46.67
2021-09-23,106.62,46.44
2021-09-24,104.83,45.91
2021-09-27,103.42,45.15
2021-09-28,102.72,44.88
2021-09-29,103.49,45.17
2021-09-30,101.78,44.45
2021-10-01,103.22,44.93
2021-10-04,103.24,44.98
2021-10-05,102.53,44.63
2021-10-06,103.51,45.06
2021-10-07,103.79,45.11
2021-10-08,102.81,44.62
2021-10-11,103.07,44.68
2021-10-12,104.42,45.28
2021-10-13,105.18,45.54
2021-10-14,106.46,46.18
2021-10-15,106.38,46.2
2021-10-18,106.65,46.28
2021-10-19,106.7,46.49
2021-10-20,108.38,47.2
2021-10-21,108.53,47.35
2021-10-22,109.04,47.69
2021-10-25,109.39,47.83
2021-10-26,109.69,48.05
2021-10-27,108.76,47.7
2021-10-28,110.28,48.4
2021-10-29,109.04,47.82
2021-11-01,109.58,47.93
2021-11-02,110.1,48.38
2021-11-03,110.47,48.66
2021-11-04,109.42,48.11
2021-11-05,109.98,48.22
2021-11-08,109.89,48.21
2021-11-09,110.08,48.39
2021-11-10,109.57,48.15
2021-11-11,109.75,48.17
2021-11-12,109.67,48.19
2021-11-15,110.44,48.46
2021-11-16,109.71,48.16
2021-11-17,110.05,48.48
2021-11-18,110.07,48.47
2021-11-19,109.42,48.21
2021-11-22,108.88,47.97
2021-11-23,109.76,48.48
2021-11-24,111.09,49.13
2021-11-26,108.0,47.8
2021-11-29,108.8,48.4
2021-11-30,106.74,47.39
2021-12-01,104.98,46.77
2021-12-02,108.13,48.05
2021-12-03,107.77,47.81
2021-12-06,109.66,48.5
2021-12-07,111.24,49.36
2021-12-08,112.04,49.57
2021-12-09,110.42,48.94
2021-12-10,110.76,49.19
2021-12-13,111.8,49.85
2021-12-14,110.37,49.3
2021-12-15,111.92,50.03
2021-12-16,111.88,50.22
2021-12-17,111.74,50.05
2021-12-20,110.87,49.3
2021-12-21,112.12,49.58
2021-12-22,113.27,50.07
2021-12-23,113.15,49.92
2021-12-27,114.0,50.94
2021-12-28,114.42,51.16
