date,FUTY,IDU,VPU,XLU
2021-08-30,44.24,84.56,149.57,34.31
2021-08-31,44.21,84.47,149.54,34.27
2021-09-01,44.78,85.61,151.37,34.72
2021-09-02,45.14,86.24,152.64,35.035
2021-09-03,44.73,85.54,151.44,34.745
2021-09-07,44.16,84.41,149.51,34.285
2021-09-08,44.95,85.94,151.98,34.9
2021-09-09,44.69,85.46,151.17,34.71
2021-09-10,44.04,84.22,148.93,34.225
2021-09-13,43.98,84.16,148.72,34.165
2021-09-14,43.81,83.77,148.08,34.05
2021-09-15,43.76,83.64,147.99,34.005
2021-09-16,43.34,83.02,146.61,33.72
2021-09-17,42.44,81.77,144.62,33.2
2021-09-20,42.28,81.58,144.18,32.89
2021-09-21,42.21,81.41,143.79,32.8
2021-09-22,42.17,81.39,143.76,32.78
2021-09-23,42.04,81.11,143.27,32.605
2021-09-24,41.98,80.52,143.0,32.57
2021-09-27,41.51,79.65,141.48,32.185
2021-09-28,40.99,78.65,139.75,31.78
2021-09-29,41.54,79.55,140.35,32.195
2021-09-30,41.16,78.94,139.14,31.94
2021-10-01,41.19,79.02,139.21,31.94
2021-10-04,41.8,79.85,141.17,32.38
2021-10-05,41.75,79.77,140.99,32.3
2021-10-06,42.34,80.94,143.08,32.8
2021-10-07,42.18,80.73,142.53,32.625
2021-10-08,41.89,80.33,141.52,32.385
2021-10-11,41.3,79.32,139.68,31.945
2021-10-12,41.6,79.89,140.62,32.16
2021-10-13,42.11,80.8,142.31,32.535
2021-10-14,42.62,81.82,143.94,32.935
2021-10-15,42.54,81.61,143.66,32.84
2021-10-18,42.12,80.89,142.33,32.525
2021-10-19,42.61,81.88,143.94,32.935
2021-10-20,43.26,83.09,146.1,33.455
2021-10-21,43.24,83.18,146.03,33.455
2021-10-22,43.42,83.68,146.87,33.625
2021-10-25,43.33,83.21,146.33,33.48
2021-10-26,43.52,83.49,146.95,33.66
2021-10-27,43.21,82.93,146.09,33.435
2021-10-28,43.5,83.5,147.04,33.655
2021-10-29,43.29,83.25,146.26,33.455
2021-11-01,43.51,83.5,146.91,33.575
2021-11-02,43.48,83.56,146.95,33.605
2021-11-03,43.4,83.23,146.63,33.48
2021-11-04,43.17,82.86,145.8,33.295
2021-11-05,43.56,83.5,147.03,33.61
2021-11-08,42.96,82.45,145.08,33.11
2021-11-09,43.17,82.83,145.83,33.28
2021-11-10,43.48,83.54,146.97,33.55
2021-11-11,43.28,83.11,146.28,33.345
2021-11-12,43.24,83.15,146.16,33.325
2021-11-15,43.8,84.07,147.93,33.765
2021-11-16,43.55,83.77,147.29,33.605
2021-11-17,43.6,83.94,147.43,33.635
2021-11-18,43.39,83.39,146.59,33.46
2021-11-19,43.64,83.81,147.51,33.65
2021-11-22,43.93,84.25,148.4,33.855
2021-11-23,43.99,84.36,148.6,33.89
2021-11-24,43.96,84.4,148.66,33.91
2021-11-26,43.27,83.11,146.18,33.38
2021-11-29,43.85,84.32,148.2,33.875
2021-11-30,42.56,81.72,143.93,32.885
2021-12-01,42.65,81.79,144.1,32.945
2021-12-02,43.25,82.97,146.11,33.365
2021-12-03,43.58,83.49,147.24,33.7
2021-12-06,44.32,84.79,149.82,34.215
2021-12-07,44.63,85.42,150.73,34.47
2021-12-08,44.64,85.4,150.75,34.435
2021-12-09,44.52,85.16,150.42,34.39
2021-12-10,44.74,85.58,151.06,34.575
2021-12-13,45.25,85.95,152.73,35.0
2021-12-14,44.98,85.31,151.88,34.79
2021-12-15,45.68,86.67,154.33,35.36
2021-12-16,45.88,87.12,153.91,35.54
2021-12-17,44.98,85.81,151.84,35.005
2021-12-20,44.93,85.69,151.95,34.765
2021-12-21,44.94,85.73,151.77,34.715
2021-12-22,45.15,86.11,152.39,34.865
2021-12-23,45.12,86.16,152.38,34.86
2021-12-27,45.35,86.58,153.03,35.03
2021-12-28,45.72,87.31,154.34,35.345
2021-12-29,45.97,87.83,155.16,35.535
2021-12-30,46.16,88.04,155.79,35.665
2021-12-31,46.32,88.43,156.4,35.79
2022-01-03,45.9,87.48,155.01,35.435
2022-01-04,45.77,87.4,154.73,35.325
2022-01-05,45.65,87.02,154.33,35.305
2022-01-06,45.22,86.25,152.78,34.94
2022-01-07,45.58,86.86,153.91,35.205
2022-01-10,45.25,86.27,152.87,34.975
2022-01-11,44.88,85.57,151.54,34.66
2022-01-12,45.05,85.89,151.96,34.77
2022-01-13,45.18,86.12,152.6,34.94
2022-01-14,44.98,85.68,151.85,34.7
2022-01-18,44.4,84.57,150.05,34.285
2022-01-19,44.59,84.86,150.55,34.44
2022-01-20,44.56,84.79,150.54,34.485
2022-01-21,44.48,84.56,150.09,34.42
2022-01-24,44.03,83.78,149.02,34.09
2022-01-25,43.46,82.6,146.67,33.555
2022-01-26,43.15,81.92,145.7,33.28
2022-01-27,43.4,82.37,146.62,33.575
2022-01-28,43.97,83.48,148.39,33.98
2022-01-31,44.78,85.01,151.15,34.625
2022-02-01,44.19,83.98,149.12,34.165
2022-02-02,44.75,85.05,151.33,34.67
2022-02-03,44.57,84.41,150.37,34.515
2022-02-04,44.19,83.87,149.1,34.24
2022-02-07,44.1,83.68,148.91,34.19
2022-02-08,44.15,83.81,149.19,34.215
2022-02-09,44.36,84.23,149.76,34.365
2022-02-10,43.23,82.12,145.91,33.495
2022-02-11,43.22,82.0,145.88,33.515
2022-02-14,42.89,81.33,144.75,33.23
2022-02-15,42.68,81.0,144.14,33.075
2022-02-16,42.78,81.22,144.52,33.15
2022-02-17,42.86,81.21,144.63,33.17
