date,VPU,XLU
2021-08-30,149.57,34.31
2021-08-31,149.54,34.27
2021-09-01,151.37,34.72
2021-09-02,152.64,35.035
2021-09-03,151.44,34.745
2021-09-07,149.51,34.285
2021-09-08,151.98,34.9
2021-09-09,151.17,34.71
2021-09-10,148.93,34.225
2021-09-13,148.72,34.165
2021-09-14,148.08,34.05
2021-09-15,147.99,34.005
2021-09-16,146.61,33.72
2021-09-17,144.62,33.2
2021-09-20,144.18,32.89
2021-09-21,143.79,32.8
2021-09-22,143.76,32.78
2021-09-23,143.27,32.605
2021-09-24,143.0,32.57
2021-09-27,141.48,32.185
2021-09-28,139.75,31.78
2021-09-29,140.35,32.195
2021-09-30,139.14,31.94
2021-10-01,139.21,31.94
2021-10-04,141.17,32.38
2021-10-05,140.99,32.3
2021-10-06,143.08,32.8
2021-10-07,142.53,32.625
2021-10-08,141.52,32.385
2021-10-11,139.68,31.945
2021-10-12,140.62,32.16
2021-10-13,142.31,32.535
2021-10-14,143.94,32.935
2021-10-15,143.66,32.84
2021-10-18,142.33,32.525
2021-10-19,143.94,32.935
2021-10-20,146.1,33.455
2021-10-21,146.03,33.455
2021-10-22,146.87,33.625
2021-10-25,146.33,33.48
2021-10-26,146.95,33.66
2021-10-27,146.09,33.435
2021-10-28,147.04,33.655
2021-10-29,146.26,33.455
2021-11-01,146.91,33.575
2021-11-02,146.95,33.605
2021-11-03,146.63,33.48
2021-11-04,145.8,33.295
2021-11-05,147.03,33.61
2021-11-08,145.08,33.11
2021-11-09,145.83,33.28
2021-11-10,146.97,33.55
2021-11-11,146.28,33.345
2021-11-12,146.16,33.325
2021-11-15,147.93,33.765
2021-11-16,147.29,33.605
2021-11-17,147.43,33.635
2021-11-18,146.59,33.46
2021-11-19,147.51,33.65
2021-11-22,148.4,33.855
2021-11-23,148.6,33.89
2021-11-24,148.66,33.91
2021-11-26,146.18,33.38
2021-11-29,148.2,33.875
2021-11-30,143.93,32.885
2021-12-01,144.1,32.945
2021-12-02,146.11,33.365
2021-12-03,147.24,33.7
2021-12-06,149.82,34.215
2021-12-07,150.73,34.47
2021-12-08,150.75,34.435
2021-12-09,150.42,34.39
2021-12-10,151.06,34.575
2021-12-13,152.73,35.0
2021-12-14,151.88,34.79
2021-12-15,154.33,35.36
2021-12-16,153.91,35.54
2021-12-17,151.84,35.005
2021-12-20,151.95,34.765
2021-12-21,151.77,34.715
2021-12-22,152.39,34.865
2021-12-23,152.38,34.86
2021-12-27,153.03,35.03
2021-12-28,154.34,35.345
2021-12-29,155.16,35.535
2021-12-30,155.79,35.665
2021-12-31,156.4,35.79
2022-01-03,155.01,35.435
2022-01-04,154.73,35.325
2022-01-05,154.33,35.305
2022-01-06,152.78,34.94
2022-01-07,153.91,35.205
2022-01-10,152.87,34.975
2022-01-11,151.54,34.66
2022-01-12,151.96,34.77
2022-01-13,152.6,34.94
2022-01-14,151.85,34.7
2022-01-18,150.05,34.285
2022-01-19,150.55,34.44
2022-01-20,150.54,34.485
2022-01-21,150.09,34.42
2022-01-24,149.02,34.09
2022-01-25,146.67,33.555
2022-01-26,145.7,33.28
2022-01-27,146.62,33.575
2022-01-28,148.39,33.98
2022-01-31,151.15,34.625
2022-02-01,149.12,34.165
2022-02-02,151.33,34.67
2022-02-03,150.37,34.515
2022-02-04,149.1,34.24
2022-02-07,148.91,34.19
2022-02-08,149.19,34.215
2022-02-09,149.76,34.365
2022-02-10,145.91,33.495
2022-02-11,145.88,33.515
2022-02-14,144.75,33.23
2022-02-15,144.14,33.075
2022-02-16,144.52,33.15
2022-02-17,144.63,33.17
2022-02-18,144.22,33.11
2022-02-22,144.06,33.075
2022-02-23,141.64,32.515
2022-02-24,143.14,32.775
2022-02-25,147.39,33.79
2022-02-28,148.33,33.965
2022-03-01,146.84,33.67
2022-03-02,148.8,34.08
2022-03-03,151.28,34.68
2022-03-04,154.42,35.445
2022-03-07,156.0,35.905
2022-03-08,153.93,35.35
2022-03-09,152.91,35.1
2022-03-10,153.92,35.335
2022-03-11,153.37,35.215
2022-03-14,153.21,35.175
2022-03-15,155.06,35.625
2022-03-16,155.0,35.56
2022-03-17,155.53,35.71
2022-03-18,154.19,35.405
2022-03-21,155.21,35.405
2022-03-22,155.31,35.455
2022-03-23,155.37,35.505
2022-03-24,155.94,35.87
2022-03-25,158.27,36.39
2022-03-28,159.25,36.625
2022-03-29,160.79,36.965
2022-03-30,162.04,37.27
2022-03-31,161.81,37.23
2022-04-01,164.12,37.75
2022-04-04,162.75,37.46
2022-04-05,163.68,37.695
2022-04-06,166.71,38.445
2022-04-07,166.36,38.35
2022-04-08,166.95,38.48
2022-04-11,164.57,37.955
2022-04-12,165.26,38.1
2022-04-13,165.03,38.025
2022-04-14,164.85,38.045
2022-04-18,164.0,37.84
2022-04-19,165.07,38.085
2022-04-20,166.55,38.395
2022-04-21,163.99,37.76
2022-04-22,161.29,37.125
2022-04-25,159.95,36.87
2022-04-26,158.45,36.5
2022-04-27,157.59,36.325
2022-04-28,159.44,36.73
2022-04-29,154.73,35.63
2022-05-02,153.11,35.265
2022-05-03,153.84,35.4
2022-05-04,157.42,36.19
2022-05-05,155.68,35.82
2022-05-06,156.84,36.105
2022-05-09,155.54,35.835
2022-05-10,153.58,35.4
2022-05-11,154.7,35.655
2022-05-12,153.44,35.295
2022-05-13,155.08,35.715
2022-05-16,155.7,35.825
2022-05-17,157.44,36.195
2022-05-18,155.99,35.845
2022-05-19,155.85,35.77
2022-05-20,156.1,35.87
2022-05-23,157.92,36.3
2022-05-24,160.78,37.025
2022-05-25,160.9,37.0
2022-05-26,161.31,37.105
2022-05-27,163.8,37.685
2022-05-31,161.71,37.165
2022-06-01,161.39,37.105
2022-06-02,162.54,37.355
2022-06-03,161.8,37.175
2022-06-06,162.66,37.34
2022-06-07,163.63,37.565
2022-06-08,160.58,36.83
2022-06-09,156.82,35.945
2022-06-10,155.61,35.67
2022-06-13,148.31,34.03
2022-06-14,144.53,33.17
2022-06-15,145.54,33.385
2022-06-16,142.64,32.74
2022-06-17,141.44,32.435
2022-06-21,143.95,32.79
2022-06-22,145.44,33.135
2022-06-23,147.54,33.915
2022-06-24,150.1,34.505
2022-06-27,151.48,34.785
2022-06-28,150.94,34.655
2022-06-29,150.81,34.68
2022-06-30,152.35,35.065
2022-07-01,156.22,35.925
2022-07-05,150.81,34.7
2022-07-06,152.34,35.06
2022-07-07,152.29,35.025
2022-07-08,151.83,34.91
2022-07-11,152.59,35.13
2022-07-12,151.84,34.96
2022-07-13,151.35,34.815
2022-07-14,151.24,34.815
2022-07-15,151.85,34.88
2022-07-18,149.9,34.395
2022-07-19,151.01,34.615
2022-07-20,149.05,34.155
2022-07-21,149.3,34.245
2022-07-22,151.21,34.715
2022-07-25,153.24,35.15
2022-07-26,154.08,35.36
2022-07-27,154.36,35.39
2022-07-28,159.69,36.66
2022-07-29,161.05,36.975
2022-08-01,161.13,37.015
2022-08-02,160.83,36.94
2022-08-03,161.78,37.17
2022-08-04,162.02,37.25
2022-08-05,161.26,37.115
2022-08-08,161.66,37.17
2022-08-09,163.35,37.585
2022-08-10,164.16,37.75
2022-08-11,164.15,37.745
2022-08-12,166.83,38.36
2022-08-15,168.36,38.68
2022-08-16,168.64,38.79
2022-08-17,168.45,38.725
2022-08-18,168.99,38.87
2022-08-19,168.77,38.85
2022-08-22,166.46,38.32
2022-08-23,165.37,38.09
2022-08-24,165.96,38.21
2022-08-25,167.11,38.445
2022-08-26,164.57,37.855
2022-08-29,164.99,37.97
2022-08-30,162.43,37.415
2022-08-31,161.51,37.17
2022-09-01,163.67,37.705
2022-09-02,162.09,37.3
2022-09-06,162.25,37.395
2022-09-07,167.21,38.565
2022-09-08,167.09,38.535
2022-09-09,167.72,38.69
2022-09-12,169.41,39.06
2022-09-13,164.83,38.02
2022-09-14,166.3,38.33
2022-09-15,162.37,37.375
2022-09-16,161.81,37.235
2022-09-19,163.95,37.48
2022-09-20,161.63,36.935
2022-09-21,159.38,36.43
2022-09-22,158.91,36.3
2022-09-23,156.79,35.88
2022-09-26,153.23,35.015
2022-09-27,150.39,34.425
2022-09-28,150.85,34.795
2022-09-29,144.98,33.4
2022-09-30,142.26,32.755
2022-10-03,146.45,33.715
2022-10-04,149.6,34.43
2022-10-05,146.29,33.665
2022-10-06,141.62,32.555
2022-10-07,138.6,31.88
2022-10-10,138.86,31.935
2022-10-11,138.7,31.82
2022-10-12,134.2,30.76
2022-10-13,137.49,31.53
2022-10-14,135.6,31.075
2022-10-17,138.44,31.725
2022-10-18,140.88,32.305
2022-10-19,139.1,31.885
2022-10-20,135.65,31.08
2022-10-21,138.09,31.655
2022-10-24,139.14,31.92
2022-10-25,142.0,32.56
2022-10-26,142.05,32.545
2022-10-27,143.24,32.805
2022-10-28,147.02,33.705
2022-10-31,145.74,33.39
2022-11-01,146.28,33.52
2022-11-02,144.79,33.195
2022-11-03,145.35,33.34
2022-11-04,146.23,33.545
2022-11-07,143.66,32.905
2022-11-08,144.68,33.135
2022-11-09,143.55,32.875
2022-11-10,150.3,34.425
2022-11-11,148.73,34.04
2022-11-14,147.02,33.635
2022-11-15,148.59,34.005
2022-11-16,149.82,34.31
2022-11-17,147.25,33.71
2022-11-18,150.35,34.425
2022-11-21,151.19,34.58
2022-11-22,152.5,34.875
2022-11-23,154.09,35.265
2022-11-25,155.1,35.47
2022-11-28,153.35,35.105
2022-11-29,152.23,34.845
2022-11-30,156.0,35.715
2022-12-01,155.57,35.685
2022-12-02,154.89,35.515
2022-12-05,153.88,35.315
2022-12-06,154.81,35.535
