date,VHT,XLV
2021-08-30,262.47,135.39
2021-08-31,262.49,135.21
2021-09-01,263.04,135.25
2021-09-02,265.84,136.7
2021-09-03,265.84,136.85
2021-09-07,264.3,136.05
2021-09-08,263.78,135.99
2021-09-09,261.32,134.42
2021-09-10,258.98,133.19
2021-09-13,257.04,132.37
2021-09-14,256.58,132.35
2021-09-15,258.42,133.21
2021-09-16,257.91,132.87
2021-09-17,258.79,133.0
2021-09-20,255.61,131.15
2021-09-21,256.19,131.35
2021-09-22,256.8,131.57
2021-09-23,258.85,132.52
2021-09-24,257.37,131.98
2021-09-27,254.29,130.1
2021-09-28,249.22,127.87
2021-09-29,249.71,128.88
2021-09-30,247.16,127.3
2021-10-01,247.69,127.33
2021-10-04,243.83,125.39
2021-10-05,244.94,126.14
2021-10-06,244.57,125.91
2021-10-07,247.53,127.58
2021-10-08,246.13,126.94
2021-10-11,244.41,125.95
2021-10-12,243.71,125.34
2021-10-13,243.96,125.54
2021-10-14,247.5,127.34
2021-10-15,248.44,127.97
2021-10-18,246.5,127.1
2021-10-19,249.68,128.77
2021-10-20,252.77,130.61
2021-10-21,254.17,131.14
2021-10-22,254.69,131.67
2021-10-25,254.95,131.83
2021-10-26,256.18,132.48
2021-10-27,253.75,131.43
2021-10-28,256.4,132.53
2021-10-29,258.45,133.82
2021-11-01,258.91,133.66
2021-11-02,260.48,134.5
2021-11-03,262.42,135.29
2021-11-04,260.86,134.36
2021-11-05,258.49,132.86
2021-11-08,259.72,133.65
2021-11-09,258.37,133.16
2021-11-10,258.13,133.54
2021-11-11,257.59,133.15
2021-11-12,258.54,133.81
2021-11-15,256.89,132.98
2021-11-16,258.0,133.54
2021-11-17,257.96,133.73
2021-11-18,257.35,133.78
2021-11-19,255.76,132.97
2021-11-22,254.31,132.37
2021-11-23,254.12,132.51
2021-11-24,254.31,132.46
2021-11-26,252.66,131.97
2021-11-29,252.65,132.33
2021-11-30,248.18,129.73
2021-12-01,246.92,129.5
2021-12-02,248.11,130.13
2021-12-03,247.32,130.37
2021-12-06,248.82,131.11
2021-12-07,253.04,132.8
2021-12-08,255.17,133.8
2021-12-09,254.27,134.11
2021-12-10,254.62,134.58
2021-12-13,256.89,135.85
2021-12-14,255.65,135.3
2021-12-15,261.34,138.07
2021-12-16,260.57,138.89
2021-12-17,260.64,137.92
2021-12-20,259.03,136.56
2021-12-21,260.82,137.13
2021-12-22,263.62,138.73
2021-12-23,264.82,139.3
2021-12-27,266.68,140.77
2021-12-28,265.61,140.4
2021-12-29,266.61,141.2
2021-12-30,267.51,141.49
2021-12-31,266.42,140.89
2022-01-03,264.71,139.44
2022-01-04,260.46,137.6
2022-01-05,257.28,136.62
2022-01-06,254.04,135.04
2022-01-07,252.48,134.35
2022-01-10,255.19,135.73
2022-01-11,257.29,136.81
2022-01-12,255.83,136.42
2022-01-13,251.4,134.3
2022-01-14,251.22,134.07
2022-01-18,246.47,132.19
2022-01-19,245.42,131.65
2022-01-20,243.97,130.79
2022-01-21,241.39,129.47
2022-01-24,241.11,129.04
2022-01-25,238.85,128.21
2022-01-26,237.56,127.54
2022-01-27,236.85,127.87
2022-01-28,242.28,130.48
2022-01-31,245.34,131.23
2022-02-01,246.28,131.58
2022-02-02,248.57,133.35
2022-02-03,246.89,132.78
2022-02-04,246.44,132.3
2022-02-07,246.28,132.07
2022-02-08,248.31,133.15
2022-02-09,251.3,134.18
2022-02-10,247.37,132.08
2022-02-11,243.78,130.25
2022-02-14,241.33,128.92
2022-02-15,244.65,130.37
2022-02-16,244.52,130.57
2022-02-17,239.95,128.47
2022-02-18,238.05,127.51
2022-02-22,237.11,127.19
2022-02-23,235.27,126.55
2022-02-24,237.55,127.06
2022-02-25,244.47,130.95
2022-02-28,242.94,129.96
2022-03-01,241.63,129.24
2022-03-02,245.32,131.19
2022-03-03,245.63,131.86
2022-03-04,246.05,132.52
2022-03-07,241.88,130.21
2022-03-08,237.22,127.55
2022-03-09,242.19,129.96
2022-03-10,241.97,129.91
2022-03-11,239.18,128.94
2022-03-14,239.67,129.85
2022-03-15,244.36,132.44
2022-03-16,248.34,134.03
2022-03-17,253.0,136.15
2022-03-18,254.92,136.99
2022-03-21,254.28,136.46
2022-03-22,254.79,136.49
2022-03-23,249.71,134.04
2022-03-24,252.37,135.64
2022-03-25,252.94,136.27
2022-03-28,254.89,137.26
2022-03-29,257.09,138.07
2022-03-30,257.2,138.34
2022-03-31,254.38,136.99
2022-04-01,257.64,138.07
2022-04-04,255.98,136.92
2022-04-05,255.8,137.21
2022-04-06,259.08,139.3
2022-04-07,263.49,141.98
2022-04-08,264.47,142.83
2022-04-11,258.96,139.99
2022-04-12,256.78,138.63
2022-04-13,258.66,139.31
2022-04-14,257.11,138.64
2022-04-18,253.58,137.11
2022-04-19,256.27,138.42
2022-04-20,259.35,140.28
2022-04-21,255.86,138.73
2022-04-22,246.8,133.67
2022-04-25,248.58,134.57
2022-04-26,243.21,132.2
2022-04-27,242.75,131.91
2022-04-28,245.45,133.73
2022-04-29,239.48,130.29
2022-05-02,238.77,129.48
2022-05-03,239.38,129.89
2022-05-04,244.54,132.77
2022-05-05,239.0,130.19
2022-05-06,237.34,129.78
2022-05-09,230.04,126.42
2022-05-10,231.58,126.87
2022-05-11,229.09,126.03
2022-05-12,231.56,127.25
2022-05-13,235.08,128.6
2022-05-16,236.56,129.55
2022-05-17,240.45,131.33
2022-05-18,233.9,127.94
2022-05-19,234.64,128.22
2022-05-20,237.47,129.78
2022-05-23,239.34,130.92
2022-05-24,239.32,131.31
2022-05-25,239.54,131.27
2022-05-26,240.88,131.83
2022-05-27,245.29,134.02
2022-05-31,241.78,132.23
2022-06-01,238.0,130.33
2022-06-02,240.75,131.36
2022-06-03,238.27,129.82
2022-06-06,237.97,129.84
2022-06-07,241.32,131.53
2022-06-08,239.62,130.49
2022-06-09,233.95,127.54
2022-06-10,229.93,125.49
2022-06-13,222.58,121.69
2022-06-14,220.69,120.53
2022-06-15,223.15,121.75
2022-06-16,219.51,119.96
2022-06-17,220.21,119.89
2022-06-21,225.91,122.6
2022-06-22,229.21,124.3
2022-06-23,234.21,127.09
2022-06-24,238.19,129.2
2022-06-27,238.95,129.68
2022-06-28,234.64,127.42
2022-06-29,236.47,128.53
2022-06-30,235.5,128.24
2022-07-01,238.5,129.68
2022-07-05,238.15,128.93
2022-07-06,239.42,129.8
2022-07-07,241.21,130.35
2022-07-08,242.0,130.74
2022-07-11,240.54,130.41
2022-07-12,237.65,128.75
2022-07-13,235.82,127.5
2022-07-14,234.92,127.13
2022-07-15,240.3,130.2
2022-07-18,235.27,127.45
2022-07-19,239.6,129.62
2022-07-20,238.06,128.34
2022-07-21,241.62,130.37
2022-07-22,240.15,129.83
2022-07-25,241.26,130.51
2022-07-26,242.33,131.18
2022-07-27,244.39,132.0
2022-07-28,245.69,132.84
2022-07-29,244.79,132.4
2022-08-01,242.82,131.42
2022-08-02,242.63,130.95
2022-08-03,245.06,132.15
2022-08-04,244.51,131.5
2022-08-05,244.84,131.45
2022-08-08,245.92,131.76
2022-08-09,244.42,131.36
2022-08-10,247.63,132.79
2022-08-11,245.91,131.93
2022-08-12,249.05,133.62
2022-08-15,250.44,134.29
2022-08-16,249.22,133.93
2022-08-17,247.28,133.15
2022-08-18,246.19,132.56
2022-08-19,246.26,132.92
2022-08-22,242.96,131.18
2022-08-23,240.09,129.35
2022-08-24,240.91,129.51
2022-08-25,243.63,130.94
2022-08-26,236.39,127.29
2022-08-29,234.6,126.4
2022-08-30,232.75,125.56
2022-08-31,231.56,124.76
2022-09-01,234.79,126.81
2022-09-02,231.43,124.99
2022-09-06,231.25,125.11
2022-09-07,235.49,127.15
2022-09-08,239.96,129.36
2022-09-09,242.19,130.5
2022-09-12,243.71,131.37
2022-09-13,235.62,127.03
2022-09-14,235.86,127.1
2022-09-15,236.93,127.81
2022-09-16,235.8,127.45
2022-09-19,234.39,126.26
2022-09-20,231.87,124.78
2022-09-21,227.72,122.71
2022-09-22,227.9,123.36
2022-09-23,226.71,122.73
2022-09-26,224.34,121.56
2022-09-27,224.15,121.19
2022-09-28,228.55,123.84
2022-09-29,226.34,122.8
2022-09-30,223.7,121.11
2022-10-03,227.88,123.6
2022-10-04,233.53,126.47
2022-10-05,234.03,126.89
2022-10-06,231.32,125.27
2022-10-07,226.04,122.62
2022-10-10,224.15,121.85
2022-10-11,225.39,122.5
2022-10-12,224.2,121.9
2022-10-13,229.33,124.74
2022-10-14,227.02,123.9
2022-10-17,231.32,125.89
2022-10-18,232.61,126.59
2022-10-19,228.84,124.82
2022-10-20,226.91,123.76
2022-10-21,231.81,126.54
2022-10-24,235.56,128.98
2022-10-25,238.03,129.96
2022-10-26,240.88,131.4
2022-10-27,239.31,130.71
2022-10-28,243.25,132.86
2022-10-31,243.03,132.75
2022-11-01,243.22,132.83
2022-11-02,239.1,130.57
2022-11-03,238.09,130.02
2022-11-04,239.09,130.81
2022-11-07,241.4,132.21
2022-11-08,242.29,132.87
2022-11-09,239.48,131.44
2022-11-10,246.53,134.78
2022-11-11,244.4,133.13
2022-11-14,244.06,133.25
2022-11-15,244.25,133.08
2022-11-16,243.45,133.02
2022-11-17,242.98,132.96
2022-11-18,245.84,134.57
2022-11-21,245.74,134.63
2022-11-22,247.92,135.8
2022-11-23,249.0,136.34
2022-11-25,250.47,137.15
2022-11-28,248.35,136.12
2022-11-29,247.76,135.78
2022-11-30,254.35,139.02
2022-12-01,255.24,139.42
2022-12-02,255.96,139.78
2022-12-05,252.99,138.44
2022-12-06,250.54,137.39
2022-12-07,252.4,138.52
2022-12-08,254.91,139.77
2022-12-09,251.35,137.98
2022-12-12,254.22,139.45
2022-12-13,255.39,139.88
2022-12-14,255.81,140.1
2022-12-15,249.87,137.53
2022-12-16,246.62,135.53
2022-12-19,245.44,134.47
2022-12-20,245.74,134.44
2022-12-21,248.89,136.21
2022-12-22,248.65,136.02
2022-12-23,248.36,136.1
2022-12-27,247.16,135.75
2022-12-28,245.8,134.87
2022-12-29,248.82,136.34
2022-12-30,248.05,135.85
2023-01-03,247.03,135.46
2023-01-04,248.11,135.82
2023-01-05,245.86,134.43
2023-01-06,247.93,135.67
2023-01-09,244.05,133.4
2023-01-10,246.5,134.52
2023-01-11,248.05,135.28
2023-01-12,247.93,134.85
2023-01-13,249.0,135.45
2023-01-17,248.02,134.82
2023-01-18,244.54,132.92
2023-01-19,244.89,133.24
2023-01-20,246.53,133.91
2023-01-23,247.52,134.37
2023-01-24,245.84,133.48
2023-01-25,246.16,133.52
2023-01-26,246.77,133.77
2023-01-27,245.26,132.86
2023-01-30,242.74,131.66
2023-01-31,246.08,133.36
2023-02-01,247.53,133.99
2023-02-02,246.72,133.08
2023-02-03,245.65,132.69
2023-02-06,243.93,131.95
2023-02-07,245.48,132.8
2023-02-08,244.3,132.41
2023-02-09,242.15,131.25
2023-02-10,244.0,132.49
2023-02-13,245.88,133.59
2023-02-14,244.68,132.8
2023-02-15,243.98,132.14
2023-02-16,241.66,130.82
2023-02-17,244.1,131.99
2023-02-21,239.97,130.28
2023-02-22,239.47,129.84
2023-02-23,240.12,130.19
2023-02-24,236.94,128.51
2023-02-27,236.39,128.12
2023-02-28,234.76,127.17
2023-03-01,234.8,126.96
2023-03-02,236.1,127.74
2023-03-03,239.12,129.17
2023-03-06,238.26,129.11
2023-03-07,234.63,127.03
2023-03-08,233.26,126.35
2023-03-09,230.54,125.07
2023-03-10,228.23,124.15
2023-03-13,230.45,125.31
2023-03-14,233.05,126.43
2023-03-15,232.46,126.32
2023-03-16,234.96,127.5
2023-03-17,231.53,125.86
2023-03-20,234.36,126.96
2023-03-21,236.01,127.73
2023-03-22,232.2,125.8
2023-03-23,231.81,125.56
2023-03-24,233.88,127.3
2023-03-27,235.09,127.82
2023-03-28,233.72,127.05
2023-03-29,234.68,127.4
2023-03-30,235.7,128.09
2023-03-31,238.46,129.46
2023-04-03,240.78,130.91
2023-04-04,240.64,130.93
2023-04-05,244.36,133.19
2023-04-06,245.09,133.52
2023-04-10,245.02,133.43
2023-04-11,245.96,133.88
2023-04-12,245.8,133.92
