date,VCR,XLY
2021-08-30,320.59,91.605
2021-08-31,320.94,91.825
2021-09-01,321.48,91.82
2021-09-02,320.66,91.815
2021-09-03,320.46,91.76
2021-09-07,320.59,92.03
2021-09-08,320.1,92.135
2021-09-09,320.21,92.015
2021-09-10,318.3,91.45
2021-09-13,318.97,91.675
2021-09-14,317.67,91.37
2021-09-15,320.05,91.96
2021-09-16,321.72,92.38
2021-09-17,320.44,92.055
2021-09-20,313.63,89.82
2021-09-21,313.78,89.955
2021-09-22,318.24,91.18
2021-09-23,321.56,92.105
2021-09-24,322.32,92.45
2021-09-27,323.69,92.945
2021-09-28,317.14,91.155
2021-09-29,315.53,91.245
2021-09-30,309.97,89.725
2021-10-01,312.33,90.4
2021-10-04,309.2,89.685
2021-10-05,310.13,90.045
2021-10-06,310.69,90.33
2021-10-07,315.35,91.735
2021-10-08,313.59,91.315
2021-10-11,311.72,90.945
2021-10-12,313.77,91.665
2021-10-13,315.39,92.115
2021-10-14,318.86,93.08
2021-10-15,323.13,94.505
2021-10-18,327.06,95.66
2021-10-19,326.07,95.39
2021-10-20,325.65,95.32
2021-10-21,330.41,96.72
2021-10-22,328.42,96.375
2021-10-25,334.4,98.765
2021-10-26,334.04,98.78
2021-10-27,333.77,99.0
2021-10-28,338.44,100.315
2021-10-29,338.81,100.575
2021-11-01,344.26,102.42
2021-11-02,342.21,101.73
2021-11-03,348.65,103.56
2021-11-04,352.75,104.955
2021-11-05,355.5,105.63
2021-11-08,351.37,104.135
2021-11-09,348.05,102.21
2021-11-10,344.86,101.83
2021-11-11,344.0,101.555
2021-11-12,345.85,101.895
2021-11-15,346.13,101.81
2021-11-16,350.85,103.415
2021-11-17,351.36,104.075
2021-11-18,355.41,105.255
2021-11-19,355.63,105.71
2021-11-22,354.13,105.445
2021-11-23,351.86,104.68
2021-11-24,351.94,104.895
2021-11-26,343.18,102.035
2021-11-29,346.67,103.62
2021-11-30,341.59,102.22
2021-12-01,334.51,100.375
2021-12-02,340.15,101.805
2021-12-03,333.2,99.825
2021-12-06,337.55,100.965
2021-12-07,345.1,103.32
2021-12-08,346.33,103.58
2021-12-09,340.14,101.785
2021-12-10,341.31,102.495
2021-12-13,333.07,99.855
2021-12-14,331.17,99.275
2021-12-15,335.12,100.535
2021-12-16,326.99,98.315
2021-12-17,326.1,97.645
2021-12-20,319.95,95.925
2021-12-21,328.79,98.41
2021-12-22,333.84,100.205
2021-12-23,338.09,101.595
2021-12-27,341.19,102.585
2021-12-28,341.3,102.63
2021-12-29,342.87,102.835
2021-12-30,341.47,102.465
2021-12-31,340.66,102.22
2022-01-03,348.23,105.155
2022-01-04,346.7,104.515
2022-01-05,336.8,101.695
2022-01-06,336.14,101.43
2022-01-07,330.6,99.74
2022-01-10,328.04,99.13
2022-01-11,332.06,100.085
2022-01-12,333.17,100.745
2022-01-13,327.16,98.72
2022-01-14,324.98,98.26
2022-01-18,318.1,96.4
2022-01-19,313.06,94.66
2022-01-20,306.7,92.935
2022-01-21,298.23,90.21
2022-01-24,303.61,91.295
2022-01-25,298.49,89.75
2022-01-26,296.09,89.315
2022-01-27,289.95,87.15
2022-01-28,296.21,89.05
2022-01-31,307.44,92.475
2022-02-01,309.84,93.035
2022-02-02,307.84,92.48
2022-02-03,298.09,89.65
2022-02-04,306.38,92.2
2022-02-07,305.99,92.01
2022-02-08,311.29,93.305
2022-02-09,315.63,94.54
2022-02-10,310.43,92.91
2022-02-11,302.05,90.24
2022-02-14,303.15,90.755
2022-02-15,309.97,92.785
2022-02-16,310.52,93.05
2022-02-17,302.12,90.56
2022-02-18,299.89,90.0
2022-02-22,290.83,87.375
2022-02-23,282.0,84.455
2022-02-24,288.84,86.385
2022-02-25,294.88,88.095
2022-02-28,296.4,88.715
2022-03-01,291.68,87.37
2022-03-02,298.2,89.205
2022-03-03,291.26,87.185
2022-03-04,286.05,85.8
2022-03-07,271.48,81.595
2022-03-08,272.62,81.765
2022-03-09,280.8,84.395
2022-03-10,283.22,84.995
2022-03-11,277.87,83.36
2022-03-14,273.48,81.97
2022-03-15,282.28,84.715
2022-03-16,292.36,87.605
2022-03-17,297.32,89.065
2022-03-18,303.45,90.94
2022-03-21,300.4,90.04
2022-03-22,307.03,92.275
2022-03-23,302.38,91.13
2022-03-24,304.19,91.84
2022-03-25,303.48,91.68
2022-03-28,310.56,94.125
2022-03-29,316.69,95.765
2022-03-30,311.22,94.31
2022-03-31,305.24,92.5
2022-04-01,305.57,92.615
2022-04-04,312.09,94.695
2022-04-05,304.97,92.475
2022-04-06,297.02,90.115
2022-04-07,298.03,90.575
2022-04-08,295.8,89.74
2022-04-11,291.31,88.075
2022-04-12,292.06,88.27
2022-04-13,299.43,90.465
2022-04-14,295.02,89.2
2022-04-18,295.53,89.47
2022-04-19,304.45,92.065
2022-04-20,300.66,90.88
2022-04-21,296.7,90.0
2022-04-22,289.31,87.91
2022-04-25,292.28,88.545
2022-04-26,278.52,84.065
2022-04-27,278.4,84.075
2022-04-28,284.71,85.8
2022-04-29,270.16,81.44
2022-05-02,274.71,82.63
2022-05-03,273.56,82.425
2022-05-04,281.35,84.845
2022-05-05,265.48,80.09
2022-05-06,261.77,79.075
2022-05-09,250.4,75.705
2022-05-10,249.56,75.48
2022-05-11,240.4,72.775
2022-05-12,243.06,73.275
2022-05-13,252.82,76.16
2022-05-16,247.66,74.515
2022-05-17,254.12,76.395
2022-05-18,237.94,71.4
2022-05-19,238.14,71.45
2022-05-20,234.41,70.205
2022-05-23,235.6,70.73
2022-05-24,228.94,68.91
2022-05-25,236.38,70.855
2022-05-26,247.65,74.33
2022-05-27,255.53,76.88
2022-05-31,256.27,77.27
2022-06-01,254.09,76.465
2022-06-02,261.95,78.805
2022-06-03,255.14,76.5
2022-06-06,257.7,77.265
2022-06-07,257.31,77.075
2022-06-08,255.53,76.62
2022-06-09,250.54,75.235
2022-06-10,240.18,72.235
2022-06-13,228.59,68.9
2022-06-14,228.22,68.845
2022-06-15,234.58,70.78
2022-06-16,222.74,67.315
2022-06-17,225.87,68.05
2022-06-21,231.44,69.835
2022-06-22,231.25,69.7
2022-06-23,234.75,70.795
2022-06-24,243.7,73.495
2022-06-27,241.0,72.725
2022-06-28,231.83,69.82
2022-06-29,231.29,69.765
2022-06-30,227.46,68.74
2022-07-01,231.64,70.005
2022-07-05,237.35,71.57
2022-07-06,236.19,71.335
2022-07-07,242.38,73.175
2022-07-08,242.04,73.185
2022-07-11,235.67,71.18
2022-07-12,234.36,70.75
2022-07-13,236.19,71.33
2022-07-14,235.34,71.27
2022-07-15,239.62,72.42
2022-07-18,240.4,72.63
2022-07-19,248.25,74.855
2022-07-20,252.75,76.085
2022-07-21,257.89,77.825
2022-07-22,255.91,77.375
2022-07-25,253.53,76.71
2022-07-26,245.16,74.24
2022-07-27,254.52,77.05
2022-07-28,258.9,78.375
2022-07-29,268.71,81.415
2022-08-01,270.28,81.82
2022-08-02,268.41,81.26
2022-08-03,275.12,83.24
2022-08-04,276.38,83.58
2022-08-05,272.45,82.155
2022-08-08,274.11,82.525
2022-08-09,269.22,81.21
2022-08-10,277.23,83.5
2022-08-11,276.25,83.075
2022-08-12,282.3,84.955
2022-08-15,284.05,85.54
2022-08-16,287.67,86.485
2022-08-17,283.86,85.555
2022-08-18,283.83,85.53
2022-08-19,277.14,83.765
2022-08-22,269.14,81.44
2022-08-23,270.02,81.67
2022-08-24,271.21,82.02
2022-08-25,274.72,83.0
2022-08-26,264.17,79.84
2022-08-29,262.67,79.415
2022-08-30,259.67,78.53
2022-08-31,257.38,77.755
2022-09-01,258.46,78.465
2022-09-02,256.15,77.745
2022-09-06,255.43,77.585
2022-09-07,263.19,79.965
2022-09-08,265.69,80.71
2022-09-09,271.28,82.24
2022-09-12,275.08,83.3
2022-09-13,260.84,79.005
2022-09-14,263.94,80.02
2022-09-15,262.46,79.61
2022-09-16,259.8,78.97
2022-09-19,263.32,79.92
2022-09-20,258.52,78.565
2022-09-21,252.77,76.705
2022-09-22,246.48,74.935
2022-09-23,241.06,73.21
2022-09-26,240.26,73.045
2022-09-27,241.25,73.275
2022-09-28,247.77,75.255
2022-09-29,239.24,72.655
2022-09-30,235.07,71.225
2022-10-03,236.28,71.295
2022-10-04,245.44,73.785
2022-10-05,244.24,73.35
2022-10-06,242.56,72.83
2022-10-07,234.51,70.325
2022-10-10,232.87,69.89
2022-10-11,231.53,69.32
2022-10-12,232.18,69.5
2022-10-13,234.46,70.26
2022-10-14,225.81,67.635
2022-10-17,234.97,70.38
2022-10-18,238.36,71.35
2022-10-19,234.77,70.55
2022-10-20,230.93,69.185
2022-10-21,237.36,71.2
2022-10-24,238.49,71.495
2022-10-25,244.77,73.285
2022-10-26,242.67,72.695
2022-10-27,241.54,72.415
2022-10-28,242.08,72.48
2022-10-31,240.68,72.015
2022-11-01,238.33,71.285
2022-11-02,229.15,68.59
2022-11-03,227.78,68.18
2022-11-04,230.09,68.75
2022-11-07,229.18,68.27
2022-11-08,229.04,68.1
2022-11-09,222.06,66.02
2022-11-10,238.83,70.845
2022-11-11,244.83,72.545
2022-11-14,240.76,71.395
2022-11-15,244.33,72.37
2022-11-16,240.34,71.265
2022-11-17,237.6,70.4
2022-11-18,238.0,70.495
2022-11-21,234.79,69.475
2022-11-22,238.01,70.26
2022-11-23,240.92,71.275
2022-11-25,241.17,71.315
2022-11-28,239.18,70.875
2022-11-29,238.4,70.65
2022-11-30,246.48,73.085
2022-12-01,246.49,73.075
2022-12-02,245.97,72.98
2022-12-05,238.94,70.875
2022-12-06,234.96,69.77
2022-12-07,233.72,69.35
2022-12-08,236.35,70.02
2022-12-09,234.63,69.715
2022-12-12,235.68,69.89
2022-12-13,236.12,69.89
2022-12-14,234.87,69.37
2022-12-15,229.8,68.23
2022-12-16,225.72,66.955
2022-12-19,222.06,65.7
2022-12-20,219.86,64.935
2022-12-21,223.36,65.97
2022-12-22,218.03,64.275
2022-12-23,219.46,64.715
2022-12-27,216.31,63.665
2022-12-28,213.95,63.13
2022-12-29,219.49,64.755
2022-12-30,219.02,64.58
2023-01-03,217.79,64.195
2023-01-04,221.33,65.125
2023-01-05,219.53,64.52
2023-01-06,224.51,66.035
2023-01-09,225.76,66.435
2023-01-10,228.81,67.27
2023-01-11,234.8,69.085
2023-01-12,235.88,69.2
2023-01-13,238.19,69.85
2023-01-17,238.33,69.9
2023-01-18,235.13,68.99
2023-01-19,231.22,67.845
2023-01-20,236.84,69.49
2023-01-23,240.9,70.575
2023-01-24,240.14,70.495
2023-01-25,241.48,70.855
2023-01-26,246.05,72.305
2023-01-27,251.55,73.945
2023-01-30,247.59,72.685
2023-01-31,252.92,74.35
2023-02-01,257.92,75.76
2023-02-02,265.16,78.08
2023-02-03,257.85,75.675
2023-02-06,256.89,75.565
2023-02-07,257.54,75.74
2023-02-08,254.67,75.095
2023-02-09,253.78,74.955
2023-02-10,250.58,74.075
2023-02-13,254.6,75.16
2023-02-14,257.45,76.06
2023-02-15,260.98,76.95
2023-02-16,255.8,75.27
2023-02-17,255.6,75.285
2023-02-21,247.14,72.77
2023-02-22,248.77,73.14
2023-02-23,248.38,73.08
2023-02-24,244.84,71.93
2023-02-27,247.27,72.82
2023-02-28,247.38,72.77
2023-03-01,244.58,71.855
2023-03-02,244.17,71.615
2023-03-03,249.02,73.155
2023-03-06,247.07,72.62
2023-03-07,244.13,71.63
2023-03-08,243.89,71.5
2023-03-09,237.9,69.795
2023-03-10,235.11,69.1
2023-03-13,234.77,69.245
2023-03-14,238.29,70.42
2023-03-15,237.86,70.315
2023-03-16,242.32,71.585
2023-03-17,239.04,70.67
2023-03-20,240.21,70.76
2023-03-21,246.34,72.715
2023-03-22,240.81,71.095
2023-03-23,240.4,71.02
2023-03-24,239.28,70.79
2023-03-27,239.96,70.935
2023-03-28,240.08,70.85
2023-03-29,244.36,72.195
2023-03-30,246.41,72.825
2023-03-31,252.55,74.77
2023-04-03,250.89,74.085
2023-04-04,250.36,73.965
2023-04-05,245.4,72.45
2023-04-06,245.08,72.465
2023-04-10,246.85,72.785
2023-04-11,247.46,72.9
2023-04-12,243.5,71.77
2023-04-13,248.38,73.355
2023-04-14,248.74,73.45
2023-04-17,250.3,73.97
2023-04-18,250.86,74.09
2023-04-19,251.02,74.02
2023-04-20,247.87,72.88
2023-04-21,250.2,73.685
2023-04-24,250.21,73.675
2023-04-25,244.87,72.215
2023-04-26,243.97,71.845
2023-04-27,250.12,73.74
2023-04-28,250.65,73.93
2023-05-01,248.5,73.2
2023-05-02,248.31,73.275
2023-05-03,246.66,72.695
2023-05-04,244.44,72.135
2023-05-05,249.49,73.595
2023-05-08,250.34,73.845
2023-05-09,250.35,73.825
2023-05-10,251.12,74.2
2023-05-11,252.3,74.545
2023-05-12,250.21,73.915
2023-05-15,250.79,74.01
2023-05-16,249.43,73.71
2023-05-17,254.44,75.245
2023-05-18,258.18,76.415
2023-05-19,255.15,75.775
2023-05-22,254.56,75.54
2023-05-23,251.89,74.85
2023-05-24,251.29,74.575
2023-05-25,249.54,74.24
2023-05-26,254.62,75.985
2023-05-30,255.99,76.495
2023-05-31,253.25,75.805
2023-06-01,256.12,76.7
2023-06-02,263.01,78.5
2023-06-05,263.18,78.735
2023-06-06,266.76,79.555
2023-06-07,265.19,79.015
2023-06-08,268.41,80.185
2023-06-09,269.09,80.6
2023-06-12,273.92,81.985
2023-06-13,276.76,82.835
2023-06-14,275.99,82.775
2023-06-15,277.89,83.315
2023-06-16,277.3,83.19
2023-06-20,278.65,83.645
2023-06-21,275.89,82.64
2023-06-22,279.15,83.695
2023-06-23,275.99,82.725
2023-06-26,272.94,81.665
2023-06-27,278.78,83.42
2023-06-28,279.55,83.75
2023-06-29,279.68,83.84
2023-06-30,283.2,84.905
2023-07-03,286.57,85.93
2023-07-05,286.24,85.965
2023-07-06,281.42,84.58
2023-07-07,282.48,84.685
2023-07-10,283.55,84.945
2023-07-11,286.56,85.655
2023-07-12,289.53,86.425
2023-07-13,292.07,87.235
2023-07-14,292.41,87.46
2023-07-17,293.38,87.815
2023-07-18,294.72,88.175
2023-07-19,296.58,88.485
2023-07-20,287.5,85.47
2023-07-21,287.4,85.49
2023-07-24,288.72,86.05
2023-07-25,288.22,85.85
2023-07-26,288.49,85.83
2023-07-27,285.56,84.94
2023-07-28,291.04,86.38
2023-07-31,292.82,86.87
2023-08-01,289.81,85.885
2023-08-02,284.57,84.345
2023-08-03,285.6,84.545
2023-08-04,289.57,85.775
2023-08-07,292.22,86.655
2023-08-08,290.07,85.965
2023-08-09,286.68,84.945
2023-08-10,287.47,85.15
2023-08-11,286.09,84.86
2023-08-14,287.2,85.12
2023-08-15,283.28,83.96
2023-08-16,279.57,82.92
2023-08-17,274.96,81.515
2023-08-18,274.75,81.33
2023-08-21,277.09,82.265
2023-08-22,277.09,82.385
2023-08-23,279.23,83.045
2023-08-24,273.79,81.42
2023-08-25,276.35,82.33
2023-08-28,277.63,82.66
2023-08-29,284.25,84.725
2023-08-30,285.66,85.09
2023-08-31,286.92,85.355
2023-09-01,286.24,84.835
2023-09-05,285.3,84.895
2023-09-06,282.61,84.14
2023-09-07,283.54,84.375
2023-09-08,283.55,84.375
2023-09-11,289.94,86.645
2023-09-12,287.49,85.86
2023-09-13,289.13,86.54
2023-09-14,292.01,87.39
2023-09-15,287.09,85.895
2023-09-18,283.94,84.81
2023-09-19,282.31,84.385
2023-09-20,279.6,83.545
2023-09-21,272.29,81.265
2023-09-22,269.99,80.465
2023-09-25,271.54,80.96
2023-09-26,266.34,79.485
2023-09-27,265.85,79.18
2023-09-28,267.93,80.065
2023-09-29,269.37,80.49
2023-10-02,269.37,80.555
2023-10-03,262.6,78.595
2023-10-04,266.63,80.145
2023-10-05,264.7,79.745
2023-10-06,266.83,80.305
2023-10-09,267.31,80.39
2023-10-10,270.81,81.27
2023-10-11,271.67,81.56
2023-10-12,268.04,80.67
2023-10-13,264.55,79.485
2023-10-16,269.4,80.77
2023-10-17,270.25,80.96
2023-10-18,264.03,79.06
2023-10-19,257.97,77.04
2023-10-20,254.48,75.845
2023-10-23,254.49,75.935
2023-10-24,257.19,76.745
2023-10-25,251.46,75.195
2023-10-26,247.89,74.02
2023-10-27,250.7,74.795
2023-10-30,253.43,75.48
2023-10-31,255.37,76.05
2023-11-01,258.57,76.99
2023-11-02,265.54,79.0
2023-11-03,269.83,80.11
2023-11-06,269.5,80.21
2023-11-07,272.41,81.105
2023-11-08,271.38,80.89
2023-11-09,266.24,79.38
2023-11-10,270.31,80.7
2023-11-13,271.06,81.045
2023-11-14,280.88,83.775
2023-11-15,281.68,83.875
2023-11-16,278.95,83.015
2023-11-17,281.24,83.57
2023-11-20,282.73,84.0
2023-11-21,281.65,83.785
2023-11-22,283.45,84.04
2023-11-24,283.64,84.12
2023-11-27,284.02,84.255
2023-11-28,285.34,84.74
2023-11-29,285.05,84.51
2023-11-30,284.56,84.39
2023-12-01,289.67,85.545
2023-12-04,289.14,85.22
2023-12-05,288.6,85.37
2023-12-06,289.08,85.495
2023-12-07,291.51,86.2
2023-12-08,292.74,86.595
2023-12-11,293.67,86.825
2023-12-12,294.24,87.095
2023-12-13,298.98,88.235
2023-12-14,303.85,89.42
2023-12-15,303.79,89.605
2023-12-18,305.76,90.0
2023-12-19,308.23,90.705
2023-12-20,302.43,89.05
2023-12-21,307.44,90.405
2023-12-22,305.42,89.74
2023-12-26,307.06,90.12
2023-12-27,307.99,90.43
2023-12-28,306.66,89.96
2023-12-29,304.55,89.405
2024-01-02,301.62,88.575
2024-01-03,294.83,86.785
2024-01-04,292.73,86.175
2024-01-05,293.38,86.31
2024-01-08,298.6,87.78
2024-01-09,297.51,87.455
2024-01-10,300.13,88.155
2024-01-11,299.59,88.04
2024-01-12,296.38,86.98
2024-01-16,295.83,86.88
2024-01-17,293.36,86.12
2024-01-18,295.34,86.61
2024-01-19,298.17,87.445
2024-01-22,297.75,87.06
2024-01-23,297.03,86.85
2024-01-24,295.75,86.52
2024-01-25,293.49,85.45
2024-01-26,294.95,85.84
2024-01-29,298.6,87.095
2024-01-30,297.78,87.045
2024-01-31,292.25,85.46
2024-02-01,298.26,87.105
2024-02-02,303.33,88.66
2024-02-05,299.0,87.41
2024-02-06,300.55,87.94
2024-02-07,303.38,88.925
2024-02-08,305.34,89.315
2024-02-09,308.07,89.95
2024-02-12,308.65,89.875
2024-02-13,301.84,88.085
2024-02-14,305.25,89.015
2024-02-15,308.89,90.045
2024-02-16,307.36,89.51
2024-02-20,304.08,88.665
2024-02-21,305.74,89.32
2024-02-22,311.62,91.055
2024-02-23,310.43,90.645
2024-02-26,311.18,90.925
2024-02-27,312.74,91.225
2024-02-28,313.36,91.585
2024-02-29,315.74,92.205
2024-03-01,317.39,92.51
2024-03-04,313.59,91.26
2024-03-05,309.99,90.125
2024-03-06,308.67,89.805
2024-03-07,311.21,90.49
2024-03-08,310.16,90.155
2024-03-11,309.0,89.91
2024-03-12,311.64,90.685
2024-03-13,311.73,90.495
2024-03-14,309.75,89.92
2024-03-15,306.65,89.025
2024-03-18,308.22,89.51
2024-03-19,310.92,90.285
2024-03-20,315.98,91.63
2024-03-21,317.97,92.165
2024-03-22,315.05,91.36
2024-03-25,314.17,91.06
2024-03-26,314.19,91.175
2024-03-27,318.12,92.23
2024-03-28,317.73,91.945
2024-04-01,315.72,91.26
2024-04-02,310.68,89.915
2024-04-03,310.97,89.98
2024-04-04,307.02,88.925
2024-04-05,309.28,89.42
2024-04-08,311.7,90.27
2024-04-09,312.93,90.695
2024-04-10,307.57,89.295
2024-04-11,309.59,90.015
2024-04-12,304.8,88.555
2024-04-15,299.54,87.08
2024-04-16,298.18,86.585
2024-04-17,295.93,86.165
2024-04-18,294.49,85.63
2024-04-19,292.03,84.88
2024-04-22,293.92,85.255
2024-04-23,298.3,86.27
2024-04-24,299.4,87.095
2024-04-25,298.86,87.17
2024-04-26,302.43,87.955
2024-04-29,308.09,90.0
2024-04-30,300.9,87.81
2024-05-01,299.73,87.26
2024-05-02,304.34,88.36
2024-05-03,306.75,88.955
2024-05-06,310.32,89.905
2024-05-07,308.6,89.26
2024-05-08,307.71,88.925
2024-05-09,310.11,89.53
2024-05-10,308.75,89.05
2024-05-13,308.89,88.935
2024-05-14,310.89,89.34
2024-05-15,311.33,89.475
2024-05-16,308.53,88.895
2024-05-17,309.35,89.35
2024-05-20,307.5,88.685
2024-05-21,308.45,89.255
2024-05-22,304.98,88.325
2024-05-23,300.25,86.895
2024-05-24,303.29,87.77
2024-05-28,302.84,87.555
2024-05-29,300.95,86.98
2024-05-30,302.71,87.495
2024-05-31,304.51,87.985
2024-06-03,305.12,87.945
2024-06-04,304.07,88.035
2024-06-05,306.26,88.55
2024-06-06,308.65,89.195
2024-06-07,306.16,88.83
2024-06-10,307.52,89.115
2024-06-11,306.33,88.88
2024-06-12,309.99,89.805
2024-06-13,309.19,89.875
2024-06-14,305.99,89.165
2024-06-17,310.78,90.73
2024-06-18,309.81,90.425
2024-06-20,309.81,90.54
2024-06-21,312.23,91.305
2024-06-24,311.24,90.72
2024-06-25,309.8,90.355
2024-06-26,314.36,91.665
2024-06-27,315.87,92.225
2024-06-28,312.33,91.2
2024-07-01,312.31,91.51
2024-07-02,317.13,93.29
2024-07-03,318.44,93.885
2024-07-05,320.04,94.65
2024-07-08,320.73,94.695
2024-07-09,321.07,95.01
2024-07-10,322.75,95.725
2024-07-11,321.58,94.51
2024-07-12,326.14,95.745
2024-07-15,325.19,95.635
2024-07-16,331.81,97.35
2024-07-17,325.97,95.725
2024-07-18,321.71,94.75
2024-07-19,319.47,93.905
2024-07-22,322.55,94.94
2024-07-23,322.44,94.515
2024-07-24,309.6,90.65
2024-07-25,309.7,90.295
2024-07-26,314.39,91.305
2024-07-29,318.23,92.83
2024-07-30,316.76,92.315
2024-07-31,322.22,93.745
2024-08-01,313.74,91.445
2024-08-02,302.31,88.08
2024-08-05,293.99,85.59
2024-08-06,296.81,86.535
2024-08-07,291.88,85.025
2024-08-08,298.99,86.88
2024-08-09,300.0,87.17
2024-08-12,298.21,86.825
2024-08-13,305.22,89.0
2024-08-14,303.4,88.525
2024-08-15,313.58,91.35
2024-08-16,314.39,91.565
2024-08-19,317.62,92.69
2024-08-20,316.7,92.605
2024-08-21,320.87,93.775
2024-08-22,315.86,92.155
2024-08-23,322.5,93.935
2024-08-26,320.48,93.205
2024-08-27,319.1,92.96
2024-08-28,315.66,92.06
2024-08-29,316.51,92.17
2024-08-30,320.53,93.56
2024-09-03,314.96,92.275
2024-09-04,315.63,92.515
2024-09-05,318.91,93.565
2024-09-06,311.07,91.2
2024-09-09,314.87,92.53
2024-09-10,318.01,93.59
2024-09-11,321.21,94.525
2024-09-12,325.41,95.59
2024-09-13,328.58,96.24
2024-09-16,327.99,96.075
2024-09-17,330.27,96.565
2024-09-18,329.67,96.375
2024-09-19,337.17,98.57
2024-09-20,336.24,98.345
2024-09-23,339.33,99.335
2024-09-24,341.94,100.205
2024-09-25,340.14,99.845
2024-09-26,341.57,100.27
2024-09-27,341.36,100.42
2024-09-30,340.48,100.185
2024-10-01,338.65,99.78
2024-10-02,335.61,98.935
2024-10-03,332.15,97.79
2024-10-04,336.62,99.085
2024-10-07,331.23,97.545
2024-10-08,333.81,98.495
2024-10-09,335.52,99.2
2024-10-10,334.39,98.71
2024-10-11,333.92,98.29
2024-10-14,334.92,98.72
2024-10-15,335.6,98.935
2024-10-16,337.51,99.455
2024-10-17,337.25,99.365
2024-10-18,338.91,99.755
2024-10-21,335.37,98.98
2024-10-22,333.59,98.58
2024-10-23,328.51,97.03
2024-10-24,337.69,100.09
2024-10-25,339.16,100.405
2024-10-28,340.65,100.64
2024-10-29,338.84,100.115
2024-10-30,338.39,99.975
2024-10-31,333.09,98.445
2024-11-01,338.54,100.045
2024-11-04,337.81,99.7
2024-11-05,343.84,101.465
2024-11-06,355.18,104.71
2024-11-07,359.25,106.055
2024-11-08,364.01,107.56
2024-11-11,370.07,109.73
2024-11-12,365.48,108.265
2024-11-13,368.44,109.19
2024-11-14,362.94,107.64
2024-11-15,359.3,106.72
2024-11-18,362.33,107.705
2024-11-19,363.08,107.785
2024-11-20,361.93,107.31
2024-11-21,362.68,107.5
2024-11-22,368.5,109.05
2024-11-25,373.83,110.165
2024-11-26,374.35,110.565
2024-11-27,372.51,110.02
2024-11-29,376.17,111.15
2024-12-02,379.66,112.12
2024-12-03,378.85,112.035
2024-12-04,382.61,113.075
2024-12-05,384.6,114.0
2024-12-06,391.81,116.4
2024-12-09,390.32,116.03
2024-12-10,390.81,116.22
2024-12-11,397.29,118.26
2024-12-12,393.75,117.28
2024-12-13,394.97,117.745
2024-12-16,400.97,119.34
2024-12-17,401.37,119.715
2024-12-18,381.38,114.32
2024-12-19,380.69,114.165
2024-12-20,383.28,114.455
2024-12-23,383.7,114.585
2024-12-24,392.32,117.235
2024-12-26,391.69,116.8
2024-12-27,384.41,114.87
2024-12-30,379.04,113.025
2024-12-31,375.38,112.175
2025-01-02,371.63,110.7
2025-01-03,379.78,112.94
2025-01-06,381.51,113.385
2025-01-07,373.83,111.19
2025-01-08,374.36,111.505
2025-01-10,370.95,110.41
2025-01-13,372.26,111.035
2025-01-14,372.08,110.82
2025-01-15,382.13,113.64
2025-01-16,379.78,113.025
2025-01-17,385.01,114.61
2025-01-21,389.07,115.45
2025-01-22,387.42,115.015
2025-01-23,389.43,115.71
2025-01-24,387.41,115.005
2025-01-27,388.52,115.66
2025-01-28,390.11,115.8
2025-01-29,388.47,115.47
2025-01-30,391.75,116.6
2025-01-31,390.49,116.085
2025-02-03,384.25,114.55
2025-02-04,390.2,115.9
2025-02-05,385.42,114.585
2025-02-06,386.86,115.04
2025-02-07,378.3,112.79
2025-02-10,379.44,113.175
2025-02-11,375.16,111.89
2025-02-12,374.94,111.87
2025-02-13,381.37,113.55
2025-02-14,381.66,113.5
2025-02-18,381.12,113.185
2025-02-19,380.22,113.12
2025-02-20,376.29,112.145
2025-02-21,365.93,109.195
2025-02-24,363.45,108.785
2025-02-25,359.86,108.215
2025-02-26,358.74,107.77
2025-02-27,352.42,106.215
2025-02-28,358.65,107.98
2025-03-03,349.61,105.99
2025-03-04,344.02,104.12
2025-03-05,349.67,105.705
2025-03-06,339.8,103.025
2025-03-07,338.6,102.835
2025-03-10,326.33,99.165
2025-03-11,324.18,98.195
2025-03-12,327.01,98.765
2025-03-13,318.51,96.3
2025-03-14,325.04,98.35
2025-03-17,326.17,98.505
2025-03-18,320.05,96.75
2025-03-19,326.09,98.605
2025-03-20,325.29,98.37
2025-03-21,326.92,98.725
2025-03-24,340.12,102.145
2025-03-25,341.61,102.96
2025-03-26,336.55,101.615
2025-03-27,336.22,101.68
2025-03-28,326.13,98.52
2025-03-31,325.51,98.73
2025-04-01,329.06,99.76
2025-04-02,335.79,101.655
2025-04-03,313.81,95.515
2025-04-04,300.73,91.395
2025-04-07,297.66,90.315
2025-04-08,290.42,88.17
2025-04-09,322.89,97.77
2025-04-10,310.11,93.95
2025-04-11,312.17,94.86
2025-04-14,313.81,95.135
2025-04-15,311.55,94.45
2025-04-16,304.05,92.12
2025-04-17,306.15,92.7
2025-04-21,297.73,90.225
2025-04-22,307.25,93.08
2025-04-23,314.5,95.16
2025-04-24,320.78,97.055
