date,BWX,IGOV
2026-07-14,21.59,40.8
2026-07-15,21.66,41.0
2026-07-16,21.59,40.85
2026-07-17,21.56,40.77
2026-07-20,21.51,40.68
2026-07-21,21.46,40.58
2026-07-22,21.46,40.55
2026-07-23,21.36,40.35
2026-07-24,21.4,40.44
2026-07-27,21.44,40.55
2026-07-28,21.47,40.66
2026-07-29,21.5,40.68
2026-07-30,21.77,41.15
2026-07-31,21.72,41.01
2026-08-03,21.77,41.24
2026-08-04,21.88,41.38
2026-08-05,21.91,41.46
2026-08-06,21.86,41.27
2026-08-07,21.99,41.45
2026-08-10,21.79,41.19
2026-08-11,21.83,41.24
2026-08-12,21.84,41.19
2026-08-13,21.83,41.29
2026-08-14,21.78,41.2
2026-08-17,21.77,41.22
2026-08-18,21.74,41.11
2026-08-19,21.98,41.53
2026-08-20,21.93,41.46
2026-08-21,21.96,41.49
2026-08-24,21.95,41.47
