date,EMB,EMLC,VWOB
2021-08-30,113.35,31.01,80.49
2021-08-31,113.39,31.17,80.44
2021-09-01,113.24,31.09,80.29
2021-09-02,113.55,31.08,80.49
2021-09-03,113.18,31.09,80.33
2021-09-07,112.87,30.97,80.14
2021-09-08,113.07,30.84,80.26
2021-09-09,113.26,30.92,80.36
2021-09-10,112.9,30.88,80.01
2021-09-13,113.05,30.93,80.26
2021-09-14,113.27,30.89,80.4
2021-09-15,113.25,30.92,80.45
2021-09-16,112.87,30.69,80.11
2021-09-17,112.5,30.54,79.91
2021-09-20,111.98,30.38,79.51
2021-09-21,112.19,30.48,79.63
2021-09-22,112.26,30.46,79.71
2021-09-23,111.4,30.45,79.19
2021-09-24,110.94,30.29,78.73
2021-09-27,110.61,30.25,78.59
2021-09-28,109.98,30.01,78.16
2021-09-29,110.08,29.91,78.24
2021-09-30,110.06,29.97,78.3
2021-10-01,109.69,30.05,77.97
2021-10-04,109.16,29.87,77.59
2021-10-05,109.23,29.8,77.73
2021-10-06,109.0,29.78,77.55
2021-10-07,109.12,29.81,77.64
2021-10-08,108.85,29.74,77.37
2021-10-11,108.55,29.57,77.16
2021-10-12,108.9,29.7,77.29
2021-10-13,109.59,29.89,77.89
2021-10-14,110.06,29.92,78.13
2021-10-15,109.93,29.98,78.04
2021-10-18,109.57,29.83,77.86
2021-10-19,109.49,29.89,77.83
2021-10-20,109.55,29.96,77.84
2021-10-21,109.08,29.64,77.53
2021-10-22,109.51,29.66,77.79
2021-10-25,109.59,29.72,77.9
2021-10-26,109.82,29.69,78.06
2021-10-27,110.47,29.66,78.42
2021-10-28,110.26,29.55,78.29
2021-10-29,109.89,29.44,78.0
2021-11-01,109.23,29.21,77.59
2021-11-02,109.37,29.23,77.7
2021-11-03,109.2,29.33,77.51
2021-11-04,109.99,29.28,78.05
2021-11-05,110.82,29.5,78.65
2021-11-08,110.72,29.57,78.67
2021-11-09,110.92,29.68,78.73
2021-11-10,109.3,29.39,77.72
2021-11-11,109.3,29.44,77.6
2021-11-12,109.58,29.37,77.72
2021-11-15,109.29,29.34,77.63
2021-11-16,109.04,29.14,77.47
2021-11-17,109.16,29.15,77.59
2021-11-18,109.44,29.03,77.78
2021-11-19,109.41,28.88,77.78
2021-11-22,108.28,28.63,77.1
2021-11-23,107.6,28.52,76.56
2021-11-24,107.77,28.44,76.71
2021-11-26,106.57,28.27,75.86
2021-11-29,107.49,28.32,76.48
2021-11-30,107.47,28.5,76.53
2021-12-01,107.86,28.33,76.77
2021-12-02,108.5,28.37,77.22
2021-12-03,108.64,28.35,77.27
2021-12-06,108.74,28.33,77.47
2021-12-07,109.32,28.52,77.75
2021-12-08,109.16,28.72,77.61
2021-12-09,109.09,28.59,77.6
2021-12-10,109.11,28.68,77.61
2021-12-13,109.56,28.55,77.95
2021-12-14,109.28,28.38,77.81
2021-12-15,108.93,28.42,77.52
2021-12-16,108.67,28.45,77.61
2021-12-17,108.48,28.34,77.51
2021-12-20,107.9,28.42,77.21
2021-12-21,108.22,28.55,77.32
2021-12-22,108.34,28.77,77.44
2021-12-23,108.5,28.89,77.31
2021-12-27,108.9,28.89,77.48
2021-12-28,108.8,28.75,77.56
2021-12-29,108.69,28.5,77.52
2021-12-30,109.2,28.59,77.84
2021-12-31,109.06,28.6,77.66
2022-01-03,107.98,28.53,76.89
2022-01-04,107.92,28.37,76.97
2022-01-05,106.89,28.32,76.06
2022-01-06,106.79,28.33,76.0
2022-01-07,106.58,28.48,75.79
2022-01-10,106.22,28.4,75.68
2022-01-11,106.44,28.54,75.73
2022-01-12,106.22,28.8,75.67
2022-01-13,105.86,28.72,75.51
2022-01-14,104.93,28.66,74.92
2022-01-18,103.96,28.34,74.25
2022-01-19,104.66,28.71,74.61
2022-01-20,105.03,28.74,74.99
2022-01-21,105.59,28.8,75.24
2022-01-24,104.88,28.65,74.75
2022-01-25,105.04,28.66,74.89
2022-01-26,104.49,28.41,74.44
2022-01-27,105.08,28.43,74.88
2022-01-28,105.41,28.44,75.06
2022-01-31,105.38,28.7,75.08
2022-02-01,105.28,28.68,75.02
2022-02-02,105.76,28.79,75.34
2022-02-03,104.85,28.81,74.89
2022-02-04,104.35,28.78,74.43
2022-02-07,104.23,28.77,74.32
2022-02-08,103.96,28.84,74.06
2022-02-09,104.33,28.99,74.39
2022-02-10,102.96,28.97,73.45
2022-02-11,102.36,28.78,73.03
2022-02-14,102.75,28.78,73.33
2022-02-15,103.14,29.01,73.48
2022-02-16,103.44,29.13,73.72
2022-02-17,102.96,29.08,73.43
2022-02-18,103.0,29.05,73.53
2022-02-22,101.7,28.92,72.62
2022-02-23,99.99,28.83,71.57
2022-02-24,98.98,27.92,71.02
2022-02-25,100.17,28.58,71.75
2022-02-28,99.2,27.18,71.15
2022-03-01,97.32,26.8,69.7
2022-03-02,97.11,26.5,69.7
2022-03-03,96.69,26.78,69.56
2022-03-04,94.61,26.58,68.14
2022-03-07,93.87,25.9,67.86
2022-03-08,94.69,26.23,68.31
2022-03-09,95.61,26.64,69.01
2022-03-10,95.75,26.45,68.98
2022-03-11,95.01,26.3,68.4
2022-03-14,94.81,26.16,68.11
2022-03-15,95.38,26.31,68.56
2022-03-16,97.33,26.62,69.68
2022-03-17,97.95,26.75,69.99
2022-03-18,97.55,26.98,69.81
2022-03-21,95.84,26.69,68.64
2022-03-22,95.67,26.6,68.59
2022-03-23,95.75,26.63,68.72
2022-03-24,96.13,26.65,68.86
2022-03-25,95.91,26.63,68.68
2022-03-28,96.84,26.66,69.45
2022-03-29,97.79,26.94,70.13
2022-03-30,97.86,27.05,69.86
2022-03-31,97.76,26.99,69.86
2022-04-01,97.73,26.97,69.93
2022-04-04,98.11,27.02,70.12
2022-04-05,96.53,26.68,69.05
2022-04-06,96.24,26.58,68.91
2022-04-07,95.96,26.51,68.6
2022-04-08,95.13,26.49,67.93
2022-04-11,94.0,26.43,67.23
2022-04-12,94.35,26.57,67.4
2022-04-13,94.59,26.56,67.58
