date,BATRA,BATRK,BF A,BF B,LEN,LEN B,MOG A,MOG B,SMH,SOXX,Z,ZG
2021-09-24,27.16,26.62,64.35,68.64,96.0516,77.9138,76.88,76.04,136.195,157.6,90.41,91.07
2021-09-27,27.92,27.37,63.74,68.15,95.6096,78.6551,78.24,76.04,135.71,157.2167,90.47,91.08
2021-09-28,26.99,26.45,63.28,67.65,92.4482,75.5948,77.06,76.04,130.245,151.0667,87.97,88.6
2021-09-29,27.09,26.57,63.44,67.88,92.5731,75.8609,77.18,77.18,128.28,148.6833,85.66,86.88
2021-09-30,26.91,26.42,62.67,67.01,90.0171,73.7415,76.23,77.18,128.135,148.6233,88.14,88.58
2021-10-01,27.71,27.34,63.48,67.18,90.0363,73.58,78.56,77.18,128.245,148.72,90.36,91.4
2021-10-04,27.36,26.76,63.64,67.14,88.6815,72.3825,78.99,77.18,124.905,144.89,85.38,85.68
2021-10-05,27.35,26.77,63.34,66.83,88.2587,72.1924,79.07,77.18,126.66,147.0833,86.5,86.37
2021-10-06,26.78,26.27,64.11,67.58,89.6039,73.4184,78.24,77.18,127.045,147.6567,88.34,88.66
2021-10-07,27.13,26.57,64.42,67.82,90.3823,73.9601,79.09,79.0,128.625,149.3833,93.66,93.22
2021-10-08,26.76,26.27,64.59,67.96,90.1805,73.4469,79.03,79.0,127.375,147.8533,91.04,90.67
2021-10-11,26.3,25.79,64.74,68.22,89.8442,72.8672,79.15,79.5,126.615,146.8633,89.99,89.79
2021-10-12,26.8,26.24,64.39,67.78,90.8339,73.5515,79.73,80.0,125.335,145.03,92.13,91.91
2021-10-13,26.87,26.32,64.76,68.52,91.3335,74.2072,78.87,79.5,126.405,145.8667,94.43,94.01
2021-10-14,27.23,26.74,65.3,69.55,94.4853,76.6783,80.66,79.5,130.2,150.3933,95.39,95.01
2021-10-15,27.4,26.76,65.5,69.28,93.3226,75.7659,79.9,82.11,131.29,151.3967,94.97,94.3
2021-10-18,27.42,26.79,65.34,69.36,96.2149,77.9043,79.51,82.11,132.325,152.6167,86.0,85.46
2021-10-19,27.65,26.96,65.65,70.02,95.9555,77.7142,79.69,82.11,133.84,154.4867,87.59,88.86
2021-10-20,27.3,26.7,65.88,69.95,98.2232,79.3964,79.87,82.11,133.25,154.1667,88.61,89.61
2021-10-21,29.28,28.59,64.92,69.17,97.4545,79.0543,80.05,82.11,134.77,155.72,92.03,93.32
2021-10-22,28.89,28.08,65.43,69.49,96.5705,78.3795,79.12,79.56,133.58,153.9733,92.21,93.68
2021-10-25,29.17,28.26,65.13,69.36,96.3879,78.3225,79.72,79.9,134.255,155.03,95.43,96.36
2021-10-26,29.94,29.04,65.0,69.32,96.5224,77.9423,78.36,79.9,135.02,155.1467,95.47,96.19
2021-10-27,30.6,29.59,64.51,69.01,95.8209,77.4101,77.16,79.9,133.88,154.0333,93.18,94.4
2021-10-28,30.75,29.76,65.06,68.88,96.3494,78.313,76.91,79.9,136.43,157.5067,98.6,100.56
2021-10-29,30.57,29.72,64.03,67.89,96.0227,78.0088,75.53,77.17,136.82,158.21,103.63,105.72
2021-11-01,31.96,30.96,66.84,70.94,97.1758,78.8357,76.16,78.2,138.39,160.79,97.15,96.61
2021-11-02,31.42,30.46,67.07,71.73,96.0804,77.8473,75.83,78.19,139.915,162.79,87.2,85.48
2021-11-03,31.03,30.22,67.26,71.55,97.9253,79.4154,77.57,78.19,141.3,164.6667,65.47,65.86
2021-11-04,30.68,30.07,66.68,71.26,97.4353,79.1113,78.03,78.19,147.15,170.2067,67.48,68.52
2021-11-05,30.69,30.19,67.48,72.68,100.2123,81.2782,83.64,83.36,148.3,172.0967,66.05,66.17
2021-11-08,29.95,29.52,66.92,72.53,100.3468,81.4018,82.49,83.0,150.97,174.4233,67.67,68.23
2021-11-09,29.06,28.75,67.03,72.5,103.4505,83.9203,81.12,83.0,151.17,174.4233,66.4,66.62
2021-11-10,30.43,30.08,67.25,72.61,100.9618,82.048,81.93,83.0,146.4,169.28,64.27,64.18
2021-11-11,30.64,30.32,67.07,72.69,102.259,83.0935,80.48,83.0,149.035,172.86,63.64,63.48
2021-11-12,30.86,30.69,66.64,71.9,103.9982,84.5191,80.43,83.0,150.55,174.55,63.95,63.94
2021-11-15,31.15,30.76,66.92,72.15,102.7202,83.274,80.95,83.0,150.35,174.42,63.54,63.6
2021-11-16,31.2,30.88,66.94,71.87,103.8541,84.386,79.52,83.0,152.3,177.0333,62.8,62.72
2021-11-17,31.13,30.73,67.4,72.29,106.0641,86.0017,79.99,83.0,151.395,175.8,60.28,60.12
2021-11-18,30.81,30.54,67.68,72.7,106.7848,86.4104,78.36,83.0,155.12,178.74,57.09,57.31
2021-11-19,30.59,30.31,70.1,75.23,107.0731,86.8856,75.88,83.0,156.1,179.2367,56.11,56.39
2021-11-22,29.85,29.5,70.09,74.84,105.9008,85.7831,76.07,83.0,153.745,176.64,53.25,53.65
2021-11-23,30.45,30.12,70.28,74.98,106.3716,85.9162,76.68,78.28,152.63,175.93,54.34,54.39
2021-11-24,30.17,29.92,69.41,74.62,105.4588,85.0703,75.51,78.28,154.17,177.8633,56.49,56.11
2021-11-26,28.98,28.53,69.3,74.4,102.8547,82.9319,71.44,78.28,149.7,172.9133,55.62,55.07
2021-11-29,28.22,27.94,69.28,74.19,103.0565,83.2836,72.16,78.28,155.71,179.56,54.26,54.16
2021-11-30,27.87,27.51,65.67,70.36,100.9425,81.5253,69.17,73.0,152.45,176.4133,54.27,54.11
2021-12-01,27.47,27.09,66.26,70.64,104.3249,84.405,67.77,68.48,151.91,175.0033,53.0,52.38
2021-12-02,28.48,27.98,67.32,71.79,108.6874,87.8645,70.84,70.99,152.305,175.2567,54.25,53.77
2021-12-03,28.25,27.66,67.52,72.38,107.9283,87.0852,70.21,71.25,150.575,174.8133,60.39,59.43
2021-12-06,28.28,27.89,68.69,73.61,110.3017,89.2426,74.01,76.04,150.0,174.59,60.86,60.27
2021-12-07,28.44,27.9,68.5,73.45,110.3305,89.2045,74.03,76.04,157.275,183.4,62.74,61.85
2021-12-08,28.51,28.06,66.0,70.46,110.8302,89.9554,74.36,76.04,156.595,182.2067,65.21,64.48
2021-12-09,28.53,28.03,65.66,70.58,111.0224,89.8698,74.38,72.86,152.805,178.0167,62.35,61.24
2021-12-10,28.31,27.96,65.7,71.27,112.3388,89.3756,75.21,72.86,153.775,179.6967,60.23,59.1
2021-12-13,27.89,27.55,67.08,72.23,108.7258,87.1232,74.35,72.86,149.785,174.6267,59.52,57.97
2021-12-14,28.0,27.56,66.97,71.86,106.804,85.9447,74.85,72.86,148.92,173.7867,58.73,57.57
2021-12-15,28.31,27.77,67.24,71.99,108.6682,88.2922,76.99,72.86,155.08,180.1667,61.31,59.91
2021-12-16,27.99,27.5,67.57,72.7,104.2192,84.5571,76.42,72.86,148.34,172.3067,59.38,58.03
2021-12-17,28.04,27.56,67.22,71.9,101.7017,82.4567,75.96,72.86,147.645,171.9,62.46,61.06
2021-12-20,27.8,27.41,67.34,72.03,101.6728,82.4757,74.79,73.82,145.755,170.5533,59.54,58.34
2021-12-21,28.36,27.89,67.0,71.73,104.469,84.7092,78.02,73.82,151.02,176.7067,62.09,60.78
2021-12-22,28.4,27.88,66.91,71.99,107.9571,87.5889,77.59,73.82,152.815,178.5433,62.14,60.8
2021-12-23,28.71,28.21,66.8,71.72,107.6688,87.3132,78.75,79.0,154.13,180.27,63.74,62.34
2021-12-27,28.59,28.06,66.97,72.09,109.0333,88.4917,79.19,80.0,158.28,185.21,62.39,60.99
