date,FENY,FHLC,FIDU,FREL,FSTA,FTEC,FUTY,IDU,IYE,IYF,IYH,IYJ,IYK,IYR,IYW,VDC,VDE,VFH,VGT,VHT,VNQ,VPU,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV
8/30/2021,13.32,67.6,55.32,32.24,43.72,126.82,44.24,84.56,26.46,84.73,58.658,,,108.28,108.87,187.2,68.37,94.72,53.6625,262.47,108.07,149.57,24.365,38.45,104.8,79.85,72.1,47.4,34.31,135.39
8/31/2021,13.24,67.62,55.12,32.43,43.81,126.01,44.21,84.47,26.25,84.73,58.574,,,108.79,108.22,187.61,68.01,94.8,53.335,262.49,108.58,149.54,24.2,38.4,104.51,79.43,72.26,47.68,34.27,135.21
9/1/2021,13.09,67.75,54.97,32.92,44.03,126.1,44.78,85.61,25.89,84.75,58.61,,,110.75,108.28,188.45,67.16,94.34,53.37,263.04,110.32,151.37,23.845,38.18,104.11,79.45,72.64,48.5,34.72,135.25
9/2/2021,13.41,68.47,55.54,33.09,44.21,126.18,45.14,86.24,26.56,84.84,59.268,,,111.24,108.3,189.21,68.91,94.63,53.4113,265.84,110.9,152.64,24.45,38.31,105.23,79.365,72.92,48.73,35.035,136.7
9/3/2021,13.37,68.46,55.23,33.1,44.13,126.82,44.73,85.54,26.43,84.51,59.244,,,111.27,108.84,188.96,68.6,94.17,53.6688,265.84,110.92,151.44,24.31,38.07,104.59,79.68,72.83,48.73,34.745,136.85
9/7/2021,13.28,68.07,54.38,32.72,43.67,126.66,44.16,84.41,26.25,84.01,58.89,113.06,62.0167,110.03,108.79,186.95,68.2,93.57,53.6125,264.3,109.67,149.51,24.165,37.84,102.78,79.7,71.99,48.19,34.285,136.05
9/8/2021,13.12,67.93,54.38,32.89,44,125.92,44.95,85.94,25.94,84.04,58.828,113,62.1167,110.64,107.98,188.38,67.36,93.21,53.3013,263.78,110.22,151.98,23.855,37.75,102.92,79.395,72.61,48.48,34.9,135.99
9/9/2021,13.16,67.34,54.09,32.22,43.67,125.5,44.69,85.46,25.97,83.81,58.204,112.47,62.06,108.49,107.68,187.09,67.48,93.45,53.1275,261.32,107.98,151.17,23.905,37.86,102.42,79.095,72.19,47.45,34.71,134.42
9/10/2021,13.15,66.74,53.84,31.75,43.52,124.29,44.04,84.22,25.98,83.06,57.664,111.94,61.79,107.05,106.7,186.25,67.41,92.7,52.5963,258.98,106.4,148.93,23.895,37.58,101.96,78.315,71.88,46.85,34.225,133.19
9/13/2021,13.54,66.22,53.98,32.01,43.63,124.24,43.98,84.16,26.74,83.8,57.318,111.86,61.9833,107.48,106.7,186.61,69.49,93.72,52.6,257.04,107.12,148.72,24.58,38.01,102.23,78.34,72.06,47.11,34.165,132.37
9/14/2021,13.33,66.09,53.29,31.89,43.35,124.12,43.81,83.77,26.32,82.9,57.3,110.78,61.7067,107.21,106.69,185.48,68.33,92.4,52.5338,256.58,106.93,148.08,24.225,37.5,101,78.24,71.73,47.01,34.05,132.35
9/15/2021,13.85,66.59,53.83,32.02,43.54,125.17,43.76,83.64,27.31,83.54,57.468,111.75,62.0067,107.61,107.61,186.44,71.08,93.36,52.9825,258.42,107.27,147.99,25.13,37.86,102.11,78.925,71.99,47.19,34.005,133.21
9/16/2021,13.7,66.5,53.5,32.05,43.41,125.42,43.34,83.02,27.02,83.46,57.538,111.2,61.9333,107.81,107.74,185.98,70.29,93.2,53.0713,257.91,107.36,146.61,24.845,37.75,101.41,78.97,71.75,47.28,33.72,132.87
9/17/2021,13.4,66.5,52.86,31.54,42.99,123.48,42.44,81.77,26.81,82.98,57.612,109.93,61.74,106.79,106.21,185.21,69.64,92.84,52.3588,258.79,106.4,144.62,24.66,37.58,100.33,77.74,71.36,46.85,33.2,133
9/20/2021,13,65.68,52.21,31.37,42.51,121.1,42.28,81.58,25.97,80.97,57.004,108.57,61.2067,106.23,104.11,183.09,67.54,90.61,51.355,255.61,105.75,144.18,23.62,36.55,98.86,76.19,70.21,46.27,32.89,131.15
9/21/2021,13.06,65.89,52.03,31.38,42.48,121.21,42.21,81.41,26.06,80.92,57.192,107.97,61.0233,106.23,104.32,182.85,67.73,90.5,51.3813,256.19,105.8,143.79,23.675,36.5,98.34,76.22,70.13,46.28,32.8,131.35
