date,IYJ,IYK
2021-09-07,113.06,62.0167
2021-09-08,113.0,62.1167
2021-09-09,112.47,62.06
2021-09-10,111.94,61.79
2021-09-13,111.86,61.9833
2021-09-14,110.78,61.7067
2021-09-15,111.75,62.0067
2021-09-16,111.2,61.9333
2021-09-17,109.93,61.74
2021-09-20,108.57,61.2067
2021-09-21,107.97,61.0233
2021-09-22,109.19,61.17
2021-09-23,111.16,61.4767
2021-09-24,110.99,61.1433
2021-09-27,110.9,61.0233
2021-09-28,108.95,60.43
2021-09-29,108.94,61.0967
2021-09-30,107.16,59.8633
2021-10-01,108.98,60.0933
2021-10-04,107.53,59.9533
2021-10-05,108.66,60.19
2021-10-06,109.19,60.6767
2021-10-07,110.18,60.9467
2021-10-08,109.8,60.8633
2021-10-11,108.54,60.8767
2021-10-12,108.39,60.8967
2021-10-13,108.48,61.07
2021-10-14,110.67,61.77
2021-10-15,112.05,61.5833
2021-10-18,112.38,61.0667
2021-10-19,113.18,60.9833
2021-10-20,113.2,61.52
2021-10-21,113.02,61.2467
2021-10-22,113.38,61.6
2021-10-25,113.86,61.3433
2021-10-26,113.18,61.6867
2021-10-27,110.65,61.2733
2021-10-28,111.41,61.6333
2021-10-29,111.24,61.58
2021-11-01,111.65,61.66
2021-11-02,111.61,61.9933
2021-11-03,111.64,62.8733
2021-11-04,112.04,62.7533
2021-11-05,113.23,63.1467
2021-11-08,113.87,62.6033
2021-11-09,113.23,62.72
2021-11-10,112.97,63.0233
2021-11-11,112.5,62.9867
2021-11-12,113.65,62.9933
2021-11-15,113.79,63.2833
2021-11-16,114.29,62.9233
2021-11-17,112.97,62.7633
2021-11-18,112.25,62.55
2021-11-19,111.47,62.1367
2021-11-22,110.7,62.5667
2021-11-23,110.95,63.0467
2021-11-24,111.33,62.64
2021-11-26,108.47,61.8033
2021-11-29,108.71,61.9733
2021-11-30,106.09,60.2767
2021-12-01,104.49,60.1933
2021-12-02,107.64,61.02
2021-12-03,107.1,61.7967
2021-12-06,108.98,62.8967
2021-12-07,110.71,62.9433
2021-12-08,111.32,62.9367
2021-12-09,110.89,63.1133
2021-12-10,111.36,63.91
2021-12-13,110.09,64.2633
2021-12-14,109.05,64.26
2021-12-15,110.2,64.88
2021-12-16,110.54,65.6033
2021-12-17,108.99,64.7567
2021-12-20,106.81,64.68
2021-12-21,109.47,64.6867
2021-12-22,110.33,65.03
2021-12-23,111.22,65.2
2021-12-27,112.33,65.7933
2021-12-28,112.63,66.1667
2021-12-29,112.87,66.4833
2021-12-30,112.62,66.37
2021-12-31,112.74,66.7267
2022-01-03,112.7,66.7533
2022-01-04,114.07,67.3133
2022-01-05,112.77,67.44
2022-01-06,112.81,67.2333
2022-01-07,112.24,67.6933
2022-01-10,110.98,67.51
2022-01-11,112.05,67.4767
2022-01-12,112.16,67.47
2022-01-13,111.8,67.7433
2022-01-14,111.08,68.2267
2022-01-18,109.56,67.2867
2022-01-19,108.39,67.58
2022-01-20,107.34,67.3567
2022-01-21,105.5,67.32
2022-01-24,105.75,67.0667
2022-01-25,104.62,66.5167
2022-01-26,103.84,65.9633
2022-01-27,103.23,66.5067
2022-01-28,105.75,67.2467
2022-01-31,107.36,67.27
2022-02-01,108.93,67.1233
2022-02-02,108.44,67.8333
2022-02-03,106.26,67.8767
2022-02-04,105.58,67.0833
2022-02-07,105.2,67.3033
2022-02-08,106.01,67.6733
2022-02-09,107.89,67.4567
2022-02-10,105.85,66.8867
2022-02-11,104.27,66.89
2022-02-14,104.07,66.72
2022-02-15,105.51,66.7367
2022-02-16,105.84,67.0267
2022-02-17,103.58,67.3167
2022-02-18,102.7,67.3667
2022-02-22,101.71,66.9367
2022-02-23,99.66,66.54
2022-02-24,101.0,65.1533
2022-02-25,103.55,67.3467
2022-02-28,103.66,66.5033
2022-03-01,101.19,66.0033
2022-03-02,103.0,66.72
2022-03-03,102.47,67.18
2022-03-04,101.37,67.3167
2022-03-07,97.89,65.97
2022-03-08,97.52,64.0867
2022-03-09,100.23,64.5467
2022-03-10,99.77,63.85
2022-03-11,99.07,63.15
2022-03-14,99.23,63.64
2022-03-15,101.09,64.9733
2022-03-16,103.18,65.0067
2022-03-17,104.49,65.4667
2022-03-18,105.67,65.47
2022-03-21,105.31,65.7933
2022-03-22,106.12,66.1467
2022-03-23,104.58,65.74
2022-03-24,105.22,66.0033
2022-03-25,105.65,66.6833
2022-03-28,105.91,66.68
2022-03-29,107.85,67.08
2022-03-30,107.06,66.9933
2022-03-31,105.43,66.7933
2022-04-01,105.45,67.64
2022-04-04,105.81,67.3267
2022-04-05,104.3,67.34
2022-04-06,102.97,68.1933
2022-04-07,102.9,68.82
2022-04-08,102.55,69.37
2022-04-11,101.75,69.3133
2022-04-12,101.35,69.39
2022-04-13,102.34,69.64
2022-04-14,101.95,69.6133
2022-04-18,101.62,69.1633
2022-04-19,103.64,69.9967
2022-04-20,104.0,71.0867
2022-04-21,102.75,71.1367
2022-04-22,99.81,70.01
2022-04-25,100.32,70.3067
2022-04-26,97.56,69.4267
2022-04-27,98.54,69.7033
2022-04-28,100.65,70.5633
2022-04-29,97.52,68.7867
2022-05-02,97.77,67.9033
2022-05-03,98.26,67.9233
2022-05-04,101.39,69.3933
2022-05-05,97.84,68.2867
2022-05-06,96.57,68.6733
2022-05-09,93.71,68.5067
2022-05-10,93.2,68.06
2022-05-11,92.16,68.12
2022-05-12,92.25,68.0033
2022-05-13,94.03,68.92
2022-05-16,93.56,69.3833
2022-05-17,95.88,69.4333
2022-05-18,92.57,65.6067
2022-05-19,92.1,64.4467
2022-05-20,91.62,64.7767
2022-05-23,93.52,66.0167
2022-05-24,92.72,67.0767
2022-05-25,93.49,67.23
2022-05-26,95.53,67.5667
2022-05-27,97.81,68.1267
2022-05-31,97.02,67.5667
2022-06-01,96.26,66.8167
2022-06-02,98.44,67.3533
2022-06-03,97.75,66.6367
2022-06-06,98.26,66.7733
2022-06-07,99.36,67.2033
2022-06-08,97.82,66.3567
2022-06-09,95.32,64.9633
2022-06-10,92.2,64.72
2022-06-13,88.92,63.2733
2022-06-14,88.7,62.47
2022-06-15,89.76,62.4967
2022-06-16,86.15,61.9733
2022-06-17,86.43,61.7533
2022-06-21,87.85,63.3133
2022-06-22,87.53,63.3067
2022-06-23,87.52,64.2067
2022-06-24,90.86,65.5267
2022-06-27,90.53,65.5067
2022-06-28,88.94,64.7567
2022-06-29,88.51,65.1633
2022-06-30,88.13,64.9833
2022-07-01,89.15,65.9167
2022-07-05,88.57,65.17
2022-07-06,88.92,65.26
2022-07-07,90.02,65.3933
2022-07-08,89.67,65.2833
2022-07-11,89.06,65.21
2022-07-12,88.83,65.1333
2022-07-13,88.11,65.0433
2022-07-14,87.54,64.75
2022-07-15,89.2,64.9167
2022-07-18,88.65,64.32
2022-07-19,91.83,65.0867
2022-07-20,92.63,64.4233
2022-07-21,93.72,64.4933
2022-07-22,93.33,65.06
2022-07-25,93.64,65.54
2022-07-26,92.88,65.92
2022-07-27,94.47,66.1233
2022-07-28,96.23,66.9233
2022-07-29,97.84,66.2833
2022-08-01,97.86,67.0367
2022-08-02,96.78,66.5
2022-08-03,98.03,67.1067
2022-08-04,98.25,66.7967
2022-08-05,98.35,66.8367
2022-08-08,98.29,66.82
2022-08-09,97.55,66.87
2022-08-10,99.85,67.37
2022-08-11,100.18,67.3033
2022-08-12,101.66,67.89
2022-08-15,102.13,68.5667
2022-08-16,102.55,69.09
2022-08-17,101.46,68.7733
2022-08-18,101.86,68.8633
2022-08-19,100.49,68.8733
2022-08-22,98.35,68.1833
2022-08-23,98.17,67.86
2022-08-24,98.45,68.0167
2022-08-25,100.04,68.2433
2022-08-26,96.44,66.78
2022-08-29,95.86,66.7067
2022-08-30,94.79,65.98
2022-08-31,93.96,65.65
2022-09-01,93.96,66.0533
2022-09-02,92.97,65.2467
2022-09-06,93.02,64.73
2022-09-07,94.71,65.8533
2022-09-08,95.16,65.8067
2022-09-09,96.65,66.37
2022-09-12,97.47,66.53
2022-09-13,93.62,64.4733
2022-09-14,93.27,64.4867
2022-09-15,92.22,64.0367
2022-09-16,90.45,64.1767
2022-09-19,91.41,64.6333
2022-09-20,90.25,64.3367
2022-09-21,88.82,64.0133
2022-09-22,87.28,64.0367
2022-09-23,85.87,63.0967
2022-09-26,84.49,62.35
2022-09-27,84.08,61.2733
2022-09-28,86.01,61.9767
2022-09-29,84.64,60.98
2022-09-30,83.78,59.9433
2022-10-03,86.11,61.0267
2022-10-04,89.16,62.11
2022-10-05,89.13,61.8233
2022-10-06,88.14,60.7333
2022-10-07,86.23,59.7667
2022-10-10,86.0,60.0167
2022-10-11,85.44,60.47
2022-10-12,84.86,60.8267
2022-10-13,86.85,62.0967
2022-10-14,84.9,60.9333
2022-10-17,87.05,61.6267
2022-10-18,88.84,62.3333
2022-10-19,87.85,62.1333
2022-10-20,86.57,61.3367
2022-10-21,88.71,62.28
2022-10-24,89.68,63.3167
2022-10-25,91.32,64.07
2022-10-26,92.02,64.5833
2022-10-27,92.62,64.7433
2022-10-28,94.81,66.0833
2022-10-31,94.13,65.8267
2022-11-01,94.17,65.5667
2022-11-02,91.76,64.79
2022-11-03,91.0,64.6133
2022-11-04,92.56,65.2967
2022-11-07,93.86,65.9433
2022-11-08,94.83,66.1367
2022-11-09,93.05,65.3733
2022-11-10,98.15,66.5233
2022-11-11,98.63,66.11
2022-11-14,97.94,65.86
2022-11-15,98.81,65.94
2022-11-16,97.94,66.3367
2022-11-17,97.48,66.2933
2022-11-18,98.05,66.9767
2022-11-21,97.89,67.7967
2022-11-22,99.07,68.3233
2022-11-23,99.55,68.4967
2022-11-25,100.0,68.6833
2022-11-28,98.19,68.3733
2022-11-29,98.34,68.16
2022-11-30,100.63,69.4267
2022-12-01,100.88,69.52
2022-12-02,101.21,70.0133
2022-12-05,99.32,69.1567
2022-12-06,97.83,68.7133
2022-12-07,97.83,69.1333
2022-12-08,98.54,69.4067
2022-12-09,97.81,68.82
2022-12-12,99.59,69.4333
2022-12-13,99.88,68.75
2022-12-14,99.47,68.7433
2022-12-15,96.7,67.7233
2022-12-16,95.87,67.4267
2022-12-19,95.05,67.3967
2022-12-20,95.37,67.36
2022-12-21,96.92,67.9267
2022-12-22,95.64,67.8467
2022-12-23,96.24,68.1967
2022-12-27,96.52,68.51
2022-12-28,95.35,67.69
2022-12-29,96.83,67.9233
2022-12-30,96.46,67.5933
2023-01-03,96.76,67.26
2023-01-04,97.94,67.3433
2023-01-05,96.66,66.71
2023-01-06,99.3,68.2467
2023-01-09,99.33,67.6233
2023-01-10,99.87,67.47
2023-01-11,101.06,67.4233
2023-01-12,101.65,66.9667
2023-01-13,101.55,67.2433
2023-01-17,101.05,67.27
2023-01-18,99.29,65.4767
2023-01-19,97.69,65.0733
2023-01-20,99.52,65.3433
2023-01-23,100.58,65.2333
2023-01-24,100.83,65.4467
2023-01-25,100.45,65.7633
2023-01-26,100.8,65.6333
2023-01-27,101.53,65.2933
2023-01-30,100.54,65.3633
2023-01-31,102.26,66.06
2023-02-01,103.09,66.3633
2023-02-02,104.26,65.61
2023-02-03,103.53,65.44
2023-02-06,102.86,65.4867
2023-02-07,103.59,65.2633
2023-02-08,102.64,65.0433
2023-02-09,101.93,64.7967
2023-02-10,102.22,65.4833
2023-02-13,103.1,66.0933
2023-02-14,102.88,65.4
2023-02-15,103.52,65.4467
2023-02-16,102.32,65.0933
2023-02-17,102.31,65.82
2023-02-21,100.04,65.5467
2023-02-22,99.87,65.6267
2023-02-23,100.33,65.5667
2023-02-24,99.63,65.17
2023-02-27,100.24,65.07
2023-02-28,100.12,64.3833
2023-03-01,100.28,64.0167
2023-03-02,101.29,64.7733
2023-03-03,102.7,64.9433
2023-03-06,102.54,65.1367
2023-03-07,100.97,64.36
2023-03-08,101.09,64.3667
2023-03-09,99.6,63.6967
2023-03-10,97.37,63.4767
2023-03-13,96.31,63.7033
2023-03-14,97.77,64.13
2023-03-15,95.68,64.46
2023-03-16,96.75,64.5267
2023-03-17,95.26,63.9533
2023-03-20,96.44,64.9
2023-03-21,97.94,64.8967
2023-03-22,96.16,64.3
2023-03-23,95.9,63.62
2023-03-24,96.02,64.73
2023-03-27,96.83,65.1267
2023-03-28,97.1,65.37
2023-03-29,98.5,65.8067
2023-03-30,98.75,66.0067
2023-03-31,100.16,66.41
2023-04-03,100.41,66.8367
2023-04-04,98.52,66.7
2023-04-05,97.48,67.2033
2023-04-06,97.29,67.3
2023-04-10,97.95,67.11
2023-04-11,98.66,67.2533
