date,SMH,SOXX
2021-09-20,132.2,152.4633
2021-09-21,132.48,152.9133
2021-09-22,134.87,156.0867
2021-09-23,136.565,158.1667
2021-09-24,136.195,157.6
2021-09-27,135.71,157.2167
2021-09-28,130.245,151.0667
2021-09-29,128.28,148.6833
2021-09-30,128.135,148.6233
2021-10-01,128.245,148.72
2021-10-04,124.905,144.89
2021-10-05,126.66,147.0833
2021-10-06,127.045,147.6567
2021-10-07,128.625,149.3833
2021-10-08,127.375,147.8533
2021-10-11,126.615,146.8633
2021-10-12,125.335,145.03
2021-10-13,126.405,145.8667
2021-10-14,130.2,150.3933
2021-10-15,131.29,151.3967
2021-10-18,132.325,152.6167
2021-10-19,133.84,154.4867
2021-10-20,133.25,154.1667
2021-10-21,134.77,155.72
2021-10-22,133.58,153.9733
2021-10-25,134.255,155.03
2021-10-26,135.02,155.1467
2021-10-27,133.88,154.0333
2021-10-28,136.43,157.5067
2021-10-29,136.82,158.21
2021-11-01,138.39,160.79
2021-11-02,139.915,162.79
2021-11-03,141.3,164.6667
2021-11-04,147.15,170.2067
2021-11-05,148.3,172.0967
2021-11-08,150.97,174.4233
2021-11-09,151.17,174.4233
2021-11-10,146.4,169.28
2021-11-11,149.035,172.86
2021-11-12,150.55,174.55
2021-11-15,150.35,174.42
2021-11-16,152.3,177.0333
2021-11-17,151.395,175.8
2021-11-18,155.12,178.74
2021-11-19,156.1,179.2367
2021-11-22,153.745,176.64
2021-11-23,152.63,175.93
2021-11-24,154.17,177.8633
2021-11-26,149.7,172.9133
2021-11-29,155.71,179.56
2021-11-30,152.45,176.4133
2021-12-01,151.91,175.0033
2021-12-02,152.305,175.2567
2021-12-03,150.575,174.8133
2021-12-06,150.0,174.59
2021-12-07,157.275,183.4
2021-12-08,156.595,182.2067
2021-12-09,152.805,178.0167
2021-12-10,153.775,179.6967
2021-12-13,149.785,174.6267
2021-12-14,148.92,173.7867
2021-12-15,155.08,180.1667
2021-12-16,148.34,172.3067
2021-12-17,147.645,171.9
2021-12-20,145.755,170.5533
2021-12-21,151.02,176.7067
2021-12-22,152.815,178.5433
2021-12-23,154.13,180.27
2021-12-27,158.28,185.21
2021-12-28,156.72,183.1667
2021-12-29,156.695,183.4467
2021-12-30,154.915,181.32
2021-12-31,154.395,180.7733
2022-01-03,157.8,184.3667
2022-01-04,156.98,183.8
2022-01-05,151.595,177.5567
2022-01-06,153.1,178.9367
2022-01-07,148.445,173.7467
2022-01-10,148.635,173.81
2022-01-11,151.635,177.08
2022-01-12,152.93,178.38
2022-01-13,150.27,174.2167
2022-01-14,153.455,178.3867
2022-01-18,146.59,170.4133
2022-01-19,142.54,165.4
2022-01-20,138.175,160.2133
2022-01-21,135.875,157.5467
2022-01-24,137.615,159.3467
2022-01-25,132.165,153.4
2022-01-26,134.07,155.7567
2022-01-27,128.345,148.8233
2022-01-28,130.845,151.6767
2022-01-31,137.7,159.8233
2022-02-01,138.29,161.1533
2022-02-02,141.82,165.2233
2022-02-03,135.53,158.0333
2022-02-04,136.265,158.94
2022-02-07,136.48,158.85
2022-02-08,139.275,162.8667
2022-02-09,144.125,168.21
2022-02-10,139.81,162.9667
2022-02-11,132.625,154.6733
2022-02-14,132.535,154.82
2022-02-15,139.745,163.3633
2022-02-16,139.715,163.4167
2022-02-17,134.115,157.28
2022-02-18,132.625,155.5233
2022-02-22,131.715,154.5767
2022-02-23,128.955,150.8933
2022-02-24,133.38,156.4133
2022-02-25,135.24,159.02
2022-02-28,134.075,158.0533
2022-03-01,129.845,152.3233
2022-03-02,134.095,157.1667
2022-03-03,131.205,153.87
2022-03-04,127.675,149.7867
2022-03-07,121.32,142.2733
2022-03-08,123.15,145.0
2022-03-09,128.5,151.0767
2022-03-10,125.72,147.9767
2022-03-11,122.895,144.8
2022-03-14,119.345,140.1133
2022-03-15,124.345,146.5533
2022-03-16,130.93,154.1
2022-03-17,131.75,155.05
2022-03-18,134.595,158.0767
2022-03-21,134.28,157.7633
2022-03-22,135.205,158.6367
2022-03-23,131.825,154.64
2022-03-24,138.24,162.14
2022-03-25,137.665,161.7733
2022-03-28,138.665,163.03
2022-03-29,141.8,166.7667
2022-03-30,137.685,161.4333
2022-03-31,134.895,157.76
2022-04-01,132.71,154.7033
2022-04-04,134.9,157.2167
2022-04-05,129.08,149.98
2022-04-06,126.41,146.25
2022-04-07,126.43,146.57
2022-04-08,123.425,142.9333
2022-04-11,120.65,139.9967
2022-04-12,120.0,139.57
2022-04-13,122.85,142.5733
2022-04-14,119.11,138.63
2022-04-18,121.15,141.03
2022-04-19,123.73,144.12
2022-04-20,123.505,143.8
2022-04-21,120.12,139.9633
2022-04-22,117.365,136.85
2022-04-25,119.395,139.1633
2022-04-26,114.305,132.9933
2022-04-27,113.755,132.2667
2022-04-28,120.25,139.5567
2022-04-29,114.925,133.5933
2022-05-02,118.27,138.0533
2022-05-03,119.24,139.1967
2022-05-04,123.33,144.5967
2022-05-05,117.54,137.5933
2022-05-06,116.335,136.3667
2022-05-09,110.445,129.4233
2022-05-10,113.3,132.3667
2022-05-11,109.825,128.4567
2022-05-12,110.345,129.2367
2022-05-13,116.13,135.8333
2022-05-16,114.255,133.7667
2022-05-17,119.72,140.2633
2022-05-18,114.0,133.1933
2022-05-19,114.03,132.3867
2022-05-20,114.085,132.3167
2022-05-23,115.0,132.8867
2022-05-24,111.965,129.65
2022-05-25,114.295,131.9833
2022-05-26,118.115,137.14
2022-05-27,122.8,142.78
2022-05-31,122.29,142.0467
2022-06-01,120.28,139.7933
2022-06-02,124.53,144.6633
2022-06-03,120.86,140.3367
2022-06-06,120.96,140.58
2022-06-07,121.925,141.7033
2022-06-08,119.385,138.6867
2022-06-09,116.21,134.5467
2022-06-10,111.91,129.7667
2022-06-13,105.69,122.28
2022-06-14,106.465,122.96
2022-06-15,108.415,125.0733
2022-06-16,101.99,117.5367
2022-06-17,102.825,118.0133
2022-06-21,105.74,121.1033
2022-06-22,104.25,119.84
2022-06-23,103.71,119.0267
2022-06-24,108.08,124.3
2022-06-27,107.72,123.96
2022-06-28,105.005,120.9367
2022-06-29,103.155,118.0833
2022-06-30,101.865,116.5367
2022-07-01,97.995,112.4133
2022-07-05,98.51,113.3
2022-07-06,99.18,113.8533
2022-07-07,103.76,118.95
2022-07-08,104.32,119.5167
2022-07-11,101.82,116.7633
2022-07-12,101.78,117.09
2022-07-13,102.585,117.75
2022-07-14,104.75,120.2467
2022-07-15,107.395,123.1167
2022-07-18,106.6,122.7233
2022-07-19,111.47,128.1333
2022-07-20,114.095,131.4
2022-07-21,116.01,133.5467
2022-07-22,113.385,130.2567
2022-07-25,112.685,129.4333
2022-07-26,110.985,127.2767
2022-07-27,116.18,133.1
2022-07-28,117.6,134.74
2022-07-29,118.58,135.7767
2022-08-01,118.82,136.3
2022-08-02,118.575,136.04
2022-08-03,121.41,139.82
2022-08-04,122.645,140.83
2022-08-05,121.81,139.7333
2022-08-08,119.705,137.62
2022-08-09,114.695,131.3133
2022-08-10,119.34,136.7633
2022-08-11,119.315,136.5867
2022-08-12,122.685,140.5833
2022-08-15,123.24,141.1067
2022-08-16,121.85,139.6633
2022-08-17,119.235,136.29
2022-08-18,120.9,139.3967
2022-08-19,117.495,135.6333
2022-08-22,113.4,130.53
2022-08-23,114.135,131.18
2022-08-24,114.06,131.51
2022-08-25,117.89,136.33
2022-08-26,111.335,128.5967
2022-08-29,109.27,126.0
2022-08-30,108.02,124.5333
2022-08-31,107.285,123.23
2022-09-01,104.94,120.9433
2022-09-02,103.91,119.6167
2022-09-06,102.75,118.2367
2022-09-07,104.39,120.2367
2022-09-08,105.805,122.2633
2022-09-09,108.43,125.1967
2022-09-12,108.7,125.8067
2022-09-13,102.23,117.9933
2022-09-14,103.34,119.3333
2022-09-15,101.5,117.3533
2022-09-16,101.955,118.0567
2022-09-19,102.625,118.6767
2022-09-20,101.205,117.1
2022-09-21,100.36,115.9167
2022-09-22,97.58,112.7633
2022-09-23,96.185,111.2533
2022-09-26,95.065,108.9933
2022-09-27,95.785,110.0067
2022-09-28,97.005,111.5667
2022-09-29,93.95,108.0967
2022-09-30,92.56,106.2433
2022-10-03,95.88,109.9167
2022-10-04,99.98,115.0733
2022-10-05,100.97,116.0133
2022-10-06,100.28,115.55
2022-10-07,94.3,108.6167
2022-10-10,91.15,104.9233
2022-10-11,88.275,101.9733
2022-10-12,87.745,100.9833
2022-10-13,90.43,103.89
2022-10-14,86.575,99.56
2022-10-17,88.625,101.67
2022-10-18,88.645,102.02
2022-10-19,89.36,102.6733
2022-10-20,90.07,103.31
2022-10-21,93.175,107.15
2022-10-24,93.47,107.6133
2022-10-25,94.95,110.07
2022-10-26,94.02,108.9867
2022-10-27,92.845,107.0533
2022-10-28,96.39,111.25
2022-10-31,94.61,108.8267
2022-11-01,95.265,109.7033
2022-11-02,92.535,106.24
2022-11-03,91.45,104.8167
2022-11-04,95.7,109.6667
2022-11-07,97.59,112.0367
2022-11-08,99.695,114.5033
2022-11-09,96.985,110.8433
2022-11-10,106.895,122.3133
2022-11-11,110.4,126.0567
2022-11-14,109.355,124.6767
2022-11-15,112.8,128.29
2022-11-16,108.74,122.9933
2022-11-17,109.56,123.9567
2022-11-18,109.76,124.2333
2022-11-21,107.84,122.1733
2022-11-22,110.975,125.8133
2022-11-23,111.94,127.3333
2022-11-25,110.625,125.6367
2022-11-28,108.015,122.4967
2022-11-29,107.72,122.0233
2022-11-30,113.865,129.3433
2022-12-01,113.5,128.4133
2022-12-02,111.94,126.9633
2022-12-05,110.605,125.3567
2022-12-06,108.18,122.72
2022-12-07,108.155,122.4567
2022-12-08,110.91,125.9967
2022-12-09,110.02,124.83
2022-12-12,111.98,127.04
2022-12-13,113.845,128.8633
2022-12-14,111.885,126.93
2022-12-15,107.625,121.56
2022-12-16,106.79,120.64
2022-12-19,104.34,119.1467
2022-12-20,103.83,118.42
2022-12-21,106.15,121.0867
2022-12-22,101.75,116.1933
2022-12-23,101.74,116.2933
2022-12-27,99.92,114.1933
2022-12-28,98.65,112.51
2022-12-29,101.87,116.1
2022-12-30,101.47,115.9933
2023-01-03,100.69,114.8633
2023-01-04,103.25,117.82
2023-01-05,101.4,115.8333
2023-01-06,105.835,121.2233
2023-01-09,108.14,123.4567
2023-01-10,109.545,125.0533
2023-01-11,110.83,126.6667
2023-01-12,112.49,128.2067
2023-01-13,112.895,128.7367
2023-01-17,113.565,128.8833
2023-01-18,112.855,128.2067
2023-01-19,110.095,124.61
2023-01-20,113.675,128.51
2023-01-23,119.035,134.9633
2023-01-24,118.19,133.9433
2023-01-25,118.31,134.3067
2023-01-26,120.43,136.57
2023-01-27,119.64,135.7
2023-01-30,116.775,132.0967
2023-01-31,118.55,134.56
2023-02-01,124.14,141.5767
2023-02-02,126.795,144.8567
2023-02-03,124.465,142.03
2023-02-06,122.395,139.7233
2023-02-07,126.07,144.1667
2023-02-08,123.6,141.0667
2023-02-09,124.09,141.4267
2023-02-10,122.005,139.1767
2023-02-13,123.84,141.2233
2023-02-14,126.505,143.7867
2023-02-15,126.5,144.3733
2023-02-16,123.065,140.8333
2023-02-17,121.385,138.64
2023-02-21,117.695,134.15
2023-02-22,117.12,133.5067
2023-02-23,121.27,137.8967
2023-02-24,119.105,135.4267
2023-02-27,119.64,136.1433
2023-02-28,119.7,136.61
2023-03-01,119.78,136.6467
2023-03-02,120.84,137.74
2023-03-03,122.48,139.8633
2023-03-06,121.39,138.2367
2023-03-07,120.035,136.78
2023-03-08,123.175,140.4167
2023-03-09,120.815,137.6267
2023-03-10,118.86,134.9667
2023-03-13,118.78,135.0067
2023-03-14,122.335,138.9533
2023-03-15,120.96,137.3333
2023-03-16,125.8,142.6967
2023-03-17,125.16,141.8133
2023-03-20,126.42,143.3133
2023-03-21,126.82,143.5967
2023-03-22,126.005,142.17
2023-03-23,129.355,145.6767
2023-03-24,127.31,143.15
2023-03-27,125.825,141.47
2023-03-28,124.95,140.41
2023-03-29,128.84,144.9233
2023-03-30,130.685,147.31
2023-03-31,131.595,148.2233
2023-04-03,130.845,146.9433
2023-04-04,128.835,144.2033
2023-04-05,126.58,141.7033
2023-04-06,126.2,140.9733
2023-04-10,128.11,143.4633
2023-04-11,127.43,142.71
2023-04-12,125.165,140.1
2023-04-13,126.175,141.2533
2023-04-14,126.04,141.0333
2023-04-17,125.95,141.0333
2023-04-18,126.515,141.6433
2023-04-19,125.315,140.0933
2023-04-20,125.455,139.9633
2023-04-21,124.17,138.9367
2023-04-24,123.505,138.3133
2023-04-25,119.59,133.6667
2023-04-26,120.425,134.38
2023-04-27,121.59,134.9467
2023-04-28,123.625,137.38
2023-05-01,124.57,138.6233
2023-05-02,123.49,137.6333
2023-05-03,122.215,136.0533
2023-05-04,121.805,135.29
2023-05-05,124.38,138.3
2023-05-08,125.07,138.8833
2023-05-09,123.14,136.52
2023-05-10,124.14,137.91
2023-05-11,123.04,137.0067
2023-05-12,122.9,136.88
2023-05-15,126.12,140.5967
2023-05-16,126.09,140.3333
2023-05-17,129.5,143.8
2023-05-18,134.04,148.3433
2023-05-19,133.3,147.58
2023-05-22,133.19,148.09
2023-05-23,131.27,146.26
2023-05-24,129.34,143.6433
2023-05-25,140.46,153.21
2023-05-26,147.36,163.2233
2023-05-30,148.07,163.0867
2023-05-31,144.33,158.9
2023-06-01,146.5,161.6333
2023-06-02,146.14,161.2533
2023-06-05,144.31,158.7567
2023-06-06,145.33,160.6733
2023-06-07,144.5,160.22
2023-06-08,146.17,161.86
2023-06-09,146.84,162.2867
2023-06-12,151.18,167.5133
2023-06-13,153.27,169.7567
2023-06-14,155.6,172.1667
2023-06-15,154.48,170.7433
2023-06-16,153.38,169.1667
2023-06-20,152.84,167.7967
2023-06-21,149.34,163.7067
2023-06-22,150.08,164.47
2023-06-23,147.53,161.5733
2023-06-26,146.85,162.0967
2023-06-27,151.51,167.76
2023-06-28,150.14,166.4667
2023-06-29,149.92,166.5133
2023-06-30,152.25,169.0867
2023-07-03,153.6,170.59
2023-07-05,150.7,166.82
2023-07-06,148.91,164.7167
2023-07-07,149.05,164.7867
2023-07-10,151.16,168.2167
2023-07-11,151.32,168.2233
2023-07-12,154.5,171.3567
2023-07-13,158.21,174.8967
2023-07-14,156.9,172.71
2023-07-17,159.82,176.8433
2023-07-18,160.26,177.17
2023-07-19,158.58,175.0667
2023-07-20,152.97,168.7
2023-07-21,153.79,170.2233
2023-07-24,153.92,170.2167
2023-07-25,156.39,173.08
2023-07-26,154.68,170.69
2023-07-27,157.46,173.9
2023-07-28,160.5,177.6967
2023-07-31,160.62,178.4333
2023-08-01,160.53,178.5467
2023-08-02,154.64,171.7133
2023-08-03,154.19,171.2733
2023-08-04,154.25,171.0033
2023-08-07,155.91,172.8033
2023-08-08,153.34,170.0533
2023-08-09,150.3,166.9333
2023-08-10,149.97,166.26
2023-08-11,146.21,162.23
2023-08-14,150.66,166.91
2023-08-15,148.85,164.1233
2023-08-16,146.5,160.9467
2023-08-17,145.51,159.3733
2023-08-18,146.13,160.23
2023-08-21,151.04,164.8333
2023-08-22,149.53,163.38
2023-08-23,152.77,166.72
2023-08-24,148.82,161.21
2023-08-25,149.09,161.9033
2023-08-28,150.93,163.9533
2023-08-29,154.8,168.26
2023-08-30,155.59,169.0533
2023-08-31,156.22,170.2233
2023-09-01,156.21,170.6667
2023-09-05,156.58,170.61
2023-09-06,154.76,169.3767
2023-09-07,151.33,165.5
2023-09-08,150.38,164.6433
2023-09-11,150.49,164.55
2023-09-12,149.36,163.1533
2023-09-13,150.57,163.99
2023-09-14,151.39,165.1633
2023-09-15,146.81,160.3967
2023-09-18,147.3,160.9433
2023-09-19,146.03,159.5867
2023-09-20,143.63,156.9667
2023-09-21,140.76,154.07
2023-09-22,141.96,155.3533
2023-09-25,142.96,156.49
2023-09-26,140.7,153.1033
2023-09-27,141.99,154.4533
2023-09-28,144.29,157.3133
2023-09-29,144.98,157.8833
2023-10-02,146.23,158.68
2023-10-03,142.98,155.3967
2023-10-04,145.21,157.46
2023-10-05,145.21,156.6967
2023-10-06,148.35,160.0633
2023-10-09,147.97,159.6633
2023-10-10,149.8,161.71
2023-10-11,151.42,162.9267
2023-10-12,152.19,163.3433
2023-10-13,148.38,158.8967
2023-10-16,150.09,161.1467
2023-10-17,148.32,159.97
2023-10-18,145.35,157.0867
2023-10-19,144.36,154.6667
2023-10-20,142.1,152.43
2023-10-23,142.6,151.5633
2023-10-24,144.27,153.62
2023-10-25,138.68,147.41
2023-10-26,137.46,146.5333
2023-10-27,138.31,148.11
2023-10-30,137.96,146.1267
2023-10-31,138.95,147.4633
2023-11-01,142.41,150.9333
2023-11-02,146.1,154.3633
2023-11-03,149.51,158.42
2023-11-06,149.95,158.1267
2023-11-07,150.89,159.1333
2023-11-08,151.43,159.2933
2023-11-09,151.16,158.53
2023-11-10,157.28,164.9233
2023-11-13,156.32,163.3167
2023-11-14,161.09,169.3567
2023-11-15,161.21,170.5867
2023-11-16,161.81,170.67
2023-11-17,162.57,171.87
2023-11-20,164.9,174.4033
2023-11-21,162.47,171.1433
2023-11-22,162.12,171.69
2023-11-24,161.76,171.8133
2023-11-27,161.66,171.5733
2023-11-28,160.73,170.57
2023-11-29,162.21,172.42
2023-11-30,160.48,171.2167
2023-12-01,161.13,172.02
2023-12-04,158.78,170.0933
2023-12-05,158.78,169.1267
2023-12-06,157.5,168.0833
2023-12-07,161.1,172.59
2023-12-08,162.48,173.9533
2023-12-11,166.38,179.8867
2023-12-12,168.14,181.1833
2023-12-13,170.12,183.9733
2023-12-14,173.26,189.0733
2023-12-15,174.08,189.7767
2023-12-18,173.34,189.25
2023-12-19,173.92,190.26
2023-12-20,169.08,184.2567
2023-12-21,173.26,189.3567
2023-12-22,173.28,189.9633
2023-12-26,175.67,193.32
2023-12-27,175.86,193.8167
2023-12-28,175.82,193.4533
2023-12-29,174.87,192.0333
2024-01-02,168.97,185.1167
2024-01-03,165.97,181.14
2024-01-04,164.99,179.6167
2024-01-05,166.08,180.6133
2024-01-08,171.96,186.4967
2024-01-09,172.42,186.56
2024-01-10,172.58,185.9333
2024-01-11,173.56,186.62
2024-01-12,172.95,185.7967
2024-01-16,175.7,188.43
2024-01-17,174.64,186.7033
2024-01-18,180.31,192.8667
2024-01-19,187.18,200.41
2024-01-22,188.05,201.0667
2024-01-23,189.01,202.4
2024-01-24,192.37,205.3467
2024-01-25,192.37,204.7767
2024-01-26,188.27,199.2567
2024-01-29,190.48,201.33
2024-01-30,188.59,198.22
2024-01-31,185.87,195.35
2024-02-01,187.57,196.3167
2024-02-02,191.22,198.8233
2024-02-05,194.95,201.54
2024-02-06,192.74,199.19
2024-02-07,196.63,202.2367
2024-02-08,199.43,205.7133
2024-02-09,203.85,209.81
2024-02-12,203.06,209.43
2024-02-13,199.3,205.1267
2024-02-14,203.3,209.76
2024-02-15,202.62,209.56
2024-02-16,201.75,208.3733
2024-02-20,197.78,204.8667
2024-02-21,196.51,204.3967
2024-02-22,209.93,214.47
2024-02-23,208.62,212.1567
2024-02-26,210.35,214.25
2024-02-27,209.74,214.0367
2024-02-28,207.41,211.63
2024-02-29,211.95,217.3633
2024-03-01,220.54,226.6133
2024-03-04,224.09,228.84
2024-03-05,220.66,224.3533
2024-03-06,226.35,229.8667
2024-03-07,234.17,237.75
2024-03-08,224.99,228.13
2024-03-11,220.98,225.1
2024-03-12,227.97,229.77
2024-03-13,223.46,224.17
2024-03-14,219.46,220.34
2024-03-15,217.84,218.76
2024-03-18,218.28,218.59
2024-03-19,217.8,216.76
2024-03-20,221.29,220.45
2024-03-21,226.31,225.18
2024-03-22,227.64,225.45
2024-03-25,227.08,224.57
2024-03-26,224.97,222.88
2024-03-27,224.89,225.68
2024-03-28,224.99,225.92
2024-04-01,227.94,228.3
2024-04-02,225.01,224.78
2024-04-03,225.91,225.41
2024-04-04,219.89,219.03
2024-04-05,222.64,221.63
2024-04-08,223.06,222.2
2024-04-09,224.1,224.59
2024-04-10,222.15,220.49
2024-04-11,227.31,225.47
2024-04-12,220.68,218.07
2024-04-15,217.36,215.31
2024-04-16,219.16,216.94
2024-04-17,212.4,210.36
2024-04-18,208.63,206.63
2024-04-19,199.21,198.39
2024-04-22,203.02,201.66
2024-04-23,207.8,205.87
2024-04-24,208.04,208.54
2024-04-25,212.2,212.41
2024-04-26,217.64,216.9
2024-04-29,218.38,218.55
2024-04-30,214.09,213.99
2024-05-01,207.85,206.76
2024-05-02,212.03,211.41
2024-05-03,217.73,216.17
2024-05-06,222.67,220.66
2024-05-07,220.73,218.71
2024-05-08,221.4,218.92
2024-05-09,219.98,218.1
2024-05-10,223.3,220.24
2024-05-13,223.26,220.7
2024-05-14,227.08,224.37
2024-05-15,233.9,230.67
2024-05-16,232.2,229.54
2024-05-17,230.25,228.24
2024-05-20,235.0,233.26
2024-05-21,234.67,232.51
2024-05-22,236.59,235.24
2024-05-23,239.82,233.92
2024-05-24,244.26,238.56
2024-05-28,249.83,242.59
2024-05-29,245.65,237.58
2024-05-30,242.27,235.93
2024-05-31,240.48,234.01
2024-06-03,243.48,234.39
2024-06-04,242.6,232.56
2024-06-05,254.41,242.73
2024-06-06,252.41,240.74
2024-06-07,252.21,240.02
2024-06-10,255.86,243.48
2024-06-11,255.48,243.37
2024-06-12,263.09,250.23
2024-06-13,267.21,252.95
2024-06-14,267.89,252.04
2024-06-17,272.48,256.02
2024-06-18,276.76,259.28
2024-06-20,268.92,252.24
2024-06-21,264.89,249.78
2024-06-24,255.78,242.65
2024-06-25,261.77,246.38
2024-06-26,260.91,245.42
2024-06-27,258.86,244.16
2024-06-28,260.7,246.63
2024-07-01,261.01,246.62
2024-07-02,263.63,250.09
2024-07-03,269.62,254.26
2024-07-05,269.72,254.76
2024-07-08,274.21,259.59
2024-07-09,274.81,259.47
2024-07-10,281.27,265.49
2024-07-11,271.02,256.76
2024-07-12,274.45,259.89
2024-07-15,273.83,260.18
2024-07-16,273.71,261.79
2024-07-17,254.22,243.17
2024-07-18,255.54,243.9
2024-07-19,248.14,236.44
2024-07-22,257.72,246.24
2024-07-23,254.86,242.57
2024-07-24,240.98,229.67
2024-07-25,236.56,224.55
2024-07-26,240.31,229.37
2024-07-29,238.6,228.89
2024-07-30,229.47,220.58
2024-07-31,246.99,235.38
2024-08-01,231.01,218.42
2024-08-02,218.43,206.81
2024-08-05,213.31,203.16
2024-08-06,217.46,205.0
2024-08-07,211.47,199.29
2024-08-08,224.91,213.04
2024-08-09,224.85,211.78
2024-08-12,226.96,213.0
2024-08-13,236.19,221.65
2024-08-14,236.39,221.09
2024-08-15,246.37,231.72
2024-08-16,246.71,231.23
2024-08-19,251.34,235.16
2024-08-20,248.06,232.05
2024-08-21,250.63,235.34
2024-08-22,242.42,227.3
2024-08-23,248.39,233.39
2024-08-26,242.57,227.53
2024-08-27,245.01,230.05
2024-08-28,240.89,225.9
2024-08-29,237.91,225.25
2024-08-30,243.46,231.14
2024-09-03,225.19,213.5
2024-09-04,224.65,214.2
2024-09-05,224.26,213.05
2024-09-06,215.0,203.93
2024-09-09,219.86,207.96
2024-09-10,221.94,210.15
2024-09-11,233.4,219.91
2024-09-12,233.9,218.94
2024-09-13,236.91,222.85
2024-09-16,233.8,219.88
2024-09-17,233.72,220.15
2024-09-18,231.06,217.72
2024-09-19,241.09,226.99
2024-09-20,237.9,223.67
2024-09-23,238.95,224.54
2024-09-24,243.4,227.26
2024-09-25,245.54,228.27
2024-09-26,252.62,236.43
2024-09-27,247.74,232.68
2024-09-30,245.45,230.59
2024-10-01,238.88,224.13
2024-10-02,242.32,227.15
2024-10-03,244.55,227.96
2024-10-04,247.82,231.08
2024-10-07,248.22,230.45
2024-10-08,252.52,232.72
2024-10-09,255.15,235.15
2024-10-10,254.65,233.5
2024-10-11,256.69,235.46
2024-10-14,261.28,239.8
2024-10-15,247.16,227.36
2024-10-16,247.32,227.36
2024-10-17,251.58,229.15
2024-10-18,251.51,229.36
2024-10-21,252.84,228.93
2024-10-22,251.69,228.08
2024-10-23,249.01,226.04
2024-10-24,250.06,227.3
2024-10-25,252.96,229.58
2024-10-28,251.21,229.72
2024-10-29,256.92,235.37
2024-10-30,250.68,227.07
2024-10-31,241.68,218.26
2024-11-01,244.75,220.58
2024-11-04,244.27,219.31
2024-11-05,248.31,221.87
2024-11-06,254.81,228.34
2024-11-07,261.02,233.1
2024-11-08,259.34,231.36
2024-11-11,253.53,225.57
2024-11-12,251.86,223.11
2024-11-13,247.63,218.37
2024-11-14,248.18,218.24
2024-11-15,239.95,211.21
2024-11-18,241.54,213.94
2024-11-19,244.18,214.35
2024-11-20,242.54,212.71
2024-11-21,246.1,216.08
2024-11-22,244.62,216.17
2024-11-25,243.66,218.28
2024-11-26,241.42,215.45
2024-11-27,238.25,212.56
2024-11-29,242.13,215.4
2024-12-02,247.87,221.06
2024-12-03,248.42,219.81
2024-12-04,252.63,222.72
2024-12-05,248.3,218.51
2024-12-06,248.61,219.83
2024-12-09,246.07,218.77
2024-12-10,239.88,213.57
2024-12-11,245.75,218.94
2024-12-12,243.37,217.24
2024-12-13,249.49,223.3
2024-12-16,253.25,227.44
2024-12-17,249.96,223.87
2024-12-18,241.99,215.59
2024-12-19,238.87,211.97
2024-12-20,242.71,214.82
2024-12-23,249.22,221.32
2024-12-24,251.37,223.6
2024-12-26,250.93,223.53
2024-12-27,248.4,221.64
2024-12-30,244.66,217.28
2024-12-31,242.17,215.49
2025-01-02,244.79,216.82
2025-01-03,251.88,222.47
2025-01-06,260.23,228.91
2025-01-07,254.04,225.79
2025-01-08,252.23,223.54
2025-01-10,247.18,218.2
2025-01-13,244.64,217.53
2025-01-14,245.44,218.96
2025-01-15,251.21,223.21
2025-01-16,252.29,223.54
2025-01-17,258.25,229.74
2025-01-21,262.39,232.45
2025-01-22,267.17,235.81
2025-01-23,266.85,235.37
2025-01-24,261.53,230.64
2025-01-27,235.81,212.55
2025-01-28,240.45,213.5
2025-01-29,239.53,214.38
2025-01-30,245.17,218.74
2025-01-31,243.62,218.13
2025-02-03,238.78,214.2
2025-02-04,241.47,216.4
2025-02-05,247.14,220.59
2025-02-06,248.35,220.3
2025-02-07,245.0,216.87
2025-02-10,249.62,219.7
2025-02-11,249.87,219.9
2025-02-12,248.51,220.14
2025-02-13,251.92,222.84
2025-02-14,252.58,223.07
2025-02-18,256.22,226.76
2025-02-19,257.34,230.53
2025-02-20,257.8,231.07
2025-02-21,249.99,223.98
2025-02-24,243.42,218.72
2025-02-25,238.25,214.21
2025-02-26,243.82,217.94
2025-02-27,228.79,205.25
2025-02-28,232.77,208.52
2025-03-03,223.01,201.15
2025-03-04,225.23,202.27
2025-03-05,229.4,206.63
2025-03-06,219.78,198.04
2025-03-07,225.09,203.85
2025-03-10,214.53,194.42
2025-03-11,214.22,192.12
2025-03-12,220.52,196.08
2025-03-13,219.55,195.1
2025-03-14,226.57,201.12
2025-03-17,228.96,204.44
2025-03-18,225.42,201.47
2025-03-19,227.41,203.11
2025-03-20,227.05,201.49
2025-03-21,224.77,199.38
2025-03-24,230.63,205.3
2025-03-25,229.65,204.19
2025-03-26,222.01,198.47
2025-03-27,217.75,194.56
2025-03-28,212.17,188.68
2025-03-31,211.47,188.17
2025-04-01,212.49,188.27
2025-04-02,214.09,189.48
2025-04-03,195.57,170.36
2025-04-04,180.8,157.63
2025-04-07,184.9,161.27
2025-04-08,179.95,154.86
2025-04-09,210.83,183.62
2025-04-10,196.21,168.61
2025-04-11,201.31,172.26
2025-04-14,201.61,173.4
2025-04-15,202.92,174.11
