date,AGG,ANGL,BND,BNDX,BWX,CMF,CORP,CWB,EMB,FALN,FENY,FHLC,FIDU,FNCL,FREL,FSTA,FTEC,FUTY,HYG,HYLB,IAGG,ICVT,IDU,IGLB,IGOV,IYE,IYF,IYH,IYJ,IYK,IYR,IYW,JNK,MBB,MUB,PFF,PFFD,SCHQ,SCHZ,SCYB,SPAB,SPBO,SPHY,SPLB,SPMB,SPTL,TFI,USHY,USIG,VCLT,VDC,VDE,VFH,VGLT,VGT,VHT,VIS,VMBS,VNQ,VPU,VTC,VTEB,VTEC,VWOB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV
2021-09-07,115.54,33.22,86.03,57.43,29.43,62.32,114.52,88.24,112.87,30.27,13.28,68.07,54.38,54.1,32.72,43.67,126.66,44.16,87.78,40.2,55.51,103.08,84.41,70.33,52.63,26.25,84.01,58.89,113.06,62.0167,110.03,108.79,109.62,108.49,116.63,39.25,26.0,51.07,27.33,,30.05,35.38,26.8,31.82,25.82,42.04,51.91,41.57,60.61,107.1,186.95,68.2,93.57,89.26,53.6125,264.3,196.6,53.43,109.67,149.51,91.93,55.02,,80.14,24.165,37.84,102.78,79.7,71.99,48.19,34.285,136.05
2021-09-08,115.73,33.27,86.17,57.49,29.41,62.5,114.84,87.74,113.07,30.3,13.12,67.93,54.38,53.96,32.89,44.0,125.92,44.95,87.88,40.21,55.57,102.19,85.94,70.77,52.63,25.94,84.04,58.828,113.0,62.1167,110.64,107.98,109.74,108.57,116.93,39.31,26.02,51.37,27.38,,30.11,35.49,26.84,31.98,25.82,42.3,51.97,41.62,60.77,107.65,188.38,67.36,93.21,89.75,53.3013,263.78,196.53,53.43,110.22,151.98,92.25,55.18,,80.26,23.855,37.75,102.92,79.395,72.61,48.48,34.9,135.99
2021-09-09,116.1,33.28,86.48,57.66,29.53,62.51,115.4,87.62,113.26,30.32,13.16,67.34,54.09,54.04,32.22,43.67,125.5,44.69,87.96,40.26,55.64,102.13,85.46,71.51,52.88,25.97,83.81,58.204,112.47,62.06,108.49,107.68,109.82,108.62,116.93,39.4,26.06,51.96,27.45,,30.19,35.68,26.84,32.35,25.82,42.79,52.04,41.64,61.09,108.84,187.09,67.48,93.45,90.77,53.1275,261.32,195.7,53.48,107.98,151.17,92.71,55.19,,80.36,23.905,37.86,102.42,79.095,72.19,47.45,34.71,134.42
2021-09-10,115.87,33.26,86.27,57.52,29.43,62.52,115.14,87.09,112.9,30.3,13.15,66.74,53.84,53.68,31.75,43.52,124.29,44.04,87.83,40.23,55.57,101.6,84.22,71.18,52.69,25.98,83.06,57.664,111.94,61.79,107.05,106.7,109.71,108.57,116.86,39.32,26.04,51.52,27.395,,30.13,35.6,26.8,32.19,25.8,42.42,51.96,41.61,60.93,108.39,186.25,67.41,92.7,90.08,52.5963,258.98,194.56,53.44,106.4,148.93,92.52,55.15,,80.01,23.895,37.58,101.96,78.315,71.88,46.85,34.225,133.19
2021-09-13,116.02,33.33,86.4,57.54,29.49,62.53,115.38,87.11,113.05,30.34,13.54,66.22,53.98,54.23,32.01,43.63,124.24,43.98,88.05,40.27,55.59,101.42,84.16,71.45,52.71,26.74,83.8,57.318,111.86,61.9833,107.48,106.7,109.97,108.6,116.92,39.26,25.94,51.84,27.43,,30.15,35.66,26.87,32.33,25.81,42.68,52.0,41.73,61.05,108.84,186.61,69.49,93.72,90.61,52.6,257.04,195.21,53.45,107.12,148.72,92.7,55.16,,80.26,24.58,38.01,102.23,78.34,72.06,47.11,34.165,132.37
2021-09-14,116.28,33.35,86.61,57.61,29.46,62.57,115.66,86.74,113.27,30.34,13.33,66.09,53.29,53.47,31.89,43.35,124.12,43.81,88.01,40.27,55.64,101.08,83.77,71.8,52.77,26.32,82.9,57.3,110.78,61.7067,107.21,106.69,109.85,108.64,116.94,39.18,26.0,52.38,27.5,,30.24,35.76,26.88,32.5,25.83,43.15,52.06,41.71,61.21,109.42,185.48,68.33,92.4,91.57,52.5338,256.58,192.73,53.49,106.93,148.08,92.95,55.15,,80.4,24.225,37.5,101.0,78.24,71.73,47.01,34.05,132.35
2021-09-15,116.17,33.43,86.53,57.49,29.45,62.56,115.53,87.18,113.25,30.44,13.85,66.59,53.83,54.04,32.02,43.54,125.17,43.76,88.14,40.35,55.54,101.53,83.64,71.73,52.76,27.31,83.54,57.468,111.75,62.0067,107.61,107.61,110.11,108.63,116.92,39.38,26.06,52.22,27.475,,30.21,35.73,26.94,32.44,25.83,42.99,52.02,41.79,61.15,109.17,186.44,71.08,93.36,91.23,52.9825,258.42,194.84,53.5,107.27,147.99,92.85,55.17,,80.45,25.13,37.86,102.11,78.925,71.99,47.19,34.005,133.21
2021-09-16,115.97,33.43,86.37,57.4,29.31,62.52,115.36,87.39,112.87,30.43,13.7,66.5,53.5,53.94,32.05,43.41,125.42,43.34,88.11,40.36,55.47,101.86,83.02,71.56,52.44,27.02,83.46,57.538,111.2,61.9333,107.81,107.74,110.07,108.5,116.85,39.46,26.12,52.0,27.415,,30.15,35.69,26.94,32.39,25.8,42.81,51.98,41.8,61.08,108.98,185.98,70.29,93.2,90.87,53.0713,257.91,193.7,53.43,107.36,146.61,92.75,55.11,,80.11,24.845,37.75,101.41,78.97,71.75,47.28,33.72,132.87
2021-09-17,115.87,33.36,86.26,57.34,29.17,62.55,115.17,87.48,112.5,30.37,13.4,66.5,52.86,53.46,31.54,42.99,123.48,42.44,88.0,40.31,55.44,101.98,81.77,71.35,52.21,26.81,82.98,57.612,109.93,61.74,106.79,106.21,109.95,108.45,116.86,39.31,26.08,51.73,27.39,,30.12,35.62,26.91,32.3,25.78,42.6,51.99,41.74,60.97,108.67,185.21,69.64,92.84,90.44,52.3588,258.79,191.91,53.4,106.4,144.62,92.58,55.15,,79.91,24.66,37.58,100.33,77.74,71.36,46.85,33.2,133.0
2021-09-20,116.09,33.25,86.5,57.5,29.26,62.6,115.41,86.26,111.98,30.29,13.0,65.68,52.21,52.2,31.37,42.51,121.1,42.28,87.69,40.15,55.53,100.68,81.58,71.63,52.33,25.97,80.97,57.004,108.57,61.2067,106.23,104.11,109.58,108.56,117.03,38.99,25.9,52.35,27.455,,30.2,35.71,26.81,32.46,25.81,43.11,52.04,41.63,61.14,109.18,183.09,67.54,90.61,91.51,51.355,255.61,189.63,53.46,105.75,144.18,92.8,55.19,,79.51,23.62,36.55,98.86,76.19,70.21,46.27,32.89,131.15
