symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
FDIS_XLY_VCR,20,0.0,0.0,10092.437181666464,-2393.2678183333333,-95306.6810298742,-340.0819418238993,190273.28011792453,0.021016562081539538,1.5525969329884306,-2589.523269166706,345,621240.0
FDIS_XLY_VCR,20,0.0002,0.0,9855.236494860934,-2393.268505138889,-95306.61066037735,-339.94120283018856,190273.28011792453,0.02052261370511684,1.5147635365929735,-2589.523269166706,342,604156.0
FDIS_XLY_VCR,20,0.0002,0.0002,9755.712531527586,-2373.8224684722227,-94677.97160377358,-339.90119496855334,189016.0420125786,0.020450491724934447,1.5029068863548865,-2589.5232691667043,345,608666.0
FDIS_XLY_VCR,20,0.0004,0.0,10754.136529444233,-2393.2684705555557,-95306.52599842766,-339.34445754716967,190273.70753930818,0.022394439145600225,1.6455428886705041,-2594.5629536111464,336,595160.0
FDIS_XLY_VCR,20,0.0004,0.0002,10654.612566110885,-2373.822433888889,-94677.8869418239,-339.3044496855344,189016.46943396228,0.022334767726492507,1.6340076561459929,-2594.5629536111464,339,599670.0
FDIS_XLY_VCR,20,0.0004,0.0004,10153.132100555362,-2340.5178994444445,-93420.87316823898,-339.36150943396206,186502.38482704404,0.021570443390914545,1.5671282159757582,-2428.8271313889236,347,603544.0
FDIS_XLY_VCR,20,0.0006,0.0,10428.178136249857,-2387.71686375,-94992.16108490566,-338.5455817610061,189645.7765880503,0.02178756476009921,1.5882227689937327,-2594.5629536111483,322,563680.0
FDIS_XLY_VCR,20,0.0006,0.0002,10328.654172916511,-2368.2708270833336,-94363.52202830189,-338.50557389937086,188388.5384827044,0.021723644382217147,1.5766003344533621,-2594.5629536111464,325,568190.0
FDIS_XLY_VCR,20,0.0006,0.0004,9567.978690694305,-2326.636309305556,-92634.99976415094,-338.55901729559724,184931.4405110063,0.020499953311547414,1.4751518703270567,-2428.8271313889236,333,572064.0
FDIS_XLY_VCR,20,0.0006,0.0006,9897.230532916517,-2240.5194670833334,-89961.04058176102,-338.29251572327024,179583.78864779876,0.021836849544981576,1.5469625981827202,-2639.970149166711,349,583088.0
FDIS_XLY_VCR,20,0.0008,0.0,10803.832603888895,-2382.1523961111116,-94677.35519654088,-337.42233490566025,189017.28805817608,0.022647472651288386,1.6432935576279415,-2567.552203611127,305,535284.0
FDIS_XLY_VCR,20,0.0008,0.0002,10828.91836722222,-2359.931632777778,-93891.65613993711,-337.3981996855345,187445.9140801887,0.022890354932773634,1.6518579415644723,-2567.552203611125,309,542338.0
FDIS_XLY_VCR,20,0.0008,0.0004,10011.202885000004,-2318.2971150000003,-92163.13387578615,-337.41098270440233,183988.85676886793,0.021559474304950695,1.5418101798299755,-2401.8163813889005,316,545690.0
FDIS_XLY_VCR,20,0.0008,0.0006,10361.01491722221,-2223.8350827777776,-89331.71827830188,-337.143254716981,178326.2933018868,0.023021326364026966,1.6174887252852945,-2612.9593991666916,332,556714.0
FDIS_XLY_VCR,20,0.0008,0.0008,10122.398422916594,-2143.2615770833336,-86343.65382075471,-336.1319496855345,172351.17569182388,0.023270869044957173,1.592234898002717,-2447.621940277788,348,571140.0
FDIS_XLY_VCR,20,0.001,0.0,11317.40720625002,-2382.09279375,-94675.17720125786,-333.70903301886784,189016.64536949687,0.02372413115643492,1.716551429539222,-1966.677344444457,293,508290.0
FDIS_XLY_VCR,20,0.001,0.0002,11342.492969583349,-2359.872030416667,-93889.47814465407,-333.68489779874204,187445.27139150945,0.023976040015348882,1.7252901895397468,-1966.677344444457,297,515344.0
FDIS_XLY_VCR,20,0.001,0.0004,10524.77748736113,-2318.237512638889,-92160.95588050314,-333.6976808176099,183988.21408018869,0.022665554281999775,1.6161538900948058,-1838.3376636111243,304,518696.0
FDIS_XLY_VCR,20,0.001,0.0006,11144.842026249999,-2212.67297375,-88701.09650943395,-333.74878930817596,177068.44422955974,0.024938835499841067,1.740594268203306,-2012.0845400000198,320,533440.0
FDIS_XLY_VCR,20,0.001,0.0008,10339.169079722164,-2123.7659202777777,-85555.82164308177,-332.9983490566037,170778.64493710693,0.02398808060001436,1.6295299512611827,-2128.4328352777775,335,545642.0
FDIS_XLY_VCR,20,0.001,0.001,10048.73333374989,-2076.5666662500003,-83512.14773584905,-333.2662814465407,166691.02919025157,0.0238859499783061,1.5950632640436249,-1909.781840277794,344,553226.0
