symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
FENY_XLE_IYE_VDE,20,0.0,0.0,16675.1828069446,-2392.9421930555554,-95287.79044025159,-333.48363207547146,190242.0972484277,0.03473020956035025,2.4229307442420356,-1680.4507341666322,382,1994511.0
FENY_XLE_IYE_VDE,20,0.0002,0.0,16675.1828069446,-2392.9421930555554,-95287.79044025159,-333.48363207547146,190242.0972484277,0.03473020956035025,2.4229307442420356,-1680.4507341666322,382,1994511.0
FENY_XLE_IYE_VDE,20,0.0002,0.0002,16675.1828069446,-2392.9421930555554,-95287.79044025159,-333.48363207547146,190242.0972484277,0.03473020956035025,2.4229307442420356,-1680.4507341666322,382,1994511.0
FENY_XLE_IYE_VDE,20,0.0004,0.0,16764.194687777916,-2392.9403122222225,-95287.7549528302,-333.3794025157231,190242.13050314467,0.03491559280541183,2.435663012501846,-1680.4507341666322,381,1988087.0
FENY_XLE_IYE_VDE,20,0.0004,0.0002,16764.194687777916,-2392.9403122222225,-95287.7549528302,-333.3794025157231,190242.13050314467,0.03491559280541183,2.435663012501846,-1680.4507341666322,381,1988087.0
FENY_XLE_IYE_VDE,20,0.0004,0.0004,16708.472836111257,-2384.612163888889,-95130.62007861635,-333.44814465408786,189927.7920125786,0.03485713293141987,2.427634195887975,-1680.4507341666322,382,1988063.0
FENY_XLE_IYE_VDE,20,0.0006,0.0,15897.116596111237,-2392.9384038888893,-95287.64693396227,-333.0734984276727,190242.22036949685,0.033109672011712055,2.2711255249905995,-1680.4507341666322,375,1936695.0
FENY_XLE_IYE_VDE,20,0.0006,0.0002,15897.116596111237,-2392.9384038888893,-95287.64693396227,-333.0734984276727,190242.22036949685,0.033109672011712055,2.2711255249905995,-1680.4507341666322,375,1936695.0
FENY_XLE_IYE_VDE,20,0.0006,0.0004,15841.39474444458,-2384.6102555555553,-95130.51205974843,-333.1422405660375,189927.8818789308,0.03304822329186354,2.2632341336225754,-1680.4507341666322,376,1936671.0
FENY_XLE_IYE_VDE,20,0.0006,0.0006,16728.570666666794,-2373.499333333333,-94501.59193396226,-333.1076336477985,188670.07623427673,0.035131705658904645,2.4319817053997954,-1680.4507341666322,382,1965567.0
FENY_XLE_IYE_VDE,20,0.0008,0.0,15843.045731389037,-2387.3692686111112,-94972.56201257861,-332.09658018867907,189613.02744496855,0.033106550213939594,2.2600972974212246,-1680.4507341666322,368,1887345.0
FENY_XLE_IYE_VDE,20,0.0008,0.0002,15843.045731389037,-2387.3692686111112,-94972.56201257861,-332.09658018867907,189613.02744496855,0.033106550213939594,2.2600972974212246,-1680.4507341666322,368,1887345.0
FENY_XLE_IYE_VDE,20,0.0008,0.0004,15787.323879722378,-2379.0411202777777,-94815.42713836477,-332.16532232704384,189298.68895440252,0.033044892066328165,2.2522175354065515,-1680.4507341666322,369,1887321.0
FENY_XLE_IYE_VDE,20,0.0008,0.0006,16643.91980361127,-2354.035196388889,-93714.8155345912,-332.123364779874,187097.50770440252,0.035247720602038776,2.417225852071831,-1680.4507341666322,374,1903365.0
FENY_XLE_IYE_VDE,20,0.0008,0.0008,16464.088818055687,-2315.1411819444443,-92613.99836477988,-331.6881053459117,184896.30862421382,0.03528197473877905,2.395997041575225,-1680.4507341666322,379,1914401.0
FENY_XLE_IYE_VDE,20,0.001,0.0,16157.421468888988,-2387.353531111111,-94971.79551886792,-330.8243003144651,189612.7667374214,0.03376353447050211,2.30555570475741,-1680.4507341666322,362,1867629.0
