symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
FIDU_IYJ_XLI_VIS,20,0.0,0.0,9701.693472777806,-2395.436527222222,-95386.39349056604,-663.4234276729557,190109.36355345912,0.020220294009778983,1.0021937381801604,-5419.630172500009,327,569756.0
FIDU_IYJ_XLI_VIS,20,0.0002,0.0,9701.693472777806,-2395.436527222222,-95386.39349056604,-663.4234276729557,190109.36355345912,0.020220294009778983,1.0021937381801604,-5419.630172500009,327,569756.0
FIDU_IYJ_XLI_VIS,20,0.0002,0.0002,9701.693472777806,-2395.436527222222,-95386.39349056604,-663.4234276729557,190109.36355345912,0.020220294009778983,1.0021937381801604,-5419.630172500009,327,569756.0
FIDU_IYJ_XLI_VIS,20,0.0004,0.0,9755.65536111113,-2395.434638888889,-95386.28660377358,-663.3134433962261,190109.25976415092,0.020332772614150434,1.0077859965687863,-5419.630172500009,326,567180.0
FIDU_IYJ_XLI_VIS,20,0.0004,0.0002,9755.65536111113,-2395.434638888889,-95386.28660377358,-663.3134433962261,190109.25976415092,0.020332772614150434,1.0077859965687863,-5419.630172500009,326,567180.0
FIDU_IYJ_XLI_VIS,20,0.0004,0.0004,9784.613444444472,-2392.6565555555553,-95229.03660377358,-663.379795597484,189794.69341194967,0.0204269267937921,1.0108669528540524,-5419.630172500009,327,569184.0
FIDU_IYJ_XLI_VIS,20,0.0006,0.0,10314.19543916668,-2395.4345608333333,-95386.28218553458,-663.2280345911946,190109.33633647798,0.021496875230841775,1.0652473932053008,-5419.630172500009,325,566432.0
FIDU_IYJ_XLI_VIS,20,0.0006,0.0002,10314.19543916668,-2395.4345608333333,-95386.28218553458,-663.2280345911946,190109.33633647798,0.021496875230841775,1.0652473932053008,-5419.630172500009,325,566432.0
FIDU_IYJ_XLI_VIS,20,0.0006,0.0004,10343.153522500023,-2392.6564774999997,-95229.03218553458,-663.2943867924524,189794.76998427673,0.0215929587592434,1.0683334620041158,-5419.630172500009,326,568436.0
FIDU_IYJ_XLI_VIS,20,0.0006,0.0006,10029.650786388913,-2389.879213611111,-95071.82856918238,-663.2988050314462,189480.35833333334,0.020973216489003736,1.03710724755156,-5419.630172500009,327,568436.0
FIDU_IYJ_XLI_VIS,20,0.0008,0.0,10493.215439166688,-2395.4345608333333,-95386.28218553458,-663.1083962264148,190109.45597484277,0.02186997545679044,1.0831613219205838,-5419.630172500009,324,566440.0
FIDU_IYJ_XLI_VIS,20,0.0008,0.0002,10493.215439166688,-2395.4345608333333,-95386.28218553458,-663.1083962264148,190109.45597484277,0.02186997545679044,1.0831613219205838,-5419.630172500009,324,566440.0
FIDU_IYJ_XLI_VIS,20,0.0008,0.0004,10522.17352250003,-2392.6564774999997,-95229.03218553458,-663.1747484276726,189794.88962264152,0.021966677301533663,1.0862475367661681,-5419.630172500009,325,568444.0
FIDU_IYJ_XLI_VIS,20,0.0008,0.0006,10208.67078638892,-2389.879213611111,-95071.82856918238,-663.1791666666664,189480.47797169813,0.02134755554698026,1.0550547370775727,-5419.630172500009,326,568444.0
FIDU_IYJ_XLI_VIS,20,0.0008,0.0008,9980.377436666693,-2384.3225633333336,-94757.30119496856,-663.0960377358488,188851.50635220125,0.02093967503570715,1.0320588528992598,-5419.630172500009,328,569846.0
FIDU_IYJ_XLI_VIS,20,0.001,0.0,10434.17543916671,-2395.4345608333333,-95386.28218553458,-663.1064150943394,190109.45795597482,0.021746923973050537,1.0768704791849226,-5419.630172500009,323,562516.0
FIDU_IYJ_XLI_VIS,20,0.001,0.0002,10434.17543916671,-2395.4345608333333,-95386.28218553458,-663.1064150943394,190109.45795597482,0.021746923973050537,1.0768704791849226,-5419.630172500009,323,562516.0
FIDU_IYJ_XLI_VIS,20,0.001,0.0004,10463.133522500051,-2392.6564774999997,-95229.03218553458,-663.1727672955972,189794.89160377358,0.02184342187106145,1.079955473502365,-5419.630172500009,324,564520.0
FIDU_IYJ_XLI_VIS,20,0.001,0.0006,10149.630786388941,-2389.879213611111,-95071.82856918238,-663.1771855345909,189480.47995283018,0.021224095600893403,1.0487619911030095,-5419.630172500009,325,564520.0
