symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
FREL_XLRE_VNQ_IYR,20,0.0,0.0,14077.82329833348,-2393.2017016666664,-95299.96773584906,-400.44959119496866,190199.48588050314,0.02932713215289523,1.8069304283130543,-1995.939475555544,332,1700441.0
FREL_XLRE_VNQ_IYR,20,0.0002,0.0,14077.82329833348,-2393.2017016666664,-95299.96773584906,-400.44959119496866,190199.48588050314,0.02932713215289523,1.8069304283130543,-1995.939475555544,332,1700441.0
FREL_XLRE_VNQ_IYR,20,0.0002,0.0002,14077.82329833348,-2393.2017016666664,-95299.96773584906,-400.44959119496866,190199.48588050314,0.02932713215289523,1.8069304283130543,-1995.939475555544,332,1700441.0
FREL_XLRE_VNQ_IYR,20,0.0004,0.0,14166.30446083351,-2393.2005391666667,-95299.90193396228,-400.3239150943397,190199.47995283018,0.02951145835437123,1.81807835901643,-1995.939475555544,330,1686169.0
FREL_XLRE_VNQ_IYR,20,0.0004,0.0002,14166.30446083351,-2393.2005391666667,-95299.90193396228,-400.3239150943397,190199.47995283018,0.02951145835437123,1.81807835901643,-1995.939475555544,330,1686169.0
FREL_XLRE_VNQ_IYR,20,0.0004,0.0004,14132.429190000157,-2384.86581,-94828.12481132075,-400.32691823899376,189255.92270440253,0.029587669830943172,1.814202072537045,-1995.939475555544,333,1688227.0
FREL_XLRE_VNQ_IYR,20,0.0006,0.0,13799.437525833477,-2393.197474166667,-95299.79866352201,-399.93539308176116,190199.66193396228,0.028747168136806146,1.7801733017329884,-1995.939475555544,325,1668959.0
FREL_XLRE_VNQ_IYR,20,0.0006,0.0002,13799.437525833477,-2393.197474166667,-95299.79866352201,-399.93539308176116,190199.66193396228,0.028747168136806146,1.7801733017329884,-1995.939475555544,325,1668959.0
FREL_XLRE_VNQ_IYR,20,0.0006,0.0004,13745.312255000128,-2384.862745,-94828.02154088051,-399.9635849056604,189256.07949685535,0.028777177534428888,1.7734877436082288,-1995.939475555544,328,1671007.0
FREL_XLRE_VNQ_IYR,20,0.0006,0.0006,13752.695066666773,-2362.6399333333334,-93884.5315408805,-399.8962735849057,187369.16680817612,0.029082592173394897,1.7767747537200553,-1995.939475555544,334,1677713.0
FREL_XLRE_VNQ_IYR,20,0.0008,0.0,13373.645066388992,-2390.399933611111,-95141.95954402516,-398.8019182389938,189885.1171698113,0.02790630208612193,1.7206447404567609,-1995.939475555544,317,1615315.0
FREL_XLRE_VNQ_IYR,20,0.0008,0.0002,13373.645066388992,-2390.399933611111,-95141.95954402516,-398.8019182389938,189885.1171698113,0.02790630208612193,1.7206447404567609,-1995.939475555544,317,1615315.0
FREL_XLRE_VNQ_IYR,20,0.0008,0.0004,13289.899353055644,-2382.065646944445,-94670.20746855346,-398.8551572327044,188941.5597798742,0.027870041846593925,1.7100750290771263,-1995.939475555544,320,1617367.0
FREL_XLRE_VNQ_IYR,20,0.0008,0.0006,13183.182164722282,-2359.842835277778,-93726.71746855347,-398.75102201257863,187054.68391509433,0.02792512274664315,1.6986414632874853,-1995.939475555544,326,1624005.0
FREL_XLRE_VNQ_IYR,20,0.0008,0.0008,13578.519138055664,-2312.6258619444443,-92468.96297169811,-398.88231132075475,184539.04363207548,0.02915463229065163,1.7577656336287866,-1995.939475555544,334,1637719.0
FREL_XLRE_VNQ_IYR,20,0.001,0.0,12838.25597944454,-2390.3790205555556,-95141.25849056603,-397.47899371069184,189885.03798742138,0.026789136188474994,1.6470907767031804,-1995.939475555544,305,1539927.0
FREL_XLRE_VNQ_IYR,20,0.001,0.0002,12838.25597944454,-2390.3790205555556,-95141.25849056603,-397.47899371069184,189885.03798742138,0.026789136188474994,1.6470907767031804,-1995.939475555544,305,1539927.0
FREL_XLRE_VNQ_IYR,20,0.001,0.0004,12981.853321388982,-2359.821678611111,-94040.4731918239,-397.2959748427673,187683.65040880503,0.027406506595596285,1.6666534016093681,-1995.939475555544,308,1541981.0
FREL_XLRE_VNQ_IYR,20,0.001,0.0006,12875.136133055625,-2337.598866944444,-93096.9831918239,-397.1918396226415,185796.7745440252,0.027457252938712443,1.6551855740162986,-1995.939475555544,314,1548619.0
FREL_XLRE_VNQ_IYR,20,0.001,0.0008,13365.503644444541,-2304.2613555555554,-91996.2239937107,-397.33742138364784,183595.11056603774,0.02884480735157566,1.7264539090444606,-1995.939475555544,320,1567179.0
FREL_XLRE_VNQ_IYR,20,0.001,0.001,13399.798853611226,-2245.916146388889,-89951.54539308176,-396.6567924528303,179506.4339937107,0.02957751510420869,1.736566845192171,-1995.939475555544,329,1584355.0
FREL_XLRE_VNQ_IYR,20,0.0012,0.0,13667.644873611258,-2368.130126388889,-94196.71193396226,-395.05295597484286,187998.37091194966,0.02880600456686881,1.7898716779910275,-1994.5576469444095,294,1470155.0
FREL_XLRE_VNQ_IYR,20,0.0012,0.0002,13667.644873611258,-2368.130126388889,-94196.71193396226,-395.05295597484286,187998.37091194966,0.02880600456686881,1.7898716779910275,-1994.5576469444095,294,1470155.0
FREL_XLRE_VNQ_IYR,20,0.0012,0.0004,13817.211439722363,-2340.3535602777774,-93095.94485849056,-395.0072798742139,185796.8824371069,0.029466286428217744,1.8113645228446744,-1994.5576469444095,295,1472237.0
FREL_XLRE_VNQ_IYR,20,0.0012,0.0006,13710.494251389002,-2318.130748611111,-92152.45485849057,-394.9031446540882,183910.00657232702,0.02953868627188032,1.7998952945963411,-1994.5576469444095,301,1478875.0
FREL_XLRE_VNQ_IYR,20,0.0012,0.0008,14200.86176277792,-2284.793237222222,-91051.69566037736,-395.0487264150945,181708.34259433966,0.030965867979311244,1.8736357669257273,-1994.5576469444095,307,1497435.0
