symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
FSTA_IYK_XLP_VDC,20,0.0,0.0,7208.235237500087,-2398.7165625,-95516.11366352202,-852.7662413522013,190179.46108569184,0.015017884639101196,0.5380068428110383,-4477.338442222217,338,979558.0
FSTA_IYK_XLP_VDC,20,0.0002,0.0,7208.235237500087,-2398.7165625,-95516.11366352202,-852.7662413522013,190179.46108569184,0.015017884639101196,0.5380068428110383,-4477.338442222217,338,979558.0
FSTA_IYK_XLP_VDC,20,0.0002,0.0002,7208.235237500087,-2398.7165625,-95516.11366352202,-852.7662413522013,190179.46108569184,0.015017884639101196,0.5380068428110383,-4477.338442222217,338,979558.0
FSTA_IYK_XLP_VDC,20,0.0004,0.0,8206.226663333397,-2398.7151366666667,-95516.03295597485,-852.7179866352202,190179.34792531448,0.017097144394148858,0.6114416906289327,-4477.338442222217,337,975860.0
FSTA_IYK_XLP_VDC,20,0.0004,0.0002,8206.226663333397,-2398.7151366666667,-95516.03295597485,-852.7179866352202,190179.34792531448,0.017097144394148858,0.6114416906289327,-4477.338442222217,337,975860.0
FSTA_IYK_XLP_VDC,20,0.0004,0.0004,7563.403700000082,-2395.9381000000003,-95358.84220125787,-852.6855338050315,189864.9988687107,0.015783953608187472,0.565016044977962,-4477.338442222217,338,975860.0
FSTA_IYK_XLP_VDC,20,0.0006,0.0,8206.226663333397,-2398.7151366666667,-95516.03295597485,-852.7179866352202,190179.34792531448,0.017097144394148858,0.6114416906289327,-4477.338442222217,337,975860.0
FSTA_IYK_XLP_VDC,20,0.0006,0.0002,8206.226663333397,-2398.7151366666667,-95516.03295597485,-852.7179866352202,190179.34792531448,0.017097144394148858,0.6114416906289327,-4477.338442222217,337,975860.0
FSTA_IYK_XLP_VDC,20,0.0006,0.0004,7563.403700000082,-2395.9381000000003,-95358.84220125787,-852.6855338050315,189864.9988687107,0.015783953608187472,0.565016044977962,-4477.338442222217,338,975860.0
FSTA_IYK_XLP_VDC,20,0.0006,0.0006,7563.403700000082,-2395.9381000000003,-95358.84220125787,-852.6855338050315,189864.9988687107,0.015783953608187472,0.565016044977962,-4477.338442222217,338,975860.0
FSTA_IYK_XLP_VDC,20,0.0008,0.0,7955.369090000043,-2398.71271,-95515.89559748428,-852.5969174528302,190179.19427751572,0.016574512197603215,0.5925117348792613,-4477.338442222217,335,967194.0
FSTA_IYK_XLP_VDC,20,0.0008,0.0002,7955.369090000043,-2398.71271,-95515.89559748428,-852.5969174528302,190179.19427751572,0.016574512197603215,0.5925117348792613,-4477.338442222217,335,967194.0
FSTA_IYK_XLP_VDC,20,0.0008,0.0004,7312.546126666727,-2395.9356733333334,-95358.7048427673,-852.5644646226416,189864.84522091196,0.015260455054804584,0.5460568249313195,-4477.338442222217,336,967194.0
FSTA_IYK_XLP_VDC,20,0.0008,0.0006,7312.546126666727,-2395.9356733333334,-95358.7048427673,-852.5644646226416,189864.84522091196,0.015260455054804584,0.5460568249313195,-4477.338442222217,336,967194.0
FSTA_IYK_XLP_VDC,20,0.0008,0.0008,7551.092322777834,-2390.3794772222227,-95044.20317610062,-852.434873427673,189235.9714787736,0.015810642224732916,0.5641308364602247,-4477.338442222217,340,974470.0
FSTA_IYK_XLP_VDC,20,0.001,0.0,8131.504013333382,-2398.707786666667,-95515.80270440252,-852.4318545597486,190179.17355424527,0.016941480101706964,0.6058629639833848,-4252.768442222207,334,967200.0
FSTA_IYK_XLP_VDC,20,0.001,0.0002,8131.504013333382,-2398.707786666667,-95515.80270440252,-852.4318545597486,190179.17355424527,0.016941480101706964,0.6058629639833848,-4252.768442222207,334,967200.0
FSTA_IYK_XLP_VDC,20,0.001,0.0004,7488.6810500000665,-2395.9307500000004,-95358.61194968554,-852.3994017295596,189864.8244976415,0.015628030384655583,0.5594241869990867,-4252.768442222207,335,967200.0
FSTA_IYK_XLP_VDC,20,0.001,0.0006,7488.6810500000665,-2395.9307500000004,-95358.61194968554,-852.3994017295596,189864.8244976415,0.015628030384655583,0.5594241869990867,-4252.768442222207,335,967200.0
FSTA_IYK_XLP_VDC,20,0.001,0.0008,7727.227246111173,-2390.374553888889,-95044.11028301888,-852.2698105345912,189235.95075550315,0.016179439150554215,0.5775119668016386,-4252.768442222207,339,974476.0
FSTA_IYK_XLP_VDC,20,0.001,0.001,7868.583390277842,-2376.4784097222223,-94572.2587264151,-851.9344960691824,188292.582956761,0.01655795751294465,0.588189085436351,-4228.6087605555385,343,978796.0
FSTA_IYK_XLP_VDC,20,0.0012,0.0,8662.870387500025,-2398.7014125,-95515.44190251573,-851.5355338050315,190179.3482712264,0.01804853213173709,0.645391806895035,-4252.768442222207,330,952592.0
FSTA_IYK_XLP_VDC,20,0.0012,0.0002,8662.870387500025,-2398.7014125,-95515.44190251573,-851.5355338050315,190179.3482712264,0.01804853213173709,0.645391806895035,-4252.768442222207,330,952592.0
FSTA_IYK_XLP_VDC,20,0.0012,0.0004,8020.047424166707,-2395.924375833333,-95358.25114779874,-851.5030809748428,189864.99921462263,0.016736916508619085,0.5990560243545555,-4252.768442222207,331,952592.0
FSTA_IYK_XLP_VDC,20,0.0012,0.0006,8020.047424166707,-2395.924375833333,-95358.25114779874,-851.5030809748428,189864.99921462263,0.016736916508619085,0.5990560243545555,-4252.768442222207,331,952592.0
FSTA_IYK_XLP_VDC,20,0.0012,0.0008,8171.595631111138,-2384.806168888889,-94728.91867924528,-851.0171690251572,188606.8201894654,0.017166940406837847,0.6115149129164663,-4252.768442222207,333,955248.0
FSTA_IYK_XLP_VDC,20,0.0012,0.001,8198.571775277804,-2370.9100247222223,-94257.0671226415,-850.6600621069182,187663.47418317612,0.017310191647849096,0.6135786816950206,-4228.6087605555385,337,958648.0
FSTA_IYK_XLP_VDC,20,0.0012,0.0012,8430.000986388914,-2343.1208136111113,-92999.14470125786,-850.3091344339623,185147.98026808177,0.018040645462306736,0.6321313982892077,-4228.6087605555385,344,973272.0
FSTA_IYK_XLP_VDC,20,0.0014,0.0,8145.028902222242,-2398.692897777778,-95514.9599371069,-850.1643860062893,190179.75548820756,0.016969606436198287,0.6056840988562874,-4252.768442222207,326,934958.0
FSTA_IYK_XLP_VDC,20,0.0014,0.0002,8145.028902222242,-2398.692897777778,-95514.9599371069,-850.1643860062893,190179.75548820756,0.016969606436198287,0.6056840988562874,-4252.768442222207,326,934958.0
FSTA_IYK_XLP_VDC,20,0.0014,0.0004,7502.205938888925,-2395.915861111111,-95357.76918238994,-850.1319331761006,189865.40643160377,0.01565620731197417,0.5593329269286003,-4252.768442222207,327,934958.0
FSTA_IYK_XLP_VDC,20,0.0014,0.0006,7502.205938888925,-2395.915861111111,-95357.76918238994,-850.1319331761006,189865.40643160377,0.01565620731197417,0.5593329269286003,-4252.768442222207,327,934958.0
FSTA_IYK_XLP_VDC,20,0.0014,0.0008,7653.754145833356,-2384.7976541666667,-94728.43671383648,-849.646021226415,188607.22740644653,0.016079020984077815,0.5716916131971065,-4252.768442222207,329,937614.0
FSTA_IYK_XLP_VDC,20,0.0014,0.001,7251.442503888911,-2362.569296111111,-93784.95040880503,-849.4359583333332,186720.46485927672,0.01538777803356501,0.5420153322952841,-4228.6087605555385,331,937534.0
FSTA_IYK_XLP_VDC,20,0.0014,0.0012,7482.871715000021,-2334.7800850000003,-92527.02798742137,-849.0850306603774,184204.9709441824,0.016095718910559238,0.5604009867960343,-4228.6087605555385,338,952158.0
FSTA_IYK_XLP_VDC,20,0.0014,0.0014,8082.117499444497,-2326.444300555556,-92055.19113207547,-849.207483490566,183261.1747806604,0.017474232864702045,0.6063580911385379,-4228.6087605555385,341,956008.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0,7945.480707500017,-2395.9010925000002,-95357.11690251574,-849.053772798742,189865.1800322327,0.0165812885564352,0.5909511736329894,-4402.596450555534,322,925054.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0002,7945.480707500017,-2395.9010925000002,-95357.11690251574,-849.053772798742,189865.1800322327,0.0165812885564352,0.5909511736329894,-4402.596450555534,322,925054.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0004,7302.657744166701,-2393.1240558333334,-95199.92614779875,-849.0213199685534,189550.83097562892,0.015265065754336449,0.5445551478831626,-4402.596450555534,323,925054.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0006,7302.657744166701,-2393.1240558333334,-95199.92614779875,-849.0213199685534,189550.83097562892,0.015265065754336449,0.5445551478831626,-4402.596450555534,323,925054.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0008,7454.205951111131,-2382.005848888889,-94570.59367924528,-848.5354080188678,188292.65195047169,0.015685972186320663,0.5568884643360378,-4402.596450555534,325,927710.0
FSTA_IYK_XLP_VDC,20,0.0016,0.001,7051.894309166687,-2359.777490833333,-93627.10737421384,-848.3253451257863,186405.8894033019,0.01498958434569609,0.5271975262878862,-4378.436768888865,327,927630.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0012,7135.25240916669,-2329.2093908333336,-92211.88935534592,-847.7544803459119,183576.0242303459,0.01540057038891914,0.5345315922848536,-4378.436768888865,333,936512.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0014,7634.750364166726,-2306.9814358333333,-91268.15592767295,-847.8672790880503,181688.44457625787,0.016649874316383956,0.5729529463318257,-4378.436768888863,336,939440.0
FSTA_IYK_XLP_VDC,20,0.0016,0.0016,7453.721115833401,-2298.650684166667,-90796.60394654088,-847.3322948113207,180745.87559827045,0.016339853880836825,0.5597855860918917,-4378.436768888863,339,945004.0
FSTA_IYK_XLP_VDC,20,0.0018,0.0,8675.10806638895,-2390.323733611111,-95041.60617924528,-847.3717602201258,189235.84059827044,0.018164143530285868,0.6487632433308058,-4558.4524422222,317,908514.0
FSTA_IYK_XLP_VDC,20,0.0018,0.0002,8675.10806638895,-2390.323733611111,-95041.60617924528,-847.3717602201258,189235.84059827044,0.018164143530285868,0.6487632433308058,-4558.4524422222,317,908514.0
