symbols,moving avg days,direction,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
SCHQ_VGLT,20,long,0.0,0.0,-796.7698422222206,-263.87984222222224,-52236.912164179106,-19.056417910447852,104454.76791044776,-0.014344993692870919,-4.60167741452523,-851.7602077777677,58,292878.0
SCHQ_VGLT,20,long,-0.0005,0.0,-99.21135277777654,-108.33135277777777,-19402.564029850746,-12.379253731343336,38792.74880597015,-0.00480957342862697,-0.8899195833401349,-201.15714611110155,10,51006.0
SCHQ_VGLT,20,long,-0.0005,-0.0005,-222.62336583332416,-83.33336583333333,-14179.353358208957,-10.611343283582185,28348.095373134325,-0.014768711327095368,-2.42133450310066,-242.4909591666565,14,70220.0
SCHQ_VGLT,20,long,-0.001,0.0,-15.803377777795411,-69.44337777777778,-11940.147164179105,-7.635373134328137,23872.658955223884,-0.0012449298224551841,-0.20873645716651684,-83.98628583334691,4,20212.0
SCHQ_VGLT,20,long,-0.001,-0.0005,18.53790805555149,-33.33209194444444,-5970.255149253731,-4.997313432835816,11935.512985074629,0.0029208911754213286,0.410852632605248,-39.60627000000433,4,20112.0
SCHQ_VGLT,20,long,-0.001,-0.001,-71.92641694445703,-5.556416944444445,-1492.7687313432837,-1.5725373134327358,2983.9649253731345,-0.04533049428625884,-2.56356642129987,-71.92641694445702,4,20006.0
SCHQ_VGLT,20,long,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0015,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0015,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0015,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.002,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.002,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.002,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0025,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0025,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0025,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0025,-0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0025,-0.0025,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.003,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.003,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.003,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.003,-0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.003,-0.0025,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.003,-0.003,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,-0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,-0.0025,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,-0.003,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0035,-0.0035,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.0025,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.003,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.0035,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.004,-0.004,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.0025,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.003,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.0035,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.004,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.0045,-0.0045,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.0025,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.003,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.0035,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.004,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.0045,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,long,-0.005,-0.005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0,0.0,-565.9012833333373,-236.14628333333332,-42543.951268656725,-7.51858208955217,85080.38395522388,-0.01250855032270654,-3.810612029901347,-565.9012833333373,55,277481.0
SCHQ_VGLT,20,short,0.0005,0.0,28.367121944447952,-30.562878055555554,-5224.9732089552235,-1.6266417910447848,10448.319776119402,0.005105808971570973,0.4499434578303058,-33.577497222222355,4,20260.0
SCHQ_VGLT,20,short,0.0005,0.0005,-10.07463972223858,-13.894639722222223,-2239.6982835820895,-1.2169402985074063,4478.179626865672,-0.004230812286855768,-0.19278909964795193,-48.773840555550365,6,30312.0
SCHQ_VGLT,20,short,0.001,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.001,0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.001,0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0015,0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0015,0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.002,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.002,0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.002,0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.002,0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.002,0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0025,0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0025,0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0025,0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0025,0.002,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.003,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.003,0.0005,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.003,0.001,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
SCHQ_VGLT,20,short,0.003,0.0015,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0
