symbols,moving avg days,entry hurdle,exit hurdle,total net profit,total borrow cost,average daily short investment,average daily net investment,average daily gross investment,annualized return on avg gross investment,annualized Sharpe,maximum drawdown,position changes,total shares traded
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0,0.0,2072.247608194463,-817.2723918055556,-95069.8403409091,-129.78297727272763,190009.89770454544,0.012492325246154134,2.3507129654918164,-249.03149416665792,183,1428939.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0002,0.0,2072.247608194463,-817.2723918055556,-95069.8403409091,-129.78297727272763,190009.89770454544,0.012492325246154134,2.3507129654918164,-249.03149416665792,183,1428939.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0002,0.0002,2072.247608194463,-817.2723918055556,-95069.8403409091,-129.78297727272763,190009.89770454544,0.012492325246154134,2.3507129654918164,-249.03149416665792,183,1428939.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0004,0.0,2172.4578045833946,-817.2721954166666,-95069.80820454545,-129.66229545454587,190009.95411363637,0.013096427914402957,2.4653304637862523,-249.03149416665792,183,1428891.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0004,0.0002,2172.4578045833946,-817.2721954166666,-95069.80820454545,-129.66229545454587,190009.95411363637,0.013096427914402957,2.4653304637862523,-249.03149416665792,183,1428891.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0004,0.0004,2180.2359698611517,-814.4940301388888,-94615.1993409091,-129.65834090909132,189100.74034090908,0.013206512028132389,2.487944351006767,-249.03149416665792,184,1428891.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0006,0.0,2210.833722916774,-817.2612770833332,-95068.38211363635,-128.0453409090914,190008.71888636364,0.013327859647713028,2.4319458620780625,-249.03149416665792,173,1345433.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0006,0.0002,2210.833722916774,-817.2612770833332,-95068.38211363635,-128.0453409090914,190008.71888636364,0.013327859647713028,2.4319458620780625,-249.03149416665792,173,1345433.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0006,0.0004,2218.6118881945313,-814.4831118055555,-94613.77325000001,-128.04138636363686,189099.50511363638,0.013439057232882507,2.4532773811945936,-249.03149416665792,174,1345433.0
SPHY_SCYB_HYLB_USHY_HYG_JNK,20,0.0006,0.0006,2236.7696715278066,-775.6003284722221,-89614.54488636364,-127.08211363636417,179102.00765909092,0.014305356041922335,2.5811953431916916,-249.03149416665792,183,1399661.0
